frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,0.635625,-0.273362,0.422193,-1.830645,-1.109612,2.960469,-0.528450,-1.004180,-0.716434,-2.709000,2.450908,-0.584791,-0.003199,-2.050829,0.067990,0.241176
1,0.042700,0,-0.549987,-0.586603,0.030868,-0.705419,-1.051692,1.021610,-0.535648,-0.875086,-0.824903,-1.156200,-0.576146,0.070090,-0.745322,5.106272,-0.343373,-0.488565
2,0.085300,0,-0.647036,-0.665290,0.030868,0.221768,-0.313135,0.047660,-0.363807,-0.924494,-0.864981,-0.157900,-1.717256,1.367838,-0.374261,1.281311,-1.035115,-0.816679
3,0.128000,0,-0.727050,-0.715089,-0.080952,0.006256,0.477497,-0.627793,-0.979441,-0.968597,-0.874852,0.667003,-1.116198,0.404651,-1.301915,2.328555,-1.044569,-0.999263
4,0.170700,0,-0.778332,-0.735278,-1.199062,-0.198548,0.941768,-1.371917,-1.132940,-0.863510,-0.816838,1.758056,-1.290553,0.593584,-0.374261,0.142597,-1.099014,-1.364133
5,0.213300,0,-0.711654,-0.707792,0.086779,0.287757,1.059174,-1.068899,-1.147538,-0.964793,-0.857746,1.285932,-1.318859,0.611542,0.738925,0.039926,-1.239468,-1.290920
6,0.256000,0,-0.794093,-0.736567,-1.366746,0.186349,1.213035,-1.148178,-1.224621,-0.789237,-0.770379,1.405350,-1.467181,0.881858,0.182332,0.463677,-1.041352,-1.218006
7,0.298700,0,-0.822462,-0.757889,-1.422656,0.208140,1.065890,-1.188725,-1.328237,-0.818925,-0.795666,1.467546,-1.434686,0.872605,-1.301915,-0.818777,-1.341279,-1.218006
8,0.341300,0,-0.780030,-0.736080,-0.807690,0.496195,1.264168,-1.035970,-1.347339,-0.968651,-0.872799,1.237069,-0.904444,1.049186,-0.003199,0.786624,-1.041616,-1.254463
9,0.384000,0,-0.708077,-0.697424,0.142641,1.044228,1.126946,-0.789519,-1.225312,-1.027706,-0.888661,0.885444,-1.287922,1.001317,1.666579,0.150064,-1.025208,-1.145092
10,0.426700,0,-0.556473,-0.644551,0.142641,1.103771,0.974376,-0.480022,-0.904313,-1.275391,-0.986432,0.475011,-1.361751,1.326998,0.924456,0.879961,-1.136771,-0.670850
11,0.469300,0,-0.405355,-0.617851,0.142641,-0.825780,0.795677,0.347296,-0.965553,-1.423456,-1.033209,-0.485886,-1.222855,0.896601,0.182332,0.207933,-0.704619,-0.451809
12,0.512000,0,-0.111301,-0.474942,0.198552,-0.706450,1.221176,-0.999303,-0.691691,-1.225233,-0.908879,1.183233,0.645793,-1.092822,-0.745322,2.190416,-0.154370,-0.123695
13,0.554700,0,-0.106754,-0.500966,0.198552,-1.312483,0.820450,-0.520747,-0.680654,-1.153531,-0.803413,0.527189,0.029229,0.543340,-0.559792,1.044235,-0.553752,0.314090
14,0.597300,0,-0.646308,-0.685177,0.142641,-0.570139,0.894578,-0.442679,-1.236920,-1.113876,-0.923532,0.427589,-0.524823,0.117276,-1.301915,2.731772,-1.197911,-0.488565
15,0.640000,0,-0.773604,-0.738267,-0.975421,-0.107323,0.865683,-0.705185,-1.027364,-0.883177,-0.823338,0.770350,-2.055415,0.981158,-0.745322,2.737372,-1.317165,-0.999263
16,0.682700,0,-0.710562,-0.710638,0.086779,0.691273,0.755338,-0.941633,-0.939345,-1.009593,-0.882719,1.099633,-1.946817,0.881002,1.295518,-0.249420,-1.337350,-1.072177
17,0.725300,0,-0.695469,-0.684384,0.142641,0.643258,0.706964,-0.961889,-1.197484,-0.985585,-0.864720,1.128893,-0.492966,0.917974,0.924456,2.520830,-1.240052,-1.218006
18,0.768000,0,-0.514466,-0.625026,0.142641,0.730018,0.840397,-0.511883,-0.777436,-1.241791,-0.975481,0.515802,-1.487057,0.958887,0.738925,0.736222,-0.976256,-0.999263
19,0.810700,0,-0.616666,-0.661242,0.142641,-0.115493,0.841349,-0.592586,-0.882785,-1.089171,-0.907229,0.620590,-1.080076,0.710598,-1.672977,-0.228885,-1.167876,-1.035720
20,0.853300,0,-0.365953,-0.497363,0.142641,-0.567569,0.454794,-0.852102,-0.436706,-0.829803,-0.756474,0.972503,-0.076763,0.416290,-0.745322,0.230334,-0.094671,-0.670850
21,0.896000,0,-0.262965,-0.423329,0.198552,-0.364867,0.603565,-0.946225,-0.491394,-0.665823,-0.639382,1.106264,0.811079,0.442440,0.182332,0.038059,-0.082334,-0.305980
22,0.938700,0,-0.017526,-0.368497,0.198552,-0.546191,0.445087,-0.284228,-0.104808,-0.648782,-0.576179,0.231129,-0.156928,0.658710,-0.003199,-0.247553,0.238311,-0.488565
23,0.981300,0,-0.080083,-0.238871,0.198552,0.901954,0.661559,-0.237985,0.106588,-0.596908,-0.699124,0.175132,0.171395,0.320079,0.738925,-0.143015,0.029956,-0.196609
24,1.024000,0,0.934407,0.454503,0.198552,0.770556,0.637499,0.947031,0.815725,0.211420,0.091892,-1.086149,1.019283,0.203865,-0.745322,0.889295,0.840486,0.131804
25,1.066700,0,0.343692,-0.002066,0.198552,0.756717,0.944671,-0.170241,0.365016,-0.545141,-0.651669,0.094198,1.096331,0.633641,0.738925,-0.507030,0.534265,0.058890
26,1.109300,0,-0.201681,-0.386616,0.198552,-0.091117,0.728002,-0.359627,-0.260166,-0.433249,-0.483335,0.323666,-0.425779,0.462253,-0.003199,0.327405,-0.090517,-0.451809
27,1.152000,0,-0.501797,-0.578222,0.142641,0.904146,0.662519,-0.622311,-0.527256,-0.811637,-0.685626,0.659724,-1.679268,1.144741,1.852110,0.226600,-0.662005,-0.853136
28,1.194700,0,-0.548048,-0.620045,0.142641,0.741021,0.853404,0.046521,-1.031698,-0.782592,-0.619398,-0.156674,-1.265952,0.772775,-0.745322,-1.020385,-1.202824,-0.707307
29,1.237300,0,0.027331,-0.241095,0.198552,0.197556,0.422415,-0.034324,0.035932,-0.588602,-0.644152,-0.064498,-0.099729,0.713142,-0.559792,0.551414,0.090194,-0.743764
30,1.280000,0,-0.234414,-0.470901,0.198552,-0.478851,0.725557,-0.314203,-0.520924,-0.886446,-0.737871,0.267740,0.061852,0.893370,2.594234,-0.759041,-0.189792,-0.670850
31,1.322700,0,-0.235566,-0.490130,0.198552,0.364226,0.561369,-0.383941,-0.332305,-1.124969,-0.878480,0.353935,-0.231600,1.093066,-0.374261,-1.330265,-0.228005,-0.087237
32,1.365300,0,0.125834,-0.409384,0.198552,-0.334577,0.722351,0.160936,-0.215498,-0.741436,-0.386200,-0.284309,-0.227104,0.595084,1.666579,-0.062745,-0.412992,0.204718
33,1.408000,0,0.483354,0.447459,0.198552,0.777589,0.591181,-0.819992,0.006113,1.561046,1.441261,0.927676,1.708731,-0.897510,-0.745322,-0.163549,0.896734,0.898001
34,1.450700,0,1.084859,0.801782,0.198552,0.540330,0.679554,0.133454,0.719577,1.033253,0.646175,-0.253968,0.925783,0.528131,1.852110,-0.493963,1.201373,1.116744
35,1.493300,0,-0.347223,-0.585875,0.142641,-1.820037,0.572478,-0.355070,-0.896216,-1.293719,-0.963643,0.318044,0.285205,0.315931,-0.188730,0.799691,-0.615259,-0.305980
36,1.536000,0,-0.253812,-0.551201,0.198552,-1.378735,0.755336,-0.097334,-0.774446,-1.254706,-0.932159,0.008436,0.026368,0.280265,0.553394,-1.173458,-0.846478,-0.561479
37,1.578700,0,0.322294,-0.157873,0.198552,-0.183425,0.829438,0.239965,-0.008467,0.661510,1.042912,-0.370792,0.640403,-0.823009,-0.559792,1.029301,-0.329497,0.970916
38,1.621300,0,-0.118635,-0.385145,0.198552,-1.346913,1.154682,-1.104890,-0.699060,0.149365,0.644744,1.339839,1.612855,0.082010,-1.301915,0.064193,-0.208944,1.153201
39,1.664000,0,-0.379592,-0.565235,0.142641,-1.091105,0.798784,-0.571476,-0.824303,-1.214783,-0.933541,0.592988,0.506463,0.441585,-0.188730,-0.501430,-0.777557,0.058890
40,1.706700,0,-0.187860,-0.475774,0.198552,-0.525460,0.806018,-0.383158,-0.442316,-1.050052,-0.792730,0.352926,0.294580,0.513054,0.367863,-0.872912,-0.325680,-0.743764
41,1.749300,0,-0.294304,-0.514697,0.198552,-1.151364,0.869473,-0.778305,-0.593609,-1.026473,-0.848688,0.869949,0.555436,0.301824,0.182332,0.013791,-0.652882,-0.743764
42,1.792000,0,0.135957,-0.007987,0.198552,-0.242931,0.775061,-0.285225,-0.238250,2.115097,3.000366,0.232282,1.207561,0.493674,0.182332,-0.296088,0.044949,-0.014024
43,1.834700,0,-0.232111,-0.408919,0.198552,-0.944689,0.847651,-0.866341,-0.482656,-0.526761,-0.510548,0.992539,0.896379,0.334677,0.367863,-0.577967,-0.359619,0.788331
44,1.877300,0,0.923435,0.882857,0.198552,1.077440,0.769813,-0.108690,0.692171,0.946172,0.520696,0.021697,1.170135,0.552877,-0.188730,0.077261,1.223230,0.606046
45,1.920000,0,0.046001,-0.251442,0.198552,-0.401173,0.935689,-0.239516,-0.063839,-0.204694,-0.160629,0.177005,0.874894,0.522027,-0.374261,-0.716106,-0.180432,0.241176
46,1.962700,0,1.012664,1.108442,0.198552,1.399434,0.475089,0.048977,0.935817,1.043917,0.518990,-0.159413,1.095744,0.295628,0.367863,-0.607835,1.071339,1.043830
47,2.005300,0,0.938226,0.994002,0.198552,1.037065,0.806489,-0.036567,0.718390,1.177942,0.709619,-0.061976,1.243607,0.260864,1.295518,-1.369467,1.340237,1.810027
48,2.048000,0,0.792745,0.836241,0.198552,0.939302,0.807545,-0.260982,0.584629,1.073283,0.600352,0.202878,1.498995,-0.817296,2.408703,-0.535032,1.263248,1.189658
49,2.090700,0,-0.149853,-0.465876,0.198552,-0.661690,0.512102,-0.354216,-0.467166,-0.599319,-0.196529,0.316963,0.419630,0.321702,-0.745322,-0.055278,-0.520874,0.168261
50,2.133300,0,-0.090266,-0.441184,0.198552,-0.972448,0.615547,0.007291,-0.286279,-0.732326,-0.501621,-0.112136,0.083234,0.258073,0.182332,-1.272396,-0.318692,-0.670850
51,2.176000,0,-0.401293,-0.583879,0.142641,-1.083047,0.823716,0.040790,-0.709110,-1.342806,-1.000715,-0.150188,-0.286117,-1.427184,-0.188730,0.028725,-1.010110,-0.342437
52,2.218700,0,-0.526892,-0.604110,0.142641,-0.507519,0.682228,-0.357740,-0.941940,-0.853007,-0.546006,0.321360,-0.168092,-1.567565,-0.188730,-0.828111,-0.979381,0.496674
53,2.261300,0,-0.494341,-0.598742,0.142641,-1.118201,0.758534,-0.805111,-0.814020,-1.154978,-0.923956,0.906993,-0.189679,0.395681,-0.745322,-1.059587,-0.791803,-0.233066
54,2.304000,0,-0.512102,-0.630945,0.142641,-0.502002,0.566093,0.220849,-0.617002,-1.297309,-1.000874,-0.350036,-1.296531,0.642309,-0.745322,0.069794,-1.093760,-0.561479
55,2.346700,0,-0.382866,-0.530535,0.142641,-0.116516,0.789006,-0.155966,-0.584225,-0.966079,-0.802647,0.077334,-0.166661,0.696279,1.481048,-0.673171,-0.700116,0.533131
