frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,0.496979,0.357464,0.392872,0.590924,0.085535,0.238638,-0.323436,-0.339455,-0.234480,-0.262885,-0.012171,0.878237,-0.850963,-2.070532,0.386043,0.261212
1,0.042700,0,1.030570,0.251220,0.568183,1.199470,0.892597,0.916931,-1.154515,-0.494515,-0.253972,-0.671643,1.029278,0.522731,0.886920,1.329689,-0.400310,1.797077
2,0.085300,0,1.240066,0.235012,0.697762,0.917504,0.490114,1.180432,-1.844936,-0.506086,-0.260779,-0.818393,3.015705,-0.435404,-1.893693,1.534977,-0.561328,3.244464
3,0.128000,0,0.867780,0.148669,0.476719,0.377264,-0.419819,0.895669,-1.590910,-0.403625,-0.236869,-0.659483,2.071176,0.361430,0.365555,1.272163,-0.340394,2.662696
4,0.170700,0,0.987701,0.155926,0.522451,0.336213,0.080333,1.096296,-1.709326,-0.456223,-0.249344,-0.772173,2.605015,0.237779,1.929649,1.056724,-0.467897,2.476550
5,0.213300,0,0.822029,0.093962,0.392872,0.305321,1.003201,0.843163,-1.621054,-0.410884,-0.240841,-0.629396,2.395240,0.215374,1.929649,0.880199,-0.616654,1.596941
6,0.256000,0,0.436409,0.251745,0.392872,0.122745,0.699441,0.465608,-0.132373,-0.296220,-0.223304,-0.405033,-0.171903,0.811161,-0.329598,1.725601,-0.115333,0.130913
7,0.298700,0,0.791347,0.262059,0.438611,0.691244,-0.390158,0.756148,-0.358309,-0.441916,-0.248205,-0.578962,0.083512,0.723808,0.017978,1.168955,0.044907,-0.250718
8,0.341300,0,0.516326,0.312812,0.385256,0.368928,0.340238,0.554100,-0.573323,-0.374696,-0.240792,-0.458907,-0.017447,-0.898289,0.191766,1.478579,0.071581,-0.362414
9,0.384000,0,-0.081392,0.239206,0.209938,0.128986,0.627989,-0.128916,0.456142,-0.152732,-0.199716,-0.019724,-0.622707,-1.252071,0.886920,1.697402,0.372327,0.019218
10,0.426700,0,0.773323,0.277931,0.491966,0.725740,0.497217,0.809444,-0.476443,-0.424454,-0.243317,-0.609920,0.103971,-0.824951,-0.329598,1.975443,-0.535311,0.237958
11,0.469300,0,0.854108,0.464755,0.697762,0.799849,0.644747,0.722269,-0.411092,-0.443284,-0.255680,-0.559098,0.151000,0.696103,-0.329598,1.374243,-0.119493,-0.287963
12,0.512000,0,0.143291,0.299650,0.263300,0.363355,0.796741,0.067139,0.511919,-0.203963,-0.206485,-0.151551,-0.513116,0.989757,-0.503387,1.398494,0.709856,-0.785940
13,0.554700,0,0.300773,0.335895,0.339517,0.521321,-0.856773,0.247557,0.314276,-0.291802,-0.221349,-0.268602,-0.663647,-1.218022,1.408284,1.681047,1.032977,-0.353112
14,0.597300,0,0.046481,0.337143,0.278539,0.683506,0.865695,0.022611,1.018688,-0.200176,-0.207612,-0.122046,-0.876930,-1.329929,-1.372328,1.422181,0.729296,-0.278623
15,0.640000,0,0.095570,0.351994,0.278539,0.831745,0.213473,0.016834,0.722397,-0.238677,-0.215953,-0.118171,-0.828094,-1.326455,0.191766,0.823801,1.383777,-0.306566
16,0.682700,0,0.788260,0.324146,0.507212,0.966569,1.393661,0.714762,-0.017954,-0.422560,-0.244356,-0.554689,-0.224132,0.784462,-0.329598,1.722217,0.562693,-0.534607
17,0.725300,0,0.073708,0.215963,0.164206,0.833510,2.650481,0.038727,0.691336,-0.206803,-0.202847,-0.132754,-0.662190,1.115253,0.886920,1.523133,0.071084,-1.018632
18,0.768000,0,-0.442682,0.164757,-0.041597,0.823053,0.986997,-0.479243,1.866198,-0.009034,-0.160087,0.228864,-1.068196,-1.414378,0.017978,1.476323,2.495469,-1.013981
19,0.810700,0,-0.386522,0.067879,-0.163553,0.546389,-0.078959,-0.403226,1.554754,-0.043223,-0.162958,0.173391,-0.998659,-1.404100,1.234496,0.922497,2.571842,-0.585804
20,0.853300,0,0.308771,0.378237,0.362386,0.580992,0.398071,0.256805,0.256110,-0.288961,-0.224072,-0.274465,-0.702895,1.137636,2.103437,1.496626,0.726630,-0.650953
21,0.896000,0,0.549963,0.429378,0.499589,0.779543,0.637851,0.508048,0.619614,-0.400154,-0.247525,-0.431001,-0.691516,0.937209,0.191766,1.229865,0.606251,-1.083781
22,0.938700,0,0.013653,0.164760,0.087982,0.431452,0.772533,-0.012246,0.576464,-0.225002,-0.207550,-0.098743,-0.748239,-1.262870,-0.155810,1.339277,0.330319,-0.785940
23,0.981300,0,-0.080260,0.275299,0.065120,0.709549,-0.418809,0.033994,1.439395,-0.154310,-0.192203,-0.129604,-1.033686,-1.349998,0.539343,0.797858,1.670296,-0.660255
24,1.024000,0,0.031971,0.279151,0.217561,0.451867,0.088088,-0.004927,0.630595,-0.184607,-0.200025,-0.103636,-0.807468,-1.266694,0.713131,0.886403,1.352844,-1.111724
25,1.066700,0,0.662562,0.423350,0.568183,1.081633,-0.008897,0.543845,0.892077,-0.404361,-0.245854,-0.452706,-0.912549,0.981329,-0.677175,1.205614,1.346264,-1.065178
