frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,758.54,392.5281,949.22,-1.6211263904,2.52863,0.185613,40.2758,-0.7856,1.4294,0.121898,0.173008,22.375278,31,0.0,174.6461,0.018191,0
1,0.0427,817.94,330.8608,949.22,-1.9855794896,2.832677,0.134752,40.5014,-1.1943,4.5187,0.145077,0.146315,26.267845,36,0.003092,177.8974,0.019534,0
2,0.0853,784.25,361.2339,949.22,-2.0931422625,2.978917,0.096774,28.493,-1.0765,2.9929,0.16904,0.150184,14.918019,43,0.001616,175.3412,0.019534,0
3,0.128,874.53,253.5346,949.22,-1.4894583307,3.000577,0.092276,27.7425,-1.2122,14.4933,0.172485,0.130638,32.511788,29,0.001539,133.4303,0.019534,0
4,0.1707,823.36,323.1763,949.22,-1.1461496484,3.043874,0.08601,19.4385,-1.2164,5.8378,0.177575,0.139765,32.755722,33,0.000984,106.6406,0.019534,0
5,0.2133,861.11,277.7926,949.22,-1.2231087729,3.144357,0.085832,18.7554,-1.1842,11.1841,0.177725,0.133412,33.46284,26,0.000771,114.0747,0.019534,0
6,0.256,806.02,340.8901,949.22,-1.2445790313,3.207445,0.080591,15.5585,-1.1461,4.4715,0.182285,0.142567,17.362651,35,0.000861,93.5694,0.019534,0
7,0.2987,845.74,297.1954,949.22,-0.9203775979,3.091695,0.073496,18.5759,-1.215,8.522,0.188956,0.134067,22.517769,32,0.000741,85.7769,0.019534,0
8,0.3413,772.4,370.0654,949.22,-1.9012140095,3.088679,0.086186,13.704,-0.9656,2.7286,0.177428,0.148528,28.22227,39,0.000897,99.4461,0.019534,0
9,0.384,863.65,275.7346,949.22,-0.5931862991,3.073375,0.070979,14.4848,-1.1857,11.7452,0.191479,0.133786,34.503164,36,0.001083,81.2992,0.019534,0
10,0.4267,890.79,230.0046,949.22,0.1772419879,3.068379,0.075957,17.2452,-0.7587,21.5217,0.186572,0.12996,29.980752,31,0.000591,92.7691,0.019534,0
11,0.4693,850.06,290.9924,949.22,-1.1339934383,3.007091,0.079191,17.3277,-1.2099,9.2607,0.183554,0.134181,34.702918,29,0.000609,92.11,0.019534,0
12,0.512,888.1,239.1572,949.22,-0.090384195,3.028688,0.067856,17.212,-0.8433,19.9586,0.194736,0.130276,36.493159,29,0.000418,100.379,0.019534,0
13,0.5547,846.17,299.7517,949.22,-0.4338045827,3.065931,0.077502,12.865,-1.2262,8.5498,0.185115,0.13557,35.622689,37,0.000506,92.2696,0.019534,0
14,0.5973,802.63,340.4402,949.22,-1.9111504566,2.995176,0.082637,16.3197,-1.1071,4.291,0.180471,0.143337,34.291453,38,0.000748,104.9375,0.019534,0
15,0.64,783.38,358.0428,949.22,-1.6233793783,2.968338,0.080517,17.9369,-1.0236,3.235,0.182352,0.148065,32.67182,29,0.000685,119.559,0.019534,0
16,0.6827,756.72,378.9779,949.22,-1.8653228808,2.877455,0.082879,18.393,-0.8929,2.1792,0.180259,0.156522,33.263085,43,0.000574,121.7932,0.019534,0
17,0.7253,835.59,307.2686,949.22,-1.9258572883,2.955111,0.085598,23.3305,-1.1147,7.4394,0.177923,0.136432,33.01441,34,0.001088,121.825,0.019534,0
18,0.768,805.54,340.3627,949.22,-1.4696598434,3.008867,0.076853,16.8087,-1.1378,4.4892,0.185723,0.142341,17.559389,36,0.000606,128.6722,0.019534,0
19,0.8107,832.62,313.2214,949.22,-1.5099372532,3.026362,0.078115,19.525,-1.1568,6.9778,0.184544,0.136434,34.046988,39,0.000478,113.5706,0.019534,0
20,0.8533,851.56,287.0625,949.22,-1.1060658692,2.901581,0.084614,20.7735,-1.2067,9.6417,0.17876,0.133509,23.235567,32,0.000404,119.3282,0.019534,0
21,0.896,814.68,328.3939,949.22,-2.177424344,2.866402,0.087144,24.2654,-1.1232,5.1574,0.176627,0.141335,31.601547,41,0.000753,132.2674,0.019534,0
22,0.9387,827.88,318.2364,949.22,-1.7749735272,2.987874,0.080014,19.7661,-1.2104,6.1883,0.182806,0.13733,20.126991,28,0.000806,132.3457,0.019534,0
23,0.9813,820.61,325.8603,949.22,-1.6121671284,3.083206,0.082217,17.933,-1.1673,5.5525,0.18084,0.13867,31.905056,25,0.000517,116.9713,0.019534,0
24,1.024,802.81,341.2441,949.22,-1.487334915,2.963495,0.074485,21.2638,-1.1426,4.2692,0.187989,0.144016,37.86187,42,0.000628,122.8104,0.019534,0
25,1.0667,822.93,320.078,949.22,-2.496153339,2.986565,0.078554,24.2125,-1.2053,5.7419,0.184139,0.139207,34.223233,33,0.000785,127.9415,0.019534,0
26,1.1093,842.67,300.5958,949.22,-1.9186535865,2.960578,0.075461,22.6471,-1.1555,8.1843,0.187046,0.136992,34.344912,33,0.000532,140.3504,0.019534,0
27,1.152,796.9,346.3966,949.22,-1.9744209062,2.963917,0.080433,19.8467,-1.1025,3.9193,0.182428,0.143816,31.102176,43,0.000768,126.0371,0.019534,0
28,1.1947,792.9,353.5681,949.22,-1.5463277898,3.044098,0.074798,16.1324,-1.0374,3.7743,0.187685,0.144818,31.550346,39,0.000384,115.1312,0.019656,0
29,1.2373,845.46,297.3415,949.22,-1.4421577944,3.034484,0.072452,20.2786,-1.1953,8.5592,0.189991,0.135749,35.676053,39,0.000728,137.4043,0.019656,0
30,1.28,864.34,268.8308,949.22,-1.5420596024,3.008412,0.079027,22.0388,-1.135,12.2124,0.183704,0.132077,33.034046,34,0.000537,134.653,0.019534,0
31,1.3227,869.41,264.7452,949.22,-1.2525299622,2.97004,0.074874,19.93,-1.1367,13.3568,0.187611,0.131387,33.20822,34,0.00048,123.9865,0.019534,0
32,1.3653,864.8,270.2778,949.22,-1.3559055561,3.006799,0.075074,20.3121,-1.1508,12.2143,0.187418,0.132046,34.994236,33,0.000473,100.2069,0.019534,0
33,1.408,846.31,294.8073,949.22,-1.9649609847,2.962274,0.077671,18.0784,-1.2146,8.7041,0.184957,0.135179,31.469652,33,0.000366,124.2678,0.019534,0
34,1.4507,825.55,319.9764,949.22,-1.8589102986,3.055874,0.080026,16.3852,-1.1763,6.1735,0.182795,0.136961,30.51955,40,0.000448,113.3179,0.019534,0
35,1.4933,890.49,235.564,949.22,0.1034099637,3.138515,0.067322,15.8676,-0.7724,21.0184,0.195307,0.130476,40.659232,41,0.000731,101.596,0.019534,0
36,1.536,847.07,293.3826,949.22,-1.1589152872,3.068731,0.079625,19.4422,-1.1814,8.8195,0.183158,0.134142,31.243922,44,0.000601,100.6808,0.019534,0
37,1.5787,871.88,264.611,949.22,-0.7836465623,3.037667,0.074288,16.8755,-1.0907,13.9683,0.18818,0.131746,33.720241,35,0.00059,107.3475,0.019534,0
38,1.6213,840.44,301.9095,949.22,-1.6786147228,3.033906,0.079864,17.5452,-1.2106,7.8559,0.182942,0.135238,33.633612,35,0.000401,109.595,0.019534,0
39,1.664,794.12,350.8193,949.22,-1.5734791582,3.037541,0.090123,14.9269,-1.062,3.8057,0.174194,0.143012,29.300421,31,0.000649,89.5906,0.019534,0
40,1.7067,859.76,279.4487,949.22,-0.5096334109,3.01154,0.087926,16.1762,-1.1458,11.0829,0.17598,0.132503,33.453554,35,0.000721,88.8076,0.019534,0
41,1.7493,863.4,272.2967,949.22,-0.6560851483,3.015934,0.088201,18.472,-1.076,11.9899,0.175755,0.131839,33.041738,37,0.000329,80.6154,0.019534,0
42,1.792,847.25,296.1482,949.22,-0.6612199553,3.048235,0.087845,13.322,-1.2547,8.6607,0.176047,0.134108,22.649892,24,0.000421,99.1274,0.019534,0
43,1.8347,862.68,277.5399,949.22,-0.0976949723,3.205273,0.077147,15.3844,-1.2096,11.4516,0.185446,0.132625,24.079856,34,0.000354,76.347,0.019534,0
44,1.8773,873.19,261.4293,949.22,-0.2976069331,3.095694,0.078937,15.5469,-1.0794,14.2382,0.183787,0.131009,27.614012,38,0.000431,99.5354,0.019534,0
45,1.92,832.24,316.1169,949.22,-0.7836093353,3.182831,0.074843,13.5302,-1.208,6.7986,0.187642,0.137381,20.017813,38,0.000678,96.231,0.019534,0
46,1.9627,796.7,349.3881,949.22,-0.931579707,3.121707,0.072134,15.0164,-1.1008,3.8751,0.19031,0.144929,31.650394,42,0.000658,88.2022,0.019534,0
47,2.0053,768.74,373.1778,949.22,-0.4672525109,3.103534,0.069725,13.2941,-1.0065,2.4555,0.192768,0.153613,38.193005,34,0.000678,83.7893,0.019534,0
48,2.048,788.95,357.0803,949.22,-0.6502919092,3.126222,0.079523,15.2689,-1.0374,3.5313,0.183251,0.145942,16.201654,34,0.00058,80.0058,0.019534,0
49,2.0907,791.71,353.5488,949.22,-0.8855047552,3.044157,0.088129,15.3029,-1.0495,3.6817,0.175813,0.145023,33.218132,37,0.000243,93.2108,0.019534,0
50,2.1333,773.04,370.0935,949.22,-0.7696522666,3.146195,0.080418,13.7591,-0.9972,2.7051,0.182441,0.151173,14.588205,34,0.000439,78.2045,0.019534,0
51,2.176,882.64,247.1695,949.22,0.1183279874,3.087659,0.077871,16.644,-0.9404,17.516,0.18477,0.130423,34.94705,29,0.001201,79.3994,0.019534,0
52,2.2187,845.21,296.8451,949.22,-0.5828640375,3.064412,0.086,18.0979,-1.1728,8.581,0.177583,0.134854,36.152255,46,0.00048,70.4004,0.019534,0
53,2.2613,862.74,276.9281,949.22,0.5049257575,3.107676,0.068094,17.178,-1.2136,11.5686,0.194481,0.133533,34.750392,34,0.000494,81.2766,0.019534,0
54,2.304,786.68,357.4888,949.22,-0.5432060987,3.163762,0.089875,14.3982,-1.0537,3.3505,0.174393,0.146819,34.74511,35,0.000844,71.6744,0.019534,0
55,2.3467,764.56,375.1917,949.22,-0.8980929746,3.16352,0.087339,13.9747,-0.9473,2.3848,0.176466,0.152768,35.630365,28,0.000367,93.4718,0.019534,0
56,2.3893,822.89,324.4804,949.22,-0.694801494,3.085993,0.080353,17.2006,-1.1244,6.0105,0.1825,0.1382,19.551722,37,0.000861,90.1599,0.019534,0
57,2.432,772.12,369.6835,949.22,-1.0358439446,3.093527,0.085346,15.3075,-0.9578,2.7516,0.178136,0.150392,34.821915,43,0.000738,79.4724,0.019534,0
58,2.4747,796.17,348.9973,949.22,-0.8403869705,3.031772,0.078423,15.3931,-1.0805,3.9097,0.18426,0.145699,34.919243,34,0.000447,89.7997,0.019534,0
59,2.5173,830.08,314.6934,949.22,-0.4663567661,3.16957,0.094976,15.6315,-1.1932,6.5715,0.170398,0.136297,20.620434,39,0.001064,78.9415,0.019534,0
60,2.56,833.2,313.4205,949.22,-0.4809348156,3.095379,0.084006,14.8273,-1.1792,6.9756,0.179282,0.137007,37.575727,36,0.00067,101.9033,0.019534,0
61,2.6027,843.6,299.9652,949.22,-1.0438623378,3.112354,0.075537,15.8987,-1.2243,8.1927,0.186974,0.135417,30.722,38,0.00046,85.7695,0.019534,0
62,2.6453,856.89,282.72,949.22,-0.2973379573,3.144844,0.084201,16.5816,-1.1553,10.4618,0.179114,0.132727,32.644752,38,0.000556,79.2334,0.019534,0
63,2.688,787.0,360.4438,949.22,-0.1184710415,3.10543,0.083496,11.1368,-1.0438,3.4047,0.179722,0.148523,15.324478,32,0.001145,93.4925,0.019534,0
64,2.7307,844.44,299.7231,949.22,-0.4384780298,3.167713,0.084227,14.6073,-1.2431,8.2601,0.179092,0.134597,22.080637,40,0.000889,90.8984,0.019534,0
65,2.7733,863.7,276.7363,949.22,-0.0062485785,3.048806,0.086814,13.5753,-1.127,11.8133,0.176902,0.132436,34.635308,37,0.000388,77.891,0.019534,0
66,2.816,819.12,330.035,949.22,0.0753188967,3.133433,0.085229,12.8783,-1.158,5.5576,0.178236,0.140602,36.727493,38,0.000636,85.0418,0.019534,0
67,2.8587,820.74,326.1833,949.22,-0.5559108446,3.017204,0.079185,16.3223,-1.1804,5.6971,0.183559,0.139224,18.769289,39,0.000457,67.7971,0.019534,0
68,2.9013,747.28,388.3667,949.22,-1.3547843347,3.045374,0.079051,14.0576,-0.8757,1.7687,0.183682,0.156623,29.484,29,0.000927,80.853,0.019534,0
69,2.944,774.13,368.9921,949.22,-0.7937703096,3.051126,0.076563,14.9644,-0.9795,2.8184,0.185997,0.150898,33.135613,26,0.000455,78.9849,0.019534,0
70,2.9867,832.45,314.0493,949.22,-0.7700917279,3.104682,0.08713,15.2328,-1.1325,6.9595,0.176639,0.137785,32.525488,31,0.000769,70.3518,0.019534,0
71,3.0293,837.98,308.1389,949.22,-0.8024179106,3.133717,0.082614,14.9223,-1.1864,7.5148,0.180491,0.136543,33.742472,38,0.000333,100.6123,0.019534,0
72,3.072,823.31,325.9024,949.22,-0.6648043788,3.04967,0.076743,16.7757,-1.0867,6.1377,0.185827,0.138313,19.461629,30,0.000633,100.5302,0.019534,0
73,3.1147,884.2,246.3436,949.22,-0.3203724425,3.171345,0.072478,15.2976,-0.9187,18.0266,0.189966,0.130575,27.786277,33,0.000757,97.443,0.019534,0
74,3.1573,834.06,311.0816,949.22,-0.7432315345,3.188365,0.095903,16.1165,-1.1222,7.1859,0.169694,0.135437,31.999784,22,0.000683,79.8609,0.019534,0
75,3.2,775.03,367.5733,949.22,-1.9807548847,3.115345,0.084384,16.1735,-0.9511,2.9052,0.178956,0.147214,29.485205,35,0.000772,111.4838,0.019534,0
76,3.2427,797.87,348.1875,949.22,-0.5676177809,3.09502,0.086199,15.8544,-1.0847,4.0181,0.177416,0.144515,16.37263,34,0.000709,69.6822,0.019534,0
77,3.2853,783.58,359.6051,949.22,-1.3665764476,3.087278,0.08475,16.7539,-1.0034,3.2845,0.178644,0.146287,31.610404,43,0.000707,93.6883,0.019534,0
