frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,806.74,350.3654,949.22,-1.978982365,2.594189,0.202779,39.3177,-1.1799,2.1165,0.115496,0.152472,17.86675,32,0.0,161.9217,0.018435,0
1,0.0427,787.02,351.9112,949.22,-1.9619870444,2.982328,0.125891,34.0503,-1.5173,1.167,0.150001,0.154274,16.715478,35,0.002924,192.8686,0.019656,0
2,0.0853,837.66,300.1564,949.22,-1.2906008529,3.193373,0.094442,26.0766,-1.9888,4.7214,0.170806,0.138917,17.084208,40,0.001574,157.0562,0.019656,0
3,0.128,859.9,267.3827,949.22,-1.3844937908,3.205433,0.096662,25.4486,-2.2373,7.4499,0.169124,0.132276,16.263926,31,0.000914,139.5869,0.019656,0
4,0.1707,854.53,274.1852,949.22,-0.9083047291,3.251593,0.096396,19.7491,-2.1837,6.7146,0.169324,0.133635,17.007177,38,0.000903,114.2198,0.019656,0
5,0.2133,870.3,248.6822,949.22,-0.0682811509,3.361024,0.088076,16.868,-2.7331,8.469,0.175857,0.13298,16.739164,34,0.000569,98.2616,0.019656,0
6,0.256,865.65,258.3032,949.22,-0.4845497342,3.287614,0.096011,18.1947,-2.3582,8.4012,0.169613,0.131951,16.840275,28,0.000552,83.1002,0.019656,0
7,0.2987,848.96,283.1001,949.22,-0.6876830438,3.277098,0.097832,15.7577,-2.1557,6.0674,0.168253,0.134791,15.542797,39,0.000501,86.701,0.019656,0
8,0.3413,869.52,246.3573,949.22,0.3085920675,3.273963,0.10116,13.9625,-3.0474,7.3823,0.165832,0.131812,16.797864,33,0.000752,70.5586,0.019656,0
9,0.384,884.79,224.1791,949.22,1.0995033617,3.370031,0.087079,17.5494,-3.0979,11.767,0.176681,0.130628,16.411794,27,0.000527,74.8044,0.019656,0
10,0.4267,875.5,245.8366,949.22,0.6998395246,3.337774,0.08644,16.9877,-2.5265,10.4768,0.177214,0.131767,16.126936,33,0.000287,66.0812,0.019656,0
