frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,-1.575587,0.486475,-1.657108,-2.230753,-2.979830,-0.219726,2.602211,3.058313,2.180780,0.148646,1.411420,-0.160462,1.674777,-2.781521,2.763767,-1.454970
1,0.042700,0,-1.610233,-0.831274,-1.657108,-2.351650,-2.323877,-0.491344,1.644669,3.134781,3.004142,0.420169,0.101363,0.541475,-1.004866,-1.653381,0.615348,-1.536951
2,0.085300,0,-1.631763,-0.373868,-1.611091,-2.194802,-2.063717,-2.988869,0.188432,3.882446,5.043357,3.521530,2.181343,-2.169056,-1.842255,-1.825109,1.734706,-1.630740
3,0.128000,0,-1.576669,-1.252491,-1.565074,-2.181590,-1.848151,-0.665631,-0.516980,1.977195,2.135492,0.599660,-0.322012,0.771610,1.842255,-1.068867,-0.098513,-1.583893
4,0.170700,0,-1.548360,-1.344836,-1.519077,-1.849784,-1.701261,0.268401,-1.268821,0.306724,-0.272757,-0.315888,-0.743694,0.734337,0.669911,-0.712968,-0.869866,-1.525239
5,0.213300,0,-1.512102,-1.013704,-1.450051,-2.225439,-2.174396,-2.521055,-0.712480,2.012836,1.644146,2.834869,1.611183,-0.385286,2.177210,-1.008781,0.625486,-1.466681
6,0.256000,0,-1.418387,-1.372463,-1.404034,-1.442680,-2.820663,0.005375,-1.291363,0.285792,0.043837,-0.069218,-0.523991,-0.853713,0.000000,-0.687725,-0.586454,-1.408027
7,0.298700,0,-1.427087,-1.116809,-1.358017,-1.494578,-1.930193,0.300252,-1.033956,0.343968,-0.300309,-0.345318,-0.418035,0.744647,1.172344,-0.115299,-0.844995,-1.372893
8,0.341300,0,-1.333350,-1.277227,-1.312020,-1.103070,-1.182170,-0.001253,-0.925841,0.157795,-0.189270,-0.062875,-0.954511,0.828645,1.507299,-0.681680,-1.003401,-1.372893
9,0.384000,0,-1.362653,-0.148089,-1.266003,-1.975803,-1.862916,-2.276193,0.154763,2.258648,1.601037,2.499078,2.393777,-0.063903,-1.339822,-0.474754,1.959208,-1.361181
10,0.426700,0,-1.249926,-0.967447,-1.196977,-1.951890,-1.128080,-0.788369,-0.791430,0.516941,-0.378574,0.728610,0.653324,-0.451139,-0.502433,-1.128954,0.200678,-1.255681
11,0.469300,0,-1.174958,-1.170131,-1.150980,-0.636958,-0.321343,1.145791,-1.166711,-0.513307,-0.665288,-1.085014,-0.370360,0.728582,0.000000,-0.607372,-1.256652,-1.161988
12,0.512000,0,-1.128145,-1.056271,-1.104963,-0.626853,-0.002101,1.072393,-1.218484,-0.238313,-0.594195,-1.023659,-0.314892,0.736624,0.334955,-0.246139,-1.244825,-1.115046
13,0.554700,0,-1.026326,-1.233011,-1.058946,0.387151,0.842296,0.336643,-0.922882,-0.680812,-0.264304,-0.378699,-1.097312,0.845771,-0.669911,0.790982,-1.723187,-1.068199
14,0.597300,0,-0.986535,-1.189669,-1.012929,0.609150,1.115790,0.754749,-1.373404,-0.990315,-0.489248,-0.751927,-1.174264,0.738897,-0.167478,1.828814,-1.077140,-1.009641
15,0.640000,0,-0.935262,-1.189947,-0.966912,0.733823,1.075384,0.413784,-1.684747,-1.083850,-0.442529,-0.448894,-0.675505,0.727022,-0.502433,1.371229,-1.409407,-0.962699
16,0.682700,0,-0.907306,-1.023616,-0.920915,0.309858,0.638202,1.177702,-0.692013,-0.549420,-0.426743,-1.111636,-1.302253,0.921340,1.842255,0.962709,-1.322041,-0.927564
17,0.725300,0,-1.025885,0.327900,-0.874898,-1.686069,-0.515754,-0.456303,1.446034,2.025188,1.653152,0.384500,2.101453,-0.523373,1.674777,-0.729323,1.864083,-0.880718
18,0.768000,0,-0.826509,-0.740470,-0.805872,-1.309614,-0.058543,-1.008560,-0.997219,0.479320,-0.168863,0.965817,2.367263,-1.430359,-0.334955,-1.503342,0.198933,-0.833775
19,0.810700,0,-0.757923,-0.902912,-0.759875,0.081125,0.559460,0.833914,-1.117323,-0.340098,-0.286681,-0.820562,0.049181,-0.859238,0.837389,-0.915273,-1.133952,-0.763506
20,0.853300,0,-0.758917,-0.608067,-0.690849,-0.076633,0.249622,2.641102,-0.881133,-0.195978,-0.630538,-2.238184,0.405911,0.620379,1.507299,-0.112099,-1.173093,-0.693140
21,0.896000,0,-0.624528,-0.943458,-0.644832,1.095781,0.423792,-0.229300,-1.145185,-1.004270,-0.386204,0.158005,-0.923192,-2.288110,0.000000,0.084872,-0.519909,-0.658006
22,0.938700,0,-0.560093,-0.836795,-0.598815,0.370009,-0.188053,1.468897,-0.652141,-0.008013,0.084903,-1.349571,-0.257483,-1.159370,-0.167478,0.455348,-1.465181,-0.599448
23,0.981300,0,-0.618345,-0.437505,-0.552818,-0.271782,-0.126994,2.347268,-1.252086,-0.171604,-0.638964,-2.025000,0.835385,0.514308,-0.167478,-0.588172,-0.913394,-0.540794
24,1.024000,0,-0.478965,-0.705984,-0.483792,0.448437,-0.097427,1.520079,-0.608846,-0.460128,-0.314254,-1.390648,0.070094,-0.944686,0.669911,-0.560440,-0.865018,-0.505659
25,1.066700,0,-0.338481,-1.202028,-0.460784,1.310938,0.437924,-1.593527,-1.154016,-0.943784,1.396439,1.634799,0.073654,-2.181497,0.000000,0.547434,-0.851959,-0.447005
26,1.109300,0,-0.379266,-0.607530,-0.391778,0.797561,0.157560,0.118048,-0.538307,-0.674589,-0.420010,-0.175914,-1.149294,0.898719,0.000000,2.857046,-0.529532,-0.388447
27,1.152000,0,-0.304696,-0.563592,-0.345761,0.503896,0.027757,0.548181,-0.112137,-0.288192,-0.151282,-0.569837,-0.881591,0.832336,0.837389,1.025641,-0.473691,-0.341601
28,1.194700,0,-0.218710,-0.694924,-0.299744,0.529586,0.235558,0.189604,0.144453,-0.221389,0.227487,-0.242885,-0.925607,0.820532,-0.669911,0.505480,-0.337711,-0.294658
29,1.237300,0,-0.184263,-0.437312,-0.253727,0.688812,-0.066303,1.460121,0.062146,0.161378,0.074486,-1.342603,-0.835460,-2.384991,-1.172344,0.663697,-0.830593,-0.247812
30,1.280000,0,-0.200095,-0.122482,-0.207729,0.227838,-0.105006,0.396110,-0.133486,0.213897,-0.280798,-0.432879,-0.107835,-0.854185,-1.339822,-0.779099,-0.275669,-0.212677
31,1.322700,0,-0.011319,-0.340581,-0.138704,0.470383,0.000289,0.447046,1.192778,1.027564,0.525934,-0.479052,-0.988717,0.811623,0.334955,0.584055,0.029822,-0.154023
32,1.365300,0,-0.025319,-0.403054,-0.092687,0.480080,0.328790,-0.974316,-0.923898,0.130451,0.222441,0.928483,1.291946,-1.057129,-0.837389,-0.532352,-0.405135,-0.083754
33,1.408000,0,0.006545,-0.442994,-0.069678,0.708228,0.972585,-1.300307,-0.941936,-0.599629,-0.112092,1.292040,0.038028,-1.008701,0.669911,0.550990,-0.524767,-0.036811
