frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,1297.45,1724.8823,3996.09,-4.3491876577,2.394843,0.181895,53.2086,0.9158,-1.0337,0.123363,0.249378,4.403037,148,0.0,427.7059,0.041143,0
1,0.0427,1284.74,1691.7153,3996.09,-4.5652837632,2.582075,0.166901,50.6655,0.9493,-0.991,0.12959,0.200923,17.572159,146,0.00192,359.5806,0.034794,0
2,0.0853,1181.8,1657.0053,3996.09,-4.5144896659,2.498568,0.151243,47.7559,1.0848,-0.682,0.136721,0.210628,9.964325,144,0.000992,357.1656,0.034184,0
3,0.128,1392.61,1730.222,3996.09,-4.2191826454,2.454595,0.164268,56.5476,0.8331,-1.1291,0.130741,0.192196,14.72097,152,0.001198,382.4578,0.037358,0
4,0.1707,1183.44,1673.3674,3996.09,-4.2148877446,2.47877,0.144559,50.2368,1.0723,-0.6978,0.139992,0.224709,5.738108,149,0.001178,388.259,0.037114,0
5,0.2133,1388.65,1726.7654,3996.09,-3.9011694546,2.546178,0.156061,59.5259,0.7994,-1.2884,0.134451,0.188472,15.358341,151,0.001111,375.079,0.033696,0
6,0.256,1191.95,1659.9838,3996.09,-4.3224720586,2.551275,0.141738,47.78,1.0452,-0.8282,0.141419,0.211003,9.367061,151,0.000943,352.6482,0.034916,0
7,0.2987,1169.94,1638.314,3996.09,-4.5640083457,2.515079,0.154981,45.0788,1.0975,-0.6663,0.134953,0.214415,21.788921,160,0.0008,303.0313,0.035161,0
8,0.3413,1180.17,1650.6473,3996.09,-4.4011915221,2.498534,0.146918,45.8376,1.0728,-0.7612,0.138821,0.207726,9.968265,156,0.000791,326.2312,0.031864,0
9,0.384,1278.55,1670.4068,3996.09,-4.1912833259,2.472821,0.165537,52.3079,0.9519,-1.0029,0.130184,0.189922,14.470802,151,0.000912,325.6487,0.031376,0
10,0.4267,1267.98,1676.994,3996.09,-4.0590775347,2.490571,0.155482,50.6334,0.9601,-0.9615,0.13472,0.195037,21.548791,145,0.000772,340.3953,0.031742,0
11,0.4693,1273.3,1676.3602,3996.09,-4.1333752141,2.483053,0.1581,49.639,0.9609,-0.9965,0.133511,0.189715,16.438912,143,0.000769,348.7899,0.030765,0
12,0.512,1266.64,1670.4705,3996.09,-4.2116674153,2.49044,0.163239,51.7591,0.9867,-0.8806,0.131196,0.190232,16.130245,133,0.000552,349.1339,0.031132,0
13,0.5547,1150.85,1619.9515,3996.09,-4.3823448464,2.396399,0.166549,46.5267,1.1412,-0.5113,0.129743,0.213394,8.898574,162,0.00097,311.6507,0.03394,0
