frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,1042.1,1644.8164,3984.38,-3.5046341904,2.162104,0.155477,50.2248,1.2415,-0.3061,0.134722,0.22204,6.850207,141,0.0,379.4612,0.021731,0
1,0.0427,789.18,1472.0849,3972.66,-3.7627974794,2.210068,0.126406,40.0242,1.7054,1.0451,0.149705,0.194181,20.47841,134,0.001751,254.1604,0.016482,0
2,0.0853,906.99,1585.087,3972.66,-3.442424792,2.554658,0.108605,23.6723,1.4411,0.1792,0.160692,0.209899,7.592788,159,0.00178,139.7267,0.023929,0
3,0.128,1486.14,1841.5975,3972.66,-3.367673089,2.786779,0.107687,24.774,0.601,-1.6257,0.161306,0.195416,16.218206,145,0.001963,166.7768,0.029423,0
4,0.1707,799.61,1481.1756,3949.22,-4.0262333669,2.239388,0.105368,29.7448,1.7093,1.159,0.162882,0.168866,9.954251,153,0.002221,219.4212,0.018313,0
5,0.2133,500.99,1167.869,140.62,-3.7453398949,1.96433,0.108101,26.4434,2.5818,4.7563,0.161029,0.158617,15.662613,151,0.001367,196.025,0.007691,0
6,0.256,664.79,1344.4421,832.03,-3.2482934888,2.226197,0.123503,25.3272,2.0102,2.0811,0.151387,0.148704,19.247941,169,0.001631,152.9334,0.010011,0
7,0.2987,797.08,1466.3009,3925.78,-2.099882896,2.541465,0.11176,20.5155,1.6688,0.797,0.158619,0.149888,21.968276,158,0.001605,88.3172,0.012209,0
8,0.3413,625.15,1306.8531,246.09,-1.9092744696,2.444119,0.112394,18.8316,2.1246,2.5301,0.158209,0.139871,20.436421,144,0.001949,99.7419,0.011354,0
9,0.384,871.08,1511.5045,3914.06,-1.4790596365,2.764243,0.121411,17.8782,1.5176,0.311,0.152624,0.138722,15.660736,141,0.002179,98.1766,0.011842,0
10,0.4267,800.73,1457.8621,3902.34,-1.1922959112,2.712726,0.124308,17.4075,1.6633,0.7751,0.150917,0.139899,16.214319,150,0.001969,90.3641,0.010866,0
11,0.4693,603.74,1264.0772,234.38,-2.283047188,2.44935,0.143271,17.9825,2.2214,2.9517,0.14064,0.135775,16.882336,141,0.002249,100.6581,0.009767,0
12,0.512,622.51,1284.7061,480.47,-3.8609264798,2.238418,0.129032,22.4968,2.1372,2.616,0.148217,0.175584,9.295268,142,0.003061,111.5209,0.010133,0
13,0.5547,589.06,1240.2003,328.12,-3.2338913252,2.158851,0.127858,22.6282,2.2668,3.1882,0.148879,0.158332,10.455205,169,0.001016,133.9705,0.008912,0
14,0.5973,796.32,1432.1405,3867.19,-3.6905177023,2.347828,0.12862,28.1295,1.6942,0.9824,0.148448,0.167429,11.031206,153,0.001721,175.0783,0.015261,0
15,0.64,884.77,1511.9878,3867.19,-3.8730625077,2.448548,0.108597,24.4108,1.4715,0.2401,0.160697,0.209224,14.891719,161,0.001156,164.2361,0.019045,0
16,0.6827,635.06,1280.2657,550.78,-4.0023318846,2.162605,0.119639,26.0655,2.1051,2.4861,0.153688,0.166761,11.103913,143,0.001245,111.2355,0.012575,0
17,0.7253,743.5,1389.4579,3832.03,-4.1400083845,2.342412,0.108304,22.8454,1.7672,1.1732,0.160892,0.188666,7.503907,168,0.001737,174.9066,0.012575,0
18,0.768,676.39,1317.6932,1007.81,-3.2010733552,2.338015,0.118305,21.5321,1.9718,1.9237,0.1545,0.163051,15.46433,152,0.001842,129.5381,0.01404,0
19,0.8107,870.88,1493.2324,3832.03,-2.5944044145,2.638172,0.113961,17.3608,1.4748,0.1901,0.157207,0.18885,17.90108,161,0.001885,94.3144,0.016359,0
20,0.8533,859.92,1492.2046,3820.31,-3.3948760389,2.516596,0.104755,20.2867,1.5007,0.3602,0.163305,0.222831,16.101322,153,0.002421,160.5096,0.029056,0
21,0.896,1205.3,1677.4322,3808.59,-4.9757418707,2.538069,0.104101,31.1599,0.9269,-1.0242,0.163757,0.244906,12.424065,161,0.002568,258.1723,0.037724,0
22,0.9387,959.83,1541.9877,3796.88,-3.5686725472,2.612095,0.101068,19.6562,1.2922,-0.3061,0.165898,0.218757,15.07051,149,0.002118,144.0692,0.029423,0
23,0.9813,938.15,1530.625,3796.88,-3.2781704996,2.702556,0.104937,16.0104,1.3282,-0.2192,0.163179,0.209955,15.695858,164,0.001746,150.1704,0.021731,0
24,1.024,686.23,1334.4942,3761.72,-2.8723778861,2.524325,0.105269,16.9994,1.8818,1.5748,0.16295,0.201236,19.259246,161,0.002677,116.397,0.020144,0
25,1.0667,827.5,1435.7893,3773.44,-2.5481663598,2.597135,0.117173,17.7416,1.5642,0.4646,0.155195,0.180932,17.647293,156,0.002189,111.6561,0.016237,0
26,1.1093,819.42,1409.8435,3761.72,-2.7926314827,2.570069,0.122392,20.6568,1.6085,0.6077,0.152041,0.155877,13.452652,152,0.001944,140.0574,0.01465,0
27,1.152,791.45,1382.6199,3750.0,-3.0610562354,2.57037,0.12287,19.3364,1.6727,0.8265,0.151759,0.163824,10.787216,151,0.001714,150.9557,0.015993,0
28,1.1947,771.11,1381.2374,3738.28,-3.6529705297,2.504903,0.114929,21.4771,1.6823,0.8647,0.156595,0.199944,17.601744,137,0.002295,138.7648,0.020388,0
29,1.2373,1097.94,1590.0542,3750.0,-3.2492347476,2.597102,0.115938,27.8273,1.0773,-0.7416,0.155962,0.209207,8.113898,148,0.001826,148.2277,0.02637,0
30,1.28,1066.6,1583.4436,3738.28,-3.4268809866,2.664539,0.106188,18.2561,1.0887,-0.7952,0.162321,0.229319,15.542568,158,0.001709,169.1052,0.024417,0
31,1.3227,959.25,1495.4745,3726.56,-3.547294137,2.50198,0.117426,24.2505,1.3141,-0.2119,0.15504,0.183979,16.086355,155,0.001754,167.2166,0.022586,0
32,1.3653,1095.04,1565.0802,3726.56,-3.5937937233,2.461242,0.116429,28.9031,1.0951,-0.6807,0.155656,0.20763,9.161312,132,0.001484,186.9432,0.020022,0
33,1.408,926.4,1605.0226,3703.12,-4.4104832754,2.12103,0.12698,42.5674,2.8766,28.216,0.149377,0.238259,-9.881693,148,0.002306,289.1495,0.027591,0
34,1.4507,1339.36,1698.7191,3703.12,-4.6980108054,2.666536,0.099881,28.4586,0.7503,-1.1073,0.166753,0.258539,15.911344,169,0.001873,267.2675,0.04566,0
35,1.4933,1117.95,1610.8216,3691.41,-4.4633978065,2.781526,0.084834,21.599,0.9725,-0.9903,0.178571,0.257191,14.873659,150,0.002125,226.9543,0.045172,0
36,1.536,1214.98,1652.0299,3691.41,-4.828509941,2.610203,0.096497,28.9602,0.9177,-0.8946,0.169248,0.262046,14.372285,148,0.001658,325.0436,0.037969,0
