frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,355.31,435.1841,679.69,-6.4232988511,1.277107,0.209363,29.7318,1.4787,1.5468,0.113184,0.233226,7.942025,26,0.0,152.1753,0.008912,0
1,0.0427,488.41,647.1735,1312.5,-6.9403129319,1.409989,0.154304,35.407,2.8811,16.2021,0.13527,0.293422,12.791812,24,0.00204,262.5484,0.013063,0
2,0.0853,581.8,820.1186,1324.22,-6.0393011461,1.59695,0.128847,38.7082,3.7563,25.4542,0.148321,0.311215,-1.020541,30,0.001272,342.6271,0.017702,0
3,0.128,422.63,529.8746,1312.5,-5.8856069069,1.763327,0.121788,23.524,1.3376,1.8557,0.152399,0.28338,17.496005,31,0.001521,206.2608,0.014406,0
4,0.1707,450.8,550.5914,1312.5,-5.9015671545,1.815561,0.107801,22.4804,1.2905,1.6107,0.16123,0.288572,18.195272,37,0.000805,192.174,0.014894,0
5,0.2133,704.28,738.8069,1324.22,-5.1140597534,1.807477,0.108253,36.2191,3.2715,22.5619,0.160927,0.284423,8.305588,27,0.001728,350.9982,0.017702,0
6,0.256,602.69,824.2549,1324.22,-4.8695412638,1.820014,0.108204,39.1821,3.4694,22.3854,0.16096,0.308352,15.274607,39,0.001461,391.4357,0.019045,0
7,0.2987,765.19,973.445,1324.22,-4.7627976461,1.806839,0.127336,45.9351,3.6083,20.4425,0.149175,0.301281,18.128619,23,0.001115,436.8948,0.020266,0
8,0.3413,662.13,668.7344,1324.22,-5.2940142613,1.953121,0.105476,29.9578,1.9221,10.979,0.162808,0.292654,3.721156,33,0.000955,301.4388,0.020022,0
9,0.384,699.42,579.8305,1324.22,-5.4927643999,2.051968,0.109504,21.6557,0.5244,-0.5097,0.160095,0.281763,15.286662,34,0.001202,200.3993,0.022097,0
10,0.4267,792.57,557.9996,1324.22,-4.4030297828,1.974365,0.122759,24.2631,0.2963,-0.7409,0.151825,0.253554,13.424085,32,0.000788,154.2709,0.024295,0
11,0.4693,612.78,611.7128,1324.22,-5.091911302,1.915143,0.089118,21.2618,0.7447,-0.0849,0.175005,0.306589,18.566176,33,0.001741,225.6306,0.022097,0
12,0.512,635.46,657.4495,1324.22,-4.8594861277,1.927771,0.090908,25.5558,1.2396,4.1286,0.173566,0.302732,20.59494,42,0.000796,279.8626,0.019656,0
13,0.5547,704.58,609.9041,1324.22,-4.5685943951,1.981482,0.100691,20.2319,0.4692,-0.6586,0.166168,0.289692,18.522575,32,0.001146,199.6849,0.021853,0
14,0.5973,706.8,613.1043,1324.22,-4.5323050196,2.041138,0.105528,19.9058,0.4818,-0.5703,0.162772,0.290319,17.649937,37,0.000513,189.882,0.022097,0
15,0.64,689.3,623.8868,1324.22,-4.2243468302,1.958912,0.101343,18.7799,0.5634,-0.3103,0.165701,0.293128,19.935977,32,0.001066,199.8199,0.022952,0
16,0.6827,831.75,596.3187,1324.22,-3.5171602703,2.092888,0.119513,20.2483,0.2699,-0.5547,0.153764,0.253782,11.777171,32,0.0013,164.4871,0.026615,0
17,0.7253,905.78,574.2485,1324.22,-2.0957315333,2.151081,0.115617,21.122,0.1675,-0.5546,0.156163,0.237107,14.63419,24,0.000646,157.1399,0.027469,0
18,0.768,834.45,609.8327,1324.22,-3.3653377855,2.018818,0.121177,20.6259,0.2975,-0.4965,0.152763,0.254483,11.015687,35,0.000766,161.2792,0.027469,0
19,0.8107,821.43,623.2045,1324.22,-3.1517509998,2.043807,0.112458,21.0441,0.3417,-0.3506,0.158169,0.263803,19.403212,35,0.000938,162.8848,0.027591,0
20,0.8533,849.14,619.2249,1324.22,-2.679825106,2.152717,0.12542,19.0812,0.3089,-0.3072,0.150272,0.253923,18.445699,38,0.00053,151.4101,0.027469,0
21,0.896,835.15,628.9897,1324.22,-3.0213211966,2.181471,0.120865,18.726,0.3358,-0.3409,0.15295,0.258836,17.638179,28,0.000737,142.0258,0.027469,0
22,0.9387,887.84,624.3476,1324.22,-2.2454313649,2.120031,0.127113,19.0842,0.3388,0.0711,0.149302,0.246509,19.606377,39,0.00077,156.0351,0.027469,0
23,0.9813,954.53,603.3319,1324.22,-1.6647385199,2.103776,0.132589,19.8781,0.2944,0.2881,0.146249,0.22846,15.264045,24,0.000737,136.8892,0.027469,0
24,1.024,840.65,649.8272,1324.22,-2.1520391517,2.180472,0.124745,16.8257,0.4066,-0.0267,0.150663,0.260056,8.654841,25,0.001038,141.4869,0.027469,0
25,1.0667,887.61,636.7466,1324.22,-2.2924060548,2.138816,0.125134,20.4187,0.3494,0.0401,0.150437,0.24599,18.234336,32,0.000821,125.5138,0.027469,0
26,1.1093,935.73,628.0229,1324.22,-1.5532948251,2.093254,0.141931,19.2453,0.3672,0.3455,0.141321,0.234248,13.737262,35,0.000657,131.0816,0.027591,0
27,1.152,889.75,649.0269,1324.22,-2.1969190471,2.127999,0.127541,19.5045,0.3813,0.1229,0.149058,0.248382,18.873223,31,0.00076,150.0463,0.027469,0
28,1.1947,861.78,665.6131,1324.22,-2.091355796,2.082428,0.129678,16.7943,0.4683,0.3038,0.147855,0.258985,18.711094,33,0.000635,167.5514,0.027469,0
29,1.2373,990.44,625.1078,1324.22,-1.6211587111,2.068597,0.135174,21.1007,0.4263,0.9164,0.144851,0.223202,16.100517,36,0.001189,158.047,0.027469,0
30,1.28,1006.2,616.8502,1324.22,-1.2938582472,2.030033,0.143436,19.841,0.3935,0.7265,0.140557,0.219509,19.169708,27,0.000557,136.2621,0.027591,0
31,1.3227,950.87,650.4064,1324.22,-1.6593168753,2.059715,0.128962,19.9858,0.4235,0.6665,0.148256,0.23566,19.675203,41,0.000839,154.8394,0.027469,0
32,1.3653,1012.52,628.5656,1335.94,-1.4928582438,2.045632,0.126684,21.6794,0.4495,1.0834,0.149546,0.221409,18.986335,33,0.000838,181.1708,0.027469,0
33,1.408,955.16,658.7224,1324.22,-1.2919620645,2.109725,0.137067,19.0507,0.4745,0.8562,0.143844,0.236769,19.721491,45,0.000815,135.2647,0.027469,0
34,1.4507,948.41,666.9152,1324.22,-1.9092824966,2.079711,0.131837,21.1044,0.5077,0.8837,0.14666,0.23987,18.917367,28,0.000689,152.2519,0.027469,0
