frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,-3.371441,-2.092903,-2.683788,-3.981232,-3.149527,2.826628,2.142741,-0.944573,-1.651475,-2.339749,-0.123365,-2.299815,-2.244943,-1.085968,-1.338478,-4.760963
1,0.042700,0,-2.836287,-1.456840,-1.211675,-4.359085,-2.361299,0.120051,3.666918,0.727259,1.722955,-0.180850,2.265989,-1.070859,-2.609962,0.701113,1.264228,-3.622846
2,0.085300,0,-2.460795,-0.937928,-1.184411,-3.700592,-1.252285,-1.131358,4.553515,1.770605,3.853281,1.094881,2.972244,-4.570966,-1.514906,0.028330,3.152563,-2.350930
3,0.128000,0,-3.100768,-1.808789,-1.211675,-3.588267,-0.265372,-1.478363,0.475524,-1.112781,-1.580349,1.493504,1.867393,0.121203,-1.332396,0.246459,-0.063089,-3.254624
4,0.170700,0,-2.987505,-1.746630,-1.211675,-3.599931,0.044470,-2.165932,0.195246,-1.168930,-1.636761,2.356731,2.073478,0.298400,-0.237340,-0.380772,-0.395269,-3.120825
5,0.213300,0,-1.968342,-1.181900,-1.184411,-3.024391,-0.003483,-2.143713,3.885022,1.192664,3.187320,2.327113,1.908792,-2.207687,-2.062434,0.427795,3.349962,-2.350930
6,0.256000,0,-2.376803,-0.925518,-1.184411,-2.845688,0.070884,-2.146122,4.680789,1.428585,3.146680,2.330339,2.858604,-0.441708,0.127678,0.193898,4.303518,-1.982708
7,0.298700,0,-1.723441,-0.477881,-1.184411,-2.767676,-0.007267,-1.205635,6.494429,1.594171,2.699321,1.178359,2.577935,0.281510,-2.792471,-0.109206,5.375488,-1.647936
8,0.341300,0,-2.137814,-1.392148,-1.184411,-3.155909,0.860447,-2.280224,2.203437,-0.415986,0.520320,2.510980,2.235505,-3.369401,-0.967378,-0.249369,2.181302,-1.714835
9,0.384000,0,-1.987882,-1.658899,-1.184411,-3.301163,1.446787,-2.082217,-0.026242,-2.082215,-2.124990,2.245785,1.803209,-0.438654,-0.784868,-0.032992,-0.201309,-1.145914
10,0.426700,0,-1.613355,-1.724402,-1.184411,-2.504744,0.986462,-1.430630,0.674023,-2.354138,-2.178225,1.437396,0.683512,-0.910638,-1.149887,-0.395664,-1.289062,-0.543269
11,0.469300,0,-2.336234,-1.563238,-1.184411,-3.008204,0.635169,-3.084347,-0.132031,-1.819590,-2.027179,3.703232,2.788625,0.392389,-0.967378,0.439183,0.393670,-1.145914
12,0.512000,0,-2.245045,-1.426008,-1.184411,-2.838339,0.710076,-2.996354,1.021201,-1.229609,-1.057007,3.562571,2.635530,0.906486,0.675206,-0.388656,1.672514,-1.815185
13,0.554700,0,-1.967135,-1.568665,-1.184411,-2.625745,1.028678,-2.515444,-0.408629,-2.148020,-2.159275,2.839419,2.117934,0.381340,-1.149887,-0.082049,-0.218155,-1.212814
14,0.597300,0,-1.958209,-1.559063,-1.184411,-2.599223,1.382545,-2.277668,-0.496209,-2.132999,-2.138944,2.507461,2.142822,0.160210,-0.237340,-0.636570,-0.449317,-1.145914
15,0.640000,0,-2.028571,-1.526711,-1.184411,-2.374156,0.894798,-2.483393,-0.798590,-2.035722,-2.079078,2.793770,2.254319,0.739502,-1.149887,-0.152131,-0.214972,-0.911491
16,0.682700,0,-1.455824,-1.609427,-1.184411,-1.857318,1.689516,-1.590197,-0.404224,-2.385610,-2.135352,1.626932,0.692562,-1.327973,-1.149887,0.052858,-1.048154,0.092827
17,0.725300,0,-1.158173,-1.675648,-1.184411,-0.818485,2.034704,-1.781715,-0.169576,-2.507683,-2.135329,1.861434,0.030683,-0.603993,-2.609962,-0.520059,-1.221408,0.326975
18,0.768000,0,-1.444969,-1.568879,-1.184411,-1.746360,1.250148,-1.508398,-0.302813,-2.352707,-2.121951,1.529085,0.720387,-1.520936,-0.602359,-0.414937,-1.123799,0.326975
19,0.810700,0,-1.497318,-1.528758,-1.184411,-1.590263,1.398377,-1.937005,-0.190498,-2.300016,-2.088357,2.057519,1.090325,0.604497,-0.602359,-0.264261,-1.085938,0.360425
20,0.853300,0,-1.385905,-1.540699,-1.184411,-1.245362,2.044409,-1.299822,-0.717670,-2.339117,-2.078364,1.285590,0.698159,0.361859,-0.054831,-0.621678,-1.356522,0.326975
21,0.896000,0,-1.442154,-1.511400,-1.184411,-1.494940,2.214972,-1.523735,-0.813065,-2.307049,-2.086124,1.547364,0.893170,0.157230,-1.879924,-0.440341,-1.577813,0.326975
22,0.938700,0,-1.230304,-1.525328,-1.184411,-0.927891,1.850522,-1.216598,-0.716864,-2.303473,-1.991259,1.190773,0.403876,0.655980,0.127678,-0.411433,-1.247460,0.326975
