frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,0.091879,1.240679,0.871155,-1.301708,-4.923590,2.427208,3.605657,0.515120,-0.049239,-2.042036,2.059484,-1.205182,-2.148131,-1.953541,4.070983,-0.844938
1,0.042700,0,0.417984,1.321239,0.871155,0.000279,-3.758234,1.640063,1.986461,0.475899,-0.043548,-1.475998,0.879433,0.183512,0.999759,5.304915,3.765262,0.381480
2,0.085300,0,1.035016,1.391458,0.898497,0.158765,-2.944521,1.738063,1.729035,0.400873,-0.189444,-1.549518,-0.422110,0.778384,0.212787,3.042474,1.533246,0.426875
3,0.128000,0,0.254103,1.251095,0.871155,0.306591,-1.910020,0.077596,0.154700,0.554341,0.065024,-0.157308,1.042893,0.387326,-0.574186,2.632937,0.915672,0.699619
4,0.170700,0,-0.221269,1.153630,0.871155,0.446785,-1.084468,-0.535456,-1.303919,0.659479,0.240177,0.454419,1.235537,0.787967,0.999759,2.000319,0.503979,0.290689
5,0.213300,0,-0.576904,1.028956,-1.126334,0.013415,-0.347166,-0.534327,-1.638467,0.801054,0.471301,0.453212,0.757058,0.100057,0.016043,2.125178,0.772129,-2.071356
6,0.256000,0,-0.739166,0.971253,-1.126334,0.326303,-1.020769,-0.617035,-1.718867,0.840528,0.545092,0.540889,1.211692,0.590670,1.786731,0.616884,0.360001,-2.071356
7,0.298700,0,-0.154903,1.140011,0.871155,0.256332,-0.610117,-0.426483,-1.751097,0.648219,0.236309,0.340841,0.981840,1.273534,3.557419,2.273344,0.424421,0.109108
8,0.341300,0,0.504652,1.269154,0.871155,0.536335,-0.575040,0.106605,-0.739466,0.510059,-0.001169,-0.184737,0.855587,0.821755,-0.967672,2.711182,-0.151871,0.518038
9,0.384000,0,0.341637,1.231507,0.871155,0.576924,-0.380624,-0.291163,-0.810511,0.538273,0.055355,0.202891,0.960913,0.338379,1.393245,0.483702,0.315025,0.426875
10,0.426700,0,0.085740,1.177651,0.871155,0.361848,-0.768849,0.022000,-1.376078,0.583314,0.141826,-0.104380,1.393084,0.739284,0.999759,0.215672,0.152329,0.608829
11,0.469300,0,0.027321,1.161564,0.871155,0.251630,-0.648297,0.091233,-1.491349,0.602672,0.173486,-0.170178,1.464889,0.331358,1.983475,-0.854784,0.369005,0.472643
12,0.512000,0,0.621075,1.257272,0.898497,0.475189,-0.710333,0.568079,-0.798294,0.505125,-0.008766,-0.604298,0.617135,0.619361,0.803016,1.014768,-0.039765,0.290689
13,0.554700,0,1.392910,1.301392,0.898497,0.629632,-1.581822,1.104596,0.318682,0.506643,-0.110902,-1.056839,-0.866569,0.807788,1.786731,1.231190,0.744160,0.290689
