frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,-1.632258,-1.412611,-1.384282,-4.048527,-1.310179,1.167472,0.199494,2.411824,2.286990,-1.131858,-0.097646,-2.091396,-1.982322,-3.221163,-1.432039,-1.536552
1,0.042700,0,-1.561893,-1.349538,-1.384282,-3.406026,-1.217988,0.593182,1.895012,2.861831,3.000252,-0.643104,-0.201142,-2.250998,-3.085541,2.229226,-1.242743,-1.069641
2,0.085300,0,-1.472862,-1.274124,-1.384282,-3.194654,-1.591381,0.085290,3.828548,8.045278,9.908565,-0.171839,-0.438517,-0.994125,-1.614582,0.517933,-1.020472,-0.941251
3,0.128000,0,-1.490430,-1.349461,-1.384282,-2.931950,-1.358400,-1.030306,3.162895,4.154797,3.579979,1.029566,-0.403154,-0.886878,-2.533931,-0.270657,-0.686663,-1.069641
4,0.170700,0,-1.676403,-1.356259,-1.384282,-2.836971,-1.230657,-2.180246,0.733884,3.676906,3.230707,2.619627,0.092250,-2.594312,-2.717801,1.161680,-0.738669,-1.349749
5,0.213300,0,-1.591590,-1.390543,-1.384282,-2.670549,-1.197105,-1.818958,0.669990,2.408821,2.200121,2.069357,-0.205326,0.540665,-1.614582,-0.635447,-0.878772,-1.454814
6,0.256000,0,-1.665633,-1.379113,-1.384282,-2.981163,-1.260109,-2.239417,-0.152085,2.391233,2.018588,2.715199,0.027715,-0.277694,-0.327493,-0.552296,-0.832533,-1.326423
7,0.298700,0,-1.523944,-1.412282,-1.384282,-2.844193,-1.247265,-1.615007,0.787243,0.833153,0.916107,1.781259,-0.257424,-1.040692,0.775725,0.045852,-1.029973,-1.151379
8,0.341300,0,-1.579894,-1.400646,-1.384282,-2.585817,-1.280806,-1.543779,-0.591630,0.982011,1.133383,1.683999,0.043049,-1.703087,-1.614582,-0.815159,-1.350007,-0.964577
9,0.384000,0,-1.595144,-1.384263,-1.384282,-2.627168,-1.290404,-1.745513,-0.445598,0.944690,1.076205,1.963890,0.032826,-2.123857,-1.246843,-0.892945,-1.317769,-1.151379
