frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,1.978005,1.935843,1.792606,-0.648417,-1.898427,5.185589,6.581219,-1.364132,-1.074843,-3.721984,0.831948,-0.507703,-0.901975,-1.731899,2.776794,1.100560
1,0.042700,0,1.538578,1.888046,1.646555,-0.141932,-1.341101,1.773165,5.528247,-0.485128,-0.876880,-1.605746,0.246246,0.662879,0.713261,3.970933,3.203744,0.741094
2,0.085300,0,1.523388,1.909657,1.638440,0.581310,-1.507199,1.480934,4.121871,-0.353599,-0.860458,-1.381709,-0.048938,-1.143751,-0.004622,1.717347,2.065018,0.321676
3,0.128000,0,1.317007,1.945970,1.638440,0.652505,-1.903124,1.604219,2.279512,-0.158366,-0.839987,-1.477311,-0.029823,0.654569,-0.363563,1.041858,1.640285,0.361590
4,0.170700,0,1.288312,1.946310,1.638440,0.729562,-2.011348,1.569699,1.750624,-0.151034,-0.840512,-1.450746,0.015119,-1.633274,-0.004622,-0.338427,1.667767,0.431520
5,0.213300,0,1.415324,1.912229,1.638440,0.848444,-2.065980,1.741203,1.616290,-0.382929,-0.887303,-1.581688,-0.045970,0.129515,0.713261,0.203723,1.158981,0.341633
6,0.256000,0,1.406650,1.898897,1.638440,0.744841,-2.048101,2.016850,0.963628,-0.449840,-0.892777,-1.786056,0.045680,0.636197,0.354320,-0.411691,0.779629,0.431520
7,0.298700,0,1.425599,1.850327,1.638440,1.112171,-2.014545,1.757312,1.172997,-0.459922,-0.877330,-1.593835,0.103140,0.891820,0.174849,-0.561148,1.039189,0.691120
8,0.341300,0,1.369652,1.821695,1.630325,0.901861,-2.029056,1.936778,0.668479,-0.413176,-0.855209,-1.727441,0.270507,1.278889,1.251673,0.139251,1.184513,0.461455
9,0.384000,0,1.264547,1.797358,1.630325,0.746424,-1.987781,1.800526,0.680037,-0.258274,-0.813592,-1.626276,0.460617,-1.525263,-0.004622,-0.395573,1.121420,0.411563
10,0.426700,0,1.273179,1.750546,1.630325,0.725830,-1.970400,1.722025,0.587293,-0.268815,-0.803844,-1.567192,0.497280,1.188948,0.354320,0.328271,1.488169,0.631250
11,0.469300,0,1.289155,1.711793,1.630325,0.803752,-1.823514,1.663286,0.578776,-0.288063,-0.795446,-1.522525,0.613899,-1.458794,-0.184092,0.112876,1.107962,0.651207
12,0.512000,0,1.138193,1.699782,1.622218,0.829483,-1.764212,1.116010,0.288639,-0.125828,-0.751129,-1.088950,0.697780,0.404907,0.533790,-0.014602,0.756255,0.681142
13,0.554700,0,1.268220,1.647943,1.622218,0.757349,-1.675401,1.641515,0.201327,-0.267898,-0.766051,-1.505913,0.830348,0.522237,0.533790,-0.161129,0.976198,0.711077
14,0.597300,0,1.471285,1.563316,1.630325,0.897562,-1.591399,1.929400,0.282396,-0.458547,-0.788097,-1.722034,0.725471,-0.277027,0.174849,-0.095192,0.805446,0.980738
15,0.640000,0,1.164372,1.606689,1.338230,0.838560,-1.630465,0.951483,-0.061980,-0.203279,-0.737781,-0.951816,0.948468,-2.035969,0.713261,0.313618,0.944462,1.090581
16,0.682700,0,1.323895,1.540710,1.605988,0.896622,-1.530073,1.631324,-0.091038,-0.343974,-0.745580,-1.498155,1.154081,0.952571,-0.543033,0.323875,0.643700,1.130495
17,0.725300,0,1.363379,1.501444,1.338230,0.645418,-1.554912,1.564549,-0.181577,-0.365514,-0.741381,-1.446749,1.206758,-0.681653,-0.901975,-0.251976,1.091943,1.150451
18,0.768000,0,1.108583,1.531316,1.330116,0.356600,-1.374367,1.318636,-0.677113,-0.160658,-0.703138,-1.253353,1.393933,0.144638,1.790085,0.155369,0.814323,1.010673
19,0.810700,0,1.149082,1.494610,1.330116,0.510223,-1.293277,0.882407,-0.580378,-0.208320,-0.700139,-0.893280,1.641635,-1.546432,0.713261,-0.098123,0.948599,1.370138
20,0.853300,0,1.117114,1.476390,1.330116,0.435857,-1.080407,0.665206,-0.697630,-0.190447,-0.689940,-0.705055,1.780074,-1.531134,0.892732,-0.761890,0.825303,1.539852
21,0.896000,0,1.139307,1.448686,1.322001,0.627571,-1.040082,0.022735,-0.510170,-0.233526,-0.688141,-0.108722,1.751905,0.162058,1.431143,-0.142081,0.880027,1.539852
22,0.938700,0,1.320122,1.378688,1.330116,0.448131,-0.926775,0.600806,-0.705057,-0.388887,-0.702913,-0.648008,1.710079,-0.782214,0.533790,0.458680,1.055992,1.679713
23,0.981300,0,1.249071,1.369364,1.322001,0.418578,-0.825902,-0.005319,-0.555010,-0.354973,-0.693165,-0.081217,1.813125,0.239153,1.072202,0.087967,1.260457,1.779496
24,1.024000,0,1.365165,1.313061,1.330116,0.637339,-0.744980,0.140395,-0.712832,-0.441132,-0.697439,-0.222738,1.734818,-0.370289,-0.004622,-0.115706,1.036289,1.909378
25,1.066700,0,1.223534,1.338351,1.322001,0.182095,-0.593357,-0.256200,-1.003084,-0.371930,-0.681917,0.171030,1.926693,-0.017244,0.354320,0.049870,1.360706,1.799534
26,1.109300,0,1.437246,1.246347,1.322001,0.509313,-0.511582,-0.334591,-0.926889,-0.512626,-0.694590,0.252291,1.703482,0.413875,1.610614,-0.096658,1.298997,1.779496
27,1.152000,0,1.369481,1.257605,1.322001,0.318547,-0.190668,-0.145115,-0.907695,-0.523166,-0.694665,0.057954,1.769057,0.029722,1.790085,-0.506933,1.254803,1.829469
28,1.194700,0,1.205671,1.299566,1.313886,0.361334,-0.293181,-0.367723,-0.894304,-0.481462,-0.694665,0.286927,1.908650,-1.329752,-0.722504,-0.084935,1.012435,1.819491
29,1.237300,0,1.426871,1.210289,1.322001,0.565425,-0.008242,-0.126705,-0.663397,-0.638656,-0.704488,0.039460,1.693752,-0.255168,0.354320,-0.038047,1.335449,1.739583
