frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,-2.829133,-0.624187,-1.438842,-4.107107,-3.080519,-1.271012,3.277967,2.533710,4.491923,1.269440,6.352123,-5.699375,-2.485189,-2.579059,5.249603,-7.731717
1,0.042700,0,-2.894509,-1.049258,-1.438842,-3.817458,-2.380153,-1.051525,3.187656,0.899899,2.281075,1.025214,3.801516,-1.187977,-0.416923,3.503631,3.523105,-2.485557
2,0.085300,0,-1.840787,-1.544517,-1.438842,-2.856956,-1.098080,0.916930,4.430879,-1.839866,-1.395154,-0.900669,0.405904,-1.567183,-0.980996,3.389699,1.323585,-0.986983
3,0.128000,0,-1.850557,-1.665921,-1.438842,-2.351554,0.316525,-0.277934,2.537922,-2.310105,-1.983158,0.215979,0.820411,0.003305,0.711222,1.484507,-0.839741,0.137139
4,0.170700,0,-1.721483,-1.650649,-1.438842,-1.695682,1.327904,-1.119979,1.006671,-2.351795,-1.963130,1.100706,0.501734,0.128552,0.147149,0.968649,-1.187330,0.230752
5,0.213300,0,-1.760132,-1.583715,-1.438842,-1.529606,2.259430,-1.557556,1.398440,-2.284236,-1.931406,1.599216,0.832494,0.177841,-0.792971,0.848388,-0.979610,0.230752
6,0.256000,0,-1.515714,-1.594294,-1.438842,-1.419002,1.757207,-1.514340,1.536001,-2.280495,-1.865586,1.548572,0.363193,0.386562,-0.980996,0.497098,-0.889592,0.137139
7,0.298700,0,-1.291395,-1.591388,-1.438842,-1.094325,1.989778,-1.338795,1.074620,-2.159274,-1.726892,1.346352,-0.154561,-0.271005,-3.049261,1.016121,0.283130,0.137139
8,0.341300,0,-1.000839,-1.643301,-1.410028,-0.392864,1.735698,-1.620593,1.018992,-2.077391,-1.602225,1.673525,-0.496647,0.285575,-1.357044,0.066690,-1.105614,0.230752
9,0.384000,0,-1.327289,-1.471438,-1.438842,-0.934684,1.332836,-1.429415,0.094260,-2.053018,-1.672129,1.450124,0.030719,-0.867021,-0.228899,0.686985,-0.711184,0.137139
10,0.426700,0,-1.009877,-1.477085,-1.410028,-0.365045,1.803831,-1.143597,-0.250351,-1.781180,-1.310275,1.126856,-0.475790,-0.153286,2.403439,-0.006100,-1.212183,0.137139
11,0.469300,0,-1.263075,-1.331585,-1.410028,-0.829528,1.740643,-2.096027,0.093767,-1.671397,-1.228057,2.255336,0.194942,-1.257902,-1.169020,0.724962,-0.087286,0.137139
12,0.512000,0,-1.097375,-1.299277,-1.410028,-0.432541,1.732417,-1.965038,0.157126,-1.426496,-0.901001,2.091099,-0.058731,-1.028734,-0.228899,0.604701,-1.018322,0.137139
13,0.554700,0,-1.122381,-1.213579,-1.410028,-0.387689,2.030147,-1.841867,-0.418005,-1.301320,-0.811130,1.939405,0.198531,-1.400913,-1.169020,-0.164339,0.191222,0.137139
14,0.597300,0,-1.214140,-1.119748,-1.410028,-0.597229,0.388529,-2.005742,-0.127328,-1.114571,-0.654409,2.141861,0.506001,0.394963,-0.416923,0.259741,-0.255384,0.137139
15,0.640000,0,-0.539290,-1.214069,-1.410028,0.056787,0.968498,-1.335110,-0.117842,-0.627229,-0.001059,1.342211,-0.670361,0.589673,0.335174,1.854785,-0.470318,0.230752
16,0.682700,0,-0.913987,-1.035652,-1.410028,-0.257610,1.149054,-0.933937,-0.671597,-0.780198,-0.298125,0.897184,0.003521,0.437645,1.839367,0.690149,-0.907071,0.230752
17,0.725300,0,-0.605828,-1.049768,-1.410028,0.289814,0.260771,-1.182346,-0.516417,-0.571215,-0.047201,1.169927,-0.396669,-0.604406,-1.169020,0.386331,-1.125748,0.137139
18,0.768000,0,-0.341741,-1.015683,-1.410028,0.201344,0.875675,-0.975032,0.498380,-0.042717,0.636119,0.941675,-0.754188,0.244628,1.087270,0.433803,-0.342347,0.137139
19,0.810700,0,-0.319533,-0.878290,-1.410028,-0.035180,0.550100,-0.875087,0.411057,0.177918,0.887661,0.833880,-0.693770,0.625243,0.523198,-0.923884,-0.643641,0.230752
20,0.853300,0,-0.434102,-0.767135,-1.410028,0.349489,0.547339,-1.020704,0.146531,0.105549,0.723762,0.991491,-0.375174,0.678379,-0.228899,0.076184,-0.650922,0.137139
21,0.896000,0,-0.103520,-0.762026,-1.352402,0.189417,0.300513,0.114863,-0.186961,0.442915,1.052406,-0.167399,-0.797377,0.667418,0.147149,-0.053572,-0.262428,0.137139
22,0.938700,0,-0.077224,-0.681681,-1.294799,0.278674,-0.614015,0.139096,-0.103272,0.461943,0.984854,-0.190473,-0.747847,0.396981,1.275294,-0.702350,-0.866250,0.137139
23,0.981300,0,-0.077955,-0.604865,0.635501,0.286090,0.230353,0.106209,0.040788,0.466433,0.929657,-0.159117,-0.704937,0.635079,0.147149,-0.958696,-0.202536,0.137139
24,1.024000,0,0.060027,-0.552870,0.693127,0.587108,0.736705,-0.115120,-0.604356,0.571940,0.986463,0.055054,-0.771017,0.344116,0.147149,-1.078958,-0.495069,0.230752
25,1.066700,0,0.060845,-0.472196,0.693127,0.574812,0.642559,-0.598928,-0.287067,0.562426,0.917137,0.542560,-0.712075,0.144011,0.899246,-1.243526,0.442628,0.137139
26,1.109300,0,-0.148539,-0.357323,0.664314,0.498475,-0.308693,-0.372742,-0.198388,0.436608,0.720317,0.311113,-0.331386,0.653890,-0.604947,-0.480816,-0.248606,0.137139
27,1.152000,0,-0.026180,-0.231287,0.693127,0.296252,0.111041,-0.544601,-0.230545,0.589150,0.865467,0.486355,-0.365643,-0.530611,-0.040875,-0.898566,-0.465643,0.230752
28,1.194700,0,-0.287211,-0.134957,0.664314,0.035550,-0.688849,0.125975,-0.642027,0.482040,0.699071,-0.177931,0.139270,0.670168,-1.545068,-0.009265,-0.543665,0.137139
29,1.237300,0,-0.128483,-0.108352,0.693127,-0.162886,-0.515609,0.811570,-0.355478,0.569160,0.758291,-0.807783,-0.234838,-0.708947,-0.040875,-0.477651,-0.496392,0.137139
30,1.280000,0,0.126049,-0.058220,0.693127,0.046146,-1.010258,0.118660,-0.530432,0.665368,0.790571,-0.170949,-0.352921,0.693673,1.463318,-0.464992,0.572860,0.230752
31,1.322700,0,0.013933,0.015400,0.693127,0.255907,-1.189384,0.244289,-0.317715,0.590540,0.668441,-0.289986,-0.113286,0.604820,1.087270,-0.958696,-0.838381,0.137139
32,1.365300,0,0.390782,0.049944,0.693127,0.419943,-1.820928,-0.085416,0.130483,0.734637,0.725700,0.025946,-0.634230,0.677547,0.147149,0.174292,0.010658,0.137139
33,1.408000,0,-0.064570,0.143036,0.693127,0.089567,-1.515179,0.460816,-0.582610,0.532281,0.523580,-0.491378,0.105373,-1.168512,-0.228899,1.164865,-0.130741,0.137139
34,1.450700,0,0.442945,0.188813,0.693127,0.285121,-0.443636,0.627259,0.025356,0.699040,0.603219,-0.642954,-0.585338,0.123012,0.147149,0.588877,-0.173424,0.137139
35,1.493300,0,0.324114,0.266537,0.693127,0.192389,-0.489702,0.716874,-0.401804,0.616836,0.488762,-0.723534,-0.268935,0.655816,0.335174,-0.458662,-0.875017,0.230752
36,1.536000,0,0.165344,0.335850,0.693127,0.333160,-0.144776,0.186611,-0.640949,0.543612,0.395138,-0.235556,0.089022,0.644086,0.147149,-0.733998,-0.841903,0.137139
37,1.578700,0,0.505868,0.360830,0.693127,0.390698,-0.198805,0.362770,-0.451025,0.616623,0.403306,-0.400858,-0.431563,0.580065,-0.792971,-0.430180,0.317093,0.230752
38,1.621300,0,0.151829,0.433595,0.693127,0.557306,0.102094,-0.584132,-0.560156,0.509619,0.311001,0.527296,0.264691,0.632461,0.147149,0.411650,-0.037651,0.324365
39,1.664000,0,0.365948,0.468769,0.693127,0.308580,-0.536910,1.086054,-0.710469,0.545322,0.301596,-1.047512,-0.186265,-0.680298,-1.357044,-0.154844,-0.141189,0.137139
40,1.706700,0,0.788117,0.490701,0.721916,0.483110,-0.046426,1.433067,-0.590341,0.646554,0.321129,-1.341317,-0.644719,0.316903,0.711222,-0.063066,-0.138817,0.137139
41,1.749300,0,0.497346,0.568833,0.693127,0.677477,0.011411,-0.346499,-0.383476,0.525333,0.213520,0.284726,-0.092947,0.734810,0.523198,0.234422,-0.398251,0.230752
42,1.792000,0,0.481077,0.595254,0.693127,0.652419,-0.001163,0.282480,-0.300466,0.527043,0.206754,-0.325957,-0.137094,-0.757832,-0.228899,-1.268844,-0.440333,0.137139
43,1.834700,0,0.721880,0.636739,0.721916,0.413728,0.063350,2.017546,-1.014483,0.551202,0.178970,-1.814387,-0.437505,0.715127,1.087270,-0.949202,-0.448302,0.137139
44,1.877300,0,0.546023,0.688382,0.693127,0.601670,-0.035948,0.548923,-0.613936,0.500212,0.126186,-0.571958,-0.109338,0.676873,2.027391,-0.778304,-0.761392,0.137139
45,1.920000,0,0.935568,0.711858,0.721916,0.741312,-0.106346,0.622569,-0.516201,0.568519,0.128517,-0.638694,-0.538480,0.701655,0.335174,-0.287765,-0.764248,0.137139
46,1.962700,0,0.798575,0.751777,0.721916,0.721699,-0.218619,1.257467,-0.419145,0.523302,0.086645,-1.193882,-0.416648,0.599963,-0.980996,-1.113770,-0.505776,0.230752
47,2.005300,0,0.629863,0.806778,0.721916,0.247687,0.193134,0.844010,-0.725069,0.469640,0.036151,-0.836536,-0.075201,0.633146,1.651343,-0.512464,0.545512,0.137139
48,2.048000,0,0.999051,0.820287,0.721916,0.423017,-0.844729,1.830611,-0.584705,0.527150,0.031881,-1.665887,-0.581949,0.230138,-2.109141,0.262905,-0.213654,0.137139
49,2.090700,0,1.084440,0.847025,0.721916,0.853468,-0.541729,0.891972,-0.085192,0.532495,0.016473,-0.878779,-0.590403,0.256776,-0.792971,-1.287832,-0.040007,0.230752
50,2.133300,0,0.870924,0.891191,0.721916,0.768873,-0.361178,0.390352,0.062164,0.467395,-0.030700,-0.426416,-0.321496,-0.377023,0.335174,-0.683361,1.141932,0.137139
51,2.176000,0,0.999696,0.928403,0.721916,0.679644,-0.546516,0.576841,0.435421,0.471991,-0.062960,-0.597398,-0.470884,0.019393,0.335174,-0.847929,0.631614,0.230752
52,2.218700,0,0.934751,0.950531,0.721916,0.655585,-0.285472,1.325864,-0.296523,0.448153,-0.080513,-1.251626,-0.301317,0.602031,-0.604947,-0.844764,0.103427,0.324365
53,2.261300,0,0.785621,1.000844,0.721916,0.432467,0.444428,0.300179,-0.581994,0.409564,-0.111639,-0.342523,0.131933,0.714048,-0.980996,-0.423850,0.626695,0.137139
54,2.304000,0,0.883448,1.013501,0.721916,0.414232,-0.102726,0.951380,-0.570659,0.406036,-0.137216,-0.930724,-0.136336,0.509727,-0.228899,-0.699185,0.989453,0.137139
55,2.346700,0,1.188594,1.040255,0.721916,0.727206,-0.149275,1.222291,-0.145994,0.448902,-0.139217,-1.164064,-0.495291,0.129933,0.711222,-0.547276,0.148729,0.137139
56,2.389300,0,0.580024,1.064095,0.721916,0.363349,-0.790631,0.672374,-0.707943,0.357184,-0.171312,-0.683658,0.442952,0.462954,-0.792971,1.373740,0.965914,0.137139
57,2.432000,0,1.044242,1.092742,0.721916,0.753750,-0.881321,0.947639,0.050891,0.388826,-0.199777,-0.927529,-0.308535,0.538640,0.711222,0.440132,0.663380,0.230752
58,2.474700,0,0.948781,1.117728,0.721916,0.637733,-0.383201,0.882704,-0.567764,0.361246,-0.220610,-0.870614,-0.051513,0.656319,0.147149,-0.645384,0.778230,0.137139
59,2.517300,0,0.640106,1.136565,0.721916,0.478699,-0.515922,0.817377,-0.787103,0.327039,-0.228159,-0.812989,0.508275,-1.548925,-0.040875,-0.259282,0.285724,0.137139
60,2.560000,0,1.197245,1.176826,0.721916,0.696911,-0.549433,0.216371,0.323795,0.371722,-0.253695,-0.263717,-0.345982,0.658519,-0.040875,0.857882,1.187160,0.230752
61,2.602700,0,1.287842,1.207742,0.721916,0.706487,-0.369448,0.580805,0.318097,0.374181,-0.268154,-0.600948,-0.416967,0.617001,0.523198,-1.253020,0.503087,0.137139
62,2.645300,0,0.893132,1.224297,0.721916,0.721406,-0.237800,0.332787,-0.476344,0.318060,-0.281458,-0.372933,0.251611,-1.208008,-0.228899,0.357848,0.401563,0.137139
63,2.688000,0,0.948007,1.256691,0.721916,0.442239,-0.259139,0.659811,-0.649481,0.314960,-0.295794,-0.672299,0.139071,-1.007963,0.899246,-0.211810,0.577643,0.230752
64,2.730700,0,0.652114,1.260455,0.721916,0.477295,-0.410250,0.548588,-0.972715,0.300743,-0.284594,-0.571721,0.697542,0.471262,0.335174,-0.585253,-0.530839,0.137139
65,2.773300,0,1.153087,1.293984,0.721916,0.453312,-0.317942,1.026646,-0.824713,0.309508,-0.332262,-0.996277,-0.111491,0.560709,0.899246,0.604701,0.503130,0.137139
66,2.816000,0,0.528420,1.287599,0.721916,0.474631,-0.534469,0.450989,-1.133008,0.286953,-0.297341,-0.482385,1.040465,-2.139257,0.899246,1.433871,0.585981,0.137139
67,2.858700,0,0.854483,1.320018,0.721916,0.481215,-0.699472,0.627594,-0.247117,0.282463,-0.336923,-0.643309,0.400600,0.667734,0.147149,0.092008,0.127558,0.137139
68,2.901300,0,1.326706,1.340442,0.721916,0.563699,-0.377316,0.925864,-0.158099,0.302560,-0.368482,-0.908479,-0.324248,0.616009,0.899246,0.550899,0.606187,0.230752
