frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,-1.734227,-1.334743,-1.424887,-4.164314,-1.570183,0.659817,1.106811,3.311008,3.384592,-0.694863,0.154691,-4.795181,-2.464718,-4.063555,-1.129694,-1.389521
1,0.042700,0,-1.609154,-1.354031,-1.424887,-3.206067,-1.317090,1.278284,1.664503,0.439379,1.372585,-1.220861,-0.494276,-1.374675,-2.464718,3.313363,-1.040593,-1.166300
2,0.085300,0,-1.563319,-1.338569,-1.424887,-2.588192,-1.548382,-0.482664,2.365437,-0.229700,0.634475,0.412874,-0.386290,-2.724734,-1.541452,0.406280,-1.251204,-1.155144
3,0.128000,0,-1.722495,-1.310333,-1.424887,-2.681947,-1.785519,-1.784874,-0.852347,1.073037,1.145364,1.978320,-0.014681,-0.357335,0.305079,1.859822,-1.157300,-1.467708
4,0.170700,0,-1.754995,-1.299305,-1.424887,-2.137770,-1.728456,-2.190983,-1.370559,0.822132,0.424425,2.560571,-0.189721,-0.425946,-2.280064,0.421882,-1.513372,-1.646303
5,0.213300,0,-1.566871,-1.276166,-1.424887,-1.857556,-1.707875,-2.079884,-1.406983,1.430207,1.944644,2.395738,-0.077890,0.738748,0.305079,0.749513,-1.299068,-1.378365
6,0.256000,0,-1.579568,-1.252610,-1.424887,-1.724757,-1.527149,-1.811015,-2.122671,0.827544,0.881800,2.014257,-0.041980,-0.328826,0.489732,-0.137173,-1.217137,-1.434239
7,0.298700,0,-1.482990,-1.230988,-1.424887,-1.045227,-1.366974,-1.943412,-1.446824,0.922986,1.269420,2.199150,-0.252981,1.404562,-0.064227,0.824921,-1.147832,-1.311426
8,0.341300,0,-1.382190,-1.234409,-1.416541,-1.068054,-1.171138,-0.872781,-1.293370,0.817212,1.175055,0.841731,-0.561160,0.831954,-0.248880,0.559695,-1.249502,-1.143896
9,0.384000,0,-1.334049,-1.207602,-1.416541,-0.539818,-0.939161,-0.869667,-1.151857,0.649942,0.982819,0.838145,-0.695371,1.063648,-0.618186,-0.290588,-1.358692,-1.244396
10,0.426700,0,-1.274551,-1.182061,-1.124474,-0.729489,-0.687079,-0.438339,-0.933998,1.115838,1.321289,0.366011,-0.874904,0.887818,-1.172146,-0.613019,-1.381550,-1.199770
11,0.469300,0,-1.162627,-1.190879,-1.116129,-0.414410,-0.470958,-0.266270,-0.265307,1.403641,1.448135,0.187263,-1.245526,-0.127272,-1.910758,-0.222981,-1.164294,-1.110426
12,0.512000,0,-1.148075,-1.143752,-1.116129,-0.268571,-0.243027,-0.502424,-0.179193,1.275236,1.286447,0.433873,-1.230124,1.323425,1.782304,-0.509009,-0.983879,-1.132739
13,0.554700,0,-1.110762,-1.078532,-1.116129,-0.508774,0.038633,-0.359686,0.309109,2.061404,2.026990,0.283637,-1.321278,-0.949032,-1.726105,-0.324391,-1.164909,-1.076957
14,0.597300,0,-1.070785,-1.033464,-1.107783,-0.244030,0.468770,-0.546094,-0.084797,1.920209,1.867664,0.480566,-1.330161,0.860942,0.674385,-0.896447,-0.564687,-1.009927
15,0.640000,0,-0.987309,-1.011725,-1.107783,-0.122416,1.067428,-0.565431,0.917376,1.946283,1.706906,0.501394,-1.456868,1.114668,-0.433533,-0.688426,-0.763862,-1.021175
16,0.682700,0,-0.920348,-0.991086,-1.107783,0.195156,1.608062,-0.522837,0.756806,1.628963,1.361782,0.455726,-1.553212,0.937671,0.305079,-0.854843,-0.865456,-0.954144
17,0.725300,0,-0.828803,-0.987908,-1.099445,0.588509,1.520993,0.196389,0.322336,1.431683,1.023598,-0.269165,-1.655836,1.412801,-0.248880,-1.023859,-1.040396,-0.954144
18,0.768000,0,-0.803532,-0.930378,-0.957584,0.240438,1.004000,0.490976,0.476473,1.194553,0.835154,-0.543175,-1.621032,0.930752,-1.726105,-1.478903,-0.943486,-0.909518
19,0.810700,0,-0.728610,-0.899597,-0.648826,0.489395,0.607123,0.186125,0.757932,1.273760,0.851465,-0.259434,-1.629848,1.092989,-0.433533,-1.320288,-0.932135,-0.820175
20,0.853300,0,-0.686202,-0.847579,-0.640488,0.490487,0.327991,0.556867,0.438079,0.933809,0.578600,-0.602843,-1.586246,0.844712,-0.802840,-1.185075,-1.074936,-0.820175
21,0.896000,0,-0.715180,-0.754644,-0.640488,0.172662,0.123951,0.474023,0.238996,0.554992,0.399242,-0.527725,-1.295834,0.447891,-0.248880,0.065647,-0.680878,-0.887114
22,0.938700,0,-0.580027,-0.734928,-0.632142,0.453780,0.118830,0.644516,0.516957,0.588938,0.367190,-0.681290,-1.369884,0.760862,-0.802840,-0.222981,-0.784858,-0.875957
23,0.981300,0,-0.488762,-0.698277,-0.490282,0.220961,0.231633,0.888397,0.029379,0.483656,0.277261,-0.894524,-1.309245,0.529020,0.489732,-0.818439,-0.849405,-0.741988
24,1.024000,0,-0.421380,-0.653871,-0.490282,0.539440,0.547624,0.180128,0.238795,0.306055,0.212943,-0.253714,-1.153981,-0.845331,-0.618186,-0.386797,-0.568868,-0.652736
25,1.066700,0,-0.390953,-0.594324,-0.490282,0.403266,0.739796,-0.065060,0.021459,0.137802,0.163722,-0.015385,-0.878972,-1.381835,-0.802840,-0.860043,-0.458104,-0.518767
26,1.109300,0,-0.361695,-0.547081,-0.490282,0.437258,0.244505,-0.301291,-0.195394,0.053675,0.107060,0.223201,-0.629627,0.278658,0.489732,0.154056,-0.548893,-0.306611
