frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,1.000000,0.999528,-1.000000,-1.364118,1.094578,1.436712,0.000000,-1.244136,1.443079,-1.477637,1.000000,-1.362530,1.711953,-1.928734,0.000000,3.255764
1,0.042700,0,1.000000,-1.521020,-1.000000,1.221336,-1.283481,-1.354889,0.000000,1.213865,-1.320553,1.312692,1.000000,1.231443,-0.736177,1.044464,0.000000,-0.307148
2,0.085300,0,1.000000,0.999528,-1.000000,-0.927603,1.041729,0.878392,0.000000,-0.892993,1.048274,-1.079019,1.000000,-0.915293,0.271876,0.301165,0.000000,-0.307148
3,0.128000,0,1.000000,-0.260746,-1.000000,0.600901,-0.565678,-0.517409,0.000000,0.511579,-0.530944,0.515455,1.000000,0.605312,-0.592169,-0.442135,0.000000,-0.307148
4,0.170700,0,1.000000,-0.260746,-1.000000,-0.177246,0.331971,0.040911,0.000000,-0.190707,0.258665,-0.281782,1.000000,-0.169899,-0.592169,-1.185435,0.000000,-0.307148
5,0.213300,0,1.000000,-0.260746,-1.000000,-0.215789,0.372515,0.320071,0.000000,-0.190707,0.258665,-0.281782,1.000000,-0.229530,-0.448162,-1.928734,0.000000,-0.307148
6,0.256000,0,1.000000,-0.260746,-1.000000,0.635810,-0.603067,-0.517409,0.000000,0.511579,-0.530944,0.515455,1.000000,0.635128,-0.592169,-1.185435,0.000000,-0.307148
7,0.298700,0,1.000000,0.999528,-1.000000,-0.955619,1.071072,0.878392,0.000000,-0.892993,1.048274,-1.079019,1.000000,-0.945109,-0.160146,-0.442135,0.000000,-0.307148
8,0.341300,0,1.000000,-1.521020,-1.000000,1.240037,-1.306987,-1.354889,0.000000,1.213865,-1.320553,1.312692,1.000000,1.231443,-0.880185,0.301165,0.000000,-0.307148
9,0.384000,0,1.000000,0.999528,-1.000000,-1.372023,1.058609,1.436712,0.000000,-1.244136,1.443079,-1.477637,1.000000,-1.362530,2.287983,1.044464,0.000000,3.255764
10,0.426700,0,1.000000,-1.521020,-1.000000,1.433931,-1.531321,-1.354889,0.000000,1.565008,-1.320553,1.312692,1.000000,1.440154,-0.592169,1.044464,0.000000,-0.307148
11,0.469300,0,1.000000,0.999528,-1.000000,-1.326597,1.110670,1.436712,0.000000,-1.244136,1.443079,-1.477637,1.000000,-1.332714,1.567945,1.044464,0.000000,-0.307148
12,0.512000,0,1.000000,-1.521020,-1.000000,1.153023,-1.206337,-1.075729,0.000000,1.213865,-1.320553,1.312692,1.000000,1.141996,-0.880185,1.044464,0.000000,-0.307148
13,0.554700,0,1.000000,0.999528,-1.000000,-0.834667,0.987302,0.878392,0.000000,-0.892993,0.653470,-0.680400,1.000000,-0.825846,-0.016139,0.301165,0.000000,-0.307148
14,0.597300,0,1.000000,-0.260746,-1.000000,0.491153,-0.433791,-0.517409,0.000000,0.511579,-0.530944,0.515455,1.000000,0.486049,-0.448162,-0.442135,0.000000,-0.307148
15,0.640000,0,1.000000,-0.260746,-1.000000,-0.059944,0.200242,0.040911,0.000000,-0.190707,-0.136140,0.116836,1.000000,-0.050635,-0.448162,-1.185435,0.000000,-0.307148
16,0.682700,0,1.000000,0.999528,-1.000000,-0.330993,0.501720,0.320071,0.000000,-0.190707,0.258665,-0.281782,1.000000,-0.318978,-0.304154,-1.928734,0.000000,-0.307148
17,0.725300,0,1.000000,-0.260746,-1.000000,0.739471,-0.725172,-0.796569,0.000000,0.862722,-0.925749,0.914073,1.000000,0.724575,-0.736177,-0.442135,0.000000,-0.307148
18,0.768000,0,1.000000,0.999528,-1.000000,-1.039068,1.121555,1.157552,0.000000,-0.892993,1.048274,-1.079019,1.000000,-1.034556,0.703899,0.301165,0.000000,-0.307148
19,0.810700,0,1.000000,-1.521020,-1.000000,1.296403,-1.371511,-1.354889,0.000000,1.213865,-1.320553,1.312692,1.000000,1.291075,-0.592169,0.301165,0.000000,-0.307148
20,0.853300,0,1.000000,0.999528,-1.000000,-1.396330,1.025638,1.436712,0.000000,-1.244136,1.443079,-1.477637,1.000000,-1.392346,2.287983,1.044464,0.000000,3.255764
21,0.896000,0,1.000000,-1.521020,-1.000000,1.423958,-1.517280,-1.354889,0.000000,1.565008,-1.320553,1.312692,1.000000,1.410338,-0.880185,1.044464,0.000000,-0.307148
22,0.938700,0,1.000000,0.999528,-1.000000,-1.282907,1.146954,1.157552,0.000000,-1.244136,1.443079,-1.079019,1.000000,-1.273083,0.847907,1.044464,0.000000,-0.307148
23,0.981300,0,1.000000,-1.521020,-1.000000,1.078926,-1.118150,-1.075729,0.000000,1.213865,-0.925749,0.914073,1.000000,1.082365,-0.592169,1.044464,0.000000,-0.307148
24,1.024000,0,1.000000,0.999528,-1.000000,-0.736332,0.905268,0.599232,0.000000,-0.892993,0.653470,-0.680400,1.000000,-0.736399,-0.016139,0.301165,0.000000,-0.307148
25,1.066700,0,1.000000,-0.260746,-1.000000,0.376750,-0.300642,-0.517409,0.000000,0.511579,-0.530944,0.515455,1.000000,0.366786,-0.736177,-0.442135,0.000000,-0.307148
26,1.109300,0,1.000000,-0.260746,-1.000000,0.060611,0.065043,0.040911,0.000000,0.160436,-0.136140,0.116836,1.000000,0.068628,-0.448162,-1.928734,0.000000,-0.307148
27,1.152000,0,1.000000,0.999528,-1.000000,-0.447155,0.623510,0.320071,0.000000,-0.541850,0.258665,-0.281782,1.000000,-0.438241,-0.304154,-1.185435,0.000000,-0.307148
28,1.194700,0,1.000000,-0.260746,-1.000000,0.841069,-0.840967,-0.796569,0.000000,0.862722,-0.925749,0.914073,1.000000,0.843838,-0.592169,-0.442135,0.000000,-0.307148
