frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,440.07,11.5328,445.31,7.1706745229,4.33226,0.103628,5.7879,-0.0125,5.4967,0.164087,0.103856,18.126217,474,0.0,28.7485,0.009278,0
1,0.0427,440.07,11.5326,445.31,7.1992247351,4.317186,0.103618,5.7879,-0.0118,5.496,0.164094,0.103856,18.126304,385,4e-06,28.7485,0.009156,0
2,0.0853,440.07,11.5328,445.31,7.1754947884,4.331925,0.103626,5.7879,-0.0124,5.4966,0.164088,0.103856,18.126232,437,3e-06,28.7485,0.009156,0
3,0.128,440.07,11.5327,445.31,7.1923734952,4.321736,0.103621,5.7879,-0.012,5.4962,0.164092,0.103856,18.126283,394,2e-06,28.7485,0.009156,0
4,0.1707,440.07,11.5327,445.31,7.1837807095,4.327426,0.103623,5.7879,-0.0122,5.4964,0.16409,0.103856,18.126257,412,1e-06,28.7485,0.009156,0
5,0.2133,440.07,11.5327,445.31,7.1833550871,4.327683,0.103624,5.7879,-0.0122,5.4964,0.16409,0.103856,18.126255,408,0.0,28.7485,0.009156,0
6,0.256,440.07,11.5327,445.31,7.1927589869,4.321499,0.103621,5.7879,-0.012,5.4962,0.164092,0.103856,18.126284,401,1e-06,28.7485,0.009156,0
7,0.2987,440.07,11.5328,445.31,7.175185419,4.332111,0.103626,5.7879,-0.0124,5.4966,0.164088,0.103856,18.126231,439,2e-06,28.7485,0.009156,0
8,0.3413,440.07,11.5326,445.31,7.1994312338,4.317037,0.103618,5.7879,-0.0118,5.496,0.164094,0.103856,18.126304,394,3e-06,28.7485,0.009156,0
9,0.384,440.07,11.5328,445.31,7.1705872276,4.332032,0.103628,5.7879,-0.0125,5.4967,0.164087,0.103856,18.126217,487,4e-06,28.7485,0.009278,0
10,0.4267,440.07,11.5326,445.31,7.2015723384,4.315615,0.103618,5.7879,-0.0117,5.496,0.164094,0.103856,18.126311,396,4e-06,28.7485,0.009156,0
11,0.4693,440.07,11.5328,445.31,7.1710888454,4.332362,0.103628,5.7879,-0.0125,5.4967,0.164087,0.103856,18.126218,477,4e-06,28.7485,0.009156,0
12,0.512,440.07,11.5326,445.31,7.1984703787,4.317675,0.103619,5.7879,-0.0118,5.496,0.164094,0.103856,18.126301,396,4e-06,28.7485,0.009156,0
13,0.5547,440.07,11.5328,445.31,7.1765210513,4.33158,0.103626,5.7879,-0.0124,5.4965,0.164089,0.103856,18.126235,431,3e-06,28.7485,0.009156,0
14,0.5973,440.07,11.5327,445.31,7.1911615928,4.322572,0.103621,5.7879,-0.012,5.4962,0.164092,0.103856,18.126279,406,2e-06,28.7485,0.009156,0
15,0.64,440.07,11.5327,445.31,7.1850760286,4.326591,0.103623,5.7879,-0.0122,5.4963,0.164091,0.103856,18.126261,412,1e-06,28.7485,0.009156,0
16,0.6827,440.07,11.5328,445.31,7.1820829414,4.328502,0.103624,5.7879,-0.0122,5.4964,0.16409,0.103856,18.126252,413,0.0,28.7485,0.009156,0
17,0.7253,440.07,11.5327,445.31,7.1939036723,4.320725,0.10362,5.7879,-0.0119,5.4961,0.164093,0.103856,18.126287,401,2e-06,28.7485,0.009156,0
18,0.768,440.07,11.5328,445.31,7.1742639315,4.332431,0.103627,5.7879,-0.0124,5.4966,0.164088,0.103856,18.126228,452,3e-06,28.7485,0.009156,0
19,0.8107,440.07,11.5326,445.31,7.200053664,4.316628,0.103618,5.7879,-0.0118,5.496,0.164094,0.103856,18.126306,395,3e-06,28.7485,0.009156,0
20,0.8533,440.07,11.5328,445.31,7.1703188133,4.331823,0.103628,5.7879,-0.0125,5.4967,0.164087,0.103856,18.126216,491,4e-06,28.7485,0.009278,0
21,0.896,440.07,11.5326,445.31,7.201462208,4.315704,0.103618,5.7879,-0.0117,5.496,0.164094,0.103856,18.12631,394,4e-06,28.7485,0.009156,0
22,0.9387,440.07,11.5328,445.31,7.1715713065,4.332592,0.103627,5.7879,-0.0125,5.4967,0.164088,0.103856,18.12622,471,4e-06,28.7485,0.009156,0
23,0.9813,440.07,11.5326,445.31,7.1976521465,4.318234,0.103619,5.7879,-0.0118,5.4961,0.164093,0.103856,18.126299,404,4e-06,28.7485,0.009156,0
24,1.024,440.07,11.5328,445.31,7.1776069308,4.33106,0.103625,5.7879,-0.0124,5.4965,0.164089,0.103856,18.126238,437,3e-06,28.7485,0.009156,0
25,1.0667,440.07,11.5327,445.31,7.1898982764,4.323416,0.103621,5.7879,-0.012,5.4962,0.164092,0.103856,18.126275,411,2e-06,28.7485,0.009156,0
26,1.1093,440.07,11.5327,445.31,7.1864072719,4.325734,0.103623,5.7879,-0.0121,5.4963,0.164091,0.103856,18.126265,411,0.0,28.7485,0.009156,0
27,1.152,440.07,11.5328,445.31,7.1808001972,4.329274,0.103624,5.7879,-0.0123,5.4964,0.16409,0.103856,18.126248,426,1e-06,28.7485,0.009156,0
28,1.1947,440.07,11.5327,445.31,7.1950255856,4.319991,0.10362,5.7879,-0.0119,5.4961,0.164093,0.103856,18.126291,402,2e-06,28.7485,0.009156,0
29,1.2373,440.07,11.5328,445.31,7.1734035389,4.332634,0.103627,5.7879,-0.0125,5.4966,0.164088,0.103856,18.126225,457,3e-06,28.7485,0.009156,0
30,1.28,440.07,11.5326,445.31,7.2005777529,4.316286,0.103618,5.7879,-0.0118,5.496,0.164094,0.103856,18.126308,400,4e-06,28.7485,0.009156,0
31,1.3227,440.07,11.5328,445.31,7.1701774292,4.331679,0.103628,5.7879,-0.0126,5.4967,0.164087,0.103856,18.126215,497,4e-06,28.7485,0.009278,0
32,1.3653,440.07,11.5326,445.31,7.2012104357,4.31586,0.103618,5.7879,-0.0118,5.496,0.164094,0.103856,18.12631,402,4e-06,28.7485,0.009156,0
33,1.408,440.07,11.5328,445.31,7.1721914917,4.332697,0.103627,5.7879,-0.0125,5.4966,0.164088,0.103856,18.126221,466,4e-06,28.7485,0.009156,0
34,1.4507,440.07,11.5327,445.31,7.1967193059,4.318843,0.103619,5.7879,-0.0119,5.4961,0.164093,0.103856,18.126296,397,3e-06,28.7485,0.009156,0
35,1.4933,440.07,11.5328,445.31,7.1787676347,4.330453,0.103625,5.7879,-0.0123,5.4965,0.164089,0.103856,18.126241,428,2e-06,28.7485,0.009156,0
36,1.536,440.07,11.5327,445.31,7.1886098018,4.324272,0.103622,5.7879,-0.0121,5.4963,0.164091,0.103856,18.126271,404,1e-06,28.7485,0.009156,0
37,1.5787,440.07,11.5327,445.31,7.1877125565,4.324867,0.103622,5.7879,-0.0121,5.4963,0.164091,0.103856,18.126269,408,0.0,28.7485,0.009156,0
38,1.6213,440.07,11.5328,445.31,7.1795878878,4.329992,0.103625,5.7879,-0.0123,5.4965,0.164089,0.103856,18.126244,428,1e-06,28.7485,0.009156,0
39,1.664,440.07,11.5327,445.31,7.1960454696,4.319292,0.10362,5.7879,-0.0119,5.4961,0.164093,0.103856,18.126294,395,2e-06,28.7485,0.009156,0
40,1.7067,440.07,11.5328,445.31,7.1726604911,4.332704,0.103627,5.7879,-0.0125,5.4966,0.164088,0.103856,18.126223,467,3e-06,28.7485,0.009156,0
41,1.7493,440.07,11.5326,445.31,7.200985359,4.316007,0.103618,5.7879,-0.0118,5.496,0.164094,0.103856,18.126309,399,4e-06,28.7485,0.009156,0
42,1.792,440.07,11.5328,445.31,7.17013883,4.331618,0.103628,5.7879,-0.0126,5.4967,0.164087,0.103856,18.126215,501,4e-06,28.7485,0.009278,0
43,1.8347,440.07,11.5326,445.31,7.200876678,4.316087,0.103618,5.7879,-0.0118,5.496,0.164094,0.103856,18.126309,392,4e-06,28.7485,0.009156,0
44,1.8773,440.07,11.5328,445.31,7.1728704926,4.332692,0.103627,5.7879,-0.0125,5.4966,0.164088,0.103856,18.126224,464,4e-06,28.7485,0.009156,0
45,1.92,440.07,11.5327,445.31,7.1957481412,4.319506,0.10362,5.7879,-0.0119,5.4961,0.164093,0.103856,18.126293,402,3e-06,28.7485,0.009156,0
46,1.9627,440.07,11.5328,445.31,7.1799508851,4.329774,0.103625,5.7879,-0.0123,5.4965,0.164089,0.103856,18.126245,421,2e-06,28.7485,0.009156,0
47,2.0053,440.07,11.5327,445.31,7.1873111977,4.325139,0.103622,5.7879,-0.0121,5.4963,0.164091,0.103856,18.126267,412,1e-06,28.7485,0.009156,0
48,2.048,440.07,11.5327,445.31,7.1890169284,4.324003,0.103622,5.7879,-0.0121,5.4963,0.164092,0.103856,18.126273,407,0.0,28.7485,0.009156,0
49,2.0907,440.07,11.5328,445.31,7.1783902396,4.330649,0.103625,5.7879,-0.0123,5.4965,0.164089,0.103856,18.12624,430,1e-06,28.7485,0.009156,0
50,2.1333,440.07,11.5327,445.31,7.1970326877,4.318647,0.103619,5.7879,-0.0119,5.4961,0.164093,0.103856,18.126297,402,3e-06,28.7485,0.009156,0
51,2.176,440.07,11.5328,445.31,7.1719733313,4.33267,0.103627,5.7879,-0.0125,5.4966,0.164088,0.103856,18.126221,468,3e-06,28.7485,0.009156,0
52,2.2187,440.07,11.5326,445.31,7.2013110455,4.315804,0.103618,5.7879,-0.0117,5.496,0.164094,0.103856,18.12631,393,4e-06,28.7485,0.009156,0
53,2.2613,440.07,11.5328,445.31,7.1702060528,4.331712,0.103628,5.7879,-0.0126,5.4967,0.164087,0.103856,18.126215,496,4e-06,28.7485,0.009278,0
54,2.304,440.07,11.5326,445.31,7.2004211081,4.316385,0.103618,5.7879,-0.0118,5.496,0.164094,0.103856,18.126307,397,4e-06,28.7485,0.009156,0
55,2.3467,440.07,11.5328,445.31,7.1736734868,4.332584,0.103627,5.7879,-0.0125,5.4966,0.164088,0.103856,18.126226,460,4e-06,28.7485,0.009156,0
56,2.3893,440.07,11.5327,445.31,7.1946679877,4.320216,0.10362,5.7879,-0.0119,5.4961,0.164093,0.103856,18.12629,395,3e-06,28.7485,0.009156,0
57,2.432,440.07,11.5328,445.31,7.181210623,4.329042,0.103624,5.7879,-0.0123,5.4964,0.16409,0.103856,18.126249,418,2e-06,28.7485,0.009156,0
58,2.4747,440.07,11.5327,445.31,7.1859823943,4.326005,0.103623,5.7879,-0.0121,5.4963,0.164091,0.103856,18.126263,413,1e-06,28.7485,0.009156,0
59,2.5173,440.07,11.5327,445.31,7.1902986085,4.323153,0.103621,5.7879,-0.012,5.4962,0.164092,0.103856,18.126277,405,1e-06,28.7485,0.009156,0
60,2.56,440.07,11.5328,445.31,7.1772661951,4.331237,0.103626,5.7879,-0.0124,5.4965,0.164089,0.103856,18.126237,435,2e-06,28.7485,0.009156,0
61,2.6027,440.07,11.5326,445.31,7.1979059347,4.318054,0.103619,5.7879,-0.0118,5.4961,0.164093,0.103856,18.1263,395,3e-06,28.7485,0.009156,0
62,2.6453,440.07,11.5328,445.31,7.1714233199,4.332546,0.103627,5.7879,-0.0125,5.4967,0.164088,0.103856,18.126219,473,4e-06,28.7485,0.009156,0
63,2.688,440.07,11.5326,445.31,7.2014959706,4.315669,0.103618,5.7879,-0.0117,5.496,0.164094,0.103856,18.126311,394,4e-06,28.7485,0.009156,0
64,2.7307,440.07,11.5328,445.31,7.17039869,4.331917,0.103628,5.7879,-0.0125,5.4967,0.164087,0.103856,18.126216,493,4e-06,28.7485,0.009278,0
65,2.7733,440.07,11.5326,445.31,7.1998690635,4.316752,0.103618,5.7879,-0.0118,5.496,0.164094,0.103856,18.126306,395,4e-06,28.7485,0.009156,0
66,2.816,440.07,11.5328,445.31,7.1745367409,4.332365,0.103626,5.7879,-0.0124,5.4966,0.164088,0.103856,18.126229,448,3e-06,28.7485,0.009156,0
67,2.8587,440.07,11.5327,445.31,7.1935636666,4.32097,0.10362,5.7879,-0.0119,5.4962,0.164093,0.103856,18.126286,409,3e-06,28.7485,0.009156,0
68,2.9013,440.07,11.5328,445.31,7.1824641828,4.328259,0.103624,5.7879,-0.0122,5.4964,0.16409,0.103856,18.126253,415,2e-06,28.7485,0.009156,0
69,2.944,440.07,11.5327,445.31,7.1846818978,4.326863,0.103623,5.7879,-0.0122,5.4964,0.164091,0.103856,18.126259,413,0.0,28.7485,0.009156,0
70,2.9867,440.07,11.5327,445.31,7.1915385261,4.322316,0.103621,5.7879,-0.012,5.4962,0.164092,0.103856,18.12628,402,1e-06,28.7485,0.009156,0
