frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,24088.33,13808.0406,40781.25,0.0499313233,0.249948,0.846533,3.0316,-0.0179,-1.195,0.012059,0.950361,-6.334329,160,0.0,2287.461,0.502381,0
1,0.0427,24270.81,13858.507,40875.0,0.0943687132,0.129417,0.845642,3.4071,-0.0312,-1.1953,0.012136,0.948664,-6.436676,140,5.18547,2270.3715,0.505433,0
2,0.0853,23881.4,13870.5532,40476.56,-0.1196855037,0.151922,0.847594,3.3563,-0.0016,-1.2127,0.011969,0.950196,-6.528496,142,5.058443,2288.3623,0.502625,0
3,0.128,23819.5,13974.9157,40734.38,-0.1623652104,0.178387,0.851719,3.3422,0.001,-1.2071,0.011617,0.950866,-5.996161,167,5.225401,2253.5997,0.502259,0
4,0.1707,23769.62,13782.1113,40382.81,-0.0988556023,0.117511,0.848373,3.4238,0.0036,-1.1938,0.011902,0.948534,-6.920065,134,5.204157,2250.1353,0.497497,0
5,0.2133,23761.57,13842.6141,40617.19,-0.1105390993,0.191961,0.850616,3.2671,0.0256,-1.1961,0.011711,0.950139,-6.279843,151,5.08618,2215.5271,0.492003,0
6,0.256,23949.46,13748.2416,40687.5,0.0239460399,0.168415,0.843279,3.6653,0.0201,-1.1687,0.012338,0.947918,-5.881487,149,5.105784,2288.7059,0.497497,0
7,0.2987,23835.2,13905.9514,40699.22,-0.082429988,0.200173,0.849335,3.0413,0.0058,-1.2136,0.01182,0.951126,-6.334648,150,5.184869,2259.4861,0.500671,0
8,0.3413,24058.54,13932.928,40921.88,0.015238826,0.159638,0.846889,3.1882,0.0026,-1.2194,0.012029,0.949185,-6.208479,165,5.074675,2297.0702,0.497619,0
9,0.384,24138.08,13907.8935,40933.59,0.0782169285,0.183333,0.842242,3.7918,-0.02,-1.2204,0.012427,0.947777,-5.749467,156,5.117461,2260.8184,0.493468,0
10,0.4267,23878.08,13909.7944,40664.06,-0.078930548,0.116626,0.843939,3.2715,0.0085,-1.2021,0.012281,0.948312,-5.698377,166,5.053815,2266.0181,0.493468,0
11,0.4693,24088.75,13951.0447,41097.66,0.0661175027,0.152424,0.84677,3.4425,-0.0055,-1.218,0.012039,0.949579,-7.235971,136,5.14342,2259.5068,0.496643,0
12,0.512,23861.84,13840.3456,40781.25,-0.0177082508,0.175769,0.842552,3.4092,0.0195,-1.1925,0.012401,0.949173,-7.874102,129,5.198554,2273.2642,0.497619,0
13,0.5547,24115.98,13885.8716,40992.19,0.0448673802,0.153333,0.843919,3.3302,-0.0035,-1.2028,0.012283,0.949308,-7.385437,125,5.277534,2279.1182,0.497497,0
14,0.5973,24085.83,13822.9454,41050.78,0.1474767466,0.135106,0.843625,3.1346,0.0134,-1.2042,0.012308,0.949104,-6.555265,155,5.154318,2315.7234,0.502503,0
15,0.64,23865.46,13822.4781,40628.91,0.0233519042,0.155351,0.851338,3.4374,0.0097,-1.203,0.01165,0.951471,-6.807561,138,5.157352,2228.599,0.500671,0
16,0.6827,23901.11,13827.6713,40769.53,-0.0328760808,0.103747,0.846078,3.2416,0.0108,-1.1962,0.012098,0.949204,-6.86834,147,5.225991,2265.6792,0.496032,0
17,0.7253,23869.91,13988.0122,40933.59,-0.0859130242,0.101539,0.847735,3.1129,0.0136,-1.2239,0.011957,0.95048,-6.561342,150,5.103793,2249.5865,0.497497,0
18,0.768,24116.47,13838.7667,40839.84,0.0054672203,0.141221,0.84402,3.1223,-0.0102,-1.1994,0.012275,0.949775,-6.073246,156,5.235057,2310.6054,0.501526,0
19,0.8107,24272.6,13851.3448,41085.94,0.0991749968,0.054451,0.849356,3.3632,-0.019,-1.208,0.011818,0.948412,-6.148124,151,5.239279,2227.6064,0.51056,0
20,0.8533,24193.94,13865.7458,40898.44,0.0323954949,0.159562,0.842252,3.8089,-0.024,-1.1949,0.012426,0.9479,-5.651297,174,5.274262,2312.013,0.510927,0
21,0.896,24075.43,13865.9262,40781.25,0.0155000592,0.150134,0.839686,3.1404,-0.0155,-1.1867,0.012647,0.94785,-5.439897,179,5.242235,2346.1093,0.499939,0
22,0.9387,24042.08,13906.5731,41050.78,0.0510906723,0.13637,0.845381,3.7316,0.0037,-1.226,0.012158,0.950359,-7.734379,125,5.156523,2277.8999,0.498474,0
23,0.9813,23895.49,13934.3213,40968.75,-0.0754766767,0.105629,0.845204,3.1343,0.0083,-1.2065,0.012173,0.950078,-6.869524,149,5.001865,2251.235,0.501892,0
24,1.024,23998.29,13838.3489,40769.53,0.0754227633,0.085507,0.848663,3.6394,0.0055,-1.2014,0.011877,0.949523,-7.047814,137,5.172676,2213.7405,0.499084,0
25,1.0667,24023.76,13813.6109,40757.81,0.0275953259,0.057851,0.842689,3.3181,0.0009,-1.1985,0.012389,0.94899,-6.693955,141,5.158992,2287.1302,0.496643,0
26,1.1093,23774.49,13865.9221,40605.47,-0.1014957204,0.09534,0.845894,3.3434,0.0133,-1.1837,0.012114,0.949858,-6.899632,141,5.096258,2290.2501,0.49591,0
