frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,-1.000000,1.145826,1.000000,-1.465798,1.898488,1.264534,1.000000,1.000000,-1.264283,-1.375892,0.000000,-1.369865,2.227181,-1.954735,-1.180948,3.255764
1,0.042700,0,-1.000000,-1.222971,1.000000,1.167322,-0.912709,-1.225889,1.000000,1.000000,1.426668,1.169038,0.000000,1.228759,-0.467739,1.117748,0.162091,-0.307148
2,0.085300,0,-1.000000,0.882626,1.000000,-0.894979,0.548066,1.015492,1.000000,1.000000,-0.591545,-1.012330,0.000000,-0.921827,0.250906,0.503252,-1.180948,-0.307148
3,0.128000,0,-1.000000,-0.433372,1.000000,0.647313,-0.703832,-0.478762,1.000000,1.000000,0.753930,0.441915,0.000000,0.601505,-0.647400,-0.111245,1.505130,-0.307148
4,0.170700,0,-1.000000,0.356227,1.000000,-0.069387,-0.287223,0.268365,1.000000,1.000000,-0.591545,-0.285208,0.000000,-0.175096,-0.647400,-1.340239,0.162091,-0.307148
5,0.213300,0,-1.000000,0.356227,1.000000,-0.107494,-0.260347,0.268365,1.000000,1.000000,-0.591545,-0.285208,0.000000,-0.204965,-0.467739,-1.954735,0.162091,-0.307148
6,0.256000,0,-1.000000,-0.433372,1.000000,0.677183,-0.717245,-0.727805,1.000000,1.000000,0.753930,0.441915,0.000000,0.631374,-0.467739,-0.725742,1.505130,-0.307148
7,0.298700,0,-1.000000,0.882626,1.000000,-0.929199,0.599207,1.015492,1.000000,1.000000,-0.591545,-1.012330,0.000000,-0.951696,0.071245,-0.111245,-1.180948,-0.307148
8,0.341300,0,-1.000000,-1.222971,1.000000,1.182708,-0.918017,-1.225889,1.000000,1.000000,1.426668,1.169038,0.000000,1.228759,-0.647400,0.503252,0.162091,-0.307148
9,0.384000,0,-1.000000,1.145826,1.000000,-1.477713,1.957566,1.264534,1.000000,1.000000,-1.264283,-1.375892,0.000000,-1.369865,2.227181,1.117748,-1.180948,3.255764
10,0.426700,0,-1.000000,-1.749370,1.000000,1.342527,-0.970034,-1.474932,1.000000,1.000000,1.426668,1.532599,0.000000,1.437844,-0.647400,1.117748,-1.180948,-0.307148
11,0.469300,0,-1.000000,1.145826,1.000000,-1.414563,1.709697,1.264534,1.000000,1.000000,-1.264283,-1.375892,0.000000,-1.339996,1.328874,1.117748,-1.180948,-0.307148
12,0.512000,0,-1.000000,-1.222971,1.000000,1.111024,-0.893112,-1.225889,1.000000,1.000000,1.426668,1.169038,0.000000,1.139151,-0.647400,0.503252,0.162091,-0.307148
13,0.554700,0,-1.000000,0.882626,1.000000,-0.783091,0.394509,0.766449,1.000000,1.000000,-0.591545,-0.648769,0.000000,-0.832219,0.071245,0.503252,-1.180948,-0.307148
14,0.597300,0,-1.000000,-0.433372,1.000000,0.551818,-0.657729,-0.478762,1.000000,1.000000,0.081193,0.441915,0.000000,0.511897,-0.467739,-0.725742,1.505130,-0.307148
15,0.640000,0,-1.000000,0.356227,1.000000,0.046162,-0.367886,0.019322,1.000000,1.000000,0.081193,0.078354,0.000000,-0.055619,-0.467739,-1.340239,0.162091,-0.307148
16,0.682700,0,-1.000000,0.619427,1.000000,-0.225487,-0.168647,0.517407,1.000000,1.000000,-0.591545,-0.285208,0.000000,-0.324442,-0.647400,-1.954735,0.162091,-0.307148
17,0.725300,0,-1.000000,-0.696571,1.000000,0.765808,-0.757197,-0.727805,1.000000,1.000000,0.753930,0.805476,0.000000,0.750851,-0.647400,-0.725742,1.505130,-0.307148
18,0.768000,0,-1.000000,1.145826,1.000000,-1.033859,0.770339,1.015492,1.000000,1.000000,-1.264283,-1.012330,0.000000,-1.041304,0.071245,-0.111245,-1.180948,-0.307148
19,0.810700,0,-1.000000,-1.486170,1.000000,1.229200,-0.933637,-1.225889,1.000000,1.000000,1.426668,1.169038,0.000000,1.288497,-0.647400,0.503252,0.162091,-0.307148
20,0.853300,0,-1.000000,1.145826,1.000000,-1.511374,2.106978,1.264534,1.000000,1.000000,-1.264283,-1.375892,0.000000,-1.399735,2.047519,1.117748,-1.180948,3.255764
21,0.896000,0,-1.000000,-1.486170,1.000000,1.334138,-0.967153,-1.474932,1.000000,1.000000,1.426668,1.532599,0.000000,1.407974,-0.827062,1.117748,0.162091,-0.307148
22,0.938700,0,-1.000000,1.145826,1.000000,-1.353334,1.501174,1.264534,1.000000,1.000000,-1.264283,-1.375892,0.000000,-1.280258,0.789890,1.117748,-1.180948,-0.307148
23,0.981300,0,-1.000000,-1.222971,1.000000,1.049559,-0.870651,-0.976847,1.000000,1.000000,0.753930,1.169038,0.000000,1.079413,-0.467739,0.503252,0.162091,-0.307148
24,1.024000,0,-1.000000,0.882626,1.000000,-0.667532,0.253370,0.766449,1.000000,1.000000,-0.591545,-0.648769,0.000000,-0.742611,-0.108416,-0.111245,0.162091,-0.307148
25,1.066700,0,-1.000000,-0.170172,1.000000,0.450820,-0.606723,-0.229720,1.000000,1.000000,0.081193,0.441915,0.000000,0.392420,-0.647400,-0.725742,1.505130,-0.307148
26,1.109300,0,-1.000000,0.093027,1.000000,0.161076,-0.440747,0.019322,1.000000,1.000000,0.081193,0.078354,0.000000,0.063858,-0.467739,-1.340239,1.505130,-0.307148
