frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,2445.38,3290.6007,4839.84,-2.6708802834,1.954481,0.199721,21.5843,2.4694,7.1031,0.116596,0.182674,18.58521,107,0.0,598.2246,0.009278,0
1,0.0427,2445.38,3290.6004,4839.84,-2.6708298507,1.954638,0.199722,21.5842,2.4694,7.1031,0.116596,0.182674,18.585292,90,1.3e-05,598.2247,0.009156,0
2,0.0853,2445.38,3290.6007,4839.84,-2.6708682191,1.954511,0.199721,21.5843,2.4694,7.1031,0.116596,0.182674,18.585228,103,1.1e-05,598.2246,0.009156,0
3,0.128,2445.38,3290.6005,4839.84,-2.6708398703,1.954604,0.199722,21.5842,2.4694,7.1031,0.116596,0.182674,18.585276,95,8e-06,598.2247,0.009156,0
4,0.1707,2445.38,3290.6006,4839.84,-2.6708532982,1.954559,0.199722,21.5843,2.4694,7.1031,0.116596,0.182674,18.585253,94,4e-06,598.2246,0.009156,0
5,0.2133,2445.38,3290.6006,4839.84,-2.6708539404,1.954557,0.199722,21.5843,2.4694,7.1031,0.116596,0.182674,18.585252,103,0.0,598.2246,0.009156,0
6,0.256,2445.38,3290.6005,4839.84,-2.6708393318,1.954606,0.199722,21.5842,2.4694,7.1031,0.116596,0.182674,18.585277,92,4e-06,598.2247,0.009156,0
7,0.2987,2445.38,3290.6007,4839.84,-2.6708688799,1.95451,0.199721,21.5843,2.4694,7.1031,0.116596,0.182674,18.585227,98,8e-06,598.2246,0.009156,0
8,0.3413,2445.38,3290.6004,4839.84,-2.6708295513,1.954639,0.199722,21.5842,2.4694,7.1031,0.116596,0.182674,18.585293,95,1.1e-05,598.2247,0.009156,0
9,0.384,2445.38,3290.6008,4839.84,-2.6708806063,1.95448,0.199721,21.5843,2.4694,7.1031,0.116596,0.182674,18.58521,98,1.3e-05,598.2246,0.009278,0
10,0.4267,2445.38,3290.6004,4839.84,-2.6708267006,1.95465,0.199723,21.5842,2.4694,7.1031,0.116595,0.182674,18.585298,99,1.4e-05,598.2247,0.009156,0
11,0.4693,2445.38,3290.6007,4839.84,-2.6708791749,1.954484,0.199721,21.5843,2.4694,7.1031,0.116596,0.182674,18.585212,106,1.4e-05,598.2246,0.009156,0
12,0.512,2445.38,3290.6004,4839.84,-2.6708308811,1.954635,0.199722,21.5842,2.4694,7.1031,0.116596,0.182674,18.585291,95,1.3e-05,598.2247,0.009156,0
13,0.5547,2445.38,3290.6007,4839.84,-2.670866091,1.954518,0.199721,21.5843,2.4694,7.1031,0.116596,0.182674,18.585231,99,1e-05,598.2246,0.009156,0
14,0.5973,2445.38,3290.6005,4839.84,-2.6708417043,1.954598,0.199722,21.5842,2.4694,7.1031,0.116596,0.182674,18.585273,91,7e-06,598.2247,0.009156,0
15,0.64,2445.38,3290.6006,4839.84,-2.6708511315,1.954566,0.199722,21.5843,2.4694,7.1031,0.116596,0.182674,18.585257,96,3e-06,598.2247,0.009156,0
16,0.6827,2445.38,3290.6006,4839.84,-2.6708561005,1.95455,0.199722,21.5843,2.4694,7.1031,0.116596,0.182674,18.585248,102,1e-06,598.2246,0.009156,0
17,0.7253,2445.38,3290.6005,4839.84,-2.6708375777,1.954612,0.199722,21.5842,2.4694,7.1031,0.116596,0.182674,18.58528,97,5e-06,598.2247,0.009156,0
18,0.768,2445.38,3290.6007,4839.84,-2.6708709824,1.954504,0.199721,21.5843,2.4694,7.1031,0.116596,0.182674,18.585224,99,9e-06,598.2246,0.009156,0
19,0.8107,2445.38,3290.6004,4839.84,-2.6708287195,1.954642,0.199722,21.5842,2.4694,7.1031,0.116596,0.182674,18.585294,95,1.2e-05,598.2247,0.009156,0
20,0.8533,2445.38,3290.6008,4839.84,-2.6708813608,1.954478,0.199721,21.5843,2.4694,7.1031,0.116596,0.182674,18.585209,106,1.4e-05,598.2246,0.009278,0
21,0.896,2445.38,3290.6004,4839.84,-2.6708269082,1.954649,0.199723,21.5842,2.4694,7.1031,0.116595,0.182674,18.585298,91,1.4e-05,598.2247,0.009156,0
22,0.9387,2445.38,3290.6007,4839.84,-2.6708777582,1.954487,0.199721,21.5843,2.4694,7.1031,0.116596,0.182674,18.585214,106,1.4e-05,598.2246,0.009156,0
23,0.9813,2445.38,3290.6004,4839.84,-2.6708321029,1.954631,0.199722,21.5842,2.4694,7.1031,0.116596,0.182674,18.585289,91,1.2e-05,598.2247,0.009156,0
24,1.024,2445.38,3290.6006,4839.84,-2.6708639769,1.954524,0.199721,21.5843,2.4694,7.1031,0.116596,0.182674,18.585235,103,9e-06,598.2246,0.009156,0
25,1.0667,2445.38,3290.6005,4839.84,-2.6708436288,1.954592,0.199722,21.5843,2.4694,7.1031,0.116596,0.182674,18.58527,96,6e-06,598.2247,0.009156,0
26,1.1093,2445.38,3290.6005,4839.84,-2.6708490569,1.954573,0.199722,21.5843,2.4694,7.1031,0.116596,0.182674,18.58526,95,2e-06,598.2247,0.009156,0
27,1.152,2445.38,3290.6006,4839.84,-2.6708582385,1.954543,0.199722,21.5843,2.4694,7.1031,0.116596,0.182674,18.585245,103,3e-06,598.2246,0.009156,0
28,1.1947,2445.38,3290.6004,4839.84,-2.6708359913,1.954618,0.199722,21.5842,2.4694,7.1031,0.116596,0.182674,18.585282,97,6e-06,598.2247,0.009156,0
29,1.2373,2445.38,3290.6007,4839.84,-2.6708729891,1.954499,0.199721,21.5843,2.4694,7.1031,0.116596,0.182674,18.58522,103,1e-05,598.2246,0.009156,0
30,1.28,2445.38,3290.6004,4839.84,-2.6708280761,1.954645,0.199722,21.5842,2.4694,7.1031,0.116596,0.182674,18.585296,94,1.2e-05,598.2247,0.009156,0
31,1.3227,2445.38,3290.6007,4839.84,-2.6708818296,1.954477,0.199721,21.5843,2.4694,7.1031,0.116596,0.182674,18.585208,105,1.4e-05,598.2246,0.009278,0
32,1.3653,2445.38,3290.6004,4839.84,-2.6708272281,1.954648,0.199723,21.5842,2.4694,7.1031,0.116595,0.182674,18.585297,95,1.4e-05,598.2247,0.009156,0
