frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,0.685643,1.198895,0.287350,1.698031,-0.682951,0.517294,0.454563,-0.504344,-0.533187,-0.532056,0.104167,0.049442,0.099396,-8.929445,-0.622455,-0.375422
1,0.042700,0,0.449425,0.274572,0.527974,0.543794,-1.379259,0.381623,-1.079093,-0.649165,-0.598889,-0.398625,1.383944,0.649956,0.301676,0.623158,-1.241164,-0.672950
2,0.085300,0,-1.613019,-1.950543,-1.457396,-1.356102,1.508535,-1.378631,0.840584,1.321722,1.498006,1.398036,-1.260968,-0.895736,1.717637,0.140045,1.643221,-0.739068
3,0.128000,0,-0.133146,-0.693087,-0.193951,0.762242,-0.244202,-0.260858,-0.382959,0.627896,0.609730,0.242326,0.055621,-0.883196,-0.709724,-0.546280,-0.170263,0.220177
4,0.170700,0,-1.532599,-1.083810,-1.397227,0.077993,0.974717,-1.606879,0.176764,1.467860,1.375882,1.640763,-0.697234,1.181942,0.301676,0.560271,0.767597,-0.408481
5,0.213300,0,0.026604,-0.343539,-0.254120,0.512890,1.143619,-0.147980,0.508232,0.118388,0.201784,0.128547,-0.830076,0.432450,-0.507444,0.210827,-0.743814,-0.772398
6,0.256000,0,2.525228,0.957692,2.032045,0.379638,-1.252078,1.994834,-1.705681,-2.414670,-2.124511,-1.939113,1.541761,0.822419,0.706236,0.122751,-0.767937,1.344988
7,0.298700,0,0.441928,0.619247,1.009275,0.624882,0.367130,0.617815,-1.368557,-0.704461,-0.855757,-0.630319,1.570704,-1.452813,0.301676,0.533335,-0.921532,1.675846
8,0.341300,0,-1.015182,-0.753504,-0.554964,0.086311,0.437311,-0.921096,-0.382252,1.067627,0.897780,0.918444,-0.095867,-1.337524,1.110797,0.372892,0.085310,1.047188
9,0.384000,0,0.958119,1.457369,1.671082,0.421840,-0.577836,0.932409,0.374590,-1.036234,-1.283748,-0.935451,-0.032336,-1.632211,-0.305164,-0.480275,-1.224481,0.021554
10,0.426700,0,-1.406925,0.219580,-0.254120,-0.289855,1.411883,-0.971772,2.806271,0.804315,0.388497,0.971196,-2.438385,1.742348,1.717637,-0.169356,1.354826,-1.930267
11,0.469300,0,-0.690228,-0.995610,-0.795589,-0.219458,0.008452,-0.379292,-0.068016,0.351419,0.521756,0.362310,-0.191043,0.984070,1.717637,0.166583,0.881322,-1.433844
