frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,2141.64,2058.9564,4007.81,-3.9399994295,1.328848,0.378635,39.1232,1.9838,3.1995,0.070297,0.45845,-11.266212,34,0.0,698.0904,0.028202,0
1,0.0427,2232.93,2144.5792,4359.38,-3.6030043104,1.250355,0.405764,35.4079,1.8579,2.6026,0.065288,0.48951,-12.993851,28,0.940577,501.2877,0.034062,0
2,0.0853,2304.46,2230.9419,4558.59,-3.8293673698,1.140709,0.429521,35.6247,1.7458,2.1115,0.061169,0.484421,-4.954569,28,0.903386,589.8407,0.035771,0
3,0.128,2299.8,2240.2011,4675.78,-3.1576492707,1.241911,0.432727,41.2998,1.7457,2.0888,0.060631,0.483736,-20.407368,22,0.93604,471.3192,0.029178,0
4,0.1707,2101.23,2071.9305,3949.22,-3.9739254584,1.341351,0.374759,45.6058,2.0306,3.3552,0.071041,0.4035,-20.072046,23,0.92365,627.6017,0.028934,0
5,0.2133,2203.31,2142.5498,4242.19,-4.6222501915,1.183897,0.411636,44.1321,1.8836,2.7405,0.064248,0.461082,-0.662699,31,0.845056,616.8348,0.031132,0
6,0.256,2102.32,2098.8322,4066.41,-3.8250602913,1.242958,0.380909,34.4082,1.9931,3.1732,0.069863,0.500649,-11.731201,19,0.795533,570.5333,0.02808,0
7,0.2987,2054.37,2035.6906,3902.34,-3.9515409496,1.399168,0.362736,42.7073,2.0436,3.4232,0.073401,0.433614,-14.40265,31,0.787126,698.7126,0.029056,0
8,0.3413,2154.9,2098.4143,4089.84,-3.7772612827,1.27978,0.396522,46.3922,1.9559,2.9996,0.066955,0.420499,1.79964,39,0.810027,602.7263,0.029056,0
9,0.384,2193.22,2140.027,4253.91,-4.3285555173,1.250477,0.403276,26.7165,1.92,2.8344,0.065733,0.522415,-12.946635,24,0.891303,462.7712,0.026126,0
10,0.4267,2043.69,2034.0813,3773.44,-4.2023747434,1.396475,0.359062,52.0174,2.0983,3.6169,0.074138,0.406163,-13.195088,38,0.835806,769.0234,0.023685,0
11,0.4693,2110.73,2048.4614,3890.62,-3.926856275,1.299105,0.374965,40.7112,2.0111,3.3326,0.071002,0.415876,-5.635802,35,0.841246,677.6561,0.024783,0
12,0.512,2382.02,2229.2095,4710.94,-3.4484251669,1.132029,0.437947,24.8325,1.704,2.0257,0.059763,0.532347,-1.921375,39,0.827407,516.2534,0.028812,0
13,0.5547,2072.93,2030.4976,3785.16,-3.6750535393,1.288267,0.371778,34.3517,2.0744,3.615,0.071619,0.47988,-3.352004,27,0.941837,651.8039,0.028202,0
14,0.5973,2277.86,2192.2047,4535.16,-3.1847146514,1.194358,0.409592,27.4886,1.7629,2.2036,0.064608,0.521399,-11.02821,33,0.89181,568.8693,0.027225,0
15,0.64,2138.27,2050.8226,4042.97,-3.871631767,1.295162,0.386314,40.7799,1.9684,3.142,0.068843,0.455462,-1.923355,23,0.793267,612.0107,0.024905,0
16,0.6827,2027.47,2019.6985,3738.28,-4.0067378362,1.417451,0.354047,42.6671,2.1513,3.8974,0.075156,0.441412,-18.42932,33,0.927857,693.4818,0.026737,0
17,0.7253,2244.91,2146.8533,4347.66,-3.6491356824,1.157283,0.410948,25.3197,1.825,2.4895,0.064369,0.538011,-14.473321,31,0.838234,492.7022,0.028568,0
18,0.768,2090.81,2075.7502,4031.25,-4.3325333625,1.313941,0.382861,52.4516,1.9816,3.1027,0.069493,0.415823,-23.118904,23,0.924284,666.5027,0.02344,0
19,0.8107,1992.95,1979.9572,3679.69,-4.0078219867,1.440079,0.34816,53.7176,2.1626,3.9677,0.07637,0.400125,-14.663556,27,0.791801,837.3864,0.023685,0
20,0.8533,2079.1,2028.0064,3878.91,-4.0326809217,1.280916,0.368437,37.7071,2.0446,3.4538,0.072273,0.444318,-14.98452,28,0.662525,589.3369,0.024539,0
21,0.896,2077.73,2040.9614,3890.62,-3.8076646937,1.367489,0.368929,51.4714,2.0705,3.5272,0.072176,0.410043,4.560908,30,0.727374,827.8722,0.027103,0
22,0.9387,2208.35,2135.8971,4265.62,-3.6127981229,1.206323,0.403313,34.1633,1.8601,2.6099,0.065726,0.4876,-7.178664,21,0.906693,580.3841,0.030765,0
23,0.9813,2218.09,2166.3753,4417.97,-3.5988165219,1.242073,0.403802,33.581,1.88,2.6136,0.065639,0.495204,-13.78665,29,0.906819,542.7976,0.030643,0
24,1.024,2140.59,2089.5471,4078.12,-3.9403952859,1.255598,0.380042,34.2348,1.9773,3.1039,0.070028,0.465751,-16.156963,31,0.82887,599.113,0.031376,0
25,1.0667,2203.89,2080.1554,4160.16,-3.4346991153,1.240992,0.395091,29.8729,1.9166,2.9052,0.067217,0.51722,-15.603628,35,0.833894,522.2298,0.029178,0
26,1.1093,1973.64,1999.2698,3480.47,-4.2296547572,1.408939,0.341235,56.8181,2.2566,4.3496,0.077824,0.401638,1.618348,26,0.822689,920.3707,0.02869,0
27,1.152,2169.12,2101.3139,4207.03,-3.6315792798,1.197056,0.390921,30.1299,1.923,2.8969,0.067985,0.502836,-4.066491,32,0.879415,533.8527,0.029789,0
28,1.1947,2238.88,2190.3734,4394.53,-3.2781856997,1.204371,0.411465,34.7338,1.8541,2.5472,0.064278,0.47234,-15.653116,22,0.815952,527.0134,0.026615,0
29,1.2373,2107.17,2097.8401,3949.22,-3.7923857001,1.239537,0.368234,38.515,2.0208,3.2293,0.072313,0.473235,-9.980638,30,0.756903,610.8459,0.025516,0
30,1.28,2143.94,2085.835,4125.0,-3.9794514259,1.340594,0.396597,57.2104,1.959,3.0285,0.066942,0.394751,-21.113479,34,0.824575,773.945,0.025394,0
31,1.3227,2164.0,2100.6516,4183.59,-3.8990719857,1.377405,0.397241,53.2958,1.9233,2.9008,0.066824,0.39859,4.463247,28,0.911032,717.45,0.027347,0
32,1.3653,2152.48,2102.7816,4218.75,-3.4118342803,1.281495,0.384363,39.7172,1.9391,2.9162,0.06921,0.467452,-23.582414,20,0.934576,575.0137,0.025882,0
33,1.408,2184.95,2067.745,4089.84,-3.9017724464,1.258184,0.39731,32.5719,1.9291,2.9719,0.066812,0.481457,-5.407404,29,0.794841,548.4152,0.024417,0
34,1.4507,2239.51,2145.2406,4335.94,-3.533593043,1.282573,0.39937,38.789,1.8741,2.7083,0.066437,0.451581,-6.735601,26,0.808192,675.168,0.029545,0
35,1.4933,2038.39,1998.7455,3785.16,-4.0696511243,1.432986,0.368611,53.0119,2.0991,3.6967,0.072239,0.388261,-24.220589,25,0.891945,740.7149,0.027713,0
36,1.536,2128.5,2041.3281,4042.97,-4.1016616763,1.20189,0.388886,31.308,1.9684,3.186,0.068363,0.501782,-5.019163,24,0.793858,552.6536,0.025027,0
37,1.5787,2203.75,2150.8667,4253.91,-3.9593080606,1.322124,0.400536,53.2794,1.9087,2.7653,0.066226,0.403739,-14.428828,23,0.838687,640.1242,0.028324,0
38,1.6213,2173.1,2075.2706,4113.28,-3.7682283536,1.327009,0.385286,40.8031,1.9339,2.9273,0.069036,0.464076,-3.562251,34,0.857753,588.3222,0.026981,0
39,1.664,2014.79,1985.2304,3585.94,-4.3080500269,1.391482,0.357516,54.0001,2.1883,4.1313,0.074451,0.385225,2.427619,30,0.816353,772.5194,0.024051,0
40,1.7067,2239.9,2171.7886,4406.25,-3.6013327198,1.186958,0.404327,34.2049,1.8317,2.444,0.065545,0.513234,-1.34068,40,0.794607,627.6904,0.026248,0
41,1.7493,2255.09,2180.5081,4488.28,-3.5825032544,1.174088,0.422677,39.4261,1.8251,2.4341,0.062332,0.481198,-15.850637,27,0.816819,590.3588,0.029911,0
42,1.792,2238.42,2123.2036,4324.22,-3.8627506323,1.110372,0.415994,25.3629,1.8576,2.6546,0.063486,0.534297,-6.403942,28,0.976376,546.4924,0.030033,0
43,1.8347,2153.51,2075.1902,4136.72,-3.4005196868,1.3196,0.378901,33.8727,1.9476,3.0357,0.070246,0.481924,-6.122979,36,0.979061,628.066,0.029178,0
44,1.8773,2218.24,2154.4066,4347.66,-3.512701893,1.214702,0.408671,37.9114,1.8559,2.5978,0.064771,0.448445,-11.657381,26,0.909027,612.1173,0.029056,0
45,1.92,2212.66,2111.5232,4183.59,-3.6375345158,1.184349,0.395,30.5483,1.9006,2.821,0.067234,0.513246,-14.707008,25,0.921881,567.0688,0.02637,0
46,1.9627,1949.31,1974.1637,3492.19,-3.9284518963,1.484106,0.338983,54.5823,2.2494,4.3975,0.078304,0.386194,-16.829645,26,0.942425,919.9072,0.024295,0
47,2.0053,2218.63,2143.8706,4371.09,-4.452857865,1.202852,0.420432,63.7075,1.8233,2.4828,0.062717,0.371542,4.867609,36,0.741948,762.9844,0.026248,0
48,2.048,2152.7,2119.3376,4160.16,-4.1997634453,1.28384,0.397446,55.9973,1.9327,2.8859,0.066787,0.385138,-18.860989,40,0.664119,661.3274,0.028324,0
