frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,1432.96,880.6105,2414.06,-1.2044067608,2.840793,0.134584,9.2196,0.6218,0.1326,0.145168,0.421264,23.054198,28,0.0,383.9877,0.027469,0
1,0.0427,1433.18,880.5341,2414.06,-1.7878188576,2.840802,0.138684,9.061,0.6217,0.133,0.142996,0.421262,23.054138,29,0.000582,383.987,0.027713,0
2,0.0853,1432.97,880.6074,2414.06,-1.2017949049,2.840801,0.13457,9.2197,0.6218,0.1326,0.145175,0.421264,23.054178,28,0.00055,383.9875,0.027469,0
3,0.128,1432.98,880.5934,2414.06,-1.1921828234,2.84079,0.134593,9.2197,0.6218,0.1327,0.145163,0.421264,23.054022,31,0.000143,383.9875,0.027347,0
4,0.1707,1433.08,880.5657,2414.06,-1.4452554651,2.840794,0.136603,9.1403,0.6218,0.1328,0.14409,0.421263,23.053995,29,0.000225,383.9875,0.027591,0
5,0.2133,1432.96,880.6139,2414.06,-1.2063870608,2.840771,0.134565,9.2196,0.6218,0.1325,0.145178,0.421264,23.054131,28,0.000438,383.9876,0.027469,0
6,0.256,1433.09,880.5616,2414.06,-1.4417380364,2.840768,0.136578,9.1405,0.6218,0.1329,0.144103,0.421262,23.054138,32,0.000496,383.9871,0.027591,0
7,0.2987,1432.98,880.6,2414.06,-1.1967154299,2.840777,0.134587,9.2197,0.6218,0.1326,0.145166,0.421264,23.054183,30,0.000344,383.9876,0.027591,0
8,0.3413,1432.97,880.6014,2414.06,-1.1982553924,2.840777,0.134602,9.2196,0.6218,0.1326,0.145158,0.421264,23.054096,31,2.5e-05,383.9879,0.027347,0
9,0.384,1433.18,880.5359,2414.06,-1.7890830382,2.840781,0.138691,9.0609,0.6217,0.133,0.142992,0.421262,23.054028,29,0.000459,383.9873,0.027591,0
10,0.4267,1432.96,880.6139,2414.06,-1.2060320431,2.840806,0.134556,9.2196,0.6218,0.1325,0.145183,0.421264,23.054068,29,0.000592,383.9876,0.027469,0
11,0.4693,1433.08,880.5671,2414.06,-1.4452305248,2.840775,0.136577,9.1404,0.6217,0.1328,0.144104,0.421263,23.054059,30,0.000429,383.9874,0.027469,0
12,0.512,1432.99,880.5916,2414.06,-1.1907608309,2.84077,0.134594,9.2197,0.6218,0.1327,0.145162,0.421264,23.054075,31,0.000193,383.9878,0.027591,0
13,0.5547,1432.97,880.6083,2414.06,-1.2030243999,2.840772,0.134592,9.2196,0.6218,0.1326,0.145164,0.421264,23.054187,30,0.000175,383.9878,0.027347,0
14,0.5973,1433.18,880.534,2414.06,-1.7879939262,2.840769,0.138689,9.061,0.6217,0.133,0.142993,0.421262,23.054108,29,0.000559,383.9872,0.027591,0
15,0.64,1432.97,880.6099,2414.06,-1.2034101229,2.840773,0.134563,9.2197,0.6218,0.1326,0.145179,0.421264,23.054136,28,0.000578,383.9876,0.027469,0
16,0.6827,1432.99,880.5902,2414.06,-1.1895462132,2.840799,0.134585,9.2197,0.6218,0.1327,0.145167,0.421263,23.054014,28,0.000204,383.9875,0.027347,0
17,0.7253,1433.08,880.5682,2414.06,-1.4468198332,2.840787,0.136603,9.1403,0.6218,0.1328,0.14409,0.421263,23.054003,32,0.000164,383.9875,0.027591,0
18,0.768,1432.96,880.6128,2414.06,-1.2058660227,2.840793,0.134572,9.2196,0.6218,0.1325,0.145174,0.421264,23.054172,28,0.000398,383.9876,0.027469,0
19,0.8107,1433.18,880.5352,2414.06,-1.7879326451,2.840796,0.138675,9.061,0.6217,0.133,0.143,0.421262,23.054152,28,0.000597,383.987,0.027591,0
20,0.8533,1432.97,880.6032,2414.06,-1.19889011,2.840787,0.134581,9.2197,0.6218,0.1326,0.145169,0.421264,23.0542,30,0.000491,383.9875,0.027591,0
21,0.896,1432.98,880.5982,2414.06,-1.1959507783,2.840789,0.134601,9.2196,0.6218,0.1326,0.145159,0.421264,23.054058,33,5.3e-05,383.9877,0.027347,0
22,0.9387,1433.09,880.5626,2414.06,-1.4431114441,2.840797,0.136599,9.1403,0.6218,0.1329,0.144092,0.421263,23.054005,29,0.000311,383.9874,0.027591,0
23,0.9813,1432.96,880.6143,2414.06,-1.2064583433,2.840788,0.134558,9.2196,0.6218,0.1325,0.145182,0.421264,23.054081,29,0.00048,383.9875,0.027347,0
24,1.024,1433.09,880.5645,2414.06,-1.4436462754,2.840811,0.136577,9.1404,0.6218,0.1329,0.144104,0.421262,23.054097,27,0.000465,383.9874,0.027469,0
25,1.0667,1432.98,880.5949,2414.06,-1.1931942312,2.840791,0.134593,9.2197,0.6218,0.1327,0.145163,0.421264,23.054122,27,0.000256,383.9876,0.027713,0
26,1.1093,1432.97,880.6057,2414.06,-1.20132013,2.840799,0.134597,9.2196,0.6218,0.1326,0.145161,0.421264,23.054157,27,0.000115,383.9878,0.027469,0
27,1.152,1433.18,880.5344,2414.06,-1.7883349789,2.840778,0.138691,9.061,0.6217,0.133,0.142992,0.421262,23.054077,29,0.000525,383.9874,0.027469,0
28,1.1947,1432.96,880.6119,2414.06,-1.2047172412,2.840797,0.134559,9.2196,0.6218,0.1325,0.145181,0.421264,23.054097,28,0.000593,383.9875,0.027347,0
29,1.2373,1432.99,880.5871,2414.06,-1.1868893188,2.840781,0.134574,9.2197,0.6218,0.1327,0.145173,0.421263,23.05402,28,0.000261,383.9874,0.027469,0
30,1.28,1432.99,880.5868,2414.06,-1.1871256746,2.840795,0.13459,9.2197,0.6218,0.1327,0.145164,0.421263,23.054024,30,1.7e-05,383.9876,0.027591,0
31,1.3227,1432.96,880.6114,2414.06,-1.2049757963,2.840775,0.13458,9.2196,0.6218,0.1325,0.14517,0.421264,23.054196,28,0.000255,383.9877,0.027469,0
32,1.3653,1433.18,880.5344,2414.06,-1.7877984435,2.840773,0.138681,9.061,0.6217,0.133,0.142997,0.421262,23.054149,27,0.00059,383.9871,0.027713,0
