frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,-0.512438,-0.094243,-1.000000,0.585673,0.612692,0.704305,-0.723530,0.617213,0.414388,-0.703643,0.000000,-0.595264,0.000000,-1.864494,0.541527,1.115679
1,0.042700,0,-0.512438,-0.078996,-1.000000,0.614546,0.296815,0.721158,-0.723530,0.617213,0.414388,-0.721670,0.000000,-0.340497,0.000000,-1.628595,0.323412,1.115679
2,0.085300,0,1.884448,1.895509,-1.000000,-1.738499,-1.282570,-0.881362,0.917067,-1.620185,-2.413199,0.879716,0.000000,1.189861,0.000000,-0.065076,-1.130688,-0.830468
3,0.128000,0,-0.991815,-1.618957,-1.000000,-0.070825,1.560324,-1.010054,0.936255,0.617213,0.414388,1.008908,0.000000,-1.429845,0.000000,1.213170,1.486692,-0.830468
4,0.170700,0,-0.033060,0.046793,-1.000000,0.756485,-0.966693,0.774780,-0.733124,-1.620185,0.414388,-0.772746,0.000000,0.956178,0.000000,0.708455,-0.985278,1.115679
5,0.213300,0,-0.352645,-0.033255,-1.000000,0.648894,-0.019062,0.736478,-0.728327,0.617213,0.414388,-0.736692,0.000000,-0.073431,0.000000,-0.926383,0.032592,-0.830468
6,0.256000,0,-0.672230,-0.117114,-1.000000,0.545828,0.928569,0.693581,-0.718733,0.617213,0.414388,-0.694630,0.000000,-0.855302,0.000000,-1.019645,0.905052,-0.830468
7,0.298700,0,1.884448,0.435595,-1.000000,-2.239261,-1.282570,-2.511460,2.567258,-1.620185,0.414388,2.517155,0.000000,1.425301,0.000000,0.955326,-1.421508,1.115679
8,0.341300,0,-0.672230,-0.136173,-1.000000,0.502660,1.244447,0.667536,-0.718733,0.617213,0.414388,-0.667589,0.000000,-1.192648,0.000000,1.257058,1.195872,-1.803542
9,0.384000,0,-0.192853,0.008675,-1.000000,0.703878,-0.650816,0.756395,-0.728327,0.617213,0.414388,-0.754719,0.000000,0.422047,0.000000,-0.284517,-0.476343,-0.830468
10,0.426700,0,-0.192853,0.012487,-1.000000,0.710967,-0.650816,0.764055,-0.733124,0.617213,0.414388,-0.763732,0.000000,0.523953,0.000000,-1.732830,-0.549048,1.115679
11,0.469300,0,-0.832022,-1.615146,-1.000000,-0.050087,1.244447,-0.996266,0.936255,0.617213,0.414388,0.993886,0.000000,-1.268200,0.000000,0.198254,1.341282,-0.830468
12,0.512000,0,1.884448,1.918380,-1.000000,-1.716378,-1.282570,-0.876766,0.917067,-1.620185,-2.413199,0.873707,0.000000,1.391918,0.000000,1.268030,-1.348803,-0.830468
13,0.554700,0,-0.672230,-0.117114,-1.000000,0.560704,0.612692,0.690517,-0.718733,0.617213,0.414388,-0.691625,0.000000,-0.783264,0.000000,0.532902,0.759642,1.115679
14,0.597300,0,-0.352645,-0.052313,-1.000000,0.641295,-0.019062,0.731882,-0.723530,0.617213,0.414388,-0.730683,0.000000,-0.129655,0.000000,-1.228115,0.105297,1.115679
15,0.640000,0,-0.033060,0.046793,-1.000000,0.759079,-0.966693,0.782440,-0.733124,-1.620185,0.414388,-0.781759,0.000000,1.035244,0.000000,-0.756316,-0.985278,-0.830468
16,0.682700,0,-0.991815,-1.618957,-1.000000,-0.073609,1.560324,-1.008522,0.936255,0.617213,0.414388,1.005904,0.000000,-1.449172,0.000000,0.735885,1.486692,-0.830468
17,0.725300,0,-0.033060,0.058228,-1.000000,0.771568,-0.966693,0.779376,-0.737921,-1.620185,0.414388,-0.778755,0.000000,1.124852,0.000000,0.845606,-1.130688,0.142606
18,0.768000,0,-0.512438,-0.056125,-1.000000,0.623578,0.296815,0.724222,-0.723530,0.617213,0.414388,-0.721670,0.000000,-0.298329,0.000000,-0.553333,0.250707,-0.830468
19,0.810700,0,-0.512438,-0.105678,-1.000000,0.573293,0.612692,0.704305,-0.723530,0.617213,0.414388,-0.703643,0.000000,-0.656759,0.000000,-1.431098,0.614232,1.115679
20,0.853300,0,1.884448,0.427972,-1.000000,-2.246163,-1.282570,-2.514524,2.572056,-1.620185,0.414388,2.520159,0.000000,1.363805,0.000000,0.724913,-1.276098,0.142606
21,0.896000,0,-0.832022,-1.618957,-1.000000,-0.054494,1.244447,-1.006990,0.936255,0.617213,0.414388,1.005904,0.000000,-1.313882,0.000000,0.938868,1.341282,-1.803542
22,0.938700,0,-0.192853,0.027734,-1.000000,0.726994,-0.650816,0.764055,-0.733124,0.617213,0.414388,-0.763732,0.000000,0.650458,0.000000,0.373807,-0.694458,1.115679
23,0.981300,0,-0.192853,-0.002760,-1.000000,0.686937,-0.334939,0.753331,-0.728327,0.617213,0.414388,-0.751715,0.000000,0.286757,0.000000,-1.529846,-0.330933,1.115679
24,1.024000,0,-0.832022,-1.611334,-1.000000,-0.030538,1.244447,-0.988606,0.936255,0.617213,0.414388,0.987877,0.000000,-1.122368,0.000000,-0.114450,1.195872,-1.803542
25,1.066700,0,1.884448,1.922192,-1.000000,-1.712505,-1.282570,-0.873702,0.917067,-1.620185,-2.413199,0.870702,0.000000,1.441114,0.000000,1.191226,-1.421508,1.115679
26,1.109300,0,-0.672230,-0.128549,-1.000000,0.536282,0.928569,0.679793,-0.718733,0.617213,0.414388,-0.679607,0.000000,-0.960722,0.000000,0.735885,0.977757,1.115679
27,1.152000,0,-0.352645,-0.025631,-1.000000,0.667159,-0.334939,0.742607,-0.728327,0.617213,0.414388,-0.742701,0.000000,0.081186,0.000000,-0.827634,-0.112818,-0.830468
28,1.194700,0,-0.033060,0.035358,-1.000000,0.742292,-0.966693,0.776312,-0.733124,0.617213,0.414388,-0.775750,0.000000,0.852515,0.000000,-1.134852,-0.839868,0.142606
