frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,0.527317,-1.760483,-0.517698,2.210747,0.276594,-1.515343,-0.207770,-0.410391,0.963351,1.520843,0.493769,-0.384955,0.855773,-10.223907,-1.290097,1.495413
1,0.042700,0,0.105941,0.968540,0.462680,-0.272474,-0.266749,1.403998,0.443882,0.437752,-0.383282,-1.398544,-0.917645,0.857311,-0.480549,0.349456,1.460509,0.842884
2,0.085300,0,-0.166705,-0.117421,0.340119,-0.000375,-0.261628,-0.077614,0.944271,0.225716,0.502374,0.073650,-1.071900,0.348313,-1.053259,-0.513147,0.966388,0.924395
3,0.128000,0,-1.313287,-0.282324,0.340119,-1.042652,-0.283841,-0.351517,-0.167471,1.169938,0.444299,0.347205,0.213044,-0.476179,0.092160,0.180922,1.651106,0.625301
4,0.170700,0,-0.227275,-1.198207,-1.130395,-0.308538,0.108576,0.123745,-1.284947,-0.115529,0.535042,-0.127839,1.669643,-0.402386,-0.098743,0.419937,-1.632386,-0.679756
5,0.213300,0,1.914709,1.696313,2.423434,1.436072,0.571665,0.671252,-1.205883,-0.831149,-1.443165,-0.673477,1.490458,-1.402655,-0.480549,0.326633,0.677022,-0.897340
6,0.256000,0,-0.666610,0.791221,1.075481,-1.096789,-0.622072,-0.017162,1.014694,1.106990,0.458818,0.011880,-1.442218,0.216102,-1.053259,0.255482,0.458254,0.244696
7,0.298700,0,0.344628,0.821183,0.340119,0.306856,-0.772463,0.027917,-0.050208,0.242282,-0.212684,-0.032242,0.364443,1.257554,1.428482,-0.096273,1.236729,0.706811
8,0.341300,0,-0.638692,-1.486194,-0.272577,0.305603,-0.389056,0.084787,-0.017984,1.116929,2.433395,-0.089600,-0.061188,-0.594222,-0.098743,-0.267506,-0.271254,0.462280
9,0.384000,0,-2.820348,-2.727240,-3.091149,-1.836189,-0.564336,-1.927465,1.665377,2.534918,3.580392,1.939999,-1.733330,1.266529,0.664869,-0.101557,1.607769,-0.652586
10,0.426700,0,-0.749710,-0.576993,0.095103,-0.822950,0.631489,-1.257262,0.954124,0.520579,0.179328,1.259054,-0.249723,0.259050,-0.480549,0.185920,0.400008,-1.876132
11,0.469300,0,0.582173,1.197352,1.443057,0.686327,0.476603,-0.362563,0.674129,0.255534,-0.114681,0.358971,-0.937641,1.018014,0.855773,0.523122,1.150174,0.136016
12,0.512000,0,0.562908,0.229515,0.707800,0.221734,0.553894,0.121357,-1.601607,0.139577,0.161179,-0.126368,1.688081,-1.251928,0.855773,0.268732,-0.654016,0.516620
13,0.554700,0,0.597846,1.262355,0.707800,-0.316975,0.254880,-0.632585,0.086519,-0.605861,-1.417757,0.629584,0.369377,1.619246,2.192094,0.616714,-1.176093,-0.380662
14,0.597300,0,-0.522614,0.266285,0.217664,-0.383250,-1.038255,0.236739,-1.040810,0.659727,-0.579287,-0.241085,0.856295,0.228035,1.046676,-0.008904,0.898458,-0.407832
15,0.640000,0,-0.861054,-0.150815,-0.027457,-0.887611,-0.333942,0.728570,0.160011,0.981094,0.981500,-0.730836,-0.583164,0.306642,0.283063,0.487336,1.480079,-0.625416
16,0.682700,0,0.366179,1.991472,1.320601,-0.924887,-0.146761,2.472144,-0.780278,0.126325,-1.258048,-2.448641,0.271215,-0.770460,-0.862355,-0.435160,-0.491570,-0.081568
17,0.725300,0,0.780698,1.105648,0.217664,0.611227,0.733742,0.746184,-0.249846,-0.460087,-0.738996,-0.748484,-0.093909,-0.550172,-0.289646,-0.106344,-0.652586,0.842884
18,0.768000,0,0.044881,0.102278,0.095103,0.041498,-1.519008,0.536316,-0.264545,-0.052581,-0.757145,-0.539642,0.261346,1.306910,1.428482,-0.495206,-0.412588,1.114808
19,0.810700,0,-0.832157,-0.320000,-0.762714,-0.352410,1.566304,-1.296668,1.374964,1.239512,1.228322,1.300234,-0.805978,1.007627,1.619385,0.103950,0.930927,-0.462172
20,0.853300,0,-1.707725,0.091921,-0.640154,-1.514331,-1.375023,-2.903365,0.303521,1.941881,0.382593,2.938620,0.404176,0.007237,0.283063,0.432690,0.123195,-1.468135
21,0.896000,0,-0.627591,-0.225841,-0.395138,-0.522138,0.850732,-0.563027,-0.016854,0.765745,0.683861,0.558989,0.080862,0.063551,-0.098743,0.455934,-1.786476,-0.788437
22,0.938700,0,0.647804,0.680165,0.462680,0.768301,1.010329,0.344659,0.183916,-0.317625,-0.307057,-0.348447,-0.637440,0.464800,0.473966,0.237617,1.169789,-0.435002
23,0.981300,0,-0.248009,0.948730,-0.150017,-0.877701,-0.748447,-0.583476,0.152096,0.626596,-0.103792,0.579579,-0.106374,-0.782742,-0.480549,0.164762,0.735657,0.407940
24,1.024000,0,-1.801274,-0.839057,-1.620636,-2.402935,-1.462717,1.717008,-0.907475,1.100364,1.017797,-1.707396,0.988997,-0.267644,-0.289646,0.127176,-0.283810,0.516620
25,1.066700,0,-2.034573,-1.584733,-2.355892,-1.245360,-0.002973,-1.281145,1.733619,1.136808,0.952462,1.284056,-1.888365,1.408964,0.664869,0.105520,0.861198,0.625301
26,1.109300,0,-0.631182,-1.651580,-1.988212,-0.166589,0.587045,0.167182,-0.462730,0.510639,1.235582,-0.171961,0.384180,-0.454931,-0.480549,-0.449425,0.138646,0.271866
27,1.152000,0,0.464462,-0.714445,-0.272577,0.285177,0.647351,0.890971,-1.170188,-0.638992,0.211995,-0.891145,1.484485,-0.398657,-0.289646,0.163020,-0.623662,-2.120664
28,1.194700,0,-0.292089,-2.090661,-1.007834,0.318937,1.777374,0.085384,0.982148,-0.271242,1.115800,-0.089600,-1.234466,0.064949,-0.289646,-0.070998,-0.824920,-0.516513
29,1.237300,0,0.668212,0.284293,0.462680,0.989734,1.071616,-0.006116,1.380052,-0.940480,-0.561139,0.001585,-1.325877,1.097465,-0.098743,-0.155476,0.235931,1.060468
30,1.280000,0,-0.486533,-0.906695,-0.762714,0.053153,-0.096679,0.774395,-0.744744,0.182647,0.433409,-0.776428,0.306532,-0.482640,0.283063,-0.448295,-0.966138,0.570960
31,1.322700,0,-0.374699,0.011595,-0.150017,0.030485,-1.139812,0.174197,0.513578,0.119699,-0.717217,-0.179314,-0.223235,1.275987,0.283063,-0.491989,0.567893,0.815714
32,1.365300,0,-1.623972,-1.207911,-1.130395,-0.312430,-0.012643,-1.140088,1.021478,2.508414,2.614882,1.141396,-0.982308,0.080411,0.283063,-0.426180,1.064619,-0.734096
33,1.408000,0,-1.729112,0.602009,0.095103,-1.999465,-1.167520,-0.131201,1.377710,1.491305,-0.190905,0.126596,-1.530772,0.404500,-0.480549,0.006318,-1.092672,-2.093493
34,1.450700,0,-0.747261,-1.737161,-1.988212,-0.967971,0.944617,1.339515,-0.685870,0.156142,1.217433,-1.335303,0.246804,-0.988692,-0.671452,0.336838,-1.082473,-1.984813
35,1.493300,0,1.141995,-0.139847,-0.027457,0.713318,-0.876963,1.377429,-1.217755,-1.629596,-0.967669,-1.373542,1.072877,-1.061117,-0.671452,0.125185,0.473750,-0.924510
36,1.536000,0,0.615152,0.152263,0.462680,0.692353,0.268619,-0.864693,1.021235,-0.171851,0.386223,0.863429,-0.801564,1.141846,-0.098743,0.142915,0.014974,-0.734096
37,1.578700,0,0.684048,1.368261,1.198041,0.539138,-0.095002,0.336150,-0.182331,-0.569418,-0.847888,-0.339623,-0.049502,0.830914,1.046676,-0.129340,-0.059299,-0.244811
