frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,23721.83,14115.7357,40722.66,-0.1013295102,0.889337,0.835036,26.0717,-0.0094,-1.2188,0.013049,0.83225,-3.059263,126,0.0,2302.1937,0.451837,0
1,0.0427,23571.79,13917.7694,40324.22,-0.0427495772,1.055828,0.844054,26.346,0.0186,-1.1971,0.012272,0.837377,-2.583619,157,3.792196,2216.6213,0.451593,0
2,0.0853,23834.92,13994.2419,40804.69,0.0488380354,0.968667,0.842132,27.3456,-0.0186,-1.1937,0.012437,0.819141,-2.658227,143,3.827772,2285.4853,0.45489,0
3,0.128,23714.53,14078.6768,40757.81,-0.0767650041,0.981889,0.836068,27.0235,0.0002,-1.2039,0.01296,0.823794,-2.250332,162,3.824095,2322.3322,0.452448,0
4,0.1707,23801.0,13953.3032,40781.25,0.0468450076,0.983952,0.842354,26.0913,-0.0058,-1.1874,0.012418,0.834776,-2.53137,156,3.850352,2262.4504,0.456965,0
5,0.2133,23725.26,14050.6307,40593.75,-0.0433532519,0.939435,0.832288,25.8918,-0.0013,-1.2139,0.013288,0.831767,-2.948736,132,3.904449,2295.2846,0.463191,0
6,0.256,23925.6,14050.3051,41015.62,0.0514805333,1.069664,0.836285,27.6668,-0.0114,-1.2009,0.012941,0.824114,-2.058659,180,3.9183,2327.0851,0.461116,0
7,0.2987,23914.23,14103.7463,40898.44,0.012268886,0.976862,0.840001,25.432,-0.0175,-1.2032,0.01262,0.836935,-3.226109,128,3.862579,2237.1437,0.463435,0
8,0.3413,23836.2,14117.0331,41027.34,-0.0453286254,0.913871,0.836416,27.3634,-0.0175,-1.2189,0.01293,0.823756,-2.416764,148,3.950794,2346.8901,0.462703,0
9,0.384,23784.54,14088.2111,40617.19,-0.0841873652,0.893872,0.836328,26.6503,-0.0164,-1.2069,0.012937,0.827855,-2.704723,140,3.92134,2389.4388,0.457087,0
