frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,-0.111367,0.426650,0.509699,-0.490117,0.128247,-0.969476,-1.423268,0.017261,0.024149,0.969004,0.904502,-2.202386,-1.417504,-10.118283,0.646594,1.023933
1,0.042700,0,-0.147414,1.228946,-0.095098,-0.099669,-0.854898,-2.222079,0.845991,-0.112006,-1.269072,2.240158,-1.061599,0.769470,0.424854,0.396939,1.139326,0.426730
2,0.085300,0,-0.983899,-2.032197,-0.548793,0.408303,0.410482,-2.174083,-0.495263,1.275635,1.221872,2.191210,-1.286055,1.186446,1.346033,0.382272,0.442398,-0.211805
3,0.128000,0,-0.033432,-0.174426,-0.548793,-0.503360,0.270998,0.826958,1.153910,0.194014,0.445939,-0.828708,0.658166,-1.657465,-1.187209,0.444986,-1.743882,-0.562029
4,0.170700,0,0.116312,-0.193629,-0.548793,-0.512316,0.144388,0.825435,-0.442598,-0.911350,1.930159,-0.827225,0.651461,0.285297,-0.496325,-0.302237,0.212196,0.220746
5,0.213300,0,-0.596645,-0.580295,-1.456053,-0.608077,3.856154,-0.037992,-0.213252,0.011985,-0.381723,0.033066,-0.707976,0.823589,0.194559,0.210865,-0.459355,1.209336
6,0.256000,0,-2.583066,0.540960,-2.060979,-2.593833,0.558878,0.069429,-0.821870,1.695093,-1.002470,-0.073728,-0.530106,0.933714,0.655149,-0.019259,-0.278025,2.239089
7,0.298700,0,-0.398602,-0.298486,-0.548793,-0.380820,-0.565953,0.240463,1.028619,-0.206977,-0.015642,-0.244303,-0.081195,1.215338,0.194559,-0.454818,-0.224965,1.785957
8,0.341300,0,1.281065,0.782203,1.416959,0.575212,-0.514755,-0.532303,0.336331,-1.343998,-0.747805,0.528475,-1.233117,0.132318,-0.726620,0.065743,0.648877,-1.076905
9,0.384000,0,1.056663,-0.007440,0.207236,0.917401,-0.764855,0.491873,-1.572344,-0.800550,-1.030324,-0.494974,0.464415,-0.187976,-0.726620,0.587877,-0.823090,-1.941837
10,0.426700,0,-0.233185,-0.700952,-1.607285,0.448327,-0.060703,-0.567983,1.156459,0.135976,-0.039517,0.564074,-0.224480,2.426994,2.267212,0.489104,0.823216,-0.973829
11,0.469300,0,1.164376,0.153951,0.509699,1.059258,0.491736,0.261541,0.546141,-1.061721,-0.795554,-0.265069,-0.330002,2.005931,2.727802,0.424348,0.197608,0.364817
12,0.512000,0,-1.924108,0.696998,-0.095098,-1.516526,0.678184,-0.653310,1.555692,2.320322,-0.552827,0.650103,-1.001956,-0.538099,-0.726620,-0.142495,1.359924,1.209336
13,0.554700,0,0.785386,-0.298646,-0.246330,0.738069,-0.461130,2.279419,-1.008745,-0.251825,-0.365807,-2.260054,1.520343,0.636965,0.424854,0.076815,-1.031725,0.158832
14,0.597300,0,0.972886,-0.068584,0.207236,1.559424,0.769688,-1.807381,-0.413293,-0.898159,-0.938803,1.817429,-1.677793,-0.905730,-1.187209,-0.503809,1.633826,-0.994410
15,0.640000,0,0.890677,-0.133166,-0.095098,1.701537,0.837301,-0.373204,-1.084769,-0.750426,-0.170829,0.369767,0.520881,0.534814,1.346033,0.187977,0.881659,1.394739
16,0.682700,0,0.037522,-0.117263,-1.456053,-1.039815,-0.551520,0.870764,0.516836,-0.687111,-0.298161,-0.871722,0.273486,-0.135618,-0.726620,-0.493976,-0.847930,2.074268
17,0.725300,0,0.404971,1.999586,0.963394,-0.713270,-1.316996,1.969220,-1.255930,-0.320415,-1.531696,-1.955986,2.933070,-1.828982,-0.956914,-1.006659,-1.368728,0.447312
18,0.768000,0,-0.099541,0.147298,-0.397561,0.520752,0.663033,0.242241,0.555910,-0.019672,-0.548847,-0.245786,0.219490,0.301873,1.576328,-0.173690,-0.336239,0.117669
19,0.810700,0,0.330171,0.472001,0.358467,0.603151,-1.340268,-0.187060,-1.029981,-0.220168,-0.863200,0.182876,1.112018,-0.065241,-0.266030,0.102670,-0.242087,-0.088315
20,0.853300,0,0.059891,-0.292243,0.056004,-0.318450,-1.015722,-1.102164,0.227179,-0.412749,-1.432217,1.102497,-1.682028,0.553052,0.655149,-0.103918,0.439647,0.467893
21,0.896000,0,-0.583680,0.697622,0.207236,-1.345287,-0.526539,-0.206868,-1.014266,-0.138387,-0.079308,0.202158,0.194433,-0.220907,0.424854,0.142028,0.254358,0.611964
22,0.938700,0,1.173210,0.227334,0.812162,0.802532,1.209802,0.406165,0.185132,-1.578789,0.895582,-0.410428,-0.098841,0.306082,-0.035735,0.026346,-0.440030,1.600554
23,0.981300,0,-0.065774,-0.098185,-1.456053,0.128830,-0.030523,0.492635,-1.129365,-0.708216,-1.225302,-0.496457,1.831263,-2.152157,-1.878093,-0.252083,0.019350,1.373988
24,1.024000,0,0.146232,0.003465,0.056004,0.244973,0.770456,-0.606456,-1.236393,0.001433,-0.727909,0.604122,0.380067,0.780891,0.194559,0.128677,0.700260,-0.314712
25,1.066700,0,-1.219984,0.423757,-0.851256,-0.721739,-0.375568,-1.446011,-0.672370,0.922130,-1.129802,1.451063,-0.381528,-1.901848,-1.417504,-0.048261,1.192152,-0.191223
26,1.109300,0,-0.598640,0.000661,0.509699,0.116282,1.592156,1.142236,-0.601018,1.602759,0.223106,-1.140193,0.821920,-0.052060,0.194559,0.167282,-2.141759,-0.129478
27,1.152000,0,1.354583,-0.161273,-1.002487,1.445614,-1.459872,-1.673423,1.549746,-1.969228,-0.369786,1.680969,-0.935255,-1.788719,-1.647799,0.088460,0.947711,1.023933
28,1.194700,0,-0.074038,-0.548707,-0.548793,-0.120590,-0.332936,-0.333334,-0.659204,-0.776807,0.736416,0.329719,0.129496,0.254723,-0.496325,-0.055919,-0.399447,1.889034
29,1.237300,0,-0.046112,-0.639741,-1.909748,-0.072015,-0.051617,-0.953858,0.080652,-0.987855,0.660812,0.952688,-0.004965,0.253942,-0.035735,0.033928,1.154132,-0.685518
30,1.280000,0,1.313835,-0.915411,0.509699,1.899410,-0.199468,-1.741989,-0.662177,-0.578949,1.257684,1.750682,-0.386469,-0.339198,-0.035735,0.343132,-0.217540,-1.056324
31,1.322700,0,1.611185,-1.171732,-1.002487,1.188512,-1.105196,-0.082941,-0.326226,-2.174999,0.728458,0.079048,-0.623982,0.375607,0.885444,0.394221,0.214765,0.776786
32,1.365300,0,-0.687403,1.074293,0.056004,-0.289120,-1.071229,1.363171,1.540827,1.399626,-0.807492,-1.358232,0.957793,0.474034,0.424854,-0.105139,-0.702583,1.477065
33,1.408000,0,0.477065,-0.187239,-0.095098,0.634576,-0.874902,0.185991,-0.101551,-0.407473,-0.763721,-0.190906,0.560055,-0.168819,-0.956914,0.122649,-0.652321,0.921025
34,1.450700,0,-0.882597,-0.092203,0.660931,-0.804687,0.957003,-0.369649,-0.463834,1.610674,0.378293,0.365317,0.642638,0.205203,-0.035735,-0.176112,1.546076,0.550220
35,1.493300,0,1.189025,-1.488690,0.660931,1.838584,0.913257,-0.058942,-1.153573,-0.631711,1.579994,0.053832,0.447828,-0.201843,-0.266030,0.009466,1.068979,0.900444
36,1.536000,0,0.597601,0.967203,0.207236,-0.014632,0.343364,-0.868024,1.297464,-1.747627,-0.031559,0.866659,-0.261183,0.736452,0.655149,-0.140578,1.145533,1.373988
37,1.578700,0,-0.927478,0.741560,1.416959,-0.768620,1.424202,0.386738,-0.273561,1.465578,-0.517014,-0.391146,-0.399174,-0.021667,-0.266030,-0.283316,-0.877803,0.447312
38,1.621300,0,-0.921209,-0.048889,-0.700024,-0.914511,0.932072,0.016480,2.521497,1.006549,1.361142,-0.021814,-1.503452,2.149799,1.576328,0.224818,0.227064,-0.726681
39,1.664000,0,1.318394,-0.653699,0.812162,1.140408,-0.805977,1.313016,-0.898744,-0.750426,0.243002,-1.309284,1.287065,0.720914,0.655149,-0.055852,-0.957419,0.097088
40,1.706700,0,0.413662,-0.496592,1.114496,0.762572,0.831062,0.677763,-0.533912,0.948511,0.123628,-0.680382,-0.235067,-1.106565,-1.417504,-0.333995,-2.329902,-0.232386
41,1.749300,0,0.032250,0.939142,0.207236,-0.707991,-1.185658,-0.410662,0.279844,0.666234,-0.767700,0.406848,0.347246,0.678429,1.115738,-0.159575,-0.045214,-0.376626
42,1.792000,0,-1.444101,-0.106726,-2.060979,-1.838023,-0.561472,-1.145844,0.580119,0.434081,0.609083,1.146995,-1.093009,-0.181649,-0.496325,0.722643,1.365513,-0.376626
43,1.834700,0,-0.032434,0.414403,-0.095098,0.415828,0.904443,0.248971,-0.289276,0.927406,-0.417536,-0.253203,-0.491991,1.285830,1.346033,0.235308,0.234741,-0.417789
44,1.877300,0,-1.202744,-2.011856,-1.002487,-0.952923,1.216437,0.168215,-1.340024,0.660958,2.737925,-0.173107,0.799333,-0.291966,-0.266030,0.252131,0.630719,1.538810
45,1.920000,0,-0.243871,-0.163449,0.358467,-0.706953,-0.086104,0.231321,-0.122787,-0.291396,0.318606,-0.235404,0.190551,0.587173,0.885444,0.082842,-0.616389,1.126841
46,1.962700,0,-1.982523,2.121770,0.812162,-2.088849,-0.889905,-0.692037,-0.105374,1.584293,-1.253156,0.690151,-0.430936,-0.015096,0.424854,-0.156762,0.697675,0.921025
47,2.005300,0,0.680380,-1.515826,-1.002487,0.733286,-0.896837,0.752678,0.514712,-0.528825,1.464599,-0.754545,0.122438,-1.137197,-0.956914,-0.347375,-0.700089,0.632546
48,2.048000,0,-1.320146,0.576969,-1.153719,-1.677843,-0.918326,0.221925,0.664637,0.740101,0.334522,-0.226504,0.916149,0.687917,0.885444,-0.703721,0.383841,0.941607
49,2.090700,0,-0.857236,0.178009,0.207236,-0.557291,-0.663300,0.234115,0.335907,1.383797,-0.528952,-0.238370,-0.503990,0.278624,0.194559,-0.065923,0.751558,0.529638
50,2.133300,0,0.785813,-1.423847,1.568191,1.715887,1.490923,-0.393266,-0.224294,0.286348,2.312157,0.389049,0.219490,-1.097782,-0.726620,-0.090061,-0.194256,-0.912084
51,2.176000,0,-1.366451,1.598747,-0.246330,-1.765985,-1.620350,-0.912719,-0.909786,0.985444,-1.281010,0.911157,0.261487,0.069856,0.885444,0.187529,0.573094,0.509056
