frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,24123.84,13808.1951,40746.09,0.0728175831,0.146428,0.838528,3.2576,-0.0155,-1.1948,0.012747,0.950173,-7.438716,130,0.0,2350.6101,0.505799,0
1,0.0427,23926.89,14006.8716,40980.47,-0.0371699133,0.106717,0.841553,3.2993,-0.0002,-1.2266,0.012486,0.948801,-6.910242,133,5.245099,2319.6892,0.502259,0
2,0.0853,23980.15,13886.5153,40699.22,0.0352619009,0.157828,0.843978,3.2242,-0.0074,-1.2018,0.012278,0.947826,-6.136787,144,5.072514,2273.4518,0.498474,0
3,0.128,23719.93,13748.8542,40417.97,-0.1181991065,0.152194,0.842388,3.2481,0.025,-1.1828,0.012415,0.948782,-6.528751,144,5.232261,2274.1747,0.496398,0
4,0.1707,23995.67,13799.4133,40652.34,-0.0458057875,0.14708,0.846629,3.4936,-0.0133,-1.1951,0.012051,0.949262,-6.751879,137,5.191795,2250.8263,0.501038,0
5,0.2133,24269.4,13818.5217,40816.41,0.0921347511,0.297005,0.847189,3.383,-0.0307,-1.195,0.012003,0.94836,-6.143893,153,5.210657,2233.1814,0.506898,0
6,0.256,24193.42,13929.218,40910.16,-0.0396563595,0.163822,0.839078,3.1997,-0.0365,-1.2037,0.0127,0.947025,-5.809121,164,5.174843,2328.0889,0.513002,0
7,0.2987,24199.54,13910.2038,40921.88,0.0377763844,0.118388,0.844863,3.2017,-0.0266,-1.2026,0.012202,0.948946,-5.868571,156,5.151123,2296.3303,0.510316,0
8,0.3413,24116.21,13851.8351,40898.44,0.0766757929,0.120456,0.845959,3.0333,-0.0007,-1.1907,0.012108,0.949875,-7.234958,125,5.160705,2314.2066,0.493346,0
9,0.384,23814.97,13936.4739,40875.0,-0.0790301122,0.110354,0.84537,3.4292,0.0212,-1.2135,0.012159,0.949359,-6.47726,143,5.26886,2288.7193,0.488219,0
10,0.4267,24146.39,13940.9976,41238.28,0.0620642486,0.138796,0.844111,3.5341,-0.0149,-1.2118,0.012267,0.949305,-6.031,153,5.102285,2304.4748,0.493957,0
11,0.4693,23907.61,13829.995,40640.62,0.0004680297,0.16111,0.849949,3.5311,0.0067,-1.1996,0.011768,0.948889,-5.649049,173,5.118608,2236.5375,0.501892,0
12,0.512,24092.09,13946.7396,40839.84,0.0045624646,0.168641,0.844135,3.3054,-0.0115,-1.2048,0.012265,0.947304,-5.821543,168,5.037001,2309.4207,0.506898,0
13,0.5547,23953.92,13897.8506,40804.69,-0.0558437108,0.122622,0.848256,3.5927,0.0018,-1.2156,0.011912,0.948852,-6.597178,147,5.144015,2253.2779,0.500671,0
14,0.5973,23946.74,13799.4988,40699.22,0.070794153,0.172337,0.842921,3.3162,0.0027,-1.1974,0.012369,0.947637,-6.448981,142,5.16472,2297.495,0.493835,0
15,0.64,24139.26,13805.5851,40875.0,0.117933166,0.175068,0.846951,3.5232,-0.0121,-1.1931,0.012024,0.948841,-5.958013,156,5.138315,2281.473,0.507997,0
16,0.6827,24326.1,13818.7336,40945.31,0.0757250601,0.118971,0.845404,3.5049,-0.0253,-1.1941,0.012156,0.9472,-6.617587,135,5.105951,2287.1515,0.512025,0
17,0.7253,23993.0,13734.9919,40605.47,-0.0204629215,0.088052,0.848767,3.3886,-0.0062,-1.1862,0.011869,0.950669,-7.233589,136,5.085151,2243.7865,0.502381,0
18,0.768,23917.67,13852.1771,40640.62,-0.0208741709,0.168029,0.848483,3.2505,0.0002,-1.1961,0.011893,0.950731,-7.157111,140,5.147083,2295.836,0.500427,0
19,0.8107,23796.25,13859.7345,40734.38,-0.0425092923,0.087112,0.848948,3.9234,0.0247,-1.1906,0.011853,0.948731,-6.1261,153,5.149795,2246.4134,0.499206,0
20,0.8533,24024.78,13887.9616,40875.0,-0.0042941317,0.100221,0.837385,3.5603,0.0001,-1.2051,0.012846,0.945705,-6.066571,166,5.06662,2335.561,0.502503,0
21,0.896,24126.49,13810.3263,40722.66,0.0337434619,0.11998,0.848521,3.4753,-0.0265,-1.1965,0.01189,0.949425,-6.968355,126,5.18534,2236.79,0.503357,0
22,0.9387,24157.7,13895.8549,41097.66,0.0899183268,0.190114,0.852033,3.0631,0.0012,-1.2169,0.011591,0.951439,-6.700905,134,5.062781,2240.3441,0.509217,0
23,0.9813,24137.97,13949.6286,41050.78,0.0262817265,0.140015,0.848659,2.929,-0.0093,-1.2094,0.011878,0.951059,-6.942144,135,5.021027,2245.9074,0.507874,0
24,1.024,24015.21,13883.6704,40933.59,0.0211805709,0.172368,0.844239,3.5549,0.0088,-1.2023,0.012256,0.948635,-5.907118,154,5.146017,2299.2408,0.497864,0
25,1.0667,23982.61,13993.6004,40957.03,-0.0184447919,0.126078,0.842773,3.2337,-0.0011,-1.2232,0.012382,0.949735,-6.908225,145,5.080111,2340.5945,0.498596,0
26,1.1093,23975.4,13827.8217,40675.78,-0.0282371229,0.205558,0.846569,3.4302,-0.0086,-1.1942,0.012056,0.949411,-6.856118,147,5.08482,2250.9612,0.498962,0
27,1.152,24203.28,13850.0138,40957.03,0.1239994829,0.082281,0.841267,3.3169,-0.0123,-1.1879,0.012511,0.947754,-6.580357,153,5.086316,2329.4534,0.505799,0
28,1.1947,24015.19,13943.2534,40886.72,-0.0149374409,0.1278,0.851293,3.5621,-0.0056,-1.2154,0.011654,0.950923,-7.510591,118,5.161591,2232.4855,0.510927,0
29,1.2373,23964.7,13865.8836,40828.12,0.0226844659,0.139163,0.840164,3.1964,0.0179,-1.1986,0.012606,0.949483,-6.515311,148,5.111626,2343.9374,0.495666,0
30,1.28,24027.36,13793.5618,40781.25,0.122827596,0.133191,0.847163,3.0686,-0.0007,-1.1934,0.012006,0.950182,-7.107251,131,5.117395,2245.2192,0.493468,0
31,1.3227,23947.4,13830.7115,40664.06,-0.0174336121,0.096607,0.841872,3.2827,-0.0008,-1.2099,0.012459,0.948704,-6.766411,142,5.174416,2310.3559,0.504334,0
32,1.3653,23987.8,13892.5088,40910.16,-0.040559702,0.097979,0.852201,3.7116,-0.0063,-1.2091,0.011576,0.94926,-6.183205,152,5.102809,2214.5109,0.508485,0
33,1.408,24130.57,13818.7357,40863.28,0.0707736211,0.105909,0.848667,3.3039,-0.0201,-1.202,0.011877,0.949241,-7.269745,124,5.26153,2190.9514,0.505189,0
34,1.4507,23902.08,13803.1125,40593.75,-0.0351357617,0.179903,0.843839,3.0479,0.003,-1.1863,0.01229,0.948932,-6.306562,145,5.156625,2308.8356,0.502991,0
35,1.4933,24045.77,13698.9393,40441.41,0.1058283993,0.178136,0.8443,3.3452,-0.0097,-1.1977,0.012251,0.948184,-6.237529,150,5.214429,2300.655,0.505067,0
36,1.536,24117.66,13820.3463,41003.91,0.0655792927,0.155117,0.837402,3.1951,-0.0008,-1.1931,0.012844,0.947316,-5.995923,161,5.188252,2391.1367,0.507874,0
37,1.5787,24209.86,13935.3955,41039.06,0.0494335656,0.198774,0.845949,3.2229,-0.0278,-1.2173,0.012109,0.948386,-5.937265,166,5.193441,2265.6843,0.502381,0
38,1.6213,23933.0,13775.9384,40640.62,-0.0465811369,0.178896,0.843857,3.5603,-0.0097,-1.1758,0.012288,0.947785,-6.06287,151,5.13564,2294.606,0.495422,0
39,1.664,24151.83,13847.5267,40863.28,0.0710557914,0.108693,0.850393,3.3177,-0.0129,-1.2031,0.01173,0.949235,-6.244043,154,5.210669,2256.2111,0.500305,0
40,1.7067,23714.54,13826.1295,40582.03,-0.0960323538,0.174816,0.846635,3.194,0.0347,-1.1902,0.012051,0.949038,-6.431366,145,5.097074,2275.3901,0.498352,0
41,1.7493,24014.76,13946.78,40910.16,-0.0344954899,0.093357,0.846882,3.4032,-0.001,-1.2159,0.01203,0.950097,-6.281914,149,5.176276,2273.8939,0.497497,0
42,1.792,24106.05,13836.344,40664.06,0.0142466607,0.118569,0.844296,3.3072,-0.0227,-1.1841,0.012251,0.94847,-6.935487,137,5.24395,2296.7593,0.497497,0
43,1.8347,24032.08,13902.0506,41027.34,0.0319138187,0.17778,0.849325,3.0601,0.0006,-1.2115,0.011821,0.949632,-6.230566,151,5.193445,2257.706,0.497253,0
44,1.8773,23950.13,13905.1803,40640.62,-0.0713583562,0.190382,0.840265,3.0985,-0.0119,-1.2161,0.012597,0.948981,-6.288468,153,5.214358,2385.8344,0.508851,0
45,1.92,23897.31,13790.8282,40605.47,-0.0350777949,0.13777,0.847063,3.061,0.0063,-1.182,0.012014,0.950256,-6.151262,152,5.057624,2313.1402,0.506409,0
46,1.9627,24104.11,13838.7715,40699.22,0.0076071789,0.105303,0.840814,3.1505,-0.0129,-1.1859,0.01255,0.949981,-7.092999,140,5.144074,2315.0681,0.505189,0
47,2.0053,24202.64,13770.8363,40875.0,0.1268107954,0.105023,0.846715,3.3725,-0.0086,-1.1954,0.012044,0.949902,-6.939231,136,5.119839,2271.1452,0.503479,0
48,2.048,24202.93,13923.6928,40921.88,-0.0248451592,0.104155,0.84203,3.3937,-0.0279,-1.2078,0.012445,0.948972,-6.683122,141,5.079973,2306.1593,0.505311,0
49,2.0907,23933.75,13990.2161,40898.44,-0.101872559,0.114456,0.845499,3.3419,0.0006,-1.2225,0.012148,0.948631,-6.746712,139,5.13127,2261.1645,0.502869,0
50,2.1333,24043.87,13813.3149,40722.66,0.074139307,0.201469,0.84745,3.3775,-0.0053,-1.2011,0.011981,0.950163,-6.21387,148,5.038169,2282.1329,0.494323,0
