frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,448.59,131.7799,445.31,-8.6455560685,3.008402,0.067106,8.4864,17.4296,333.6282,0.19554,0.14148,15.210977,13,0.0,45.3877,0.009278,0
1,0.0427,442.1,51.9973,445.31,-12.0624699495,3.207813,0.072779,7.2901,24.9643,688.4502,0.189665,0.131825,17.161124,13,0.003479,35.0626,0.009156,0
2,0.0853,440.05,11.601,445.31,7.0188921173,3.326746,0.103709,5.7386,-0.0179,5.2877,0.16403,0.129733,17.667882,13,0.00357,21.417,0.009156,0
3,0.128,440.06,11.5717,445.31,7.1017518644,3.412103,0.103673,5.7597,-0.0152,5.3761,0.164056,0.128977,17.862039,13,0.003581,21.9919,0.009156,0
4,0.1707,440.06,11.5578,445.31,7.1273444399,3.478739,0.103656,5.7698,-0.0142,5.4186,0.164067,0.128622,17.955207,13,0.003592,22.4381,0.009156,0
5,0.2133,440.06,11.5503,445.31,7.1426004895,3.533455,0.103649,5.7753,-0.0137,5.4422,0.164073,0.128427,18.006709,14,0.003597,22.8029,0.009156,0
6,0.256,440.07,11.5456,445.31,7.1640065001,3.57989,0.103638,5.7786,-0.013,5.4561,0.16408,0.12831,18.03814,13,0.003601,23.1113,0.009156,0
7,0.2987,440.07,11.5427,445.31,7.1522402263,3.620219,0.10364,5.7808,-0.0132,5.4659,0.164078,0.128234,18.058573,13,0.003603,23.3784,0.009156,0
8,0.3413,440.07,11.5405,445.31,7.1819131232,3.65581,0.103629,5.7823,-0.0124,5.4717,0.164086,0.128181,18.072766,13,0.003604,23.6141,0.009156,0
9,0.384,440.07,11.5392,445.31,7.1560662878,3.687799,0.103637,5.7833,-0.0131,5.477,0.164081,0.128143,18.082798,14,0.003605,23.8249,0.009278,0
10,0.4267,440.07,11.5379,445.31,7.1896331685,3.716557,0.103625,5.7841,-0.0122,5.4797,0.164089,0.128116,18.090397,13,0.003606,24.0156,0.009156,0
