frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,10.430508,10.160798,-1.000000,-6.768427,-4.253757,-8.167330,9.356263,6.088288,4.575680,8.296573,10.198043,-10.013611,-0.566908,-10.715859,7.393761,3.255764
1,0.042700,0,2.399885,3.340528,-1.000000,-8.258181,-3.478425,-6.878109,5.154390,8.774677,9.658460,6.722187,2.791786,-3.203896,-0.566908,-0.289037,3.211354,-0.307148
2,0.085300,0,-0.136752,-0.112778,-1.000000,0.061177,-3.016000,0.150912,-0.295083,-0.132366,-0.127756,-0.147496,1.187033,-1.434349,-0.566908,-0.016303,-2.316094,-0.307148
3,0.128000,0,-0.124378,-0.115283,-1.000000,0.097304,-2.684122,0.142730,-0.220972,-0.131403,-0.126489,-0.140528,0.607112,-0.756373,-0.566908,0.016665,-2.083218,-0.307148
4,0.170700,0,-0.124378,-0.116471,-1.000000,0.108462,-2.425034,0.138867,-0.185497,-0.131046,-0.125881,-0.137580,0.334795,-0.431039,-0.566908,0.049633,-1.902475,-0.307148
5,0.213300,0,-0.124378,-0.117112,-1.000000,0.115113,-2.212292,0.137276,-0.166178,-0.130868,-0.125542,-0.135972,0.185213,-0.251200,0.147889,0.064618,-1.754705,-0.307148
6,0.256000,0,-0.112005,-0.117514,-1.000000,0.124446,-2.031748,0.134776,-0.154588,-0.130619,-0.125343,-0.134097,0.095463,-0.141446,-0.566908,0.076606,-1.629781,-0.307148
7,0.298700,0,-0.112005,-0.117762,-1.000000,0.119316,-1.874944,0.135231,-0.146860,-0.130690,-0.125203,-0.134633,0.037164,-0.070096,-0.566908,0.082600,-1.521586,-0.307148
8,0.341300,0,-0.112005,-0.117950,-1.000000,0.132254,-1.736562,0.132731,-0.141592,-0.130405,-0.125120,-0.132489,-0.003492,-0.020535,-0.566908,0.085597,-1.426111,-0.307148
9,0.384000,0,-0.112005,-0.118061,-1.000000,0.120984,-1.612185,0.134549,-0.138079,-0.130654,-0.125044,-0.133829,-0.032641,0.014495,0.147889,0.088595,-1.340721,3.255764
10,0.426700,0,-0.112005,-0.118172,-1.000000,0.135619,-1.500371,0.131822,-0.135269,-0.130333,-0.125005,-0.131685,-0.053352,0.041030,-0.566908,0.091592,-1.263474,-0.307148
11,0.469300,0,-0.112005,-0.118232,-1.000000,0.123233,-1.397169,0.133867,-0.133162,-0.130583,-0.124958,-0.133293,-0.070228,0.060683,-0.566908,0.091592,-1.192951,-0.307148
12,0.512000,0,-0.112005,-0.118300,-1.000000,0.135652,-1.303586,0.131595,-0.131406,-0.130298,-0.124938,-0.131417,-0.082502,0.076508,-0.566908,0.094589,-1.128099,-0.307148
13,0.554700,0,-0.112005,-0.118335,-1.000000,0.126823,-1.215571,0.132958,-0.130001,-0.130476,-0.124908,-0.132489,-0.092474,0.088653,0.147889,0.094589,-1.068027,-0.307148
14,0.597300,0,-0.112005,-0.118377,-1.000000,0.133352,-1.134943,0.131822,-0.128947,-0.130333,-0.124894,-0.131685,-0.100912,0.098755,-0.566908,0.094589,-1.012127,-0.307148
15,0.640000,0,-0.112005,-0.118403,-1.000000,0.131317,-1.058821,0.132049,-0.128245,-0.130405,-0.124878,-0.131953,-0.107049,0.106884,-0.566908,0.094589,-0.959792,-0.307148
16,0.682700,0,-0.112005,-0.118420,-1.000000,0.130024,-0.987436,0.132277,-0.127542,-0.130405,-0.124863,-0.131953,-0.112418,0.113599,-0.566908,0.097586,-0.910657,-0.307148
17,0.725300,0,-0.112005,-0.118454,-1.000000,0.135648,-0.921268,0.131368,-0.126840,-0.130298,-0.124858,-0.131149,-0.117021,0.119423,-0.566908,0.097586,-0.864357,-0.307148
18,0.768000,0,-0.112005,-0.118454,-1.000000,0.127099,-0.856507,0.132731,-0.126488,-0.130476,-0.124842,-0.132489,-0.120856,0.124001,2.292282,0.097586,-0.820528,-0.307148
