frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,440.07,11.5329,445.31,7.1705659182,4.337728,0.103628,5.7879,-0.0125,5.4965,0.164087,0.127984,18.125894,18,0.0,28.7315,0.009278,0
1,0.0427,440.07,11.5327,445.31,7.1991340143,4.323701,0.103619,5.7879,-0.0118,5.4959,0.164094,0.127984,18.125975,13,0.003609,28.7142,0.009156,0
2,0.0853,440.07,11.5329,445.31,7.1753533631,4.332988,0.103626,5.7879,-0.0124,5.4964,0.164088,0.127984,18.125897,16,0.003608,28.6967,0.009156,0
3,0.128,440.07,11.5327,445.31,7.1923080911,4.324234,0.103621,5.7879,-0.012,5.496,0.164092,0.127984,18.125943,13,0.003609,28.6792,0.009156,0
4,0.1707,440.07,11.5328,445.31,7.1836127664,4.326735,0.103624,5.7879,-0.0122,5.4962,0.16409,0.127984,18.12591,13,0.003609,28.6614,0.009156,0
5,0.2133,440.07,11.5328,445.31,7.1832930903,4.325568,0.103624,5.7879,-0.0122,5.4962,0.16409,0.127984,18.125903,15,0.003609,28.6435,0.009156,0
6,0.256,440.07,11.5327,445.31,7.1925922784,4.32029,0.103621,5.7879,-0.012,5.496,0.164092,0.127984,18.125924,14,0.003609,28.6254,0.009156,0
7,0.2987,440.07,11.5329,445.31,7.1750994967,4.326391,0.103626,5.7879,-0.0124,5.4964,0.164088,0.127984,18.125865,17,0.003609,28.6072,0.009156,0
8,0.3413,440.07,11.5327,445.31,7.1992887808,4.314885,0.103619,5.7879,-0.0118,5.4958,0.164094,0.127984,18.125932,13,0.003609,28.5888,0.009156,0
9,0.384,440.07,11.5329,445.31,7.1704657776,4.325496,0.103628,5.7879,-0.0125,5.4965,0.164087,0.127984,18.125837,19,0.003608,28.5702,0.009278,0
10,0.4267,440.07,11.5327,445.31,7.2014565994,4.311296,0.103618,5.7879,-0.0117,5.4958,0.164094,0.127984,18.125924,13,0.003609,28.5515,0.009156,0
11,0.4693,440.07,11.5329,445.31,7.1709345185,4.32227,0.103628,5.7879,-0.0125,5.4965,0.164087,0.127984,18.125824,13,0.003608,28.5326,0.009156,0
12,0.512,440.07,11.5327,445.31,7.198369924,4.309661,0.103619,5.7879,-0.0118,5.4959,0.164094,0.127985,18.1259,13,0.003609,28.5135,0.009156,0
13,0.5547,440.07,11.5329,445.31,7.1763469872,4.316908,0.103626,5.7879,-0.0124,5.4964,0.164089,0.127985,18.125825,13,0.003609,28.4942,0.009156,0
14,0.5973,440.07,11.5328,445.31,7.1910662883,4.309496,0.103621,5.7879,-0.012,5.496,0.164092,0.127985,18.125862,13,0.003609,28.4747,0.009156,0
15,0.64,440.07,11.5328,445.31,7.1848917086,4.310322,0.103623,5.7879,-0.0122,5.4962,0.164091,0.127985,18.125834,13,0.003609,28.455,0.009156,0
16,0.6827,440.07,11.5328,445.31,7.1819782918,4.309823,0.103624,5.7879,-0.0123,5.4962,0.16409,0.127985,18.125818,14,0.003609,28.4352,0.009156,0
17,0.7253,440.07,11.5327,445.31,7.1937224623,4.303718,0.10362,5.7879,-0.0119,5.4959,0.164093,0.127985,18.125844,13,0.003609,28.4151,0.009156,0
18,0.768,440.07,11.5329,445.31,7.1741459421,4.309449,0.103627,5.7879,-0.0125,5.4964,0.164088,0.127985,18.125776,14,0.003609,28.3948,0.009156,0
19,0.8107,440.07,11.5327,445.31,7.1998752836,4.29815,0.103618,5.7879,-0.0118,5.4958,0.164094,0.127985,18.125844,13,0.003609,28.3744,0.009156,0
20,0.8533,440.07,11.5329,445.31,7.1701760915,4.307368,0.103628,5.7879,-0.0126,5.4965,0.164087,0.127985,18.125745,19,0.003608,28.3537,0.009278,0
21,0.896,440.07,11.5327,445.31,7.2012995534,4.294223,0.103618,5.7878,-0.0118,5.4958,0.164094,0.127985,18.125829,14,0.003609,28.3328,0.009156,0
22,0.9387,440.07,11.5329,445.31,7.1713973978,4.303152,0.103627,5.7878,-0.0125,5.4964,0.164088,0.127985,18.125728,15,0.003608,28.3117,0.009156,0
23,0.9813,440.07,11.5327,445.31,7.1975127132,4.291968,0.103619,5.7878,-0.0118,5.4958,0.164093,0.127985,18.125797,13,0.003609,28.2903,0.009156,0
24,1.024,440.07,11.5329,445.31,7.1773955466,4.297094,0.103626,5.7878,-0.0124,5.4963,0.164089,0.127985,18.125725,14,0.003609,28.2687,0.009156,0
25,1.0667,440.07,11.5328,445.31,7.1897769701,4.29083,0.103622,5.7878,-0.012,5.496,0.164092,0.127985,18.125752,13,0.003609,28.2469,0.009156,0
26,1.1093,440.07,11.5328,445.31,7.1861706845,4.290073,0.103623,5.7878,-0.0121,5.4961,0.164091,0.127985,18.125728,14,0.003609,28.2249,0.009156,0
27,1.152,440.07,11.5328,445.31,7.1806797855,4.28989,0.103624,5.7878,-0.0123,5.4962,0.16409,0.127985,18.1257,16,0.003609,28.2026,0.009156,0
28,1.1947,440.07,11.5327,445.31,7.1947828075,4.283151,0.10362,5.7878,-0.0119,5.4959,0.164093,0.127985,18.12573,13,0.003609,28.18,0.009156,0
29,1.2373,440.07,11.5329,445.31,7.1732580575,4.288114,0.103627,5.7878,-0.0125,5.4963,0.164088,0.127985,18.125652,16,0.003609,28.1572,0.009156,0
30,1.28,440.07,11.5327,445.31,7.2003594028,4.277204,0.103618,5.7878,-0.0118,5.4957,0.164094,0.127985,18.125721,13,0.003609,28.1342,0.009156,0
31,1.3227,440.07,11.5329,445.31,7.1699791127,4.284667,0.103628,5.7878,-0.0126,5.4964,0.164087,0.127985,18.125615,17,0.003608,28.1108,0.009278,0
32,1.3653,440.07,11.5327,445.31,7.2010277614,4.272671,0.103618,5.7878,-0.0118,5.4957,0.164094,0.127985,18.125695,13,0.003609,28.0872,0.009156,0
33,1.408,440.07,11.5329,445.31,7.1719420706,4.279324,0.103627,5.7878,-0.0125,5.4964,0.164088,0.127985,18.125591,14,0.003608,28.0633,0.009156,0
34,1.4507,440.07,11.5327,445.31,7.1965599601,4.269457,0.103619,5.7878,-0.0119,5.4958,0.164093,0.127985,18.125651,13,0.003609,28.0391,0.009156,0
35,1.4933,440.07,11.5329,445.31,7.1784875139,4.272437,0.103625,5.7878,-0.0123,5.4962,0.164089,0.127985,18.12558,13,0.003609,28.0146,0.009156,0
36,1.536,440.07,11.5328,445.31,7.1884494066,4.267019,0.103622,5.7878,-0.0121,5.496,0.164091,0.127986,18.125594,13,0.003609,27.9899,0.009156,0
37,1.5787,440.07,11.5328,445.31,7.1874228243,4.264804,0.103622,5.7878,-0.0121,5.496,0.164091,0.127986,18.125573,13,0.003609,27.9648,0.009156,0
38,1.6213,440.07,11.5329,445.31,7.1794035137,4.264498,0.103625,5.7878,-0.0123,5.4961,0.164089,0.127986,18.125532,13,0.003609,27.9394,0.009156,0
39,1.664,440.07,11.5328,445.31,7.195764406,4.257312,0.10362,5.7878,-0.0119,5.4958,0.164093,0.127986,18.125562,13,0.003609,27.9136,0.009156,0
40,1.7067,440.07,11.5329,445.31,7.1724380754,4.261025,0.103627,5.7878,-0.0125,5.4963,0.164088,0.127986,18.125473,14,0.003609,27.8875,0.009156,0
41,1.7493,440.07,11.5327,445.31,7.2007178798,4.250666,0.103618,5.7878,-0.0118,5.4956,0.164094,0.127986,18.125538,13,0.003609,27.8611,0.009156,0
42,1.792,440.07,11.533,445.31,7.1698779213,4.256004,0.103628,5.7878,-0.0126,5.4963,0.164087,0.127986,18.125423,16,0.003609,27.8343,0.009278,0
43,1.8347,440.07,11.5327,445.31,7.2006235647,4.245136,0.103618,5.7878,-0.0118,5.4956,0.164094,0.127986,18.125495,13,0.003609,27.8072,0.009156,0
44,1.8773,440.07,11.5329,445.31,7.1725633211,4.249306,0.103627,5.7878,-0.0125,5.4962,0.164088,0.127986,18.125387,17,0.003609,27.7797,0.009156,0
45,1.92,440.07,11.5328,445.31,7.195508322,4.24055,0.10362,5.7878,-0.0119,5.4957,0.164093,0.127986,18.125434,13,0.003609,27.7518,0.009156,0
46,1.9627,440.07,11.5329,445.31,7.1796029171,4.241342,0.103625,5.7878,-0.0123,5.4961,0.164089,0.127986,18.12536,13,0.003609,27.7235,0.009156,0
47,2.0053,440.07,11.5329,445.31,7.1870759077,4.236373,0.103622,5.7878,-0.0121,5.4959,0.164091,0.127986,18.125358,13,0.003609,27.6948,0.009156,0
