frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,-0.118315,-0.123493,-1.000000,0.127403,0.922391,0.133039,-0.124935,-0.131847,-0.130105,-0.132987,-0.166513,0.175371,3.130082,-10.718437,0.635175,3.255764
1,0.042700,0,-0.118315,-0.123516,-1.000000,0.139495,0.866803,0.130926,-0.124935,-0.131620,-0.130112,-0.131029,-0.166513,0.175735,-0.605407,0.099668,0.628215,-0.307148
2,0.085300,0,-0.118315,-0.123493,-1.000000,0.129429,0.903607,0.132569,-0.124935,-0.131814,-0.130106,-0.132707,-0.166513,0.175384,1.635886,0.096671,0.621174,-0.307148
3,0.128000,0,-0.118315,-0.123516,-1.000000,0.136605,0.868916,0.131395,-0.124935,-0.131685,-0.130111,-0.131588,-0.166513,0.175591,-0.605407,0.099668,0.614133,-0.307148
4,0.170700,0,-0.118315,-0.123504,-1.000000,0.132925,0.878827,0.132100,-0.124935,-0.131750,-0.130109,-0.132147,-0.166513,0.175443,-0.605407,0.099668,0.606971,-0.307148
5,0.213300,0,-0.118315,-0.123504,-1.000000,0.132790,0.874202,0.132100,-0.124935,-0.131750,-0.130109,-0.132147,-0.166513,0.175411,0.888789,0.099668,0.599769,-0.307148
6,0.256000,0,-0.118315,-0.123516,-1.000000,0.136726,0.853286,0.131395,-0.124935,-0.131685,-0.130111,-0.131588,-0.166513,0.175506,0.141691,0.099668,0.592487,-0.307148
7,0.298700,0,-0.118315,-0.123493,-1.000000,0.129322,0.877464,0.132569,-0.124935,-0.131814,-0.130106,-0.132707,-0.166513,0.175240,2.382984,0.099668,0.585164,-0.307148
8,0.341300,0,-0.118315,-0.123516,-1.000000,0.139560,0.831866,0.130926,-0.124935,-0.131620,-0.130113,-0.131029,-0.166513,0.175542,-0.605407,0.099668,0.577761,-0.307148
9,0.384000,0,-0.118315,-0.123493,-1.000000,0.127360,0.873917,0.133039,-0.124935,-0.131847,-0.130105,-0.132987,-0.166513,0.175115,3.877179,0.096671,0.570277,3.255764
10,0.426700,0,-0.118315,-0.123516,-1.000000,0.140478,0.817643,0.130691,-0.124935,-0.131588,-0.130113,-0.131029,-0.166513,0.175506,-0.605407,0.099668,0.562754,-0.307148
11,0.469300,0,-0.118315,-0.123493,-1.000000,0.127559,0.861132,0.133039,-0.124935,-0.131847,-0.130105,-0.132987,-0.166513,0.175056,-0.605407,0.096671,0.555149,-0.307148
12,0.512000,0,-0.118315,-0.123516,-1.000000,0.139171,0.811164,0.130926,-0.124935,-0.131620,-0.130112,-0.131029,-0.165474,0.175398,-0.605407,0.099668,0.547465,-0.307148
13,0.554700,0,-0.118315,-0.123493,-1.000000,0.129850,0.839883,0.132569,-0.124935,-0.131814,-0.130106,-0.132427,-0.165474,0.175061,-0.605407,0.099668,0.539699,-0.307148
14,0.597300,0,-0.118315,-0.123504,-1.000000,0.136080,0.810510,0.131395,-0.124935,-0.131685,-0.130111,-0.131588,-0.165474,0.175227,-0.605407,0.099668,0.531854,-0.307148
