frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,8.766677,8.119039,-1.000000,-4.660526,-3.547428,-5.827319,7.162711,4.028189,2.868280,5.951172,8.207033,-7.911370,-0.356416,-8.503132,6.277997,3.255764
1,0.042700,0,1.967558,2.619259,-1.000000,-5.707666,-2.779031,-4.892615,3.909753,5.848999,6.165944,4.804130,2.173813,-2.456681,-0.356416,-0.171742,2.939576,-0.307148
2,0.085300,0,-0.180084,-0.165443,-1.000000,0.139966,-2.320743,0.203521,-0.309059,-0.188116,-0.183270,-0.200876,0.866564,-1.039245,-0.356416,0.044984,-1.245226,-0.307148
3,0.128000,0,-0.169608,-0.167463,-1.000000,0.165359,-1.991834,0.197590,-0.251684,-0.187463,-0.182448,-0.195800,0.394154,-0.496176,-0.356416,0.072524,-1.098691,-0.307148
4,0.170700,0,-0.169608,-0.168421,-1.000000,0.173202,-1.735064,0.194789,-0.224220,-0.187222,-0.182053,-0.193652,0.172322,-0.235579,-0.356416,0.098867,-0.984960,-0.307148
5,0.213300,0,-0.169608,-0.168938,-1.000000,0.177878,-1.524225,0.193636,-0.209265,-0.187101,-0.181834,-0.192481,0.050470,-0.091524,0.310427,0.112038,-0.892002,-0.307148
6,0.256000,0,-0.159131,-0.169262,-1.000000,0.184438,-1.345295,0.191823,-0.200291,-0.186932,-0.181704,-0.191114,-0.022641,-0.003610,-0.356416,0.119222,-0.813370,-0.307148
7,0.298700,0,-0.159131,-0.169462,-1.000000,0.180832,-1.189894,0.192153,-0.194309,-0.186980,-0.181613,-0.191505,-0.070132,0.053543,-0.356416,0.124012,-0.745289,-0.307148
8,0.341300,0,-0.159131,-0.169614,-1.000000,0.189925,-1.052750,0.190340,-0.190230,-0.186787,-0.181559,-0.189943,-0.103251,0.093242,-0.356416,0.127604,-0.685212,-0.307148
9,0.384000,0,-0.159131,-0.169704,-1.000000,0.182004,-0.929486,0.191658,-0.187511,-0.186956,-0.181510,-0.190919,-0.126996,0.121302,0.310427,0.129999,-0.631481,3.255764
10,0.426700,0,-0.159131,-0.169793,-1.000000,0.192291,-0.818672,0.189681,-0.185336,-0.186739,-0.181485,-0.189357,-0.143868,0.142557,-0.356416,0.131196,-0.582874,-0.307148
11,0.469300,0,-0.159131,-0.169841,-1.000000,0.183585,-0.716393,0.191164,-0.183704,-0.186908,-0.181454,-0.190528,-0.157615,0.158299,-0.356416,0.133591,-0.538498,-0.307148
12,0.512000,0,-0.159131,-0.169897,-1.000000,0.192314,-0.623647,0.189516,-0.182345,-0.186714,-0.181441,-0.189162,-0.167613,0.170975,-0.356416,0.133591,-0.497691,-0.307148
13,0.554700,0,-0.159131,-0.169924,-1.000000,0.186108,-0.536419,0.190505,-0.181257,-0.186835,-0.181422,-0.189943,-0.175737,0.180703,0.310427,0.134788,-0.459891,-0.307148
14,0.597300,0,-0.159131,-0.169959,-1.000000,0.190697,-0.456513,0.189681,-0.180441,-0.186739,-0.181413,-0.189357,-0.182611,0.188795,-0.356416,0.134788,-0.424716,-0.307148
15,0.640000,0,-0.159131,-0.169979,-1.000000,0.189267,-0.381072,0.189846,-0.179897,-0.186787,-0.181402,-0.189552,-0.187610,0.195307,-0.356416,0.135986,-0.391785,-0.307148
16,0.682700,0,-0.159131,-0.169993,-1.000000,0.188358,-0.310325,0.190011,-0.179354,-0.186787,-0.181393,-0.189552,-0.191984,0.200685,-0.356416,0.135986,-0.360867,-0.307148
17,0.725300,0,-0.159131,-0.170021,-1.000000,0.192311,-0.244749,0.189352,-0.178810,-0.186714,-0.181389,-0.188966,-0.195733,0.205351,-0.356416,0.135986,-0.331733,-0.307148
18,0.768000,0,-0.159131,-0.170021,-1.000000,0.186302,-0.180568,0.190340,-0.178538,-0.186835,-0.181379,-0.189943,-0.198857,0.209018,2.310956,0.137183,-0.304154,-0.307148
19,0.810700,0,-0.159131,-0.170048,-1.000000,0.194413,-0.123419,0.188857,-0.177994,-0.186666,-0.181379,-0.188771,-0.201982,0.212534,-0.356416,0.137183,-0.278003,-0.307148
20,0.853300,0,-0.159131,-0.170041,-1.000000,0.185361,-0.064324,0.190505,-0.177722,-0.186859,-0.181369,-0.189943,-0.204481,0.215107,0.977270,0.137183,-0.253126,3.255764
21,0.896000,0,-0.159131,-0.170069,-1.000000,0.194991,-0.013988,0.188857,-0.177450,-0.186666,-0.181372,-0.188576,-0.206356,0.217826,-0.356416,0.137183,-0.229396,-0.307148
22,0.938700,0,-0.159131,-0.170062,-1.000000,0.185952,0.040417,0.190340,-0.177450,-0.186835,-0.181362,-0.189943,-0.208231,0.219717,0.310427,0.138380,-0.206736,-0.307148
23,0.981300,0,-0.159131,-0.170076,-1.000000,0.193936,0.085902,0.189022,-0.177178,-0.186666,-0.181365,-0.188771,-0.209480,0.221809,-0.356416,0.137183,-0.185045,-0.307148
24,1.024000,0,-0.159131,-0.170076,-1.000000,0.187952,0.135167,0.190011,-0.176906,-0.186787,-0.181359,-0.189552,-0.210730,0.223308,-0.356416,0.138380,-0.164221,-0.307148
25,1.066700,0,-0.159131,-0.170090,-1.000000,0.191662,0.177992,0.189352,-0.176906,-0.186714,-0.181359,-0.188966,-0.211980,0.224869,-0.356416,0.138380,-0.144212,-0.307148
26,1.109300,0,-0.159131,-0.170090,-1.000000,0.190752,0.221235,0.189516,-0.176634,-0.186739,-0.181356,-0.189162,-0.213230,0.226164,-0.356416,0.138380,-0.124968,-0.307148
27,1.152000,0,-0.159131,-0.170090,-1.000000,0.188971,0.263336,0.189846,-0.176634,-0.186763,-0.181353,-0.189357,-0.213855,0.227277,-0.356416,0.138380,-0.106438,-0.307148
28,1.194700,0,-0.159131,-0.170103,-1.000000,0.193458,0.300051,0.189022,-0.176362,-0.186690,-0.181354,-0.188771,-0.215104,0.228460,-0.356416,0.138380,-0.088545,-0.307148
29,1.237300,0,-0.159131,-0.170096,-1.000000,0.186798,0.342410,0.190175,-0.176362,-0.186811,-0.181349,-0.189747,-0.215729,0.229221,0.310427,0.138380,-0.071263,-0.307148
30,1.280000,0,-0.159131,-0.170110,-1.000000,0.195202,0.373098,0.188693,-0.176362,-0.186642,-0.181353,-0.188576,-0.216354,0.230315,-0.356416,0.138380,-0.054543,-0.307148
31,1.322700,0,-0.159131,-0.170096,-1.000000,0.185894,0.415308,0.190340,-0.176091,-0.186835,-0.181345,-0.189747,-0.216979,0.230835,-0.356416,0.138380,-0.038357,3.255764
32,1.365300,0,-0.159131,-0.170117,-1.000000,0.195425,0.441765,0.188693,-0.176091,-0.186642,-0.181350,-0.188381,-0.217604,0.231808,-0.356416,0.138380,-0.022656,-0.307148
33,1.408000,0,-0.159131,-0.170103,-1.000000,0.186583,0.482028,0.190175,-0.176091,-0.186811,-0.181344,-0.189747,-0.218229,0.232214,0.977270,0.139578,-0.007439,-0.307148
34,1.450700,0,-0.159131,-0.170117,-1.000000,0.194073,0.507090,0.188857,-0.176091,-0.186666,-0.181348,-0.188576,-0.218854,0.233011,-0.356416,0.138380,0.007344,-0.307148
35,1.493300,0,-0.159131,-0.170110,-1.000000,0.188657,0.542853,0.189846,-0.176091,-0.186787,-0.181343,-0.189357,-0.219478,0.233411,-0.356416,0.138380,0.021720,-0.307148
36,1.536000,0,-0.159131,-0.170117,-1.000000,0.191615,0.569630,0.189352,-0.175819,-0.186714,-0.181345,-0.188966,-0.219478,0.233987,-0.356416,0.138380,0.035688,-0.307148
37,1.578700,0,-0.159131,-0.170117,-1.000000,0.191438,0.598530,0.189352,-0.175819,-0.186714,-0.181344,-0.188966,-0.220103,0.234452,-0.356416,0.138380,0.049273,-0.307148
38,1.621300,0,-0.159131,-0.170117,-1.000000,0.188884,0.629195,0.189846,-0.175819,-0.186763,-0.181341,-0.189357,-0.220103,0.234801,-0.356416,0.138380,0.062528,-0.307148
39,1.664000,0,-0.159131,-0.170124,-1.000000,0.194011,0.650241,0.188857,-0.175819,-0.186666,-0.181344,-0.188576,-0.220728,0.235344,-0.356416,0.138380,0.075425,-0.307148
40,1.706700,0,-0.159131,-0.170117,-1.000000,0.186804,0.685137,0.190175,-0.175819,-0.186811,-0.181338,-0.189747,-0.220728,0.235509,1.644113,0.139578,0.088016,-0.307148
41,1.749300,0,-0.159131,-0.170131,-1.000000,0.195532,0.699491,0.188528,-0.175819,-0.186642,-0.181344,-0.188381,-0.221353,0.236093,-0.356416,0.138380,0.100302,-0.307148
42,1.792000,0,-0.159131,-0.170117,-1.000000,0.186078,0.736606,0.190175,-0.175547,-0.186835,-0.181337,-0.189747,-0.221353,0.236147,1.644113,0.139578,0.112307,3.255764
43,1.834700,0,-0.159131,-0.170131,-1.000000,0.195496,0.747565,0.188528,-0.175547,-0.186642,-0.181343,-0.188381,-0.221978,0.236703,-0.356416,0.138380,0.124032,-0.307148
44,1.877300,0,-0.159131,-0.170124,-1.000000,0.186957,0.783004,0.190011,-0.175547,-0.186811,-0.181337,-0.189552,-0.221978,0.236745,2.977798,0.139578,0.135476,-0.307148
