frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,4996.97,2911.4444,8566.41,-0.1404271086,0.210223,0.847989,3.7787,-0.0129,-1.21,0.011935,0.93785,-8.093971,25,0.0,454.4985,0.490294,0
1,0.0427,5017.68,2909.9546,8531.25,-0.133474865,0.143859,0.844154,2.9575,-0.0477,-1.1944,0.012263,0.936745,-6.305934,32,0.019684,475.7062,0.49005,0
2,0.0853,4951.77,2893.7393,8449.22,-0.0486362015,0.103766,0.846424,3.4151,0.0241,-1.1969,0.012069,0.937391,-8.597368,21,0.027111,455.9201,0.493224,0
3,0.128,5009.48,2871.689,8484.38,0.1128828504,0.148705,0.840959,3.4482,0.0091,-1.1878,0.012538,0.932844,-6.032788,30,0.034998,488.6786,0.500549,0
4,0.1707,5117.18,2930.6732,8601.56,0.1974082228,0.061223,0.852724,2.9798,-0.0364,-1.2432,0.011532,0.940453,-5.934526,32,0.042177,464.9478,0.503846,0
5,0.2133,4985.96,2886.1002,8449.22,-0.022926002,0.17817,0.845796,2.6103,0.0221,-1.2175,0.012122,0.937353,-6.204494,34,0.054594,465.8337,0.495666,0
6,0.256,5053.15,2829.8963,8425.78,0.1833871062,0.170857,0.843302,3.257,-0.0221,-1.1428,0.012336,0.937253,-5.998725,29,0.060344,480.9264,0.497864,0
7,0.2987,4963.24,2863.8007,8472.66,0.0346901955,0.198819,0.852684,3.3908,0.0159,-1.1597,0.011535,0.936905,-5.406561,36,0.06782,460.3458,0.499084,0
8,0.3413,5088.61,2929.3865,8507.81,0.1098726963,0.081477,0.84923,2.7611,-0.0862,-1.2284,0.011829,0.937627,-6.100612,33,0.079836,474.9318,0.492003,0
9,0.384,4977.32,2843.3896,8460.94,-0.0564147624,0.157558,0.836818,2.9342,0.0001,-1.158,0.012895,0.939294,-7.457625,28,0.088228,506.47,0.498596,0
10,0.4267,4990.51,2902.2397,8542.97,0.0302649072,0.120848,0.847143,3.0281,0.0117,-1.2414,0.012007,0.938744,-7.139554,28,0.094071,481.7303,0.503357,0
11,0.4693,4978.48,2856.2091,8460.94,0.0218696148,0.14999,0.848914,2.9818,-0.0183,-1.1504,0.011856,0.93588,-7.749308,24,0.100406,457.5538,0.502014,0
12,0.512,5006.24,2900.313,8496.09,0.0120531634,0.098011,0.844978,3.408,-0.0202,-1.2236,0.012192,0.938635,-8.848002,21,0.116349,459.7769,0.497131,0
13,0.5547,5047.93,2879.7832,8566.41,0.1253163104,0.124779,0.852341,3.0711,-0.0048,-1.2055,0.011564,0.94079,-6.772703,28,0.121578,448.5433,0.496032,0
14,0.5973,5052.12,2879.8126,8496.09,0.1260035281,0.075038,0.836883,2.7039,-0.0499,-1.2157,0.012889,0.939203,-5.458373,37,0.130682,491.2769,0.501526,0
15,0.64,5088.78,2870.2263,8554.69,0.0880937804,0.142505,0.85751,3.3252,-0.0477,-1.17,0.011127,0.936376,-7.709404,29,0.138204,438.347,0.502381,0
16,0.6827,4957.75,2920.3393,8460.94,-0.1015209946,0.128182,0.849197,3.1643,0.033,-1.2183,0.011832,0.935947,-5.541458,33,0.151547,481.7174,0.501404,0
17,0.7253,4944.81,2869.6129,8472.66,-0.1931928707,0.133477,0.846455,2.6346,0.0227,-1.173,0.012066,0.939147,-7.333865,27,0.152944,452.8609,0.500916,0
18,0.768,4904.22,2887.1296,8437.5,-0.1425838504,0.12303,0.844813,2.9679,0.0299,-1.1936,0.012207,0.935839,-8.48952,27,0.176831,479.8357,0.497741,0
19,0.8107,4982.3,2919.6212,8460.94,-0.1065817837,0.09648,0.846654,3.1871,0.0005,-1.2268,0.012049,0.937998,-5.570574,35,0.177026,481.6392,0.487853,0
20,0.8533,5001.62,2817.1529,8390.62,0.2152290838,0.144372,0.848664,2.8937,0.0316,-1.1765,0.011877,0.940131,-4.954764,37,0.183424,479.5394,0.493835,0
21,0.896,4939.59,2836.1598,8390.62,-0.1031011513,0.150519,0.847534,3.1894,0.008,-1.1545,0.011974,0.931606,-5.314426,35,0.200483,461.7731,0.499695,0
22,0.9387,4897.19,2826.1592,8332.03,0.0641454368,0.13663,0.845235,2.7986,0.0581,-1.1818,0.01217,0.939217,-8.526441,27,0.205219,477.8279,0.499573,0
23,0.9813,5086.85,2879.2848,8625.0,0.3567140109,0.136604,0.843033,2.8922,-0.0064,-1.2089,0.012359,0.940437,-4.958682,36,0.222807,497.283,0.499329,0
24,1.024,5090.13,2919.1863,8613.28,0.0798007006,0.121651,0.843887,2.909,-0.0384,-1.2175,0.012286,0.936375,-6.976889,26,0.222871,473.1994,0.493835,0
25,1.0667,5039.21,2879.9907,8613.28,0.1720854849,0.128586,0.845933,2.7076,-0.0022,-1.1869,0.012111,0.936766,-4.222204,44,0.232576,486.2059,0.491271,0
26,1.1093,5080.9,2897.2827,8578.12,0.0113168383,0.090905,0.863271,3.0753,-0.0359,-1.1913,0.010642,0.942702,-8.903623,22,0.229124,453.1771,0.494201,0
27,1.152,5047.4,2931.9722,8589.84,0.1121428453,0.101907,0.828279,3.0902,-0.0087,-1.2259,0.013637,0.931637,-4.438463,40,0.254544,518.8074,0.502381,0
28,1.1947,5037.56,2887.9668,8484.38,0.0914501337,0.192152,0.848666,2.6353,-0.0154,-1.1919,0.011877,0.942537,-6.749292,32,0.254658,481.2186,0.50934,0
29,1.2373,4947.05,2924.8069,8531.25,-0.1569887639,0.125818,0.833284,3.0759,0.0321,-1.2286,0.013201,0.934981,-6.537961,34,0.266855,493.2135,0.509462,0
30,1.28,5008.33,2866.1625,8472.66,0.0284848954,0.132836,0.83908,3.1582,-0.0091,-1.1884,0.012699,0.936515,-6.318312,30,0.277098,486.568,0.5047,0
31,1.3227,4944.57,2851.6424,8390.62,0.0351351031,0.102761,0.847844,3.1094,0.0199,-1.2121,0.011947,0.937753,-6.970321,30,0.293081,446.876,0.506898,0
32,1.3653,5016.67,2910.312,8542.97,-0.0319113102,0.115115,0.848982,3.1033,0.0046,-1.2081,0.01185,0.938126,-6.768083,32,0.28835,492.1554,0.504578,0
33,1.408,4903.35,2911.3097,8531.25,-0.2885291606,0.128713,0.856729,3.3664,0.0514,-1.2068,0.011193,0.941112,-5.586054,31,0.301963,460.7213,0.503479,0
34,1.4507,5033.55,2822.7763,8449.22,0.1670823841,0.129471,0.827912,2.7617,-0.0186,-1.1506,0.013669,0.932699,-8.200083,21,0.307884,494.4393,0.498718,0
35,1.4933,5043.21,2909.9124,8472.66,0.1069042603,0.129048,0.840708,2.9082,-0.0246,-1.2043,0.012559,0.938407,-7.218899,29,0.322092,478.2756,0.494079,0
36,1.536,4925.18,2939.8734,8589.84,-0.3630007123,0.172204,0.84964,3.615,0.0289,-1.2096,0.011794,0.9378,-7.100624,24,0.344117,476.7793,0.490416,0
37,1.5787,5038.32,2865.2425,8496.09,0.1046627225,0.14562,0.852876,3.3373,0.0092,-1.1608,0.011519,0.938445,-8.637136,22,0.354133,447.3559,0.486021,0
38,1.6213,5016.87,2875.0418,8531.25,0.0383445111,0.239573,0.8429,2.7374,-0.0051,-1.1902,0.012371,0.94179,-8.269054,21,0.358691,459.4792,0.501404,0
39,1.664,5083.53,2896.71,8554.69,0.1611141247,0.112812,0.851973,2.7734,-0.0646,-1.1879,0.011596,0.942478,-7.354934,26,0.343239,485.697,0.511049,0
40,1.7067,4956.57,2875.4477,8507.81,0.1119790352,0.150133,0.845829,3.4226,0.0302,-1.199,0.01212,0.935718,-6.482326,28,0.361168,476.8636,0.506287,0
41,1.7493,5055.31,2880.5396,8507.81,0.1302941466,0.139561,0.832013,3.2588,-0.0159,-1.1913,0.013312,0.934087,-6.430412,31,0.372553,498.4923,0.493468,0
42,1.792,5003.86,2898.0747,8484.38,-0.0519970708,0.118414,0.837764,2.8759,-0.0007,-1.232,0.012813,0.938523,-8.060275,26,0.383621,489.6768,0.487486,0
43,1.8347,4995.95,2903.1172,8589.84,0.0405765075,0.145667,0.836286,3.0113,-0.0112,-1.2068,0.012941,0.938217,-8.796609,21,0.399204,501.2124,0.489928,0
44,1.8773,4964.52,2852.6599,8378.91,0.0339249998,0.160595,0.853068,2.8609,0.0115,-1.1701,0.011503,0.941498,-8.803659,20,0.392019,441.3619,0.500916,0
45,1.92,4838.98,2900.5322,8390.62,-0.238893464,0.132106,0.836802,2.8422,0.0662,-1.211,0.012896,0.936913,-6.259296,33,0.418259,510.4983,0.502747,0
46,1.9627,5056.61,2924.7219,8601.56,0.087264053,0.119053,0.849503,2.9165,-0.0218,-1.2169,0.011806,0.94206,-6.456567,29,0.430246,471.5351,0.497986,0
47,2.0053,4998.45,2857.1615,8472.66,0.0286730901,0.117655,0.8491,3.1074,-0.0055,-1.1764,0.01184,0.940666,-7.429129,27,0.433262,460.8958,0.503357,0
48,2.048,4929.5,2930.998,8437.5,-0.2208324619,0.16696,0.833166,3.3312,0.0285,-1.2241,0.013211,0.934287,-4.937462,39,0.455798,498.5675,0.499329,0
49,2.0907,5026.59,2930.746,8542.97,-0.0075175444,0.107781,0.831212,3.1243,-0.0186,-1.2383,0.013381,0.936959,-6.335116,30,0.440893,515.4305,0.501892,0
50,2.1333,4992.61,2898.4034,8507.81,0.0444671905,0.176482,0.859484,3.081,0.0569,-1.2312,0.01096,0.940465,-7.012504,26,0.465849,451.2997,0.505555,0
51,2.176,5022.96,2854.0695,8484.38,0.2065728585,0.142374,0.855256,3.0273,-0.0015,-1.1939,0.011317,0.941192,-5.181746,35,0.436026,462.6688,0.499817,0
52,2.2187,5023.72,2859.4945,8449.22,-0.0568573416,0.138264,0.842676,3.0139,-0.0343,-1.151,0.01239,0.934332,-6.009075,33,0.459668,498.3151,0.497375,0
53,2.2613,4837.66,2874.1877,8378.91,-0.3714051305,0.144955,0.848756,2.919,0.0415,-1.1694,0.01187,0.939004,-7.57221,24,0.479778,457.89,0.500794,0
54,2.304,4964.22,2832.1545,8484.38,-0.0608667421,0.185589,0.853859,3.3013,0.0408,-1.1428,0.011436,0.941403,-7.296109,29,0.488819,465.488,0.506287,0
55,2.3467,5070.79,2869.3649,8589.84,0.2970001786,0.178579,0.850705,2.8465,0.0029,-1.1845,0.011704,0.934559,-4.902641,39,0.519761,453.3248,0.504212,0
56,2.3893,4980.29,2903.6899,8437.5,-0.0277535205,0.209849,0.853618,3.0759,0.0196,-1.2051,0.011456,0.93969,-7.066799,25,0.525664,434.5167,0.496887,0
57,2.432,5034.63,2881.3557,8484.38,0.1952448993,0.120348,0.843919,3.2935,-0.0125,-1.2078,0.012283,0.937929,-6.528547,26,0.529747,479.3586,0.498962,0
58,2.4747,5125.27,2861.5936,8566.41,0.2626828327,0.133338,0.837936,3.5425,-0.0512,-1.162,0.012798,0.934675,-5.834581,35,0.566524,489.7243,0.500916,0
59,2.5173,5063.22,2894.7249,8589.84,0.0462751735,0.133822,0.840961,2.986,-0.0226,-1.1667,0.012537,0.934834,-6.652853,31,0.554228,475.051,0.499084,0
60,2.56,4983.71,2901.8364,8484.38,0.0408759103,0.089746,0.84945,3.0102,-0.0127,-1.2221,0.01181,0.938333,-7.400874,25,0.554431,450.046,0.50177,0
61,2.6027,5064.03,2903.0883,8636.72,0.1930696436,0.191945,0.837523,3.2008,-0.0257,-1.201,0.012834,0.936885,-6.005136,36,0.544973,494.0879,0.502014,0
62,2.6453,5026.88,2891.4382,8484.38,0.1185884045,0.157784,0.82849,3.0183,-0.0019,-1.2007,0.013619,0.934871,-5.099432,36,0.575346,510.2039,0.503602,0
63,2.688,4962.24,2880.3827,8472.66,-0.0776727561,0.155609,0.851896,2.5883,-0.0064,-1.2039,0.011602,0.940146,-7.568967,28,0.584094,475.4887,0.502259,0
64,2.7307,4941.22,2857.1548,8437.5,-0.1342014845,0.136933,0.846035,3.2418,0.023,-1.1748,0.012102,0.93517,-5.54052,36,0.580265,478.4623,0.499817,0
65,2.7733,4988.32,2862.5639,8554.69,0.0719834839,0.12636,0.861333,2.8268,0.0135,-1.2136,0.010805,0.94132,-6.260472,31,0.594669,452.4998,0.501892,0
66,2.816,4833.11,2864.9604,8355.47,-0.2215272979,0.151405,0.844237,3.0928,0.0815,-1.1997,0.012256,0.936771,-6.253757,29,0.56855,473.4031,0.501648,0
67,2.8587,5008.15,2856.2667,8507.81,0.1881312296,0.19588,0.832692,3.8796,0.0172,-1.1738,0.013253,0.931307,-5.724601,31,0.621063,492.481,0.49823,0
68,2.9013,5022.73,2876.7417,8496.09,0.0701500179,0.134475,0.836373,3.1292,-0.0024,-1.1911,0.012933,0.933556,-6.588405,39,0.651495,484.7747,0.498596,0
69,2.944,4954.48,2898.9017,8531.25,-0.142388259,0.127271,0.841566,3.2223,0.0245,-1.1984,0.012485,0.931194,-3.649725,42,0.655513,478.3001,0.499206,0
70,2.9867,4941.23,2934.7148,8507.81,-0.15048182,0.151877,0.853178,3.5092,0.0165,-1.232,0.011493,0.938261,-7.556779,26,0.649031,460.0759,0.495788,0
71,3.0293,4911.42,2895.4839,8367.19,-0.1578256327,0.121963,0.853291,2.8899,0.0351,-1.1966,0.011484,0.939585,-6.965184,26,0.624513,460.9559,0.499695,0
72,3.072,4866.5,2845.8107,8320.31,-0.2532172408,0.164938,0.844327,2.7709,0.0271,-1.1688,0.012248,0.934251,-6.62583,27,0.669965,463.8442,0.501404,0
73,3.1147,5010.12,2848.8541,8437.5,0.1198740129,0.155786,0.855465,2.8489,0.0184,-1.1594,0.0113,0.940102,-7.131389,28,0.706262,473.9923,0.503113,0
74,3.1573,4979.53,2912.1369,8589.84,-0.0179221435,0.140783,0.845779,2.56,0.031,-1.2169,0.012124,0.940926,-6.826736,29,0.713551,470.0564,0.500305,0
