frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,0.163276,0.933618,0.998343,-0.883706,1.873600,0.284515,2.529274,-0.670164,-0.598400,-0.288272,0.079357,-1.336032,-0.947941,-1.731548,-1.067947,-1.699765
1,0.042700,0,0.474240,0.886769,0.556863,-0.838204,-0.003771,-0.168646,-0.483349,-1.780675,-0.023997,0.163279,-0.294378,0.288011,0.332805,-1.667014,0.038386,-1.745253
2,0.085300,0,-0.515411,0.376856,-0.473132,-0.282938,-1.137962,0.099587,1.195385,0.510552,-0.116049,-0.103797,-0.075887,-1.793258,-1.679796,-1.642664,-0.993787,-1.153539
3,0.128000,0,0.351116,-0.316547,-0.031652,0.774199,0.133317,-0.546182,1.316814,0.031884,0.219020,0.541865,-1.613782,0.536105,-0.033123,-1.616807,0.715111,0.212027
4,0.170700,0,1.968251,1.538294,1.439697,1.327415,-2.341461,0.844024,-0.401540,-1.420078,-1.820847,-0.843073,0.959749,0.625355,0.332805,-1.593270,-0.522843,0.826671
5,0.213300,0,-0.002041,0.136634,-0.473132,-0.114665,0.966852,0.025380,-1.757073,0.446730,-0.874555,-0.030833,-0.088740,0.380147,0.698732,-1.552561,-0.476628,-0.698288
6,0.256000,0,1.006829,-1.630777,-0.767452,1.235648,0.759975,-0.269323,0.615385,-0.963747,1.875951,0.263776,-0.122562,0.567044,-0.216086,-1.533709,0.310706,-0.288525
7,0.298700,0,-0.343186,-0.564605,-0.178812,0.262431,1.550992,0.839298,1.106239,0.248880,1.253681,-0.838943,-0.240263,1.104896,1.064659,-1.509199,-0.762913,-0.061086
8,0.341300,0,1.539268,1.497832,0.262543,0.754498,-1.768496,0.431157,-1.203854,-3.009258,-1.275900,-0.434200,0.003933,0.474502,0.515768,-1.469804,-0.002012,-1.381164
9,0.384000,0,-0.131773,-1.206461,-0.325972,-0.333848,0.383760,-1.035502,-0.568826,-0.255318,1.316276,1.033340,0.567749,-0.758050,-0.399050,-1.442291,1.643227,-0.152062
10,0.426700,0,0.066278,0.644163,0.704023,0.233468,-0.654730,0.184548,-0.224348,0.114853,-1.754569,-0.189151,0.381727,-0.469151,-0.399050,-1.423135,0.352642,0.735509
11,0.469300,0,-0.114355,-0.803334,-0.325972,0.178521,0.169668,0.393817,-0.394203,-0.842485,1.596113,-0.397029,-0.586940,-1.022980,-1.130905,-1.402365,-0.908562,0.485140
12,0.512000,0,0.302467,0.583575,0.115383,0.114272,-1.300765,-0.071279,1.169338,-0.903116,-1.099161,0.065535,0.344861,-2.020905,-1.679796,-1.350096,-0.792591,-0.425175
13,0.554700,0,0.928450,-0.062013,0.998343,0.855576,-0.543526,0.798767,-0.066600,-0.411683,-0.432707,-0.799019,1.073729,-0.135947,-0.399050,-1.332953,-1.378609,-0.630056
14,0.597300,0,0.991363,-0.061089,0.115383,0.860074,-1.950649,-1.027821,-1.413696,-1.850880,-0.808278,1.025080,0.536971,1.057836,1.247623,-1.303105,0.850656,0.394164
15,0.640000,0,1.541820,-0.362543,0.851183,0.611956,-0.042075,1.409560,0.865581,-1.780675,0.874428,-1.400628,-0.419182,-0.986736,-0.216086,-1.278444,-1.910515,0.553558
16,0.682700,0,-0.425620,1.213330,-0.325972,-0.629067,-0.447258,0.427258,0.275310,0.794563,-0.904011,-0.430070,-0.564280,0.982371,0.515768,-1.234699,0.351970,0.371420
17,0.725300,0,-0.619916,-0.381833,-0.178812,-1.229057,-0.297468,0.103250,-1.667927,0.465877,0.763966,-0.107927,0.518031,-0.645641,-0.582014,-1.230119,-1.153375,0.280445
18,0.768000,0,-1.229383,0.169005,-0.620292,-0.897822,-0.593003,-0.090776,-0.445196,0.695638,0.005460,0.086185,-0.600808,-1.695302,-0.582014,-1.151805,0.253808,-0.311456
