frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,5055.13,2885.7981,8519.53,0.175555428,0.128859,0.833781,3.4832,-0.015,-1.2069,0.013158,0.935593,-7.235663,28,0.0,502.2824,0.503113,0
1,0.0427,5057.42,2847.3325,8484.38,0.0763511638,0.173033,0.848063,2.79,-0.0263,-1.1771,0.011929,0.940764,-4.846645,42,1.051499,472.6434,0.494445,0
2,0.0853,5002.12,2904.5074,8496.09,-0.0476984152,0.096726,0.848089,3.2744,0.0066,-1.2013,0.011926,0.934977,-7.251981,25,1.08195,468.2715,0.486265,0
3,0.128,4939.83,2867.7363,8437.5,-0.0148478034,0.13869,0.843671,3.2043,0.0385,-1.1667,0.012304,0.935818,-7.567085,27,1.040999,484.19,0.496521,0
4,0.1707,4904.96,2898.6086,8449.22,-0.2343412097,0.097665,0.83774,2.8988,0.0197,-1.2202,0.012815,0.936239,-6.133613,33,1.01007,494.4301,0.503602,0
5,0.2133,4903.36,2891.8201,8414.06,-0.2571016372,0.199767,0.844585,2.9031,0.0169,-1.1742,0.012226,0.939332,-7.446824,26,0.986972,472.103,0.501038,0
6,0.256,4948.17,2909.9528,8472.66,-0.0890373758,0.17145,0.841338,3.2996,0.0267,-1.2447,0.012505,0.934125,-7.914779,21,1.027035,487.8106,0.499084,0
7,0.2987,4953.71,2880.1701,8496.09,-0.1637703804,0.208478,0.841455,2.9734,0.0075,-1.1891,0.012495,0.937649,-6.086165,33,1.008946,498.6272,0.495056,0
8,0.3413,4955.01,2858.7333,8332.03,-0.0747467534,0.094963,0.85119,2.8671,-0.0006,-1.1752,0.011662,0.93938,-7.26526,28,0.970276,470.8862,0.501526,0
9,0.384,4953.04,2875.5889,8425.78,0.0306962666,0.162192,0.856803,2.858,-0.0051,-1.1949,0.011187,0.939775,-8.414204,23,0.946567,445.0512,0.510194,0
10,0.4267,4973.03,2912.187,8542.97,-0.1502174401,0.12437,0.853044,2.7058,0.0019,-1.2396,0.011505,0.939434,-6.988926,29,0.933765,458.5867,0.503113,0
11,0.4693,5046.88,2898.5847,8542.97,0.0209379822,0.115031,0.838939,3.2665,-0.0099,-1.1956,0.012712,0.932325,-3.987504,45,0.968529,463.4658,0.493468,0
12,0.512,4960.71,2901.4463,8484.38,-0.1760319803,0.125797,0.848653,2.7745,0.0088,-1.2188,0.011878,0.942609,-7.363512,28,0.98768,489.7948,0.493102,0
