frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,0.476224,0.627022,0.998243,0.038486,0.498392,0.590000,-0.275886,-0.691057,-0.228966,-0.591794,1.179379,-0.112466,0.178112,-1.764364,-0.983450,0.076927
1,0.042700,0,1.687859,0.900039,1.126497,0.196436,-0.868410,0.869768,-1.553148,-2.231487,-0.015269,-0.869218,1.559569,-1.047023,-0.412201,-1.637303,-1.088726,-0.695835
2,0.085300,0,1.759748,0.109438,1.254750,1.586101,0.340666,-1.053513,1.513758,-1.055367,0.904717,1.052728,-1.400417,0.486051,0.768425,-1.590449,0.598247,-0.982841
3,0.128000,0,-0.698280,2.045453,0.100575,-1.677515,-1.453932,-0.275930,-1.324154,0.407611,-1.427845,0.270508,1.661259,-0.835243,-0.608972,-1.531146,0.873412,0.121054
4,0.170700,0,-0.909618,1.223673,-0.155823,-0.591974,0.349813,0.338577,-0.722457,1.377193,-0.946120,-0.341540,1.142429,0.253918,-0.215430,-1.478991,-0.396654,-0.077698
5,0.213300,0,0.040287,-0.175800,0.357083,0.177293,-0.512658,-0.659016,-0.226528,0.723156,0.285357,0.655183,-0.016158,-0.382985,-1.199286,-1.429922,0.104465,1.158759
6,0.256000,0,-1.159483,-0.229105,-0.797092,-1.103149,3.632680,0.404102,-0.146951,0.852242,1.299514,-0.407321,0.460530,-0.401075,-1.002515,-1.387571,0.397120,1.004134
7,0.298700,0,0.480691,-0.167605,-0.284077,-0.056565,1.303638,0.350480,-0.534427,-1.046762,0.788813,-0.354411,-0.240608,-0.636325,-1.002515,-1.309325,-0.130331,-0.364703
8,0.341300,0,-0.400675,0.188805,-0.668838,-0.282723,-0.368924,1.630417,-0.409857,-0.438622,0.386772,-1.619978,0.732312,-0.243170,-0.018659,-1.262731,-0.192708,-1.424471
9,0.384000,0,1.426967,-0.789596,0.357083,1.715633,-1.293511,-1.124313,1.855235,-1.654902,0.484566,1.124229,-1.388813,-0.216376,-0.805744,-1.180483,0.494199,-0.828397
10,0.426700,0,1.395978,-0.574680,1.254750,2.772051,-0.709076,-0.192981,-0.926268,0.189599,-0.152904,0.187567,0.990658,-1.206430,-0.608972,-1.133664,-0.831909,-0.342640
