frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,24027.06,13962.7246,40804.69,-0.0562302753,0.171657,0.841162,3.0786,-0.0126,-1.2201,0.01252,0.948784,-6.876444,135,0.0,2173.8538,0.50116,0
1,0.0427,23782.82,13770.2918,40335.94,-0.1071083884,0.113831,0.842662,3.5165,0.026,-1.1877,0.012391,0.949002,-7.353988,129,0.186614,2283.5926,0.496887,0
2,0.0853,23949.13,13864.0696,40757.81,0.0418087821,0.164984,0.846019,3.5098,0.0236,-1.205,0.012103,0.949166,-6.698998,149,0.259071,2236.4939,0.4953,0
3,0.128,24153.75,13922.8873,40921.88,-0.0395196339,0.089059,0.838428,3.07,-0.0264,-1.1999,0.012756,0.949237,-6.772653,140,0.339484,2363.5518,0.501404,0
4,0.1707,23853.49,13976.5794,40710.94,-0.1315439568,0.165371,0.836317,3.2748,0.0094,-1.2143,0.012938,0.948029,-6.1384,160,0.416889,2362.3462,0.500305,0
5,0.2133,23801.5,13775.4983,40417.97,-0.05593961,0.128882,0.838995,3.0824,0.0027,-1.2015,0.012707,0.948374,-6.195502,150,0.505513,2339.274,0.507142,0
6,0.256,24341.26,13854.3476,41132.81,0.0996329149,0.304261,0.844069,3.5137,-0.0343,-1.1917,0.01227,0.949151,-6.405539,153,0.578284,2319.2057,0.506287,0
7,0.2987,23930.42,13823.7159,40863.28,-0.0232960573,0.205725,0.846577,3.6529,0.0173,-1.1872,0.012056,0.947562,-5.990835,156,0.680664,2240.8781,0.498718,0
8,0.3413,23982.83,13822.2295,40804.69,-0.0252811695,0.134963,0.847725,2.9354,0.0035,-1.1761,0.011958,0.949887,-7.28484,128,0.751653,2259.7781,0.492858,0
9,0.384,23770.71,13794.2162,40488.28,0.0196430641,0.095846,0.841737,3.6469,0.0272,-1.2005,0.012471,0.947999,-7.149766,123,0.85428,2281.2128,0.496154,0
10,0.4267,24015.72,13822.72,40640.62,0.0911118152,0.120572,0.849937,3.2869,-0.013,-1.2058,0.011769,0.950397,-6.561449,143,0.915286,2222.1871,0.49884,0
11,0.4693,23898.35,13884.844,40957.03,-0.072829854,0.176442,0.841047,3.6105,0.0225,-1.2098,0.01253,0.946987,-6.662293,142,1.010633,2293.8485,0.494811,0
12,0.512,24297.59,13728.5418,40605.47,0.1628326601,0.161404,0.853882,3.0287,-0.0448,-1.1687,0.011434,0.95248,-7.154217,137,1.093198,2237.5652,0.502259,0
13,0.5547,24264.96,13884.4482,41039.06,0.1409346288,0.235561,0.84444,3.1965,-0.0139,-1.2055,0.012239,0.948108,-7.455446,123,1.165626,2251.3984,0.504944,0
14,0.5973,23755.99,13936.8326,40828.12,-0.1200135979,0.159437,0.843879,3.0007,0.0136,-1.1985,0.012287,0.949857,-6.530635,150,1.273022,2336.0947,0.499695,0
15,0.64,24154.95,13821.4579,41027.34,0.0858886132,0.107673,0.84797,3.4152,0.0004,-1.1955,0.011937,0.95014,-7.095064,130,1.345484,2256.1498,0.491393,0
16,0.6827,23751.26,13790.0453,40523.44,-0.0624696824,0.123971,0.847236,3.3166,0.0367,-1.1756,0.011999,0.949621,-6.98527,142,1.431526,2229.6761,0.493102,0
17,0.7253,24187.77,13815.6105,41039.06,0.0836700597,0.135581,0.846955,3.326,-0.0123,-1.2023,0.012023,0.948094,-6.127433,161,1.532293,2254.6793,0.499573,0
