frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,937.5,8.2868,949.22,0.6953160222,8.195048,0.94497,1.4999,0.0,-1.0002,0.004097,0.104313,85.714746,113,0.0,29.0171,0.019534,0
1,0.0427,937.5,8.2868,949.22,0.6953160222,8.195048,0.94497,1.4999,0.0,-1.0002,0.004097,0.104313,85.714746,113,0.0,29.0171,0.019412,0
2,0.0853,937.5,8.2868,949.22,0.6953160222,8.195048,0.94497,1.4999,0.0,-1.0002,0.004097,0.104313,85.714746,113,0.0,29.0171,0.019412,0
3,0.128,937.5,8.2868,949.22,0.6953160222,8.195048,0.94497,1.4999,0.0,-1.0002,0.004097,0.104313,85.714746,113,0.0,29.0171,0.019412,0
4,0.1707,937.5,8.2868,949.22,0.6953160222,8.195048,0.94497,1.4999,0.0,-1.0002,0.004097,0.104313,85.714746,113,0.0,29.0171,0.019412,0
5,0.2133,937.5,8.2868,949.22,0.6953160222,8.195048,0.94497,1.4999,0.0,-1.0002,0.004097,0.104313,85.714746,113,0.0,29.0171,0.019412,0
6,0.256,937.5,8.2868,949.22,0.6953160222,8.195048,0.94497,1.4999,0.0,-1.0002,0.004097,0.104313,85.714746,113,0.0,29.0171,0.019412,0
7,0.2987,937.5,8.2868,949.22,0.6953160222,8.195048,0.94497,1.4999,0.0,-1.0002,0.004097,0.104313,85.714746,113,0.0,29.0171,0.019412,0
8,0.3413,937.5,8.2868,949.22,0.6953160222,8.195048,0.94497,1.4999,0.0,-1.0002,0.004097,0.104313,85.714746,113,0.0,29.0171,0.019412,0
9,0.384,937.5,8.2868,949.22,0.6953160222,8.195048,0.94497,1.4999,0.0,-1.0002,0.004097,0.104313,85.714746,113,0.0,29.0171,0.019412,0
10,0.4267,937.5,8.2868,949.22,0.6953160222,8.195048,0.94497,1.4999,0.0,-1.0002,0.004097,0.104313,85.714746,113,0.0,29.0171,0.019412,0
11,0.4693,937.5,8.2868,949.22,0.6953160222,8.195048,0.94497,1.4999,0.0,-1.0002,0.004097,0.104313,85.714746,113,0.0,29.0171,0.019412,0
12,0.512,937.5,8.2868,949.22,0.6953160222,8.195048,0.94497,1.4999,0.0,-1.0002,0.004097,0.104313,85.714746,113,0.0,29.0171,0.019412,0
13,0.5547,937.5,8.2868,949.22,0.6953160222,8.195048,0.94497,1.4999,0.0,-1.0002,0.004097,0.104313,85.714746,113,0.0,29.0171,0.019412,0
14,0.5973,937.5,8.2868,949.22,0.6953160222,8.195048,0.94497,1.4999,0.0,-1.0002,0.004097,0.104313,85.714746,113,0.0,29.0171,0.019412,0
15,0.64,937.5,8.2868,949.22,0.6953160222,8.195048,0.94497,1.4999,0.0,-1.0002,0.004097,0.104313,85.714746,113,0.0,29.0171,0.019412,0
