frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,-1.000000,0.000000,1.000000,-1.000053,1.007441,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,0.779784,0.000000,-1.000000,0.982905
1,0.042700,0,-1.000000,0.000000,1.000000,1.000061,-0.999406,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
2,0.085300,0,-1.000000,0.000000,1.000000,-1.000053,1.007441,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,0.779784,0.000000,-1.000000,-1.017393
3,0.128000,0,-1.000000,0.000000,1.000000,1.000061,-0.999406,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
4,0.170700,0,-1.000000,0.000000,1.000000,-1.000095,1.007119,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,0.779784,0.000000,-1.000000,-1.017393
5,0.213300,0,-1.000000,0.000000,1.000000,1.000132,-0.999836,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
6,0.256000,0,-1.000000,0.000000,1.000000,-1.000095,1.007011,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,0.779784,0.000000,-1.000000,-1.017393
7,0.298700,0,-1.000000,0.000000,1.000000,1.000132,-0.999836,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
8,0.341300,0,-1.000000,0.000000,1.000000,-1.000095,1.007011,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,0.779784,0.000000,-1.000000,-1.017393
9,0.384000,0,-1.000000,0.000000,1.000000,1.000130,-0.999836,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
10,0.426700,0,-1.000000,0.000000,1.000000,-1.000073,1.007011,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,0.779784,0.000000,-1.000000,-1.017393
11,0.469300,0,-1.000000,0.000000,1.000000,1.000054,-0.999621,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
12,0.512000,0,-1.000000,0.000000,1.000000,-1.000138,1.006904,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,0.779784,0.000000,-1.000000,-1.017393
13,0.554700,0,-1.000000,0.000000,1.000000,1.000071,-0.999621,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
14,0.597300,0,-1.000000,0.000000,1.000000,-1.000139,1.006904,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,0.779784,0.000000,-1.000000,-1.017393
15,0.640000,0,-1.000000,0.000000,1.000000,1.000072,-0.999621,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
16,0.682700,0,-1.000000,0.000000,1.000000,-1.000164,1.006260,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,0.941023,0.000000,-1.000000,-1.017393
17,0.725300,0,-1.000000,0.000000,1.000000,1.000108,-0.999728,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
18,0.768000,0,-1.000000,0.000000,1.000000,-1.000153,1.006368,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,0.941023,0.000000,-1.000000,-1.017393
19,0.810700,0,-1.000000,0.000000,1.000000,1.000079,-0.999728,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
20,0.853300,0,-1.000000,0.000000,1.000000,-1.000040,1.003149,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,1.102262,0.000000,-1.000000,-1.017393
21,0.896000,0,-1.000000,0.000000,1.000000,1.000081,-0.999728,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
22,0.938700,0,-1.000000,0.000000,1.000000,-1.000033,1.003041,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,1.102262,0.000000,-1.000000,-1.017393
23,0.981300,0,-1.000000,0.000000,1.000000,1.000081,-0.999728,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
24,1.024000,0,-1.000000,0.000000,1.000000,-1.000034,1.003041,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,1.102262,0.000000,-1.000000,-1.017393
25,1.066700,0,-1.000000,0.000000,1.000000,1.000083,-0.999728,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
26,1.109300,0,-1.000000,0.000000,1.000000,-1.000034,1.003041,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,1.102262,0.000000,-1.000000,-1.017393
27,1.152000,0,-1.000000,0.000000,1.000000,1.000082,-0.999728,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
28,1.194700,0,-1.000000,0.000000,1.000000,-0.999978,1.000788,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,1.102262,0.000000,-1.000000,-1.017393
29,1.237300,0,-1.000000,0.000000,1.000000,1.000082,-0.999728,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
30,1.280000,0,-1.000000,0.000000,1.000000,-0.999978,1.000788,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,1.102262,0.000000,-1.000000,-1.017393
31,1.322700,0,-1.000000,0.000000,1.000000,1.000082,-0.999728,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
32,1.365300,0,-1.000000,0.000000,1.000000,-0.999978,1.000788,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,1.102262,0.000000,-1.000000,-1.017393
33,1.408000,0,-1.000000,0.000000,1.000000,1.000082,-0.999728,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
34,1.450700,0,-1.000000,0.000000,1.000000,-0.999978,1.000788,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,1.102262,0.000000,-1.000000,-1.017393
35,1.493300,0,-1.000000,0.000000,1.000000,1.000082,-0.999728,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
36,1.536000,0,-1.000000,0.000000,1.000000,-0.999993,0.999715,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,1.263501,0.000000,-1.000000,-1.017393
37,1.578700,0,-1.000000,0.000000,1.000000,1.000082,-0.999728,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
38,1.621300,0,-1.000000,0.000000,1.000000,-0.999985,0.999715,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,1.263501,0.000000,-1.000000,-1.017393
39,1.664000,0,-1.000000,0.000000,1.000000,1.000041,-0.999728,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
40,1.706700,0,-1.000000,0.000000,1.000000,-0.999985,0.999930,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,1.102262,0.000000,-1.000000,-1.017393
41,1.749300,0,-1.000000,0.000000,1.000000,1.000041,-0.999728,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
42,1.792000,0,-1.000000,0.000000,1.000000,-0.999979,1.000252,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,1.102262,0.000000,-1.000000,-1.017393
43,1.834700,0,-1.000000,0.000000,1.000000,1.000019,-0.999728,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
44,1.877300,0,-1.000000,0.000000,1.000000,-0.999980,1.000252,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,1.102262,0.000000,-1.000000,-1.017393
45,1.920000,0,-1.000000,0.000000,1.000000,1.000022,-0.999728,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
46,1.962700,0,-1.000000,0.000000,1.000000,-0.999985,1.000144,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,1.102262,0.000000,-1.000000,-1.017393
47,2.005300,0,-1.000000,0.000000,1.000000,1.000021,-0.999728,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
48,2.048000,0,-1.000000,0.000000,1.000000,-0.999983,1.000252,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,1.102262,0.000000,-1.000000,-1.017393
49,2.090700,0,-1.000000,0.000000,1.000000,1.000090,-0.999836,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
50,2.133300,0,-1.000000,0.000000,1.000000,-0.999994,1.000144,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,1.102262,0.000000,-1.000000,-1.017393
51,2.176000,0,-1.000000,0.000000,1.000000,1.000058,-0.999836,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
52,2.218700,0,-1.000000,0.000000,1.000000,-0.999928,0.999608,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,1.263501,0.000000,-1.000000,-1.017393
53,2.261300,0,-1.000000,0.000000,1.000000,1.000058,-0.999836,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
54,2.304000,0,-1.000000,0.000000,1.000000,-0.999943,0.997033,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,1.102262,0.000000,-1.000000,-1.017393
55,2.346700,0,-1.000000,0.000000,1.000000,1.000040,-1.000050,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
56,2.389300,0,-1.000000,0.000000,1.000000,-0.999941,0.997033,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,1.102262,0.000000,-1.000000,-1.017393
57,2.432000,0,-1.000000,0.000000,1.000000,1.000025,-1.000050,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
58,2.474700,0,-1.000000,0.000000,1.000000,-0.999941,0.997033,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,1.102262,0.000000,-1.000000,-1.017393
59,2.517300,0,-1.000000,0.000000,1.000000,1.000020,-1.000050,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
60,2.560000,0,-1.000000,0.000000,1.000000,-0.999934,0.997033,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,1.102262,0.000000,-1.000000,-1.017393
61,2.602700,0,-1.000000,0.000000,1.000000,0.999996,-1.000050,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
62,2.645300,0,-1.000000,0.000000,1.000000,-0.999937,0.998642,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,0.941023,0.000000,-1.000000,-1.017393
63,2.688000,0,-1.000000,0.000000,1.000000,0.999999,-1.000050,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
64,2.730700,0,-1.000000,0.000000,1.000000,-1.000004,0.998213,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,0.941023,0.000000,-1.000000,-1.017393
65,2.773300,0,-1.000000,0.000000,1.000000,0.999999,-1.000050,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
66,2.816000,0,-1.000000,0.000000,1.000000,-0.999999,0.998213,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,0.941023,0.000000,-1.000000,-1.017393
67,2.858700,0,-1.000000,0.000000,1.000000,0.999993,-1.000050,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
68,2.901300,0,-1.000000,0.000000,1.000000,-1.000000,0.998320,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,1.102262,0.000000,-1.000000,-1.017393
69,2.944000,0,-1.000000,0.000000,1.000000,0.999968,-1.000050,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
70,2.986700,0,-1.000000,0.000000,1.000000,-1.000000,0.998320,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,1.102262,0.000000,-1.000000,-1.017393
71,3.029300,0,-1.000000,0.000000,1.000000,0.999968,-1.000050,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,1.000000,-0.993843,0.000000,-1.000000,0.982905
72,3.072000,0,-1.000000,0.000000,1.000000,-0.999993,0.998428,-1.000000,-1.000000,0.000000,1.000000,-1.000000,-1.000000,-1.000000,1.102262,0.000000,-1.000000,-1.017393
