frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,943.36,11.5609,949.22,5.3070490197,6.022476,0.104464,5.6167,-0.0,5.4955,0.163506,0.103842,16.872926,253,0.0,28.6894,0.019656,0
1,0.0427,943.36,11.5609,949.22,5.3135988097,6.003772,0.104464,5.6167,0.0,5.4955,0.163506,0.103842,16.872927,230,0.0,28.6894,0.019656,0
2,0.0853,943.36,11.5609,949.22,5.3070490197,6.022476,0.104464,5.6167,-0.0,5.4955,0.163506,0.103842,16.872926,253,0.0,28.6894,0.019534,0
3,0.128,943.36,11.5609,949.22,5.3135988097,6.003772,0.104464,5.6167,0.0,5.4955,0.163506,0.103842,16.872927,230,0.0,28.6894,0.019656,0
4,0.1707,943.36,11.5609,949.22,5.3070488805,6.022473,0.104464,5.6167,-0.0,5.4955,0.163506,0.103842,16.872926,251,0.0,28.6894,0.019534,0
5,0.2133,943.36,11.5609,949.22,5.3135990445,6.003768,0.104464,5.6167,0.0,5.4955,0.163506,0.103842,16.872927,220,0.0,28.6894,0.019656,0
6,0.256,943.36,11.5609,949.22,5.3070488819,6.022472,0.104464,5.6167,-0.0,5.4955,0.163506,0.103842,16.872926,251,0.0,28.6894,0.019534,0
7,0.2987,943.36,11.5609,949.22,5.3135990437,6.003768,0.104464,5.6167,0.0,5.4955,0.163506,0.103842,16.872927,220,0.0,28.6894,0.019656,0
8,0.3413,943.36,11.5609,949.22,5.3070488819,6.022472,0.104464,5.6167,-0.0,5.4955,0.163506,0.103842,16.872926,251,0.0,28.6894,0.019534,0
9,0.384,943.36,11.5609,949.22,5.3135990369,6.003768,0.104464,5.6167,0.0,5.4955,0.163506,0.103842,16.872927,219,0.0,28.6894,0.019656,0
10,0.4267,943.36,11.5609,949.22,5.3070489527,6.022472,0.104464,5.6167,-0.0,5.4955,0.163506,0.103842,16.872926,251,0.0,28.6894,0.019534,0
11,0.4693,943.36,11.5609,949.22,5.313598788,6.00377,0.104464,5.6167,0.0,5.4955,0.163506,0.103842,16.872927,225,0.0,28.6894,0.019656,0
12,0.512,943.36,11.5609,949.22,5.3070487401,6.022471,0.104464,5.6167,-0.0,5.4955,0.163506,0.103842,16.872926,253,0.0,28.6894,0.019534,0
13,0.5547,943.36,11.5609,949.22,5.313598843,6.00377,0.104464,5.6167,0.0,5.4955,0.163506,0.103842,16.872927,225,0.0,28.6894,0.019656,0
14,0.5973,943.36,11.5609,949.22,5.3070487373,6.022471,0.104464,5.6167,-0.0,5.4955,0.163506,0.103842,16.872926,253,0.0,28.6894,0.019534,0
15,0.64,943.36,11.5609,949.22,5.3135988453,6.00377,0.104464,5.6167,0.0,5.4955,0.163506,0.103842,16.872927,225,0.0,28.6894,0.019656,0
16,0.6827,943.36,11.5609,949.22,5.3070486567,6.022465,0.104464,5.6167,-0.0,5.4955,0.163506,0.103842,16.872926,254,0.0,28.6894,0.019534,0
17,0.7253,943.36,11.5609,949.22,5.3135989632,6.003769,0.104464,5.6167,0.0,5.4955,0.163506,0.103842,16.872927,232,0.0,28.6894,0.019656,0
18,0.768,943.36,11.5609,949.22,5.3070486907,6.022466,0.104464,5.6167,-0.0,5.4955,0.163506,0.103842,16.872926,251,0.0,28.6894,0.019534,0
19,0.8107,943.36,11.5609,949.22,5.3135988694,6.003769,0.104464,5.6167,0.0,5.4955,0.163506,0.103842,16.872927,230,0.0,28.6894,0.019656,0
20,0.8533,943.36,11.5609,949.22,5.3070490628,6.022436,0.104464,5.6167,-0.0,5.4955,0.163506,0.103842,16.872926,250,0.0,28.6894,0.019534,0
21,0.896,943.36,11.5609,949.22,5.3135988749,6.003769,0.104464,5.6167,0.0,5.4955,0.163506,0.103842,16.872927,231,0.0,28.6894,0.019656,0
22,0.9387,943.36,11.5609,949.22,5.3070490846,6.022435,0.104464,5.6167,-0.0,5.4955,0.163506,0.103842,16.872926,248,0.0,28.6894,0.019534,0
23,0.9813,943.36,11.5609,949.22,5.3135988749,6.003769,0.104464,5.6167,0.0,5.4955,0.163506,0.103842,16.872927,231,0.0,28.6894,0.019656,0
24,1.024,943.36,11.5609,949.22,5.3070490806,6.022435,0.104464,5.6167,-0.0,5.4955,0.163506,0.103842,16.872926,248,0.0,28.6894,0.019534,0
25,1.0667,943.36,11.5609,949.22,5.3135988811,6.003769,0.104464,5.6167,0.0,5.4955,0.163506,0.103842,16.872927,232,0.0,28.6894,0.019656,0
26,1.1093,943.36,11.5609,949.22,5.3070490805,6.022435,0.104464,5.6167,-0.0,5.4955,0.163506,0.103842,16.872926,248,0.0,28.6894,0.019534,0
27,1.152,943.36,11.5609,949.22,5.3135988791,6.003769,0.104464,5.6167,0.0,5.4955,0.163506,0.103842,16.872927,232,0.0,28.6894,0.019656,0
28,1.1947,943.36,11.5609,949.22,5.3070492645,6.022414,0.104464,5.6167,-0.0,5.4955,0.163506,0.103842,16.872926,245,0.0,28.6894,0.019534,0
29,1.2373,943.36,11.5609,949.22,5.3135988789,6.003769,0.104464,5.6167,0.0,5.4955,0.163506,0.103842,16.872927,232,0.0,28.6894,0.019656,0
30,1.28,943.36,11.5609,949.22,5.3070492653,6.022414,0.104464,5.6167,-0.0,5.4955,0.163506,0.103842,16.872926,245,0.0,28.6894,0.019534,0
31,1.3227,943.36,11.5609,949.22,5.3135988778,6.003769,0.104464,5.6167,0.0,5.4955,0.163506,0.103842,16.872927,232,0.0,28.6894,0.019656,0
32,1.3653,943.36,11.5609,949.22,5.3070492653,6.022414,0.104464,5.6167,-0.0,5.4955,0.163506,0.103842,16.872926,245,0.0,28.6894,0.019534,0
33,1.408,943.36,11.5609,949.22,5.3135988778,6.003769,0.104464,5.6167,0.0,5.4955,0.163506,0.103842,16.872927,232,0.0,28.6894,0.019656,0
34,1.4507,943.36,11.5609,949.22,5.3070492653,6.022414,0.104464,5.6167,-0.0,5.4955,0.163506,0.103842,16.872926,245,0.0,28.6894,0.019534,0
35,1.4933,943.36,11.5609,949.22,5.313598878,6.003769,0.104464,5.6167,0.0,5.4955,0.163506,0.103842,16.872927,232,0.0,28.6894,0.019656,0
36,1.536,943.36,11.5609,949.22,5.3070492147,6.022404,0.104464,5.6167,-0.0,5.4955,0.163506,0.103842,16.872926,240,0.0,28.6894,0.019534,0
37,1.5787,943.36,11.5609,949.22,5.3135988787,6.003769,0.104464,5.6167,0.0,5.4955,0.163506,0.103842,16.872927,232,0.0,28.6894,0.019656,0
38,1.6213,943.36,11.5609,949.22,5.307049241,6.022404,0.104464,5.6167,-0.0,5.4955,0.163506,0.103842,16.872926,241,0.0,28.6894,0.019534,0
39,1.664,943.36,11.5609,949.22,5.3135987458,6.003769,0.104464,5.6167,0.0,5.4955,0.163506,0.103842,16.872927,228,0.0,28.6894,0.019656,0
40,1.7067,943.36,11.5609,949.22,5.3070492404,6.022406,0.104464,5.6167,-0.0,5.4955,0.163506,0.103842,16.872926,240,0.0,28.6894,0.019534,0
41,1.7493,943.36,11.5609,949.22,5.3135987451,6.003769,0.104464,5.6167,0.0,5.4955,0.163506,0.103842,16.872927,228,0.0,28.6894,0.019656,0
42,1.792,943.36,11.5609,949.22,5.3070492608,6.022409,0.104464,5.6167,-0.0,5.4955,0.163506,0.103842,16.872926,244,0.0,28.6894,0.019534,0
43,1.8347,943.36,11.5609,949.22,5.3135986738,6.003769,0.104464,5.6167,0.0,5.4955,0.163506,0.103842,16.872927,228,0.0,28.6894,0.019656,0
44,1.8773,943.36,11.5609,949.22,5.3070492578,6.022409,0.104464,5.6167,-0.0,5.4955,0.163506,0.103842,16.872926,244,0.0,28.6894,0.019534,0
45,1.92,943.36,11.5609,949.22,5.3135986814,6.003769,0.104464,5.6167,0.0,5.4955,0.163506,0.103842,16.872927,228,0.0,28.6894,0.019656,0
46,1.9627,943.36,11.5609,949.22,5.3070492428,6.022408,0.104464,5.6167,-0.0,5.4955,0.163506,0.103842,16.872926,243,0.0,28.6894,0.019534,0
47,2.0053,943.36,11.5609,949.22,5.3135986793,6.003769,0.104464,5.6167,0.0,5.4955,0.163506,0.103842,16.872927,228,0.0,28.6894,0.019656,0
48,2.048,943.36,11.5609,949.22,5.3070492487,6.022409,0.104464,5.6167,-0.0,5.4955,0.163506,0.103842,16.872926,243,0.0,28.6894,0.019534,0
49,2.0907,943.36,11.5609,949.22,5.3135989047,6.003768,0.104464,5.6167,0.0,5.4955,0.163506,0.103842,16.872927,222,0.0,28.6894,0.019656,0
50,2.1333,943.36,11.5609,949.22,5.3070492139,6.022408,0.104464,5.6167,-0.0,5.4955,0.163506,0.103842,16.872926,244,0.0,28.6894,0.019534,0
51,2.176,943.36,11.5609,949.22,5.3135987999,6.003768,0.104464,5.6167,0.0,5.4955,0.163506,0.103842,16.872927,221,0.0,28.6894,0.019656,0
