frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,225.36,16.6496,246.09,0.5918941649,2.918425,0.146935,5.2423,0.0063,2.0552,0.138813,0.184286,11.055117,14,0.0,28.7025,0.004761,0
1,0.0427,250.98,16.7536,269.53,3.8051952221,2.635762,0.15397,4.9557,-0.0009,2.1867,0.135427,0.184374,9.985488,13,0.658167,28.5907,0.005128,0
2,0.0853,276.62,16.7446,292.97,8.0448351774,2.433413,0.153378,4.9958,0.0005,2.1754,0.135706,0.184367,10.13209,13,0.664296,28.6068,0.005738,0
3,0.128,302.23,16.6341,316.41,13.0701594933,2.28456,0.145837,5.2659,-0.0084,2.0347,0.139355,0.184274,11.145674,14,0.656586,28.7114,0.006348,0
4,0.1707,327.81,16.4759,339.84,4.9777924576,2.039155,0.164494,5.0435,0.0065,1.7225,0.130642,0.184206,11.581405,22,0.636015,28.7531,0.006837,0
5,0.2133,353.34,16.5197,363.28,10.0030913476,1.815283,0.167913,4.987,-0.0336,1.781,0.129153,0.184245,11.3457,16,0.627258,28.7308,0.007325,0
6,0.256,378.96,16.7183,398.44,0.4056712588,2.256924,0.151643,5.0928,0.0013,2.1432,0.13653,0.184344,10.490778,13,0.651772,28.6451,0.007936,0
7,0.2987,404.6,16.7647,421.88,6.5007539582,3.175141,0.154697,4.8428,-0.0001,2.2002,0.135086,0.184384,9.577547,15,0.6634,28.5447,0.008424,0
8,0.3413,430.23,16.687,445.31,13.5428669585,3.684287,0.149524,5.1704,-0.0029,2.1034,0.137548,0.184317,10.781821,13,0.661478,28.6752,0.008912,0
9,0.384,455.84,16.4963,468.75,1.8421915868,4.229678,0.166105,5.0188,0.0235,1.7499,0.129936,0.184224,11.478136,18,0.646187,28.7434,0.009523,0
10,0.4267,481.37,16.487,492.19,8.7140719964,4.631121,0.165368,5.0303,-0.018,1.7373,0.130258,0.184216,11.526266,16,0.618573,28.7479,0.010011,0
11,0.4693,506.96,16.6693,527.34,-4.8231065463,4.784326,0.148309,5.2057,0.0044,2.0807,0.138139,0.184303,10.915487,13,0.642978,28.6887,0.010621,0
12,0.512,532.58,16.7606,550.78,3.2004406713,4.854065,0.154434,4.8968,-0.0001,2.1953,0.135209,0.18438,9.771956,14,0.66009,28.5669,0.01111,0
13,0.5547,558.23,16.7322,574.22,12.1477029737,4.983425,0.152564,5.0491,-0.0005,2.1604,0.136091,0.184356,10.328343,14,0.663973,28.6279,0.011598,0
14,0.5973,583.86,16.5341,597.66,-3.0669534305,5.239965,0.169001,4.9661,0.0382,1.7999,0.128685,0.184257,11.259324,17,0.654251,28.7225,0.012209,0
15,0.64,609.4,16.4744,621.09,5.8109476675,5.581905,0.164366,5.0453,-0.0004,1.7203,0.130698,0.184205,11.589267,16,0.631385,28.7538,0.012697,0
16,0.6827,634.94,16.5361,644.53,15.1931723429,5.308115,0.169158,4.9629,-0.0388,1.8026,0.128618,0.184259,11.245962,16,0.631957,28.7212,0.013185,0
17,0.7253,660.57,16.7339,679.69,-1.8664247486,5.104996,0.15268,5.0426,0.0005,2.1625,0.136036,0.184357,10.304419,13,0.654584,28.6254,0.013796,0
18,0.768,686.21,16.7597,703.12,8.9671289138,5.043012,0.154368,4.9044,-0.0,2.194,0.135241,0.18438,9.799168,14,0.664032,28.5699,0.014284,0
19,0.8107,711.83,16.6666,726.56,20.7259119211,5.135325,0.148136,5.2105,-0.0046,2.0777,0.138223,0.184301,10.933687,13,0.65987,28.6905,0.014772,0
20,0.8533,737.43,16.4858,750.0,1.251599975,5.385237,0.16528,5.0317,0.0171,1.7359,0.130296,0.184216,11.531885,8,0.642506,28.7485,0.015383,0
21,0.896,762.96,16.4976,773.44,12.3501053093,5.419802,0.166211,5.0169,-0.0243,1.7518,0.12989,0.184226,11.469984,5,0.619231,28.7426,0.015871,0
22,0.9387,788.56,16.6896,808.59,-8.7321782723,5.548048,0.149728,5.1652,0.0027,2.1077,0.137449,0.18432,10.761877,13,0.646632,28.6731,0.016482,0
23,0.9813,814.19,16.7648,832.03,4.065559895,5.503992,0.154703,4.8349,0.0,2.2002,0.135083,0.184384,9.549233,12,0.661654,28.5415,0.01697,0
24,1.024,839.83,16.7164,855.47,17.710779198,5.168921,0.151513,5.0989,-0.0012,2.1407,0.136592,0.184342,10.513231,15,0.663296,28.6475,0.017458,0
