frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,-1.707195,0.151423,-1.696728,-0.298796,-2.035125,-1.235450,1.581712,0.429827,0.323188,1.257539,-0.170149,0.185527,0.216033,-8.110121,0.404210,-1.701518
1,0.042700,0,-1.656946,1.102508,-1.650730,-0.110757,-2.278749,-0.329120,-0.804449,-0.057036,1.017224,0.308882,1.220356,0.120999,-0.065218,0.242484,-1.225260,-1.666958
2,0.085300,0,-1.606658,1.020202,-1.604733,0.137343,-2.453152,-0.405388,-0.470586,0.037632,0.957584,0.387050,1.109748,0.129843,-0.065218,0.320266,-0.990605,-1.609516
3,0.128000,0,-1.556429,0.009675,-1.558736,0.431420,-2.581447,-1.376907,1.778200,-0.564185,0.214992,1.409392,-0.359763,0.190990,0.216033,0.222420,0.533926,-1.552073
4,0.170700,0,-1.506259,-1.437070,-1.512758,-0.042138,-2.792960,1.026704,-0.073448,0.443351,-1.432751,-1.031734,-1.434244,0.217277,2.466042,-0.038640,1.141698,-1.506025
5,0.213300,0,-1.456186,-1.036517,-1.466761,0.251938,-2.985913,1.467179,-0.543853,-2.268206,-1.123997,-1.448908,-0.817998,0.203057,0.778535,-0.149773,0.816678,-1.460071
6,0.256000,0,-1.405938,0.779688,-1.397765,-0.309694,-2.605266,-0.628911,0.337012,0.091728,0.787638,0.617910,0.746320,0.151482,-0.065218,0.161327,-0.432388,-1.402534
7,0.298700,0,-1.355650,1.204017,-1.351767,0.046985,-1.813864,-0.235459,-1.744426,-0.002940,1.088475,0.213344,1.378368,0.096389,0.497284,0.308895,-1.895704,-1.356580
8,0.341300,0,-1.305381,0.493448,-1.305790,0.459083,-1.375035,-0.901905,0.983090,-0.192276,0.577580,0.903124,0.319688,0.169040,-0.065218,0.284503,0.006316,-1.310626
9,0.384000,0,-1.255152,-1.250511,-1.259792,-0.225630,-0.904968,1.234251,-0.279094,1.592889,-1.288138,-1.229535,-1.149823,0.211047,1.341038,0.090450,1.000322,-1.253090
10,0.426700,0,-1.205080,-1.335560,-1.213795,0.176506,-0.558968,1.139302,-0.183348,-1.213336,-1.354639,-1.139320,-1.276233,0.213950,0.778535,-0.259992,1.065908,-1.207136
11,0.469300,0,-1.154890,0.331581,-1.144819,-0.615677,-0.426922,-1.058435,1.276990,0.301349,0.457773,1.068704,0.098471,0.177103,-0.065218,0.049725,0.203076,-1.149693
12,0.512000,0,-1.104641,1.166523,-1.098821,-0.146146,-0.366814,-0.269342,-1.294836,-0.002940,1.062613,0.247805,1.315163,0.108117,0.216033,0.266889,-1.572142,-1.103645
13,0.554700,0,-1.054334,0.906804,-1.052824,0.377439,-0.255320,-0.510257,-0.026823,-0.029988,0.878417,0.494915,0.935934,0.141682,0.216033,0.316167,-0.683075,-1.057691
14,0.597300,0,-1.004066,-0.904829,-1.006827,-0.512909,-0.034211,1.607348,-0.717861,2.586901,-1.024246,-1.580028,-0.628384,0.197846,1.059787,0.192788,0.695707,-1.000154
15,0.640000,0,-0.953974,-1.450788,-0.960849,0.006618,0.260504,1.010213,-0.058461,-0.023226,-1.444362,-1.016045,-1.450046,0.217751,0.778535,-0.097398,1.151900,-0.954200
16,0.682700,0,-0.903882,-0.886539,-0.914851,0.555657,0.024527,1.627574,-0.744503,-2.619829,-1.009996,-1.598799,-0.596781,0.197040,0.778535,-0.090139,0.676760,-0.908246
17,0.725300,0,-0.853613,0.922350,-0.845855,-0.442655,-0.150539,-0.495313,-0.080941,0.037632,0.889500,0.479506,0.951736,0.140239,-0.065218,0.197014,-0.719512,-0.850710
18,0.768000,0,-0.803326,1.158292,-0.799878,0.191315,-0.203963,-0.277845,-1.231560,0.003822,1.055752,0.256770,1.315163,0.109759,0.216033,0.316915,-1.528417,-0.804756
19,0.810700,0,-0.753077,0.306889,-0.753880,0.879428,-0.124399,-1.080723,1.316953,-0.307229,0.441939,1.092239,0.066869,0.178201,-0.065218,0.264097,0.229311,-0.758802
20,0.853300,0,-0.702867,-1.346534,-0.707883,-0.260191,0.090998,1.127965,-0.171692,1.160122,-1.362028,-1.128673,-1.276233,0.214289,-1.471473,0.043735,1.074653,-0.701265
