frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,1992.36,10.9071,2003.91,10.1310574643,7.164947,0.121103,5.0248,-0.0089,1.7779,0.152808,0.136233,22.49341,20,0.0,28.9914,0.041509,0
1,0.0427,1984.56,12.1241,1992.19,-22.7698366526,6.291656,0.110671,5.8291,0.014,4.3707,0.159327,0.135482,18.131414,12,0.263847,28.8267,0.041387,0
2,0.0853,1977.23,11.831,1992.19,-53.3638623993,6.315053,0.12003,5.5779,0.0994,3.6556,0.153452,0.135647,19.397705,12,0.225419,28.8825,0.041143,0
3,0.128,1969.27,10.9388,1980.47,18.5310858696,6.897481,0.123663,5.0161,-0.0266,1.8332,0.151293,0.136212,22.399615,14,0.269129,28.9886,0.041021,0
4,0.1707,1961.55,12.1929,1968.75,-15.5762235921,6.258778,0.113217,5.7307,0.0111,4.416,0.157681,0.135417,17.464388,12,0.260231,28.794,0.040899,0
5,0.2133,1954.2,11.7251,1968.75,-45.4937999881,6.339348,0.115421,5.6506,0.0927,3.5537,0.156286,0.135742,19.997189,12,0.230579,28.9063,0.040654,0
6,0.256,1946.18,10.9982,1957.03,26.8840083646,6.642831,0.128264,4.9987,-0.043,1.9308,0.148649,0.13617,22.212946,13,0.271117,28.9828,0.040532,0
7,0.2987,1938.54,12.2435,1945.31,-8.600240081,6.220954,0.115076,5.6264,0.0078,4.4463,0.156503,0.135367,16.78978,11,0.256142,28.7582,0.04041,0
8,0.3413,1931.16,11.61,1945.31,-37.8641815703,6.301774,0.110277,5.7163,0.0854,3.4277,0.159586,0.135839,20.555266,14,0.235663,28.9272,0.040166,0
9,0.384,1923.1,11.0781,1933.59,35.238333316,6.382255,0.134149,4.9731,-0.0576,2.0511,0.145402,0.13611,21.937782,12,0.2725,28.9742,0.040044,0
10,0.4267,1915.54,12.2749,1921.88,-1.8200005699,6.042909,0.116227,5.5165,0.0042,4.4639,0.155782,0.135336,16.113199,12,0.251656,28.7194,0.039922,0
11,0.4693,1908.08,11.3944,1921.88,90.269541594,6.124046,0.123535,5.3325,-0.022,2.7972,0.151368,0.135933,21.061436,18,0.240889,28.9451,0.0398,0
12,0.512,1900.03,11.1712,1910.16,43.5868865947,6.185454,0.140664,4.9397,-0.0703,2.1772,0.14197,0.136035,21.580566,14,0.273086,28.9626,0.039678,0
13,0.5547,1892.54,12.2867,1898.44,4.7885594569,6.079862,0.116657,5.4015,0.0004,4.4703,0.155515,0.135324,15.439125,12,0.246942,28.6775,0.039434,0
14,0.5973,1885.02,11.2824,1898.44,99.6845685398,6.343822,0.117099,5.3786,-0.0234,2.6521,0.155241,0.136021,21.505256,14,0.245845,28.9602,0.039189,0
15,0.64,1877.01,11.3733,1886.72,-79.994909382,6.313158,0.122342,5.3417,0.0222,2.7714,0.152071,0.13595,21.149525,13,0.27296,28.9482,0.039067,0
16,0.6827,1869.54,12.2786,1875.0,11.2398450164,6.116194,0.116362,5.4954,-0.0035,4.4659,0.155698,0.135332,15.986767,11,0.241831,28.7118,0.038945,0
17,0.7253,1861.98,11.0947,1875.0,-24.5597907682,6.379523,0.135337,4.9674,0.0601,2.0747,0.144764,0.136097,21.87696,17,0.250779,28.9722,0.038823,0
18,0.768,1853.92,11.5878,1863.28,46.0574321212,6.25748,0.109264,5.7277,-0.0839,3.4012,0.160254,0.135857,20.654241,12,0.272696,28.9308,0.038701,0
19,0.8107,1846.53,12.2508,1851.56,17.5559329217,6.10712,0.115346,5.6062,-0.0072,4.4505,0.156333,0.13536,16.663187,11,0.236613,28.7512,0.038457,0
20,0.8533,1838.91,11.0118,1851.56,-15.6651509813,6.434663,0.129289,4.9945,0.0459,1.9522,0.148073,0.13616,22.168023,17,0.25533,28.9814,0.038335,0
21,0.896,1830.88,11.7042,1839.84,51.983455745,6.169205,0.114497,5.6635,-0.0914,3.5321,0.156868,0.13576,20.10507,12,0.271418,28.9105,0.038213,0
22,0.9387,1823.53,12.2038,1828.12,23.750414968,6.052508,0.113618,5.7116,-0.0105,4.4227,0.157426,0.135406,17.338557,12,0.231537,28.7875,0.037969,0
23,0.9813,1815.82,10.948,1828.12,-7.2133514242,6.537254,0.124391,5.0135,0.0298,1.8489,0.150868,0.136205,22.371648,19,0.2595,28.9877,0.037724,0
24,1.024,1807.85,11.812,1816.41,57.8331865596,6.074978,0.119213,5.592,-0.0982,3.6383,0.153946,0.135664,19.51255,12,0.269546,28.8872,0.037602,0
25,1.0667,1800.52,12.1383,1816.41,29.8442618758,6.004064,0.111199,5.8112,-0.0135,4.3805,0.158983,0.135469,18.007483,12,0.226389,28.8208,0.037602,0
26,1.1093,1792.73,10.9106,1804.69,0.8004889939,6.685312,0.121395,5.0238,0.0123,1.7842,0.152633,0.136231,22.483054,22,0.26321,28.9911,0.037358,0
27,1.152,1784.85,12.0232,1792.97,-27.2674612389,5.999363,0.106897,5.9354,0.0166,4.2951,0.161839,0.135575,18.88683,11,0.267351,28.8609,0.037114,0
28,1.1947,1777.5,12.0556,1792.97,35.8592387982,5.967992,0.108116,5.9045,-0.0159,4.3207,0.161018,0.135546,18.663371,14,0.221386,28.8511,0.037114,0
29,1.2373,1769.64,10.9049,1781.25,8.4552846146,7.008719,0.120926,5.0254,-0.006,1.774,0.152913,0.136234,22.499632,22,0.266386,28.9916,0.03687,0
30,1.28,1761.84,12.1115,1769.53,-20.5948727257,5.932965,0.110201,5.8443,0.0144,4.3619,0.159636,0.135494,18.237244,11,0.264378,28.8317,0.036626,0
31,1.3227,1754.48,11.9574,1769.53,41.8197648494,5.938381,0.10441,5.9912,-0.0177,4.2396,0.163543,0.135633,19.298391,16,0.224776,28.8784,0.036626,0
32,1.3653,1746.56,10.9317,1757.81,15.8965644705,6.505463,0.123096,5.0181,-0.0238,1.821,0.151626,0.136217,22.420994,18,0.268961,28.9892,0.036503,0
33,1.408,1738.83,12.1831,1746.09,-14.1612206089,5.878158,0.112855,5.7469,0.0116,4.4098,0.157914,0.135426,17.572037,11,0.260845,28.7995,0.036259,0
34,1.4507,1731.48,11.7428,1746.09,-40.6992591511,5.923186,0.116199,5.6394,0.0938,3.5716,0.1558,0.135726,19.903565,17,0.229756,28.9027,0.036015,0
35,1.4933,1723.47,10.9871,1734.38,23.2538220271,6.256077,0.12742,5.002,-0.0405,1.9131,0.149127,0.136178,22.248981,12,0.270841,28.984,0.035893,0
36,1.536,1715.82,12.2366,1722.66,-7.9408668692,5.845444,0.114825,5.6435,0.0084,4.4423,0.156661,0.135374,16.898236,12,0.256826,28.7642,0.035771,0
37,1.5787,1708.44,11.629,1722.66,-33.8439024401,5.94657,0.111134,5.7062,0.0866,3.4496,0.159025,0.135823,20.468982,11,0.234854,28.9241,0.035527,0
38,1.6213,1700.39,11.0642,1710.94,30.582738462,6.167416,0.133148,4.9777,-0.0554,2.031,0.145944,0.136121,21.987627,13,0.272313,28.9758,0.035405,0
