frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,1.724596,-1.433967,1.727024,0.152874,1.342102,0.279404,-1.230445,-0.164757,-1.434168,-0.317644,1.412667,1.218566,1.618162,-10.825863,1.102607,1.724843
1,0.042700,0,1.709496,0.961943,1.704339,-1.140634,0.615367,-0.953144,1.160195,0.320101,1.018380,0.971894,-0.914860,-0.733376,-0.691374,0.492093,-0.627031,1.713507
2,0.085300,0,1.695306,0.384917,1.704339,-2.343446,0.634837,0.152628,0.413547,2.128262,0.341962,-0.190253,-0.403486,-0.166726,-0.691374,-1.156311,-0.041033,1.690834
3,0.128000,0,1.679897,-1.371559,1.681654,0.483123,1.119522,0.581869,-1.256305,-0.539517,-1.381860,-0.617330,1.347583,1.176594,-0.113990,0.718670,1.073202,1.679498
4,0.170700,0,1.664952,1.097390,1.658968,-0.857815,0.588007,-0.652333,0.867718,0.258699,1.061230,0.646295,-1.116311,-1.031863,-0.691374,0.336982,-0.970438,1.668162
5,0.213300,0,1.650723,0.176431,1.658968,-2.034032,0.655055,-0.391929,0.629635,1.986404,0.245574,0.370347,-0.109059,0.101536,-0.691374,-0.934968,0.208908,1.645396
6,0.256000,0,1.635197,-1.254619,1.636283,0.811520,0.907608,1.125481,-1.308023,-0.886752,-1.289539,-1.140345,1.217415,1.093061,-0.402682,0.803947,1.012292,1.634060
7,0.298700,0,1.620407,1.197007,1.613598,-0.583552,0.556530,-0.432691,0.557705,0.188829,1.089891,0.413272,-1.271272,-1.333742,-0.980066,0.161580,-1.346400,1.622724
8,0.341300,0,1.606120,-0.050166,1.613598,-1.734072,0.623787,-0.999696,0.824917,1.831842,0.126389,1.023128,0.191567,0.351269,-0.113990,-0.716885,0.428395,1.600052
9,0.384000,0,1.590517,-1.097319,1.590912,1.139973,0.690762,1.820797,-1.384115,-1.195875,-1.175746,-1.782642,1.031461,0.969929,-0.691374,0.863272,0.921977,1.588715
10,0.426700,0,1.575882,1.258824,1.568246,-0.316985,0.408365,-0.296699,0.231047,0.112607,1.106538,0.270650,-1.367349,-1.636504,-0.691374,-0.030851,-1.753868,1.577379
11,0.469300,0,1.561440,-0.474619,1.568246,3.303539,0.475885,0.566746,-0.315861,-0.442122,-0.470005,-0.602494,0.482896,0.577774,1.040778,-0.492711,0.616376,1.566043
