frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,-1.731686,1.280424,-2.138743,0.005604,-1.074956,-0.099576,0.671348,-0.286219,1.095845,0.060932,-1.696995,-1.127413,0.263788,-12.111178,-1.875489,-0.730041
1,0.042700,0,-1.714102,1.269876,-2.138743,0.014910,-1.117024,-0.103743,0.696486,-0.305519,1.095616,0.074027,-1.664759,-1.104919,-1.280497,0.600173,-1.781134,-1.653877
2,0.085300,0,-1.696518,1.258473,-2.138743,0.022874,-1.078041,-0.108236,0.721430,-0.345873,1.095891,0.088191,-1.632523,-1.082181,-0.662783,0.569170,-1.687889,-1.653877
3,0.128000,0,-1.680692,1.245549,-2.138743,0.031654,-1.083416,-0.113356,0.746083,-0.373945,1.095799,0.104377,-1.595682,-1.059168,-1.280497,0.561419,-1.596864,-1.653877
4,0.170700,0,-1.663109,1.231295,-2.138743,0.040399,-1.084238,-0.118965,0.770638,-0.402017,1.095707,0.122250,-1.554236,-1.035882,-1.434925,0.549793,-1.506949,-1.653877
5,0.213300,0,-1.647283,1.215996,-2.138743,0.048391,-1.037744,-0.124989,0.795000,-0.442371,1.095891,0.141471,-1.508185,-1.012324,-0.045069,0.526540,-1.419254,-1.653877
6,0.256000,0,-1.629699,1.198986,-2.138743,0.057826,-1.076818,-0.131728,0.819264,-0.458162,1.095340,0.163053,-1.457529,-0.988459,-1.743782,0.518790,-1.332669,-1.653877
7,0.298700,0,-1.613874,1.181121,-2.138743,0.065619,-1.019550,-0.138730,0.843238,-0.500270,1.095478,0.185647,-1.406873,-0.964318,-0.199498,0.499413,-1.247194,-1.653877
8,0.341300,0,-1.596290,1.161545,-2.138743,0.074714,-1.036242,-0.146436,0.867017,-0.521324,1.094882,0.210658,-1.351611,-0.939853,-0.971640,0.487786,-1.163940,-1.653877
9,0.384000,0,-1.580464,1.140830,-2.138743,0.083476,-1.029971,-0.154605,0.890602,-0.547642,1.094331,0.237298,-1.296350,-0.915076,-1.126068,0.472285,-1.082905,-1.653877
10,0.426700,0,-1.564639,1.119068,-2.138743,0.091486,-0.968369,-0.163151,0.913993,-0.586241,1.093964,0.265400,-1.236483,-0.889983,0.418216,0.449032,-1.002981,-0.730041
11,0.469300,0,-1.547055,1.095597,-2.138743,0.101013,-1.013033,-0.172450,0.937189,-0.598523,1.092726,0.296199,-1.172012,-0.864532,-0.971640,0.433531,-0.924167,-1.653877
12,0.512000,0,-1.531230,1.071080,-2.138743,0.109237,-0.972818,-0.182038,0.960192,-0.631859,1.091900,0.328179,-1.107540,-0.838751,-0.662783,0.406403,-0.847572,-1.653877
13,0.554700,0,-1.515404,1.045232,-2.138743,0.117750,-0.942267,-0.192178,0.983001,-0.659931,1.090707,0.362294,-1.038463,-0.812604,-0.199498,0.410278,-0.772088,-0.730041
14,0.597300,0,-1.497820,1.017864,-2.138743,0.127271,-0.971550,-0.202983,1.005615,-0.672213,1.088735,0.398939,-0.969387,-0.786070,-1.126068,0.410278,-0.698824,-1.653877
15,0.640000,0,-1.481995,0.989546,-2.138743,0.135387,-0.917749,-0.214064,1.028035,-0.705548,1.087221,0.436932,-0.900310,-0.759167,-0.508355,0.406403,-0.626670,-1.653877
16,0.682700,0,-1.466169,0.959803,-2.138743,0.144143,-0.897256,-0.225747,1.050165,-0.728357,1.085019,0.477286,-0.826628,-0.731851,-0.353926,0.406403,-0.555626,-0.730041
17,0.725300,0,-1.443310,0.814221,-2.138743,-0.469109,-0.920640,-0.071604,0.643007,1.863061,0.736161,-0.025846,-0.757551,-0.704106,-0.817211,1.123354,-0.486802,-1.653877
18,0.768000,0,-1.427485,0.783242,-0.437968,-0.459881,-0.867213,-0.085496,0.663195,1.824462,0.731757,0.017037,-0.683870,-0.675942,-0.508355,0.383150,-0.419089,-1.653877
19,0.810700,0,-1.411659,0.750933,-0.437968,-0.450335,-0.830896,-0.099978,0.683189,1.791126,0.726987,0.062225,-0.605583,-0.647315,-0.199498,0.375399,-0.353595,-0.730041
20,0.853300,0,-1.395834,0.717389,-0.437968,-0.440020,-0.859900,-0.115037,0.702989,1.768318,0.721711,0.109717,-0.531901,-0.618200,-0.817211,0.371524,-0.289211,-1.653877
21,0.896000,0,-1.380008,0.682609,-0.437968,-0.430549,-0.822488,-0.130674,0.722498,1.733227,0.715886,0.159681,-0.453614,-0.588600,-0.508355,0.359898,-0.227048,-1.653877
22,0.938700,0,-1.364183,0.646593,-0.437968,-0.421296,-0.746585,-0.146875,0.741909,1.698137,0.709418,0.212063,-0.375327,-0.558483,1.344787,0.348271,-0.165995,-0.730041
23,0.981300,0,-1.348357,0.609248,-0.437968,-0.411131,-0.777067,-0.163666,0.761127,1.673574,0.702307,0.267142,-0.297040,-0.527801,-0.508355,0.340521,-0.106051,-1.653877
24,1.024000,0,-1.332532,0.570667,-0.437968,-0.401155,-0.771934,-0.181047,0.780053,1.647256,0.694509,0.324863,-0.218753,-0.496547,-0.508355,0.325019,-0.048328,-1.653877
25,1.066700,0,-1.316707,0.530850,-0.437968,-0.391965,-0.705055,-0.198992,0.798882,1.610411,0.685885,0.385337,-0.140466,-0.464699,-0.508355,0.313393,0.007175,-0.730041
26,1.109300,0,-1.302639,0.489798,-0.437968,-0.382391,-0.658181,-0.217515,0.817420,1.580584,0.676390,0.448791,-0.062179,-0.432205,0.263788,0.297891,0.062678,-0.730041
27,1.152000,0,-1.292089,0.341841,-0.437968,0.348202,-0.684155,-0.048877,0.391531,-0.858191,0.339688,-0.095032,0.006898,-0.399022,-0.353926,1.010967,0.115961,-1.653877
28,1.194700,0,-1.276264,0.300029,-0.437968,0.360959,-0.664550,-0.071579,0.408225,-0.861700,0.329137,-0.025958,0.085185,-0.365129,-0.662783,0.247511,0.167024,-1.653877
29,1.237300,0,-1.262197,0.257172,-0.437968,0.373239,-0.592796,-0.094845,0.424822,-0.872227,0.317807,0.046151,0.158867,-0.330484,-0.353926,0.228134,0.216977,-0.730041
