frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,440.16,11.5236,445.31,7.4648265251,4.348714,0.103349,5.8137,-0.0144,5.4967,0.164282,0.103862,18.327882,138,0.0,28.7571,0.009278,0
1,0.0427,440.26,11.5125,445.31,7.7889002521,4.327004,0.103017,5.8396,-0.0155,5.4962,0.164515,0.103867,18.53383,113,0.00328,28.7656,0.009156,0
2,0.0853,440.36,11.5005,445.31,8.0662234917,4.347122,0.102659,5.8653,-0.0178,5.4968,0.164767,0.103873,18.742004,112,0.003272,28.774,0.009156,0
3,0.128,440.45,11.4869,445.31,8.3719874186,4.344348,0.102251,5.8907,-0.0194,5.4966,0.165055,0.10388,18.952706,118,0.00327,28.7822,0.009156,0
4,0.1707,440.55,11.4719,445.31,8.6765482059,4.343924,0.101804,5.916,-0.021,5.4964,0.165373,0.103887,19.165902,119,0.003267,28.7903,0.009156,0
5,0.2133,440.64,11.4558,445.31,8.9548604514,4.367918,0.101324,5.9411,-0.0233,5.4968,0.165715,0.103895,19.381589,126,0.003261,28.7982,0.009156,0
6,0.256,440.74,11.4379,445.31,9.2834199639,4.347753,0.100787,5.9661,-0.0242,5.4956,0.166099,0.103904,19.600085,114,0.003259,28.806,0.009156,0
7,0.2987,440.83,11.4191,445.31,9.5548054189,4.377307,0.100229,5.9908,-0.0266,5.4959,0.166501,0.103913,19.821115,123,0.003254,28.8137,0.009156,0
8,0.3413,440.93,11.3985,445.31,9.8715452226,4.368693,0.099615,6.0153,-0.0278,5.4946,0.166946,0.103923,20.045106,126,0.003251,28.8212,0.009156,0
9,0.384,441.02,11.3767,445.31,10.1766630493,4.371929,0.098964,6.0396,-0.0293,5.4934,0.16742,0.103933,20.27195,130,0.003247,28.8285,0.009156,0
10,0.4267,441.11,11.3538,445.31,10.4556197896,4.40372,0.098283,6.0637,-0.0315,5.4926,0.16792,0.103943,20.501695,138,0.003241,28.8357,0.009278,0
11,0.4693,441.21,11.3291,445.31,10.7873727281,4.38067,0.097542,6.0876,-0.0322,5.4899,0.168468,0.103954,20.734707,108,0.003237,28.8428,0.009156,0
12,0.512,441.3,11.3033,445.31,11.0737688374,4.401424,0.096778,6.1113,-0.0341,5.4881,0.169037,0.103966,20.970753,118,0.00323,28.8497,0.009156,0
13,0.5547,441.39,11.2761,445.31,11.3702384667,4.41719,0.09597,6.1348,-0.0357,5.4855,0.169644,0.103977,21.210142,130,0.003231,28.8565,0.009278,0
14,0.5973,441.49,11.2473,445.31,11.7018089339,4.402078,0.095109,6.1581,-0.0364,5.4812,0.170296,0.10399,21.453076,105,0.003231,28.8631,0.009156,0
15,0.64,441.58,11.2175,445.31,11.9844226267,4.429843,0.094226,6.1812,-0.0383,5.4779,0.170972,0.104002,21.699391,128,0.00323,28.8696,0.009156,0
16,0.6827,441.67,11.1862,445.31,12.2893508955,4.440419,0.093295,6.204,-0.0396,5.4731,0.17169,0.104015,21.94948,143,0.00323,28.876,0.009278,0
17,0.7253,441.8,11.033,445.31,-9.0667728041,4.428351,0.105578,5.7845,0.1081,4.7126,0.162738,0.104027,22.203505,119,0.003415,28.8822,0.009156,0
18,0.768,441.89,11.0004,457.03,-8.7454203773,4.455923,0.104471,5.8053,0.1059,4.703,0.163501,0.10404,22.461367,109,0.003224,28.8883,0.009156,0
19,0.8107,441.98,10.9664,457.03,-8.4129674807,4.474665,0.103317,5.8259,0.104,4.6926,0.164305,0.104054,22.723458,125,0.003222,28.8942,0.009278,0
20,0.8533,442.07,10.9311,457.03,-8.0537864377,4.459697,0.102117,5.8463,0.1027,4.6811,0.16515,0.104067,22.990029,136,0.003221,28.9,0.009156,0
21,0.896,442.16,10.8945,457.03,-7.723930744,4.479004,0.100871,5.8664,0.1007,4.6684,0.166039,0.104081,23.261027,123,0.003218,28.9056,0.009156,0
22,0.9387,442.25,10.8566,457.03,-7.4017223399,4.518175,0.09958,5.8864,0.0987,4.6543,0.166971,0.104095,23.536774,143,0.003215,28.9111,0.009278,0
23,0.9813,442.34,10.8173,457.03,-7.0477402848,4.502444,0.098242,5.9062,0.0973,4.6388,0.167951,0.104109,23.817683,115,0.003213,28.9165,0.009156,0
24,1.024,442.43,10.7767,457.03,-6.7003328875,4.505093,0.096857,5.9257,0.0958,4.6218,0.168978,0.104123,24.103833,122,0.003209,28.9217,0.009156,0
25,1.0667,442.52,10.7348,457.03,-6.3802944362,4.539607,0.095427,5.9451,0.0937,4.603,0.170054,0.104136,24.395414,108,0.003206,28.9267,0.009278,0
26,1.1093,442.6,10.6916,457.03,-6.0468787785,4.563797,0.093951,5.9642,0.092,4.5823,0.171183,0.10415,24.692922,128,0.003202,28.9317,0.009278,0
27,1.152,442.66,10.5359,457.03,19.3956020963,4.550393,0.107389,5.5254,-0.047,3.8483,0.161507,0.104162,24.996733,119,0.003386,28.9365,0.009156,0
28,1.1947,442.75,10.4919,457.03,19.8398494937,4.56051,0.10558,5.5426,-0.0472,3.8253,0.162736,0.104176,25.307043,129,0.003189,28.9411,0.009156,0
29,1.2373,442.83,10.4468,457.03,20.2674775748,4.59754,0.103726,5.5597,-0.0478,3.8006,0.164019,0.104188,25.624234,136,0.003184,28.9456,0.009278,0
30,1.28,442.92,10.4004,457.03,20.7078231671,4.629852,0.101815,5.5765,-0.048,3.7731,0.165365,0.104201,25.948901,146,0.003179,28.95,0.009278,0
31,1.3227,443.01,10.3526,457.03,21.1703136722,4.617907,0.099842,5.5931,-0.0479,3.7424,0.166781,0.104214,26.281578,123,0.003174,28.9542,0.009156,0
32,1.3653,443.09,10.3035,457.03,21.6320809991,4.623173,0.097816,5.6096,-0.0477,3.7089,0.168265,0.104226,26.622699,123,0.003168,28.9583,0.009156,0
33,1.408,443.18,10.2533,457.03,22.0787565335,4.651473,0.095744,5.6258,-0.0477,3.6728,0.169815,0.104238,26.972809,137,0.003162,28.9623,0.009156,0
34,1.4507,443.26,10.2019,457.03,22.5245518454,4.697099,0.093617,5.6418,-0.0477,3.6334,0.171441,0.104249,27.332661,132,0.003155,28.9661,0.009278,0
35,1.4933,443.37,10.0452,457.03,-6.2808529165,4.715214,0.108254,5.1886,0.0862,2.8855,0.160926,0.104258,27.703106,124,0.003339,28.9698,0.009278,0
36,1.536,443.46,9.9941,457.03,-5.8049263506,4.71133,0.105711,5.2028,0.0845,2.8408,0.162647,0.104269,28.084986,122,0.003135,28.9733,0.009278,0
37,1.5787,443.54,9.9418,457.03,-5.3315678182,4.72158,0.103098,5.2168,0.0828,2.7923,0.164458,0.104279,28.47919,114,0.003128,28.9767,0.009156,0
38,1.6213,443.62,9.8883,457.03,-4.8678574726,4.749786,0.100414,5.2307,0.0808,2.7398,0.166368,0.104288,28.886775,134,0.00312,28.98,0.009156,0
39,1.664,443.7,9.8336,457.03,-4.4092811783,4.793102,0.097658,5.2444,0.0788,2.6831,0.168382,0.104296,29.309018,124,0.003112,28.9831,0.009278,0
40,1.7067,443.78,9.7776,457.03,-3.9465673111,4.837952,0.094827,5.2578,0.0767,2.6217,0.170511,0.104304,29.747397,153,0.003104,28.9861,0.009278,0
41,1.7493,443.86,9.7205,457.03,-3.4751058752,4.85638,0.09192,5.2711,0.0748,2.5553,0.172765,0.104311,30.203573,133,0.003096,28.989,0.009278,0
