frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,-1.000000,-1.519465,1.000000,1.339323,-1.123122,-1.263753,0.000000,1.000000,1.000000,1.424959,-0.617213,1.326380,0.796117,-0.810643,1.000000,1.211646
1,0.042700,0,-1.000000,-0.591792,1.000000,0.997060,-0.947216,-1.075569,0.000000,1.000000,1.000000,0.916358,-0.617213,0.938823,0.796117,-0.810643,1.000000,-0.825324
2,0.085300,0,-1.000000,-0.591792,1.000000,0.489783,-0.843533,-0.511017,0.000000,1.000000,1.000000,0.407757,-0.617213,0.551266,-1.256096,1.233588,1.000000,-0.825324
3,0.128000,0,-1.000000,0.335882,1.000000,-0.093779,0.030243,0.053535,0.000000,1.000000,1.000000,-0.100843,-0.617213,-0.030069,0.796117,1.233588,1.000000,1.211646
4,0.170700,0,-1.000000,0.335882,1.000000,-0.655960,0.696085,0.618087,0.000000,1.000000,1.000000,-0.609444,-0.617213,-0.611404,0.796117,1.233588,1.000000,1.211646
5,0.213300,0,-1.000000,1.263555,1.000000,-1.101536,0.944853,1.182639,0.000000,1.000000,1.000000,-1.118045,1.620185,-1.192740,-1.256096,-0.810643,1.000000,-0.825324
6,0.256000,0,-1.000000,1.263555,1.000000,-1.351020,1.501544,1.370823,0.000000,1.000000,1.000000,-1.372345,1.620185,-1.386518,-1.256096,-0.810643,1.000000,-0.825324
7,0.298700,0,-1.000000,1.263555,1.000000,-1.359188,1.593581,1.370823,0.000000,1.000000,1.000000,-1.372345,1.620185,-1.386518,0.796117,-0.810643,1.000000,-0.825324
8,0.341300,0,-1.000000,1.263555,1.000000,-1.124416,0.994209,1.182639,0.000000,1.000000,1.000000,-1.118045,1.620185,-1.192740,-1.256096,-0.810643,1.000000,-0.825324
9,0.384000,0,-1.000000,0.335882,1.000000,-0.688747,0.651985,0.618087,0.000000,1.000000,1.000000,-0.609444,-0.617213,-0.611404,0.796117,-0.810643,1.000000,1.211646
10,0.426700,0,-1.000000,0.335882,1.000000,-0.130286,0.177245,0.053535,0.000000,1.000000,1.000000,-0.100843,-0.617213,-0.030069,0.796117,1.233588,1.000000,1.211646
11,0.469300,0,-1.000000,-0.591792,1.000000,0.455096,-0.784164,-0.511017,0.000000,1.000000,1.000000,0.407757,-0.617213,0.551266,-1.256096,1.233588,1.000000,1.211646
12,0.512000,0,-1.000000,-0.591792,1.000000,0.969655,-1.014752,-0.887385,0.000000,1.000000,1.000000,0.916358,-0.617213,0.938823,0.796117,1.233588,1.000000,-0.825324
13,0.554700,0,-1.000000,-1.519465,1.000000,1.324264,-1.071138,-1.263753,0.000000,1.000000,1.000000,1.424959,-0.617213,1.326380,0.796117,-0.810643,1.000000,-0.825324
14,0.597300,0,-1.000000,-1.519465,1.000000,1.455257,-1.339080,-1.451937,0.000000,1.000000,1.000000,1.424959,-0.617213,1.326380,-1.256096,-0.810643,1.000000,1.211646
