frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,2134.13,1899.6699,4007.81,-0.1082024885,8.42244,0.095247,5.3112,-0.0361,-1.9986,0.170192,0.187503,24.726832,168,0.0,55.1115,0.083384,0
1,0.0427,2134.13,1899.67,4007.81,-0.1083277793,8.424917,0.095248,5.3112,-0.0361,-1.9986,0.17019,0.187503,24.72683,168,0.0,55.1115,0.083262,0
2,0.0853,2134.13,1899.67,4007.81,-0.1085134763,8.426377,0.095251,5.3112,-0.0361,-1.9986,0.170188,0.187503,24.726828,163,1e-06,55.1115,0.083262,0
3,0.128,2134.13,1899.6701,4007.81,-0.1087270985,8.438681,0.095254,5.3112,-0.0361,-1.9986,0.170186,0.187503,24.726825,176,1e-06,55.1115,0.083384,0
4,0.1707,2134.13,1899.6701,4007.81,-0.1089328939,8.448057,0.095257,5.3112,-0.0361,-1.9986,0.170184,0.187503,24.726822,172,1e-06,55.1115,0.083384,0
5,0.2133,2134.13,1899.6702,4007.81,-0.109096004,8.45156,0.09526,5.3112,-0.0361,-1.9986,0.170182,0.187504,24.726819,168,0.0,55.1115,0.083262,0
6,0.256,2134.13,1899.6702,4007.81,-0.1091873317,8.459399,0.095261,5.3112,-0.0361,-1.9986,0.170181,0.187504,24.726818,164,0.0,55.1115,0.083262,0
7,0.2987,2134.13,1899.6702,4007.81,-0.1091903216,8.460695,0.095261,5.3112,-0.0361,-1.9986,0.170181,0.187504,24.726818,162,0.0,55.1115,0.083262,0
8,0.3413,2134.13,1899.6702,4007.81,-0.1091043797,8.452255,0.09526,5.3112,-0.0361,-1.9986,0.170182,0.187504,24.726819,164,0.0,55.1115,0.083262,0
9,0.384,2134.13,1899.6701,4007.81,-0.108944896,8.447436,0.095257,5.3112,-0.0361,-1.9986,0.170184,0.187503,24.726822,171,0.0,55.1115,0.083384,0
10,0.4267,2134.13,1899.6701,4007.81,-0.1087404624,8.440751,0.095254,5.3112,-0.0361,-1.9986,0.170186,0.187503,24.726825,178,1e-06,55.1115,0.083384,0
11,0.4693,2134.13,1899.67,4007.81,-0.1085261741,8.427213,0.095251,5.3112,-0.0361,-1.9986,0.170188,0.187503,24.726828,169,1e-06,55.1115,0.083384,0
12,0.512,2134.13,1899.67,4007.81,-0.1083378113,8.423966,0.095249,5.3112,-0.0361,-1.9986,0.17019,0.187503,24.72683,167,1e-06,55.1115,0.083262,0
13,0.5547,2134.13,1899.6699,4007.81,-0.1082080011,8.423172,0.095247,5.3112,-0.0361,-1.9986,0.170192,0.187503,24.726832,169,0.0,55.1115,0.083262,0
14,0.5973,2134.13,1899.6699,4007.81,-0.1081600489,8.419399,0.095246,5.3112,-0.0361,-1.9986,0.170192,0.187503,24.726832,162,0.0,55.1115,0.083384,0
15,0.64,2134.13,1899.6699,4007.81,-0.1082024885,8.422438,0.095247,5.3112,-0.0361,-1.9986,0.170192,0.187503,24.726832,168,0.0,55.1115,0.083262,0
16,0.6827,2134.13,1899.67,4007.81,-0.1083277793,8.424918,0.095248,5.3112,-0.0361,-1.9986,0.17019,0.187503,24.72683,170,0.0,55.1115,0.083262,0
17,0.7253,2134.13,1899.67,4007.81,-0.1085134768,8.426376,0.095251,5.3112,-0.0361,-1.9986,0.170188,0.187503,24.726828,167,1e-06,55.1115,0.083262,0
18,0.768,2134.13,1899.6701,4007.81,-0.1087270989,8.438682,0.095254,5.3112,-0.0361,-1.9986,0.170186,0.187503,24.726825,197,1e-06,55.1115,0.083384,0
19,0.8107,2134.13,1899.6701,4007.81,-0.1089328939,8.448052,0.095257,5.3112,-0.0361,-1.9986,0.170184,0.187503,24.726822,174,1e-06,55.1115,0.083384,0
20,0.8533,2134.13,1899.6702,4007.81,-0.109096004,8.45156,0.09526,5.3112,-0.0361,-1.9986,0.170182,0.187504,24.726819,169,0.0,55.1115,0.083262,0
21,0.896,2134.13,1899.6702,4007.81,-0.1091873316,8.459396,0.095261,5.3112,-0.0361,-1.9986,0.170181,0.187504,24.726818,163,0.0,55.1115,0.083262,0
22,0.9387,2134.13,1899.6702,4007.81,-0.1091903216,8.460692,0.095261,5.3112,-0.0361,-1.9986,0.170181,0.187504,24.726818,163,0.0,55.1115,0.083262,0
23,0.9813,2134.13,1899.6702,4007.81,-0.1091043796,8.452256,0.09526,5.3112,-0.0361,-1.9986,0.170182,0.187504,24.726819,165,0.0,55.1115,0.083262,0
24,1.024,2134.13,1899.6701,4007.81,-0.1089448959,8.447432,0.095257,5.3112,-0.0361,-1.9986,0.170184,0.187503,24.726822,172,0.0,55.1115,0.083384,0
25,1.0667,2134.13,1899.6701,4007.81,-0.1087404624,8.440752,0.095254,5.3112,-0.0361,-1.9986,0.170186,0.187503,24.726825,178,1e-06,55.1115,0.083384,0
26,1.1093,2134.13,1899.67,4007.81,-0.1085261734,8.42721,0.095251,5.3112,-0.0361,-1.9986,0.170188,0.187503,24.726828,169,1e-06,55.1115,0.083384,0
27,1.152,2134.13,1899.67,4007.81,-0.1083378081,8.423958,0.095249,5.3112,-0.0361,-1.9986,0.17019,0.187503,24.72683,167,1e-06,55.1115,0.083262,0
28,1.1947,2134.13,1899.6699,4007.81,-0.1082080006,8.423172,0.095247,5.3112,-0.0361,-1.9986,0.170192,0.187503,24.726832,168,0.0,55.1115,0.083262,0
29,1.2373,2134.13,1899.6699,4007.81,-0.1081600484,8.419396,0.095246,5.3112,-0.0361,-1.9986,0.170192,0.187503,24.726832,164,0.0,55.1115,0.083384,0
30,1.28,2134.13,1899.6699,4007.81,-0.108202488,8.422424,0.095247,5.3112,-0.0361,-1.9986,0.170192,0.187503,24.726832,168,0.0,55.1115,0.083262,0
31,1.3227,2134.13,1899.67,4007.81,-0.1083277788,8.424923,0.095248,5.3112,-0.0361,-1.9986,0.17019,0.187503,24.72683,173,0.0,55.1115,0.083262,0
32,1.3653,2134.13,1899.67,4007.81,-0.1085134759,8.426361,0.095251,5.3112,-0.0361,-1.9986,0.170188,0.187503,24.726828,166,1e-06,55.1115,0.083262,0
33,1.408,2134.13,1899.6701,4007.81,-0.108727098,8.43868,0.095254,5.3112,-0.0361,-1.9986,0.170186,0.187503,24.726825,176,1e-06,55.1115,0.083384,0
34,1.4507,2134.13,1899.6701,4007.81,-0.1089328935,8.448056,0.095257,5.3112,-0.0361,-1.9986,0.170184,0.187503,24.726822,175,1e-06,55.1115,0.083384,0
35,1.4933,2134.13,1899.6702,4007.81,-0.1090960036,8.451546,0.09526,5.3112,-0.0361,-1.9986,0.170182,0.187504,24.726819,170,0.0,55.1115,0.083262,0
36,1.536,2134.13,1899.6702,4007.81,-0.1091873312,8.459406,0.095261,5.3112,-0.0361,-1.9986,0.170181,0.187504,24.726818,169,0.0,55.1115,0.083262,0
37,1.5787,2134.13,1899.6702,4007.81,-0.1091903211,8.460678,0.095261,5.3112,-0.0361,-1.9986,0.170181,0.187504,24.726818,165,0.0,55.1115,0.083262,0
38,1.6213,2134.13,1899.6702,4007.81,-0.1091043792,8.452254,0.09526,5.3112,-0.0361,-1.9986,0.170182,0.187504,24.726819,168,0.0,55.1115,0.083262,0
39,1.664,2134.13,1899.6701,4007.81,-0.1089448955,8.447432,0.095257,5.3112,-0.0361,-1.9986,0.170184,0.187503,24.726822,175,0.0,55.1115,0.083384,0
40,1.7067,2134.13,1899.6701,4007.81,-0.108740462,8.440735,0.095254,5.3112,-0.0361,-1.9986,0.170186,0.187503,24.726825,179,1e-06,55.1115,0.083384,0
41,1.7493,2134.13,1899.67,4007.81,-0.1085261736,8.427221,0.095251,5.3112,-0.0361,-1.9986,0.170188,0.187503,24.726828,172,1e-06,55.1115,0.083384,0
42,1.792,2134.13,1899.67,4007.81,-0.1083378106,8.423952,0.095249,5.3112,-0.0361,-1.9986,0.17019,0.187503,24.72683,170,1e-06,55.1115,0.083262,0
43,1.8347,2134.13,1899.6699,4007.81,-0.1082080006,8.423172,0.095247,5.3112,-0.0361,-1.9986,0.170192,0.187503,24.726832,168,0.0,55.1115,0.083262,0
44,1.8773,2134.13,1899.6699,4007.81,-0.1081600485,8.419396,0.095246,5.3112,-0.0361,-1.9986,0.170192,0.187503,24.726832,164,0.0,55.1115,0.083384,0
45,1.92,2134.13,1899.6699,4007.81,-0.108202498,8.422418,0.095247,5.3112,-0.0361,-1.9986,0.170192,0.187503,24.726832,163,0.0,55.1115,0.083262,0
46,1.9627,2134.13,1899.67,4007.81,-0.1083277783,8.424967,0.095248,5.3112,-0.0361,-1.9986,0.17019,0.187503,24.72683,170,0.0,55.1115,0.083262,0
47,2.0053,2134.13,1899.67,4007.81,-0.1085134754,8.426349,0.095251,5.3112,-0.0361,-1.9986,0.170188,0.187503,24.726828,169,1e-06,55.1115,0.083262,0
48,2.048,2134.13,1899.6701,4007.81,-0.1087270975,8.438706,0.095254,5.3112,-0.0361,-1.9986,0.170186,0.187503,24.726825,178,1e-06,55.1115,0.083384,0
49,2.0907,2134.13,1899.6701,4007.81,-0.108932893,8.448079,0.095257,5.3112,-0.0361,-1.9986,0.170184,0.187503,24.726822,179,1e-06,55.1115,0.083384,0
50,2.1333,2134.13,1899.6702,4007.81,-0.1090960031,8.451539,0.09526,5.3112,-0.0361,-1.9986,0.170182,0.187504,24.726819,166,0.0,55.1115,0.083262,0
51,2.176,2134.13,1899.6702,4007.81,-0.1091873308,8.459452,0.095261,5.3112,-0.0361,-1.9986,0.170181,0.187504,24.726818,168,0.0,55.1115,0.083262,0
52,2.2187,2134.13,1899.6702,4007.81,-0.1091903207,8.46067,0.095261,5.3112,-0.0361,-1.9986,0.170181,0.187504,24.726818,164,0.0,55.1115,0.083262,0
53,2.2613,2134.13,1899.6702,4007.81,-0.1091043793,8.452284,0.09526,5.3112,-0.0361,-1.9986,0.170182,0.187504,24.726819,167,0.0,55.1115,0.083262,0
54,2.304,2134.13,1899.6701,4007.81,-0.1089448949,8.447453,0.095257,5.3112,-0.0361,-1.9986,0.170184,0.187503,24.726822,177,0.0,55.1115,0.083384,0
55,2.3467,2134.13,1899.6701,4007.81,-0.1087404613,8.440728,0.095254,5.3112,-0.0361,-1.9986,0.170186,0.187503,24.726825,180,1e-06,55.1115,0.083384,0
56,2.3893,2134.13,1899.67,4007.81,-0.108526173,8.42727,0.095251,5.3112,-0.0361,-1.9986,0.170188,0.187503,24.726828,174,1e-06,55.1115,0.083384,0
57,2.432,2134.13,1899.67,4007.81,-0.10833781,8.423942,0.095249,5.3112,-0.0361,-1.9986,0.17019,0.187503,24.72683,170,1e-06,55.1115,0.083262,0
58,2.4747,2134.13,1899.6699,4007.81,-0.108208,8.423205,0.095247,5.3112,-0.0361,-1.9986,0.170192,0.187503,24.726832,172,0.0,55.1115,0.083262,0
59,2.5173,2134.13,1899.6699,4007.81,-0.1081600478,8.41942,0.095246,5.3112,-0.0361,-1.9986,0.170192,0.187503,24.726832,165,0.0,55.1115,0.083384,0
60,2.56,2134.13,1899.6699,4007.81,-0.1082024874,8.422422,0.095247,5.3112,-0.0361,-1.9986,0.170192,0.187503,24.726832,169,0.0,55.1115,0.083262,0
61,2.6027,2134.13,1899.67,4007.81,-0.1083277782,8.424973,0.095248,5.3112,-0.0361,-1.9986,0.17019,0.187503,24.72683,170,0.0,55.1115,0.083262,0
62,2.6453,2134.13,1899.67,4007.81,-0.1085134753,8.426349,0.095251,5.3112,-0.0361,-1.9986,0.170188,0.187503,24.726828,169,1e-06,55.1115,0.083262,0
63,2.688,2134.13,1899.6701,4007.81,-0.1087270974,8.438713,0.095254,5.3112,-0.0361,-1.9986,0.170186,0.187503,24.726825,178,1e-06,55.1115,0.083384,0
64,2.7307,2134.13,1899.6701,4007.81,-0.1089328929,8.448079,0.095257,5.3112,-0.0361,-1.9986,0.170184,0.187503,24.726822,178,1e-06,55.1115,0.083384,0
65,2.7733,2134.13,1899.6702,4007.81,-0.109096003,8.451542,0.09526,5.3112,-0.0361,-1.9986,0.170182,0.187504,24.726819,166,0.0,55.1115,0.083262,0
66,2.816,2134.13,1899.6702,4007.81,-0.1091873306,8.459456,0.095261,5.3112,-0.0361,-1.9986,0.170181,0.187504,24.726818,166,0.0,55.1115,0.083262,0
67,2.8587,2134.13,1899.6702,4007.81,-0.1091903207,8.46067,0.095261,5.3112,-0.0361,-1.9986,0.170181,0.187504,24.726818,166,0.0,55.1115,0.083262,0
68,2.9013,2134.13,1899.6702,4007.81,-0.1091043786,8.452288,0.09526,5.3112,-0.0361,-1.9986,0.170182,0.187504,24.726819,166,0.0,55.1115,0.083262,0
69,2.944,2134.13,1899.6701,4007.81,-0.1089448949,8.447454,0.095257,5.3112,-0.0361,-1.9986,0.170184,0.187503,24.726822,177,0.0,55.1115,0.083384,0
70,2.9867,2134.13,1899.6701,4007.81,-0.1087404614,8.440727,0.095254,5.3112,-0.0361,-1.9986,0.170186,0.187503,24.726825,180,1e-06,55.1115,0.083384,0
71,3.0293,2134.13,1899.67,4007.81,-0.108526173,8.427271,0.095251,5.3112,-0.0361,-1.9986,0.170188,0.187503,24.726828,173,1e-06,55.1115,0.083384,0
72,3.072,2134.13,1899.67,4007.81,-0.1083378101,8.423941,0.095249,5.3112,-0.0361,-1.9986,0.17019,0.187503,24.72683,170,1e-06,55.1115,0.083262,0
73,3.1147,2134.13,1899.6699,4007.81,-0.1082079999,8.423211,0.095247,5.3112,-0.0361,-1.9986,0.170192,0.187503,24.726832,170,0.0,55.1115,0.083262,0
74,3.1573,2134.13,1899.6699,4007.81,-0.1081600478,8.419422,0.095246,5.3112,-0.0361,-1.9986,0.170192,0.187503,24.726832,168,0.0,55.1115,0.083384,0
75,3.2,2134.13,1899.6699,4007.81,-0.108202488,8.422422,0.095247,5.3112,-0.0361,-1.9986,0.170192,0.187503,24.726832,173,0.0,55.1115,0.083262,0
76,3.2427,2134.13,1899.67,4007.81,-0.1083277791,8.424984,0.095248,5.3112,-0.0361,-1.9986,0.17019,0.187503,24.72683,182,0.0,55.1115,0.083262,0
77,3.2853,2134.13,1899.67,4007.81,-0.1085134751,8.42634,0.095251,5.3112,-0.0361,-1.9986,0.170188,0.187503,24.726828,170,1e-06,55.1115,0.083262,0
78,3.328,2134.13,1899.6701,4007.81,-0.1087270974,8.438721,0.095254,5.3112,-0.0361,-1.9986,0.170186,0.187503,24.726825,179,1e-06,55.1115,0.083384,0
