frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,3979.63,276.183,4007.81,2.7443257136,6.541802,0.088944,7.4795,-13.5908,183.0198,0.175147,0.128222,21.821264,23,0.0,47.391,0.083384,0
1,0.0427,3960.88,382.6897,4007.81,1.4391551322,6.617735,0.099279,7.4423,-9.718,92.5231,0.167191,0.128345,21.821631,23,0.004318,48.7738,0.083262,0
2,0.0853,3941.78,466.0067,4007.81,0.6335454981,6.667919,0.106032,7.4045,-7.9008,60.4608,0.162427,0.128533,21.822256,24,0.004354,49.5765,0.083384,0
3,0.128,3922.59,536.1933,4007.81,0.051920165,6.705189,0.111029,7.3666,-6.796,44.2074,0.159094,0.12878,21.823146,23,0.004364,50.1422,0.083384,0
4,0.1707,3903.35,597.7246,4007.81,-0.4038077261,6.734498,0.114975,7.3285,-6.0326,34.4059,0.156566,0.129081,21.824311,24,0.004368,50.5783,0.083262,0
5,0.2133,3884.08,652.9989,4007.81,-0.7790572343,6.758118,0.118217,7.2904,-5.4632,27.8569,0.154553,0.129434,21.825758,24,0.00437,50.9325,0.083384,0
6,0.256,3864.79,703.4708,4007.81,-1.0984779996,6.777367,0.120951,7.2522,-5.0167,23.1741,0.152898,0.129838,21.827498,23,0.004371,51.2301,0.083262,0
7,0.2987,3845.48,750.0996,4007.81,-1.3769194138,6.793461,0.123298,7.214,-4.6535,19.6605,0.151507,0.13029,21.829539,24,0.004372,51.4864,0.083262,0
8,0.3413,3826.16,793.5572,4007.81,-1.6240133837,6.807077,0.125341,7.1758,-4.3501,16.9275,0.150318,0.130789,21.83189,23,0.004372,51.711,0.083384,0
9,0.384,3806.83,834.3355,4007.81,-1.8463607966,6.819231,0.127137,7.1375,-4.0912,14.7415,0.149288,0.131334,21.834562,22,0.004373,51.9106,0.083384,0
10,0.4267,3787.48,872.8077,4007.81,-2.0486814414,6.830476,0.128726,7.0992,-3.8666,12.9535,0.148389,0.131924,21.837563,24,0.004373,52.0901,0.083262,0
11,0.4693,3766.64,911.9618,4007.81,-0.3909418362,6.840909,0.117204,7.4731,-3.6548,11.3598,0.155177,0.132559,21.840905,24,0.004549,52.2529,0.083384,0
12,0.512,3747.17,946.6723,4007.81,-0.5585108163,6.849898,0.118726,7.4323,-3.4797,10.1103,0.154243,0.133235,21.844597,23,0.004386,52.4016,0.083262,0
13,0.5547,3727.69,979.7867,4007.81,-0.7152786117,6.85694,0.120122,7.3915,-3.3223,9.0399,0.153396,0.133955,21.84865,24,0.004386,52.5384,0.083262,0
14,0.5973,3708.2,1011.4605,4007.81,-0.8626327722,6.862258,0.121405,7.3507,-3.1798,8.1128,0.152627,0.134715,21.853075,24,0.004386,52.6649,0.083384,0
