frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,1.699225,-2.988793,0.405670,5.228471,0.008417,-2.054265,1.615310,-5.053465,9.070218,2.151786,-1.411764,-0.968111,-0.626287,-13.475100,-4.466250,0.920784
1,0.042700,0,1.682020,-2.728938,0.405670,3.230610,0.196332,-1.014855,1.556001,-3.603719,4.455511,0.983294,-1.408325,-0.968040,-0.626287,-0.196774,-3.525714,0.917010
2,0.085300,0,1.664493,-2.525662,0.405670,1.997441,0.320525,-0.335693,1.495736,-2.923468,2.820555,0.283609,-1.403069,-0.967919,0.160803,-0.086070,-2.979744,0.920784
3,0.128000,0,1.646884,-2.354421,0.405670,1.107131,0.412759,0.166865,1.435312,-2.509896,1.991743,-0.205906,-1.396163,-0.967746,-0.626287,-0.055319,-2.594973,0.920784
4,0.170700,0,1.629229,-2.204297,0.405670,0.409536,0.485292,0.563722,1.374569,-2.224125,1.491935,-0.577191,-1.387747,-0.967521,0.160803,-0.043018,-2.298351,0.917010
5,0.213300,0,1.611546,-2.069439,0.405670,-0.164869,0.543745,0.889776,1.313825,-2.010975,1.157981,-0.872839,-1.377878,-0.967241,0.160803,-0.036868,-2.057436,0.920784
6,0.256000,0,1.593845,-1.946298,0.405670,-0.653815,0.591382,1.164739,1.252923,-1.843832,0.919190,-1.115908,-1.366583,-0.966904,-0.626287,-0.033793,-1.855018,0.917010
7,0.298700,0,1.576126,-1.832533,0.405670,-1.080033,0.631210,1.400781,1.192020,-1.707872,0.740021,-1.320203,-1.353946,-0.966508,0.160803,-0.030718,-1.680691,0.917010
8,0.341300,0,1.558397,-1.726506,0.405670,-1.458267,0.664907,1.606250,1.131117,-1.594297,0.600657,-1.494831,-1.339995,-0.966053,-0.626287,-0.030718,-1.527925,0.920784
9,0.384000,0,1.540659,-1.627015,0.405670,-1.798620,0.694985,1.786877,1.070055,-1.497380,0.489186,-1.646106,-1.324757,-0.965536,-1.413378,-0.027643,-1.392164,0.920784
10,0.426700,0,1.522903,-1.533151,0.405670,-2.108318,0.722813,1.946685,1.008993,-1.413303,0.398010,-1.778141,-1.308262,-0.964955,0.160803,-0.027643,-1.270073,0.917010
11,0.469300,0,1.503780,-1.437623,0.405670,0.429230,0.748632,0.787896,1.605106,-1.334018,0.316743,-0.781193,-1.290509,-0.964307,0.160803,0.513576,-1.159342,0.920784
12,0.512000,0,1.485914,-1.352936,0.405670,0.172728,0.770878,0.940967,1.540058,-1.268471,0.253027,-0.918369,-1.271609,-0.963592,-0.626287,0.012334,-1.058201,0.917010
13,0.554700,0,1.468039,-1.272144,0.405670,-0.067241,0.788305,1.081365,1.475010,-1.209549,0.198444,-1.042767,-1.251479,-0.962807,0.160803,0.012334,-0.965154,0.917010
14,0.597300,0,1.450154,-1.194866,0.405670,-0.292800,0.801466,1.210399,1.409962,-1.156206,0.151168,-1.155709,-1.230230,-0.961950,0.160803,0.012334,-0.879113,0.920784
15,0.640000,0,1.430939,-1.115389,0.405670,1.576239,0.812345,0.220872,1.987263,-1.104098,0.107008,-0.257163,-1.207780,-0.961019,-0.626287,0.541252,-0.799193,0.920784
16,0.682700,0,1.412963,-1.044171,0.405670,1.378139,0.823736,0.349202,1.918229,-1.059476,0.070767,-0.378037,-1.184267,-0.960012,-0.626287,0.043085,-0.724579,0.917010
17,0.725300,0,1.394987,-0.975656,0.405670,1.189668,0.836102,0.469083,1.849036,-1.018299,0.038585,-0.489804,-1.159608,-0.958926,0.160803,0.046160,-0.654794,0.920784
18,0.768000,0,1.376992,-0.909644,0.405670,1.009853,0.848951,0.581221,1.780002,-0.980041,0.009825,-0.593347,-1.133886,-0.957758,-0.626287,0.046160,-0.589293,0.920784
19,0.810700,0,1.358997,-0.845961,0.405670,0.837853,0.861459,0.686319,1.710809,-0.944404,-0.016028,-0.689253,-1.107102,-0.956508,0.160803,0.046160,-0.527602,0.917010
20,0.853300,0,1.340984,-0.784453,0.405670,0.672944,0.873046,0.784678,1.641616,-0.911050,-0.039383,-0.778402,-1.079256,-0.955171,0.160803,0.046160,-0.469312,0.920784
21,0.896000,0,1.322971,-0.724986,0.405670,0.514497,0.882222,0.876802,1.572263,-0.879718,-0.060586,-0.861237,-1.050375,-0.953747,-0.626287,0.046160,-0.414218,0.917010
22,0.938700,0,1.304940,-0.667440,0.405670,0.361964,0.888129,0.963193,1.503070,-0.850183,-0.079917,-0.938196,-1.020487,-0.952231,0.160803,0.046160,-0.361981,0.917010
23,0.981300,0,1.286909,-0.611706,0.405670,0.214856,0.890619,1.044153,1.433718,-0.822257,-0.097602,-1.010015,-0.989594,-0.950622,-0.626287,0.046160,-0.312329,0.920784
24,1.024000,0,1.268868,-0.557690,0.405670,0.072738,0.891223,1.120085,1.364525,-0.795791,-0.113843,-1.076694,-0.957749,-0.948918,-1.413378,0.046160,-0.265125,0.920784
25,1.066700,0,1.250819,-0.505302,0.405670,-0.064779,0.892415,1.191190,1.295172,-0.770635,-0.128805,-1.138966,-0.924926,-0.947114,0.160803,0.046160,-0.220166,0.917010
26,1.109300,0,1.232769,-0.454465,0.405670,-0.198043,0.894177,1.257668,1.225660,-0.746715,-0.142624,-1.196833,-0.891180,-0.945209,0.160803,0.046160,-0.177248,0.920784
27,1.152000,0,1.214701,-0.405108,0.405670,-0.327366,0.894848,1.319922,1.156308,-0.723843,-0.155433,-1.250587,-0.856512,-0.943200,-0.626287,0.046160,-0.136302,0.917010
28,1.194700,0,1.196624,-0.357164,0.405670,-0.453030,0.892883,1.378153,1.086796,-0.701944,-0.167325,-1.300816,-0.820949,-0.941083,0.160803,0.046160,-0.097124,0.917010
29,1.237300,0,1.178547,-0.310574,0.405670,-0.575289,0.888953,1.432562,1.017443,-0.680981,-0.178400,-1.347374,-0.784520,-0.938857,0.160803,0.046160,-0.059579,0.920784
30,1.280000,0,1.160460,-0.265283,0.405670,-0.694374,0.885402,1.483250,0.947931,-0.660841,-0.188732,-1.390553,-0.747251,-0.936517,-0.626287,0.046160,-0.023598,0.920784
31,1.322700,0,1.142365,-0.221241,0.405670,-0.810491,0.884400,1.530418,0.878419,-0.641488,-0.198390,-1.430649,-0.709144,-0.934062,-0.626287,0.049235,0.010887,0.917010
32,1.365300,0,1.124260,-0.178402,0.405670,-0.923826,0.886174,1.574268,0.808748,-0.622845,-0.207431,-1.467807,-0.670254,-0.931487,0.160803,0.049235,0.043943,0.920784
33,1.408000,0,1.106146,-0.136721,0.405670,-1.034546,0.889730,1.614899,0.739236,-0.604877,-0.215916,-1.502174,-0.630609,-0.928790,-0.626287,0.049235,0.075707,0.920784
34,1.450700,0,1.088023,-0.096161,0.405670,-1.142804,0.893972,1.652412,0.669564,-0.587470,-0.223891,-1.533751,-0.590210,-0.925967,0.160803,0.049235,0.106314,0.917010
35,1.493300,0,1.069891,-0.056684,0.405670,-1.248742,0.898021,1.687009,0.599893,-0.570662,-0.231392,-1.562684,-0.549111,-0.923016,0.160803,0.049235,0.135698,0.920784
36,1.536000,0,1.051758,-0.018255,0.405670,-1.352488,0.899837,1.718689,0.530222,-0.554379,-0.238465,-1.589268,-0.507341,-0.919932,-0.626287,0.049235,0.163924,0.917010
37,1.578700,0,1.033617,0.019157,0.405670,-1.454159,0.897538,1.747754,0.460550,-0.538581,-0.245140,-1.613501,-0.464928,-0.916713,0.160803,0.049235,0.191131,0.917010
38,1.621300,0,1.015466,0.055582,0.405670,-1.553870,0.890678,1.774004,0.390719,-0.523271,-0.251443,-1.635384,-0.421901,-0.913355,0.160803,0.049235,0.217386,0.920784
39,1.664000,0,0.997307,0.091048,0.405670,-1.651728,0.881524,1.797839,0.320889,-0.508372,-0.257404,-1.655212,-0.378286,-0.909855,-0.626287,0.049235,0.242620,0.920784
40,1.706700,0,0.979138,0.125582,0.405670,-1.747834,0.872523,1.819160,0.251217,-0.493885,-0.263049,-1.672836,-0.334140,-0.906209,-0.626287,0.049235,0.266970,0.917010
41,1.749300,0,0.960959,0.159207,0.405670,-1.842284,0.864691,1.838068,0.181386,-0.479773,-0.268398,-1.688551,-0.289490,-0.902413,-0.626287,0.049235,0.290436,0.920784
42,1.792000,0,0.942781,0.191947,0.405670,-1.935168,0.856487,1.854662,0.111396,-0.466034,-0.273477,-1.702357,-0.244394,-0.898464,-0.626287,0.049235,0.313085,0.917010
43,1.834700,0,0.924585,0.223824,0.405670,-2.026570,0.847006,1.869044,0.041565,-0.452595,-0.278296,-1.714253,-0.198850,-0.894358,0.160803,0.049235,0.334919,0.917010
44,1.877300,0,0.905471,0.256360,0.405670,-0.351839,0.837102,0.684207,0.509017,-0.438857,-0.283099,-0.687343,-0.152914,-0.890092,0.160803,0.492051,0.356004,0.920784
45,1.920000,0,0.887256,0.286550,0.405670,-0.441204,0.828894,0.705628,0.435360,-0.426055,-0.287449,-0.706877,-0.106643,-0.885661,-1.413378,0.058460,0.376273,0.920784
46,1.962700,0,0.869023,0.315934,0.405670,-0.529263,0.824211,0.725039,0.361543,-0.413514,-0.291585,-0.724501,-0.060093,-0.881063,-0.626287,0.058460,0.395930,0.917010
47,2.005300,0,0.850789,0.344527,0.405670,-0.616080,0.822994,0.742538,0.287727,-0.401273,-0.295521,-0.740216,-0.013290,-0.876292,0.160803,0.058460,0.414838,0.920784
48,2.048000,0,0.832547,0.372347,0.405670,-0.701722,0.823904,0.758026,0.214070,-0.389257,-0.299274,-0.754316,0.033707,-0.871346,-0.626287,0.058460,0.433135,0.920784
49,2.090700,0,0.813433,0.400697,0.405670,0.805477,0.825768,-0.227276,0.659042,-0.376979,-0.303007,0.176101,0.080873,-0.866220,0.160803,0.479750,0.450751,0.920784
50,2.133300,0,0.795163,0.426995,0.405670,0.722808,0.827122,-0.206760,0.581399,-0.365412,-0.306413,0.155833,0.128151,-0.860909,-0.626287,0.067685,0.467755,0.920784
51,2.176000,0,0.776884,0.452562,0.405670,0.641166,0.825768,-0.187852,0.503756,-0.354106,-0.309657,0.137327,0.175456,-0.855412,-1.413378,0.067685,0.484148,0.917010
52,2.218700,0,0.758605,0.477410,0.405670,0.560521,0.819762,-0.170755,0.426113,-0.342989,-0.312757,0.120438,0.222761,-0.849722,0.160803,0.067685,0.499995,0.917010
53,2.261300,0,0.740317,0.501552,0.405670,0.480831,0.808492,-0.155267,0.348470,-0.332058,-0.315715,0.105310,0.270011,-0.843837,0.160803,0.067685,0.515299,0.920784
54,2.304000,0,0.722010,0.524999,0.405670,0.402047,0.794304,-0.141488,0.270827,-0.321314,-0.318535,0.091798,0.317149,-0.837751,-0.626287,0.067685,0.529991,0.920784
55,2.346700,0,0.703703,0.547762,0.405670,0.324118,0.779992,-0.129219,0.193025,-0.310720,-0.321232,0.079755,0.364118,-0.831462,-0.626287,0.067685,0.544206,0.920784
56,2.389300,0,0.685397,0.569852,0.405670,0.246988,0.766683,-0.118659,0.115222,-0.300314,-0.323802,0.069327,0.410865,-0.824964,-0.626287,0.067685,0.557946,0.920784
57,2.432000,0,0.667072,0.591278,0.405670,0.170601,0.753723,-0.109507,0.037420,-0.290057,-0.326260,0.060515,0.457331,-0.818254,-0.626287,0.067685,0.571141,0.917010
58,2.474700,0,0.648747,0.612050,0.405670,0.094906,0.740275,-0.101863,-0.040382,-0.279950,-0.328611,0.053025,0.503462,-0.811327,0.160803,0.067685,0.583860,0.917010
59,2.517300,0,0.630413,0.632177,0.405670,0.019855,0.727575,-0.095628,-0.118185,-0.269992,-0.330854,0.047003,0.549202,-0.804180,0.160803,0.067685,0.596103,0.920784
60,2.560000,0,0.612069,0.651666,0.405670,-0.054592,0.717290,-0.090800,-0.196147,-0.260147,-0.332996,0.042303,0.594495,-0.796809,-0.626287,0.067685,0.607870,0.920784
61,2.602700,0,0.593717,0.670527,0.405670,-0.128463,0.711043,-0.087280,-0.274108,-0.250452,-0.335041,0.038925,0.639256,-0.789208,-0.626287,0.067685,0.619161,0.917010
62,2.645300,0,0.575355,0.688767,0.405670,-0.201777,0.708611,-0.085269,-0.352070,-0.240831,-0.336994,0.036869,0.683430,-0.781374,0.160803,0.067685,0.630044,0.920784
63,2.688000,0,0.556994,0.706392,0.405670,-0.274547,0.708470,-0.084464,-0.430032,-0.231360,-0.338860,0.036135,0.726989,-0.773303,0.160803,0.067685,0.640518,0.920784
64,2.730700,0,0.538623,0.723410,0.405670,-0.346779,0.709123,-0.085168,-0.508153,-0.222002,-0.340635,0.036722,0.769849,-0.764991,0.160803,0.067685,0.650585,0.920784
65,2.773300,0,0.520243,0.739826,0.405670,-0.418481,0.708875,-0.087079,-0.586115,-0.212718,-0.342333,0.038631,0.811926,-0.756433,-0.626287,0.067685,0.660175,0.920784
66,2.816000,0,0.501854,0.755647,0.405670,-0.489661,0.705569,-0.090398,-0.664236,-0.203584,-0.343949,0.041862,0.853193,-0.747625,-0.626287,0.067685,0.669425,0.917010
67,2.858700,0,0.483455,0.770878,0.405670,-0.560328,0.697113,-0.095125,-0.742358,-0.194488,-0.345489,0.046415,0.893592,-0.738563,0.160803,0.067685,0.678199,0.917010
68,2.901300,0,0.465057,0.785525,0.405670,-0.630505,0.683294,-0.101159,-0.820479,-0.185503,-0.346953,0.052290,0.933041,-0.729244,0.160803,0.067685,0.686634,0.920784
69,2.944000,0,0.446649,0.799592,0.405670,-0.700219,0.666038,-0.108400,-0.898759,-0.176594,-0.348350,0.059487,0.971484,-0.719662,0.160803,0.067685,0.694728,0.920784
70,2.986700,0,0.428233,0.813086,0.405670,-0.769508,0.648256,-0.117049,-0.976881,-0.167760,-0.349676,0.067858,1.008864,-0.709814,-0.626287,0.067685,0.702345,0.920784
71,3.029300,0,0.409807,0.826009,0.405670,-0.838408,0.631366,-0.126905,-1.055161,-0.159038,-0.350936,0.077405,1.045126,-0.699697,-0.626287,0.067685,0.709691,0.920784
72,3.072000,0,0.391372,0.838368,0.405670,-0.906961,0.615063,-0.137968,-1.133442,-0.150353,-0.352124,0.088273,1.080242,-0.689305,0.160803,0.067685,0.716629,0.917010
73,3.114700,0,0.372936,0.850165,0.405670,-0.975203,0.599128,-0.150138,-1.211723,-0.141743,-0.353256,0.100316,1.114099,-0.678636,0.160803,0.067685,0.723159,0.917010
74,3.157300,0,0.354492,0.861405,0.405670,-1.043168,0.584492,-0.163614,-1.290163,-0.133171,-0.354321,0.113388,1.146671,-0.667686,-0.626287,0.067685,0.729416,0.920784
