frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,-1.740629,-2.985743,-2.427007,-4.171455,-4.374103,-3.724027,-0.958096,5.063544,8.952793,4.359102,-1.400503,2.032617,3.653574,-13.479540,-4.454653,-1.516641
1,0.042700,0,-1.721244,-2.698823,-2.427007,-3.499760,-3.739022,-3.406675,-0.226804,3.518863,4.131282,3.901712,-1.397008,2.030039,2.781219,0.108640,-3.523361,-1.520407
2,0.085300,0,-1.702877,-2.492277,-2.427007,-2.311886,-3.336061,-2.544462,-0.281135,2.867126,2.618978,2.751850,-1.391780,2.025702,2.781219,-0.257362,-2.979103,-1.520407
3,0.128000,0,-1.684372,-2.317719,-2.427007,-1.429446,-3.037336,-1.851772,-0.335949,2.467954,1.845510,1.912416,-1.384874,2.019580,3.653574,-0.208151,-2.594790,-1.520407
4,0.170700,0,-1.665822,-2.164540,-2.427007,-0.728834,-2.799177,-1.271506,-0.390764,2.191254,1.377339,1.257833,-1.376486,2.011661,2.781219,-0.189698,-2.298373,-1.520407
5,0.213300,0,-1.647235,-2.026924,-2.427007,-0.147829,-2.602867,-0.771515,-0.445740,1.984495,1.063936,0.725096,-1.366617,2.001943,2.781219,-0.177395,-2.057608,-1.520407
6,0.256000,0,-1.627005,-1.890891,-2.427007,-1.316755,-2.438843,-1.580475,0.257177,1.809455,0.822867,1.601127,-1.355293,1.990434,1.908864,0.437733,-1.855212,-1.520407
7,0.298700,0,-1.608171,-1.774339,-2.427007,-0.880817,-2.301091,-1.170128,0.197204,1.678092,0.656610,1.147611,-1.342683,1.977154,3.653574,-0.082050,-1.680981,-1.520407
8,0.341300,0,-1.589336,-1.665810,-2.427007,-0.493287,-2.184342,-0.796959,0.137230,1.568248,0.527237,0.751503,-1.328731,1.962131,1.036508,-0.078975,-1.528181,-1.460107
9,0.384000,0,-1.570501,-1.564071,-2.427007,-0.144096,-2.083831,-0.454854,0.077256,1.474508,0.423741,0.401177,-1.313522,1.945404,1.908864,-0.075899,-1.392389,-1.392242
10,0.426700,0,-1.550033,-1.460092,-2.427007,-1.179457,-1.995350,-1.294583,0.757280,1.386671,0.332556,1.282948,-1.297025,1.927018,2.781219,0.539229,-1.270339,-1.392242
11,0.469300,0,-1.531060,-1.369095,-2.427007,-0.887282,-1.915068,-0.995180,0.692631,1.315310,0.262623,0.960034,-1.279327,1.907029,3.653574,-0.017462,-1.159583,-1.392242
12,0.512000,0,-1.512088,-1.282656,-2.427007,-0.616836,-1.839739,-0.714219,0.627982,1.251758,0.203477,0.665680,-1.260427,1.885501,1.908864,-0.017462,-1.058419,-1.392242
13,0.554700,0,-1.493115,-1.200297,-2.427007,-0.364975,-1.766479,-0.449628,0.563172,1.194669,0.152823,0.396010,-1.240352,1.862505,1.036508,-0.017462,-0.965351,-1.392242
14,0.597300,0,-1.474152,-1.121621,-2.427007,-0.129192,-1.693769,-0.199534,0.498523,1.142923,0.108965,0.147294,-1.219102,1.838116,1.036508,-0.017462,-0.879290,-1.380942
15,0.640000,0,-1.455189,-1.046297,-2.427007,0.092559,-1.620976,0.037444,0.433874,1.095698,0.070625,-0.082908,-1.196735,1.812420,-0.708202,-0.017462,-0.799352,-1.388476
