frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,220.15,277.1567,210.94,-3.3286604717,4.713331,0.071483,5.8691,13.5457,181.6795,0.190966,0.10438,37.406448,175,0.0,47.4096,0.004273,0
1,0.0427,241.28,394.7805,210.94,-2.9064100848,4.977576,0.074701,6.3227,9.4113,86.6192,0.187779,0.104481,37.393075,171,0.004418,48.7785,0.004151,0
2,0.0853,261.3,479.4547,210.94,-2.1596717232,5.14524,0.083444,6.289,7.6669,56.8028,0.179767,0.104633,37.370577,170,0.004299,49.5785,0.004151,0
3,0.128,281.47,551.015,210.94,-1.6049392225,5.269534,0.090468,6.255,6.5985,41.5532,0.173918,0.104833,37.338825,177,0.004315,50.1434,0.004151,0
4,0.1707,301.69,613.8114,210.94,-1.1645107731,5.368627,0.096352,6.221,5.8579,32.3228,0.169357,0.105077,37.297751,173,0.004321,50.5791,0.004151,0
5,0.2133,321.95,670.2271,210.94,-0.7992708841,5.450308,0.101422,6.1869,5.3045,26.1438,0.165645,0.105363,37.247344,168,0.004325,50.933,0.004151,0
6,0.256,344.0,725.9943,210.94,-1.5340977762,5.518555,0.093219,6.6229,4.836,21.3909,0.171749,0.105692,37.18765,184,0.004525,51.2305,0.004151,0
7,0.2987,364.53,773.7751,210.94,-1.2600527592,5.575871,0.09738,6.5857,4.4844,18.113,0.168589,0.106058,37.118768,179,0.004356,51.4866,0.004151,0
8,0.3413,385.06,818.2668,210.94,-1.0164378004,5.624448,0.101164,6.5485,4.1904,15.5623,0.165829,0.106462,37.040846,163,0.004357,51.7112,0.006104,0
9,0.384,405.59,859.975,210.94,-0.7969242769,5.666269,0.104633,6.5113,3.9395,13.5218,0.163388,0.106904,36.954082,171,0.004358,51.9108,0.008302,0
10,0.4267,427.9,902.6017,210.94,-1.4477880849,5.703084,0.096118,6.9331,3.7044,11.724,0.169532,0.107383,36.858717,169,0.004558,52.0902,0.008302,0
11,0.4693,448.58,939.9061,210.94,-1.2641166971,5.736488,0.099154,6.893,3.5134,10.3452,0.167282,0.107897,36.75504,179,0.004377,52.253,0.008302,0
12,0.512,469.26,975.3419,210.94,-1.0941048972,5.767831,0.102003,6.8529,3.3433,9.1791,0.165231,0.108445,36.643377,180,0.004377,52.4017,0.008302,0
13,0.5547,489.94,1009.1053,210.94,-0.9357766412,5.798313,0.104686,6.8127,3.1905,8.1804,0.163352,0.109028,36.524095,175,0.004377,52.5385,0.008302,0
14,0.5973,510.61,1041.3587,210.94,-0.7875550482,5.828566,0.107222,6.7726,3.052,7.3157,0.161619,0.109644,36.397597,166,0.004377,52.665,0.008668,0
15,0.64,531.28,1072.238,210.94,-0.6481546979,5.858854,0.109625,6.7325,2.9256,6.5598,0.160015,0.110294,36.264312,178,0.004377,52.7825,0.008424,0
16,0.6827,551.94,1101.8587,210.94,-0.5165046201,5.88906,0.111907,6.6924,2.8094,5.8937,0.158524,0.110976,36.124693,171,0.004377,52.8921,0.008302,0
17,0.7253,572.6,1130.3198,210.94,-0.391698469,5.918929,0.114078,6.6523,2.7021,5.3023,0.157133,0.11169,35.979204,174,0.004377,52.9947,0.008302,0
18,0.768,593.26,1157.7069,210.94,-0.2729605823,5.948173,0.116147,6.6122,2.6025,4.7739,0.155832,0.112436,35.828318,172,0.004377,53.0911,0.008302,0
19,0.8107,613.91,1184.0947,210.94,-0.1596242282,5.976203,0.11812,6.5721,2.5097,4.2991,0.154613,0.113213,35.672504,171,0.004377,53.1818,0.008302,0
20,0.8533,636.05,1211.3328,210.94,-0.8597448377,6.002213,0.106885,6.9643,2.4166,3.8404,0.161847,0.114021,35.512225,166,0.004561,53.2674,0.008302,0
21,0.896,656.75,1235.9212,210.94,-0.7554512817,6.025417,0.108698,6.9215,2.335,3.4528,0.16063,0.114858,35.347929,169,0.004386,53.3484,0.008302,0
22,0.9387,677.44,1259.6832,210.94,-0.6550906466,6.045384,0.110437,6.8786,2.2581,3.0995,0.159481,0.115724,35.180046,175,0.004387,53.4252,0.008302,0
23,0.9813,698.13,1282.665,210.94,-0.5583156864,6.062372,0.112108,6.8358,2.1854,2.7764,0.158394,0.116619,35.008985,168,0.004387,53.4982,0.008302,0
24,1.024,718.82,1304.9081,210.94,-0.4648366479,6.077018,0.113713,6.7929,2.1164,2.4797,0.157365,0.117542,34.835132,181,0.004387,53.5676,0.008302,0
25,1.0667,739.5,1326.4498,210.94,-0.3744150316,6.090191,0.115257,6.7501,2.0509,2.2066,0.156389,0.118493,34.658855,174,0.004387,53.6337,0.008302,0
26,1.1093,761.57,1348.7446,222.66,-0.9758342316,6.102722,0.104934,7.1235,1.9844,1.938,0.163181,0.119472,34.480499,175,0.004561,53.6968,0.008302,0
27,1.152,782.28,1368.9817,3984.38,-0.8909616482,6.115494,0.106371,7.078,1.9248,1.7051,0.162196,0.120477,34.30039,172,0.004393,53.757,0.008302,0
28,1.1947,802.99,1388.6087,3984.38,-0.808611491,6.129274,0.107761,7.0324,1.8678,1.4888,0.161256,0.121507,34.118836,172,0.004393,53.8147,0.008302,0
29,1.2373,823.68,1407.6515,3984.38,-0.7286333273,6.144466,0.109109,6.9869,1.8131,1.2876,0.160357,0.122563,33.936129,175,0.004393,53.8698,0.008668,0
30,1.28,844.37,1426.1337,3984.38,-0.6508787722,6.160971,0.110415,6.9414,1.7606,1.0999,0.159495,0.123643,33.752546,174,0.004393,53.9227,0.008424,0
31,1.3227,865.05,1444.0772,3984.38,-0.5751964329,6.178473,0.111682,6.8959,1.7101,0.9246,0.15867,0.124746,33.568344,175,0.004393,53.9734,0.008302,0
32,1.3653,885.73,1461.5021,3996.09,-0.5014321729,6.196598,0.11291,6.8504,1.6614,0.7605,0.157878,0.125873,33.383763,174,0.004393,54.022,0.008302,0
33,1.408,906.39,1478.427,3996.09,-0.4294338375,6.214918,0.1141,6.8049,1.6144,0.6066,0.157119,0.127022,33.199028,167,0.004393,54.0688,0.00879,0
34,1.4507,927.05,1494.8694,3996.09,-0.3590551468,6.232898,0.115253,6.7595,1.569,0.462,0.156391,0.128192,33.014344,167,0.004393,54.1137,0.013185,0
35,1.4933,947.71,1510.8452,3996.09,-0.2901617201,6.249729,0.116369,6.714,1.5251,0.3261,0.155694,0.129383,32.829901,168,0.004393,54.1569,0.016604,0
36,1.536,968.36,1526.3695,3996.09,-0.2226353464,6.264519,0.117449,6.6686,1.4825,0.1981,0.155025,0.130593,32.645867,180,0.004393,54.1984,0.016604,0
37,1.5787,989.0,1541.4562,3996.09,-0.1563790656,6.276732,0.118493,6.6232,1.4412,0.0774,0.154384,0.131822,32.462397,164,0.004393,54.2384,0.016604,0
38,1.6213,1009.63,1556.1183,3996.09,-0.0913176825,6.286504,0.119503,6.5778,1.4011,-0.0366,0.15377,0.133068,32.279627,170,0.004393,54.277,0.016604,0
39,1.664,1030.26,1570.3678,3996.09,-0.0273986217,6.294434,0.12048,6.5324,1.3621,-0.1444,0.153181,0.134331,32.097679,164,0.004393,54.3141,0.016604,0
40,1.7067,1051.99,1584.9274,3996.09,-0.6083464011,6.301279,0.109237,6.866,1.3222,-0.2517,0.160272,0.135611,31.916663,170,0.00455,54.3499,0.016604,0
41,1.7493,1072.62,1598.3766,3996.09,-0.5465711929,6.307918,0.110159,6.818,1.2852,-0.348,0.159663,0.136904,31.736677,168,0.004397,54.3844,0.016604,0
42,1.792,1093.25,1611.4448,3996.09,-0.4858630124,6.315139,0.111056,6.7699,1.2492,-0.4393,0.159076,0.13821,31.557811,168,0.004397,54.4177,0.016604,0
43,1.8347,1113.87,1624.1416,3996.09,-0.4262018848,6.323692,0.111929,6.7219,1.214,-0.5259,0.15851,0.139528,31.380147,174,0.004397,54.4498,0.016848,0
44,1.8773,1134.48,1636.4757,3996.09,-0.3675597877,6.333912,0.112778,6.6739,1.1797,-0.6081,0.157963,0.140858,31.203761,179,0.004397,54.4808,0.01697,0
45,1.92,1155.08,1648.4556,3996.09,-0.3098963675,6.34565,0.113605,6.6259,1.1461,-0.6862,0.157434,0.142197,31.028724,175,0.004397,54.5106,0.01697,0
46,1.9627,1175.68,1660.0893,3996.09,-0.2531579437,6.35854,0.11441,6.5779,1.1133,-0.7604,0.156923,0.143545,30.8551,167,0.004397,54.5395,0.016604,0
47,2.0053,1196.27,1671.3843,3996.09,-0.1972781865,6.372144,0.115193,6.53,1.0811,-0.831,0.156429,0.1449,30.682948,178,0.004397,54.5673,0.016604,0
48,2.048,1217.88,1682.9116,3996.09,-0.711908142,6.386083,0.105174,6.8396,1.0481,-0.9014,0.163015,0.146262,30.512322,165,0.004546,54.5942,0.016604,0
49,2.0907,1238.47,1693.5413,3996.09,-0.6575330113,6.399942,0.105919,6.789,1.0172,-0.9652,0.162504,0.147627,30.343271,169,0.0044,54.6201,0.016604,0
50,2.1333,1259.05,1703.8522,3996.09,-0.6037983798,6.412923,0.106643,6.7384,0.9869,-1.0259,0.162011,0.148995,30.175838,172,0.0044,54.6451,0.017092,0
51,2.176,1279.62,1713.8506,3996.09,-0.5506446268,6.424139,0.107346,6.6878,0.9571,-1.0838,0.161536,0.150364,30.010062,172,0.0044,54.6692,0.020999,0
52,2.2187,1300.19,1723.542,3996.09,-0.4980268135,6.432976,0.108028,6.6373,0.9279,-1.1389,0.161077,0.151733,29.845974,169,0.0044,54.6925,0.024905,0
53,2.2613,1320.75,1732.9319,3996.09,-0.4459176222,6.439543,0.10869,6.5867,0.8991,-1.1914,0.160635,0.1531,29.683604,164,0.0044,54.715,0.024905,0
54,2.304,1341.3,1742.0255,3996.09,-0.3943075144,6.444409,0.109331,6.5362,0.8708,-1.2415,0.160209,0.154464,29.522973,168,0.0044,54.7366,0.024905,0
55,2.3467,1361.84,1750.8275,3996.09,-0.3432002603,6.44834,0.109954,6.4857,0.843,-1.2892,0.159798,0.155823,29.364104,182,0.0044,54.7575,0.024905,0
56,2.3893,1382.38,1759.3426,3996.09,-0.292607805,6.452204,0.110559,6.4352,0.8156,-1.3347,0.159401,0.157175,29.207012,162,0.0044,54.7777,0.024905,0
57,2.432,1402.91,1767.575,3996.09,-0.2425437896,6.456791,0.111146,6.3847,0.7885,-1.3781,0.159018,0.158519,29.051713,165,0.0044,54.7971,0.02515,0
