frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,2093.16,1943.9159,3996.09,0.0987448076,6.536592,0.113583,5.801,-0.0473,-1.9976,0.157447,0.235831,19.39657,19,0.0,54.9564,0.079844,0
1,0.0427,2103.75,1938.0988,3984.38,0.4198633452,6.580429,0.120846,4.7117,-0.0615,-1.9961,0.152961,0.236333,23.767407,23,0.184589,55.2091,0.079111,0
2,0.0853,2086.66,1932.9636,3984.38,0.2131700034,6.547502,0.117956,5.258,-0.0474,-1.9976,0.154714,0.236196,22.730041,21,0.188785,55.1526,0.079355,0
3,0.128,2073.97,1927.5777,3972.66,0.4593989089,6.529742,0.109035,5.8147,-0.0373,-1.9985,0.160405,0.235625,17.63078,20,0.186101,54.7849,0.079966,0
4,0.1707,2069.79,1922.0443,3960.94,0.3478990695,6.561328,0.104638,6.0335,-0.0359,-1.9986,0.163385,0.235778,19.322928,20,0.176533,54.9298,0.079477,0
5,0.2133,2078.19,1916.1288,3949.22,0.5346370857,6.551878,0.116684,5.0831,-0.0479,-1.9976,0.155498,0.236319,23.591372,25,0.192956,55.1944,0.079355,0
6,0.256,2089.83,1910.2405,3949.22,-0.3487823797,6.5524,0.113016,5.1583,-0.0637,-1.9958,0.15781,0.236175,22.382683,21,0.185049,55.1495,0.078623,0
7,0.2987,2069.01,1905.3724,3937.5,0.4101308054,6.555135,0.110432,5.9526,-0.0451,-1.9978,0.159484,0.235747,17.719221,20,0.177075,54.8278,0.078012,0
8,0.3413,2052.26,1900.0422,3925.78,0.4217732308,6.554813,0.109073,5.9855,-0.0305,-1.9989,0.160381,0.235833,18.090651,21,0.182663,54.8463,0.078257,0
9,0.384,2053.64,1894.1392,3925.78,0.84692496,6.570088,0.114932,5.5012,-0.0352,-1.9986,0.156593,0.236158,22.13782,22,0.19701,55.1193,0.07789,0
10,0.4267,2079.46,1887.8875,3914.06,-0.6480961268,6.564173,0.10946,5.3826,-0.066,-1.9955,0.160124,0.23606,21.05407,20,0.189458,55.086,0.078257,0
11,0.4693,2068.31,1882.9195,3902.34,0.0147285821,6.559345,0.109391,5.7484,-0.0576,-1.9965,0.16017,0.235933,19.67502,20,0.162388,54.9969,0.078501,0
