frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,1.731352,1.727372,1.726189,-0.154399,-0.356360,-0.135739,0.663512,-0.153187,-0.141189,0.108360,-0.004709,-0.040964,-0.478024,-13.168828,0.159993,1.712220
1,0.042700,0,1.765000,1.716985,1.712608,-0.093682,-0.306310,0.586300,-1.720127,-0.722159,-0.133133,-0.673170,0.244822,0.440029,0.403706,0.059619,0.229999,1.669127
2,0.085300,0,1.710699,1.707816,1.712608,-0.132763,-0.343904,0.298995,-0.524697,-0.157194,-0.141189,-0.367771,0.176723,0.325871,-0.037159,0.360322,0.214347,1.683472
3,0.128000,0,1.670378,1.698199,1.699015,-0.086207,-0.364181,-0.587870,0.693491,0.247497,-0.146022,0.623689,-0.107107,-0.235283,-0.257591,0.167975,0.112482,1.719393
4,0.170700,0,1.657096,1.688318,1.685422,-0.107289,-0.328118,-1.024990,1.172275,0.303593,-0.146559,1.142851,-0.031054,-0.049068,-0.257591,-0.517709,0.152624,1.690644
5,0.213300,0,1.683786,1.677756,1.671830,-0.071981,-0.338907,0.172542,-0.907418,-0.177228,-0.141189,-0.231186,0.237863,0.420657,0.844571,0.659234,0.225927,1.683472
6,0.256000,0,1.720771,1.667242,1.671830,-0.239017,-0.338311,-0.192106,-0.742863,-0.810310,-0.131522,0.171600,0.166284,0.287646,-0.037159,0.092584,0.213488,1.640437
7,0.298700,0,1.654618,1.658549,1.658237,-0.095522,-0.335189,-0.448990,0.995247,-0.065037,-0.142263,0.463237,-0.046464,-0.225550,-0.257591,-0.478867,0.124367,1.604516
8,0.341300,0,1.601397,1.649032,1.644645,-0.093321,-0.335556,-0.584093,1.067240,0.519962,-0.148170,0.619508,-0.003715,-0.184676,-0.037159,-0.078407,0.129492,1.618920
9,0.384000,0,1.605781,1.638492,1.644645,-0.012933,-0.318117,-0.001630,0.007481,0.331641,-0.146559,-0.040420,0.157834,0.260700,0.183274,0.949761,0.205122,1.597344
10,0.426700,0,1.687822,1.627329,1.631052,-0.295611,-0.324870,-0.545620,-0.252043,-0.902467,-0.129911,0.574734,0.109121,0.141437,-0.257591,0.408552,0.195896,1.618920
11,0.469300,0,1.652394,1.618458,1.617459,-0.170285,-0.330382,-0.552479,0.548411,-0.565892,-0.135281,0.582748,0.045992,-0.010322,-0.257591,-1.531401,0.171213,1.633265
12,0.512000,0,1.561647,1.609534,1.603867,0.049266,-0.300694,0.154945,0.363943,0.523969,-0.148170,-0.212022,0.082279,0.088816,0.624139,0.274468,0.179884,1.626092
13,0.554700,0,1.550209,1.599106,1.603867,-0.028698,-0.329103,-0.498498,0.807279,0.544003,-0.148707,0.520205,0.055437,0.011202,-0.037159,1.050091,0.167307,1.590172
14,0.597300,0,1.610134,1.588332,1.590286,-0.112093,-0.308595,-0.775165,0.909906,-0.389591,-0.137966,0.843549,0.020144,-0.057277,-0.478024,0.213554,0.161461,1.547137
15,0.640000,0,1.643783,1.578193,1.576693,-0.342444,-0.266738,0.924106,-1.231714,-0.982604,-0.128300,-1.022820,0.123536,0.177440,-0.037159,-1.218730,0.201049,1.518389
