frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,1002.84,12.5889,1019.53,27.4476452619,6.105901,0.109679,3.9726,0.086,0.6772,0.15998,0.174056,-96.493191,13,0.0,27.894,0.021121,0
1,0.0427,1006.66,15.4195,1019.53,14.4722068632,6.022909,0.136417,3.4069,0.1389,0.1393,0.144188,0.210414,-100.512422,12,0.096024,27.7711,0.021243,0
2,0.0853,1009.49,20.4705,1031.25,-9.5680449687,5.779662,0.111534,3.9825,0.0776,-0.107,0.158765,0.238008,-96.362824,11,0.174299,28.6606,0.021365,0
3,0.128,1012.18,25.4463,1042.97,-5.9226733051,5.749778,0.137456,4.1144,-0.0088,-0.9836,0.14364,0.232128,20.654634,25,0.184455,31.6823,0.021487,0
4,0.1707,1015.31,30.0065,1042.97,51.1909020712,5.959887,0.156112,3.9237,-0.0205,-1.439,0.134427,0.236758,22.464016,25,0.184175,32.8506,0.021609,0
5,0.2133,1019.17,35.0906,1054.69,-92.5181575307,6.069342,0.185094,3.7763,0.0113,-1.6182,0.122101,0.23614,21.600131,27,0.188388,35.5381,0.021975,0
6,0.256,1022.04,40.276,1066.41,-28.2010930983,5.967365,0.171112,4.3299,-0.0046,-1.6726,0.127786,0.23591,19.052496,25,0.166687,35.6095,0.022097,0
7,0.2987,1024.52,45.6751,1078.12,18.9400062859,5.903601,0.152692,4.7337,-0.0271,-1.7363,0.136031,0.236065,19.731757,28,0.184163,36.1385,0.02222,0
8,0.3413,1027.58,51.3548,1078.12,29.6685975193,5.916723,0.151731,4.7765,-0.0284,-1.8011,0.136488,0.235951,20.704757,28,0.199022,38.3726,0.022586,0
9,0.384,1031.39,56.7253,1089.84,0.2975975564,6.071373,0.136701,5.0675,-0.0312,-1.8395,0.144038,0.235912,19.841574,25,0.187193,38.5286,0.022708,0
10,0.4267,1034.82,61.7519,1101.56,-23.1194223608,6.055603,0.126442,5.143,-0.0384,-1.8715,0.149685,0.23608,20.90065,27,0.160964,39.3625,0.022708,0
11,0.4693,1037.09,67.2318,1113.28,16.0479724473,5.818908,0.132835,5.2655,-0.032,-1.8897,0.146115,0.236159,22.065688,25,0.188199,39.5989,0.02283,0
12,0.512,1039.99,73.1439,1113.28,5.0284298667,5.716729,0.120508,5.5606,-0.0283,-1.8957,0.153164,0.235834,18.18052,24,0.197798,54.8535,0.023074,0
13,0.5547,1043.43,78.6728,1125.0,8.8560955472,5.69005,0.122323,5.5229,-0.0359,-1.9089,0.152082,0.235741,17.872616,25,0.183241,54.8395,0.023318,0
14,0.5973,1047.28,83.7569,1136.72,-2.0610160432,6.29511,0.114244,5.1592,-0.0513,-1.9321,0.157028,0.236156,22.270964,27,0.1758,55.1449,0.023562,0
15,0.64,1050.02,89.1977,1136.72,6.8766817624,5.882723,0.115795,5.0843,-0.042,-1.9416,0.156052,0.236316,23.587448,31,0.184985,55.1939,0.023685,0
16,0.6827,1052.6,94.9251,1148.44,6.7968039136,5.761124,0.095603,6.4801,-0.0324,-1.9357,0.169921,0.235794,19.370865,28,0.193623,40.904,0.023929,0
17,0.7253,1055.5,100.484,1160.16,3.2852893174,5.702877,0.09354,6.4399,-0.0334,-1.9407,0.171501,0.23563,17.551535,24,0.177357,41.1272,0.024051,0
18,0.768,1059.02,105.9275,1171.88,2.7446171722,5.844041,0.108755,5.4886,-0.0431,-1.9554,0.160592,0.236191,22.67787,33,0.185791,55.1505,0.024173,0
