frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,-1.727240,-1.715503,-1.720476,3.818680,-0.845417,-0.536394,-3.217815,6.832096,12.085399,0.555171,-17.198694,-10.464002,-1.801806,-12.798245,-6.623371,-1.732253
1,0.042700,0,-1.715103,-1.710448,-1.720476,1.966812,-0.940011,2.046144,-4.414774,9.621330,9.626020,-2.088891,-7.060857,-10.826645,-2.019040,-6.105692,-6.654284,-1.725079
2,0.085300,0,-1.706111,-1.701429,-1.706882,-1.464237,-1.217260,-0.357225,-3.196868,6.389193,8.499890,0.351743,0.633282,-10.452239,-2.236275,-0.650185,-6.430546,-1.717905
3,0.128000,0,-1.697565,-1.692544,-1.693289,-0.943966,-1.251322,2.146498,-2.917782,1.833619,4.491911,-2.180642,-1.006261,0.105909,0.805009,0.057655,-5.670492,-1.710730
4,0.170700,0,-1.687620,-1.684401,-1.693289,7.207342,-1.011842,3.948421,-3.321282,1.216718,2.409737,-3.723179,0.284739,0.269165,0.805009,0.038140,-5.376627,-1.703556
5,0.213300,0,-1.675356,-1.675323,-1.679695,-13.302961,-0.887087,6.747700,-3.633164,2.893422,1.590401,-5.786927,0.112420,0.191219,1.239479,0.331772,-4.700634,-1.682034
6,0.256000,0,-1.666237,-1.666064,-1.666101,-4.123565,-1.003319,5.397224,-2.461808,2.055070,1.341674,-4.835085,0.048288,-0.038647,0.805009,-1.180716,-4.682675,-1.674859
7,0.298700,0,-1.658357,-1.656423,-1.652519,2.604461,-1.075996,3.618094,-1.607411,0.868723,1.050426,-3.454621,0.091508,0.022641,1.456713,0.037303,-4.549614,-1.667626
8,0.341300,0,-1.648635,-1.646281,-1.652519,4.135656,-1.061040,3.525275,-1.516851,0.800178,0.754148,-3.378105,0.059721,0.110432,1.456713,1.072926,-3.987666,-1.646104
9,0.384000,0,-1.636530,-1.636691,-1.638925,-0.056202,-0.884772,2.073575,-0.901127,0.652544,0.578576,-2.114005,0.048846,0.032549,0.805009,0.248484,-3.948427,-1.638929
10,0.426700,0,-1.625632,-1.627716,-1.625331,-3.398303,-0.902746,1.082691,-0.741377,0.272913,0.432266,-1.168525,0.095690,0.128107,1.239479,-1.579590,-3.738675,-1.638929
11,0.469300,0,-1.618419,-1.617931,-1.611738,2.191707,-1.172528,1.700170,-0.482181,0.610363,0.349053,-1.766252,0.117718,0.233225,0.805009,0.318599,-3.679213,-1.631755
