frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,0.121136,1.782479,1.712436,-0.026558,-1.471275,-0.837455,1.399794,-0.019799,-0.516494,0.851449,0.343728,0.218696,-0.271726,-0.589959,1.405564,1.903202
1,0.042700,0,0.304789,1.767857,1.712436,-0.073001,-0.448290,-1.652377,2.445943,-0.055123,-0.515237,1.932789,0.344705,0.218238,0.453336,-0.276460,0.007604,1.494592
2,0.085300,0,0.475325,1.759875,1.712436,0.032833,-1.646428,-0.512740,1.236455,-0.090446,-0.516180,0.470112,0.343914,0.215717,-0.513413,-0.276842,1.405157,1.698897
3,0.128000,0,0.685214,1.744512,1.712436,-0.232194,-0.761838,-1.277062,2.094931,-0.122558,-0.515944,1.410223,0.345542,0.210573,0.453336,-0.275229,1.404465,1.698897
4,0.170700,0,0.868867,1.735291,1.712436,-0.202332,-1.533221,-0.599053,1.377121,-0.159487,-0.516651,0.569072,0.345402,0.203804,-0.634256,-0.282969,1.403458,1.698897
5,0.213300,0,1.013166,1.722974,1.712436,-0.141826,-1.207364,-0.978581,1.710920,-0.191599,-0.516572,1.025201,0.346797,0.195216,0.211649,-0.290544,1.402106,1.698897
6,0.256000,0,1.170583,1.710629,1.712436,-0.124770,-0.951852,-1.312918,2.045906,-0.226923,-0.516494,1.458146,0.348424,0.188787,0.695024,-0.291091,1.401241,1.698897
7,0.298700,0,1.328001,1.700972,1.712436,-0.083537,-1.425789,-1.013958,1.567168,-0.265457,-0.517201,1.069519,0.348564,0.205440,0.574180,-0.287180,1.405869,1.903202
8,0.341300,0,1.524772,1.688106,1.712436,-0.323178,-1.154100,-0.739940,1.344714,-0.302386,-0.518065,0.734386,0.350796,0.222755,-0.150882,-0.292732,1.410090,1.698897
9,0.384000,0,1.655953,1.676668,1.712436,-0.271127,-0.906037,-0.931379,1.395045,-0.337709,-0.518458,0.966464,0.352516,0.240733,0.332493,-0.298886,1.414016,1.494592
