frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,400.13,100.3994,503.91,2.41304155,3.096176,0.10212,5.8963,0.0009,-1.9488,0.165148,0.187286,20.704642,154,0.0,54.9115,0.010499,0
1,0.0427,400.27,100.003,503.91,1.6638541859,3.313835,0.085097,6.7776,-0.0013,-1.9472,0.178348,0.187302,20.685596,173,0.011463,41.1672,0.010255,0
2,0.0853,400.4,99.7866,503.91,3.3711025947,3.058909,0.108903,5.7587,-0.0035,-1.9484,0.160493,0.187289,20.58063,152,0.011449,54.9075,0.010377,0
3,0.128,400.56,99.3701,503.91,-0.9041278019,3.247122,0.092937,6.4819,-0.0055,-1.9481,0.171969,0.187317,20.366478,184,0.011508,54.9007,0.010377,0
4,0.1707,400.7,99.1201,503.91,-0.4224173933,3.082996,0.1071,5.8772,-0.0078,-1.949,0.161701,0.187315,20.084669,168,0.011225,54.8908,0.010377,0
5,0.2133,400.81,98.7862,503.91,0.5536258644,3.152328,0.099172,6.1584,-0.0098,-1.9489,0.167269,0.187339,19.727137,181,0.010948,54.8775,0.010377,0
6,0.256,400.93,98.4515,503.91,0.828751758,3.206693,0.092188,6.4406,-0.012,-1.9488,0.172554,0.187368,19.459528,193,0.010928,54.869,0.010377,0
7,0.2987,401.05,98.1897,503.91,1.4938942732,3.105854,0.098433,6.0373,-0.0144,-1.9497,0.16781,0.18737,20.152811,160,0.011071,54.9145,0.010499,0
8,0.3413,401.2,97.8409,503.91,-2.3718146095,3.163661,0.104157,5.8499,-0.0167,-1.9508,0.163719,0.187409,20.873636,170,0.010868,54.956,0.010377,0
9,0.384,401.3,97.5308,503.91,-1.5321733731,3.216441,0.100158,5.8923,-0.0189,-1.9513,0.166552,0.187439,21.622083,172,0.010643,54.9946,0.010255,0
10,0.4267,401.42,97.2556,503.91,-1.4517114301,3.11966,0.099925,5.6991,-0.0216,-1.9522,0.166721,0.187446,22.402259,164,0.010773,55.0304,0.010377,0
11,0.4693,401.56,96.9355,503.91,-5.875344195,3.145765,0.101384,5.4974,-0.0242,-1.9534,0.165672,0.18747,23.215919,174,0.010584,55.0627,0.010377,0
12,0.512,401.61,96.6072,503.91,-0.6162433323,3.228929,0.103607,5.2886,-0.0266,-1.9552,0.164102,0.187505,24.063508,160,0.010446,55.0917,0.010255,0
13,0.5547,401.7,96.3188,503.91,1.3710586621,3.223387,0.093626,5.3163,-0.029,-1.9559,0.171434,0.187526,24.947632,177,0.010292,55.1178,0.010255,0
14,0.5973,401.82,96.0365,503.91,-4.9235093119,3.234955,0.099832,4.8581,-0.0319,-1.9571,0.166788,0.187535,25.868402,193,0.010364,55.1409,0.010377,0
15,0.64,401.89,95.7602,503.91,-14.9811715687,3.266789,0.10698,4.3906,-0.0342,-1.958,0.161783,0.187548,26.819608,175,0.010069,55.1609,0.010011,0
16,0.6827,401.73,95.51,503.91,-16.0618729425,3.28486,0.117977,4.1526,-0.0321,-1.9587,0.154701,0.187571,27.787635,190,0.009119,55.1777,0.009889,0
17,0.7253,401.34,95.2606,503.91,-6.4652816381,3.316048,0.101004,4.6331,-0.0259,-1.9589,0.165943,0.187601,28.746307,169,0.010024,55.1914,0.010011,0
18,0.768,400.96,94.9998,503.91,-7.6906284962,3.355071,0.096206,4.8653,-0.0195,-1.9589,0.169466,0.187627,29.647167,183,0.01015,55.202,0.010011,0
19,0.8107,400.51,94.7413,503.91,0.3904936548,3.378363,0.100891,4.8515,-0.0129,-1.9594,0.166025,0.187647,30.411355,182,0.010358,55.2096,0.010255,0
20,0.8533,400.14,94.488,503.91,-2.4060962865,3.388544,0.102787,4.8352,-0.0066,-1.9593,0.164677,0.187658,30.93438,177,0.010189,55.2141,0.010255,0
21,0.896,399.72,94.249,503.91,3.2028576342,3.405767,0.093593,5.057,0.0003,-1.9586,0.17146,0.187661,31.117653,171,0.010507,55.2156,0.010377,0
22,0.9387,399.33,93.9714,492.19,5.6548323297,3.450207,0.102812,4.8361,0.0067,-1.9588,0.164659,0.187656,30.920088,175,0.010318,55.214,0.010377,0
23,0.9813,398.99,93.7127,492.19,3.0274506176,3.542758,0.100844,4.8522,0.0129,-1.9583,0.166058,0.187644,30.385194,184,0.010183,55.2094,0.010255,0
24,1.024,398.65,93.4491,492.19,2.3224262162,3.696429,0.096138,4.8657,0.0196,-1.9578,0.169518,0.187627,29.612818,195,0.01035,55.2016,0.010255,0
25,1.0667,398.31,93.1739,492.19,4.8921639788,3.844242,0.101012,4.633,0.0259,-1.9574,0.165938,0.187606,28.707847,176,0.010136,55.1908,0.010255,0
26,1.1093,398.02,92.9138,492.19,13.0087209495,3.766898,0.117882,4.152,0.0318,-1.9568,0.154759,0.187581,27.74912,169,0.010006,55.1769,0.010133,0
27,1.152,397.92,92.6912,492.19,17.8100675197,3.685253,0.107316,4.3897,0.0335,-1.9546,0.161556,0.187559,26.783537,168,0.009089,55.16,0.010133,0
28,1.1947,398.08,92.4502,492.19,8.9195015348,3.699994,0.100094,4.8575,0.0311,-1.953,0.166599,0.187535,25.833349,192,0.010072,55.14,0.010255,0
29,1.2373,398.24,92.1757,492.19,7.5638431945,3.892022,0.09422,5.316,0.0285,-1.9512,0.170976,0.187511,24.910273,175,0.010381,55.1171,0.010499,0
30,1.28,398.43,91.9362,492.19,4.4445438239,3.77646,0.095739,5.527,0.0257,-1.9493,0.169818,0.187494,24.026453,192,0.01041,55.0909,0.010499,0
31,1.3227,398.6,91.6983,492.19,6.2462939831,3.381682,0.11108,5.2578,0.0232,-1.9481,0.159061,0.18748,23.186463,173,0.010436,55.0613,0.010133,0
32,1.3653,398.8,91.4427,492.19,1.1173175437,3.304418,0.099382,5.6973,0.0204,-1.9459,0.167115,0.187456,22.376038,149,0.010653,55.0288,0.010133,0
33,1.408,398.96,91.1149,492.19,0.5902876534,3.631014,0.088487,6.3593,0.0179,-1.9434,0.17552,0.187428,21.587703,185,0.011053,54.9935,0.010255,0
34,1.4507,399.12,90.8549,492.19,1.8466943827,3.380881,0.097568,6.0807,0.0156,-1.9424,0.168449,0.187405,20.842546,152,0.010721,54.9546,0.010133,0
35,1.4933,399.26,90.6154,492.19,3.7469899104,3.207522,0.11429,5.5731,0.0135,-1.9417,0.156998,0.18738,20.132708,175,0.010889,54.9123,0.010133,0
36,1.536,399.41,90.245,492.19,2.3116972118,3.496413,0.094108,6.438,0.0111,-1.9391,0.171062,0.18736,19.42778,172,0.011484,40.7763,0.010377,0
37,1.5787,399.59,90.0172,492.19,0.1894111804,3.277741,0.099186,6.1563,0.0092,-1.9377,0.167258,0.187338,19.742023,212,0.011105,54.8781,0.010255,0
38,1.6213,399.72,89.7315,492.19,0.7685350728,3.189749,0.099728,6.0992,0.0071,-1.9367,0.166864,0.187318,20.096337,159,0.010802,54.8912,0.010133,0
39,1.664,399.86,89.3681,492.19,0.7765544197,3.388702,0.094894,6.4787,0.005,-1.9348,0.17046,0.187315,20.37652,185,0.011371,40.5614,0.010133,0
40,1.7067,399.99,89.1488,492.19,1.9562945512,3.097725,0.10808,5.7562,0.003,-1.9353,0.161042,0.187289,20.587394,165,0.011332,54.9077,0.010133,0
41,1.7493,400.11,88.7503,492.19,1.9739871034,3.391442,0.096914,6.3394,0.0011,-1.9333,0.168935,0.187305,20.6863,172,0.011598,40.4266,0.010133,0
42,1.792,400.24,88.5334,492.19,3.0966808433,3.093951,0.10863,5.6836,-0.0009,-1.9341,0.160675,0.18728,20.705905,155,0.011403,54.9115,0.010133,0
43,1.8347,400.39,88.1049,492.19,-1.4503712735,3.35288,0.102569,6.1785,-0.0025,-1.9337,0.16483,0.187312,20.600403,203,0.011687,40.4109,0.010011,0
44,1.8773,400.5,87.8814,492.19,-0.5371545848,3.121899,0.116029,5.5864,-0.0046,-1.9349,0.155905,0.187291,20.423827,173,0.011424,54.9024,0.010255,0
45,1.92,400.6,87.4952,492.19,-0.2636657722,3.243667,0.098748,6.3096,-0.0064,-1.9336,0.167579,0.187329,20.141351,168,0.011407,40.6479,0.010255,0
46,1.9627,400.71,87.203,492.19,0.338043106,3.174027,0.094051,6.3731,-0.0084,-1.9339,0.171106,0.187335,19.802569,185,0.01091,41.1242,0.010133,0
47,2.0053,400.82,86.9284,492.19,0.9647850972,3.105969,0.101911,5.9767,-0.0106,-1.9348,0.165296,0.187343,19.408618,153,0.011077,54.8646,0.010133,0
48,2.048,400.91,86.5507,492.19,1.85752718,3.283324,0.092929,6.4815,-0.0124,-1.9342,0.171975,0.187397,20.013342,179,0.01125,40.5603,0.010011,0
49,2.0907,401.05,86.278,492.19,-2.7449214708,3.137272,0.103277,5.8428,-0.0147,-1.9366,0.164333,0.187392,20.727857,161,0.011257,54.9482,0.010133,0
50,2.1333,401.15,85.9857,492.19,-2.6329800164,3.15704,0.105676,5.653,-0.0171,-1.9375,0.16267,0.187412,21.471829,156,0.010793,54.9875,0.010133,0
51,2.176,401.22,85.622,492.19,-0.4276951078,3.256491,0.085639,6.3945,-0.0187,-1.9373,0.177888,0.187466,22.244066,174,0.011008,41.0793,0.010133,0
52,2.2187,401.35,85.3318,492.19,-5.6018256108,3.241879,0.096804,5.7261,-0.0212,-1.9394,0.169018,0.187481,23.049969,180,0.010874,55.0563,0.010133,0
53,2.2613,401.43,85.0628,492.19,-5.2352752622,3.202131,0.094684,5.5238,-0.0239,-1.9407,0.17062,0.187482,23.893133,163,0.010625,55.0865,0.010133,0
54,2.304,401.48,84.751,492.19,-0.3513706135,3.206202,0.103,5.0726,-0.0268,-1.9434,0.164527,0.187504,24.771286,162,0.010497,55.1131,0.010133,0
55,2.3467,401.57,84.4445,492.19,-5.6955953598,3.263801,0.102642,4.8538,-0.0292,-1.9447,0.164779,0.187536,25.683553,171,0.010233,55.1365,0.009767,0
56,2.3893,401.65,84.1637,492.19,-16.7056770785,3.301088,0.110058,4.3872,-0.0316,-1.9459,0.15973,0.18756,26.628236,172,0.010142,55.1569,0.009767,0
57,2.432,401.54,83.9125,492.19,-17.0483560401,3.297,0.116796,4.1521,-0.0306,-1.9468,0.155428,0.187578,27.594845,169,0.009294,55.1744,0.010011,0
58,2.4747,401.21,83.6623,492.19,-6.3045578537,3.322259,0.099248,4.6345,-0.0251,-1.9468,0.167213,0.187599,28.558258,182,0.009912,55.1888,0.010011,0
59,2.5173,400.88,83.3985,492.19,-8.2447936889,3.387375,0.0959,4.8674,-0.0191,-1.9468,0.169697,0.187622,29.473022,177,0.010121,55.2001,0.010133,0
60,2.56,400.48,83.1345,492.19,1.3538038809,3.468618,0.101254,4.8541,-0.0132,-1.9473,0.165765,0.187642,30.266632,185,0.010331,55.2084,0.010133,0
61,2.6027,400.15,82.8691,492.19,-0.8513118822,3.558167,0.094861,5.0787,-0.0071,-1.9469,0.170486,0.187658,30.840252,183,0.010279,55.2135,0.010011,0
62,2.6453,399.83,82.6104,492.19,-3.8001658641,3.663282,0.095739,5.0593,-0.0012,-1.9466,0.169818,0.187665,31.09301,177,0.010205,55.2155,0.010011,0
63,2.688,399.45,82.3536,480.47,5.4126717639,3.78816,0.094849,5.0717,0.0047,-1.9461,0.170495,0.187664,30.970901,187,0.010417,55.2145,0.010011,0
64,2.7307,399.15,82.098,480.47,3.991500244,3.873416,0.093169,5.0893,0.0108,-1.9455,0.171788,0.187655,30.501708,177,0.010388,55.2105,0.010011,0
65,2.7733,398.86,81.8417,480.47,0.7070154714,3.812804,0.089132,5.1046,0.0167,-1.945,0.174994,0.187636,29.776195,178,0.010169,55.2034,0.010011,0
66,2.816,398.55,81.5804,480.47,6.0410099025,3.689591,0.10206,4.6317,0.0229,-1.9448,0.165191,0.187607,28.89716,170,0.010275,55.1932,0.010133,0
67,2.8587,398.28,81.3206,480.47,14.8085943279,3.623222,0.118604,4.1525,0.0288,-1.9442,0.154317,0.187574,27.944952,176,0.010094,55.1801,0.010133,0
68,2.9013,398.16,81.0947,480.47,19.1917926219,3.683728,0.105068,4.3926,0.0309,-1.9413,0.163088,0.187546,26.972806,178,0.009258,55.1639,0.010011,0
69,2.944,398.29,80.8544,480.47,9.5365068515,3.78152,0.09811,4.8614,0.0287,-1.9392,0.168048,0.187532,26.015751,171,0.010005,55.1444,0.010011,0
70,2.9867,398.42,80.615,480.47,12.233855475,3.519366,0.110183,4.8397,0.0265,-1.9372,0.159647,0.187524,25.094569,181,0.010078,55.1217,0.009889,0
71,3.0293,398.6,80.3805,480.47,5.1004195825,3.38987,0.099562,5.2944,0.0237,-1.9345,0.166985,0.187511,24.210414,156,0.010412,55.0959,0.009889,0
72,3.072,398.75,80.1033,480.47,5.9510830089,3.496366,0.100943,5.5019,0.0212,-1.9321,0.165987,0.187481,23.350241,181,0.010531,55.0674,0.010011,0
73,3.1147,398.9,79.7928,480.47,4.9507050049,4.245753,0.09739,5.9379,0.0184,-1.9292,0.168581,0.187453,22.519984,179,0.010903,40.6324,0.010011,0
74,3.1573,399.08,79.5691,480.47,1.1265385971,3.420352,0.092013,6.1346,0.0163,-1.9265,0.172692,0.187436,21.745038,159,0.010671,41.1534,0.009767,0
75,3.2,399.21,79.3364,480.47,3.2365178859,3.268595,0.107608,5.6263,0.0143,-1.9253,0.161359,0.187411,21.001905,165,0.01081,54.9621,0.009767,0
76,3.2427,399.35,78.9841,480.47,3.2347228121,3.554777,0.104497,6.0401,0.012,-1.9223,0.163483,0.187387,20.258218,162,0.011379,40.1095,0.010011,0
77,3.2853,399.48,78.7183,480.47,3.8386655604,3.313215,0.105087,5.9919,0.01,-1.9208,0.163075,0.187364,19.566806,173,0.010747,40.36,0.009889,0
78,3.328,399.64,78.5038,480.47,0.9318872014,3.173362,0.109882,5.7155,0.0085,-1.9186,0.159845,0.187336,19.668497,151,0.011145,54.8751,0.009889,0
