frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,-2.076427,-2.249740,-2.082645,-3.512165,2.358735,-2.710747,-3.314518,4.814249,5.120358,3.142372,-2.617923,-2.457964,0.738906,-0.863878,-2.924999,3.356063
1,0.042700,0,-2.060725,-2.223950,-2.082645,-2.815241,2.463779,-2.502172,-3.360549,4.266576,4.329051,2.819429,-2.592655,-2.421297,0.738906,4.365847,-2.906887,-0.297968
2,0.085300,0,-2.044477,-2.198731,-2.082645,-2.180525,2.551954,-2.304475,-3.407672,3.789037,3.672045,2.529220,-2.564628,-2.388674,0.738906,4.147754,-2.890488,-0.297968
3,0.128000,0,-2.027754,-2.174130,-2.082645,-1.597861,2.583668,-2.117937,-3.455596,3.368443,3.119251,2.268071,-2.533999,-2.356950,0.833424,3.932884,-2.875580,-0.297968
4,0.170700,0,-2.010675,-2.150181,-2.082645,-1.062994,2.540221,-1.942064,-3.504103,2.995373,2.648716,2.032310,-2.500965,-2.326738,0.833424,3.723171,-2.861988,-0.297968
5,0.213300,0,-1.990507,-2.117628,-2.082645,-1.785455,2.452911,-2.051081,-3.280869,2.924611,2.811103,2.177296,-2.465685,-2.296826,0.880683,3.570828,-2.577204,-0.297968
6,0.256000,0,-1.969912,-2.086214,-2.082645,-2.274072,2.367236,-2.150214,-3.062442,2.797114,2.776527,2.312461,-2.428473,-2.266705,0.975202,3.381742,-2.556263,-0.297968
7,0.298700,0,-1.949293,-2.058266,-2.082645,-2.447212,2.309003,-2.206759,-2.849041,2.537723,2.448621,2.390941,-2.389487,-2.237003,0.975202,3.210705,-2.536967,-0.297968
8,0.341300,0,-1.929006,-2.032838,-2.082645,-2.352366,2.287529,-2.252712,-2.640301,2.293196,2.156389,2.455529,-2.348964,-2.205930,1.022461,3.041602,-2.519147,-0.297968
9,0.384000,0,-1.906772,-2.001932,-2.082645,-2.549663,2.299612,-2.284953,-2.435931,2.175329,2.063864,2.501356,-2.307140,-2.175569,1.211497,2.882599,-2.502659,3.356063
10,0.426700,0,-1.886414,-1.977192,-2.082645,-2.134416,2.342581,-2.108229,-2.496528,1.983979,1.837394,2.254818,-2.264292,-2.143283,1.353275,2.680835,-2.487373,-0.297968
11,0.469300,0,-1.865914,-1.952947,-2.082645,-1.747428,2.407065,-1.938025,-2.556397,1.806655,1.630842,2.026961,-2.220536,-2.111783,1.447793,2.529567,-2.473180,-0.297968
12,0.512000,0,-1.844749,-1.928961,-2.071783,-1.648147,2.486077,-2.012782,-2.358801,1.632472,1.432749,2.125960,-2.176032,-2.078404,1.353275,2.434809,-2.459975,-0.297968
13,0.554700,0,-1.820994,-1.896238,-2.060922,-1.966627,2.563908,-2.068229,-2.164919,1.671412,1.611698,2.200448,-2.131015,-2.045556,1.542311,2.308036,-2.172610,-0.297968
14,0.597300,0,-1.799805,-1.872124,-1.300727,-1.623160,2.623746,-1.911134,-2.226681,1.539100,1.460675,1.991753,-2.085643,-2.011375,1.542311,2.135065,-2.153996,-0.297968
15,0.640000,0,-1.778592,-1.848460,-1.289866,-1.300786,2.645786,-1.760274,-2.287278,1.414533,1.320305,1.798227,-2.040035,-1.977179,1.636830,2.014093,-2.136566,-0.297968
16,0.682700,0,-1.754505,-1.817352,-1.289866,-1.638027,2.622112,-1.835137,-2.098568,1.409090,1.368343,1.893473,-1.994269,-1.942512,1.684089,1.955434,-2.120229,-0.297968
17,0.725300,0,-1.731534,-1.792037,-1.289866,-1.730591,2.559599,-1.890443,-1.913061,1.287664,1.224713,1.964848,-1.948543,-1.907140,1.731348,1.857238,-2.104890,-0.297968
18,0.768000,0,-1.706830,-1.760926,-1.289866,-1.924163,2.471632,-1.928920,-1.730614,1.272591,1.237820,2.014986,-1.902934,-1.872188,1.778607,1.765489,-2.090474,-0.297968
19,0.810700,0,-1.684904,-1.737230,-1.289866,-1.644302,2.372614,-1.782737,-1.792814,1.176497,1.125764,1.826569,-1.857563,-1.835978,1.778607,1.618088,-2.076909,-0.297968
20,0.853300,0,-1.663026,-1.713959,-1.289866,-1.380494,2.268672,-1.641549,-1.853484,1.084381,1.019421,1.650288,-1.812467,-1.800823,1.778607,1.528057,-2.064132,3.356063
21,0.896000,0,-1.637823,-1.681063,-1.289866,-1.656616,2.166584,-1.709043,-1.674387,1.152002,1.180775,1.733958,-1.767726,-1.764179,1.778607,1.499694,-1.776116,-0.297968
22,0.938700,0,-1.615660,-1.657417,-1.289866,-1.403384,2.066027,-1.566934,-1.734401,1.074960,1.090510,1.559273,-1.723419,-1.728830,1.920384,1.371846,-1.759111,-0.297968
23,0.981300,0,-1.593615,-1.634150,-1.289866,-1.162378,1.970329,-1.429644,-1.792959,1.001057,1.004086,1.395446,-1.679624,-1.692215,1.778607,1.295997,-1.743015,-0.297968
24,1.024000,0,-1.571714,-1.611268,-1.289866,-0.934154,1.877737,-1.296960,-1.850061,0.929667,0.921278,1.241360,-1.636341,-1.656656,1.967644,1.224231,-1.727769,-0.297968
25,1.066700,0,-1.549954,-1.588780,-1.279005,-0.716834,1.789899,-1.169023,-1.905705,0.860999,0.841893,1.096534,-1.593611,-1.620453,1.778607,1.156117,-1.713311,-0.297968
26,1.109300,0,-1.521663,-1.549918,-1.279005,-1.508934,1.705729,-1.478608,-1.499951,0.961908,1.006992,1.453328,-1.551353,-1.584730,1.778607,1.210049,-1.699589,-0.297968
27,1.152000,0,-1.499452,-1.526692,-1.279005,-1.293188,1.625340,-1.344329,-1.556470,0.900776,0.932481,1.295889,-1.509805,-1.549208,1.873125,1.045673,-1.686556,-0.297968
28,1.194700,0,-1.476268,-1.503071,-1.279005,-1.314927,1.548994,-1.418484,-1.384729,0.831898,0.849899,1.382273,-1.468848,-1.513440,1.731348,1.046103,-1.674163,-0.297968
29,1.237300,0,-1.448807,-1.467889,-1.279005,-1.811792,1.475339,-1.661567,-0.989682,0.895124,0.975031,1.674958,-1.428483,-1.478690,1.778607,1.051475,-1.386773,-0.297968
30,1.280000,0,-1.426478,-1.444640,-1.279005,-1.614885,1.405951,-1.536288,-1.046856,0.843413,0.911400,1.522308,-1.388867,-1.443101,1.873125,0.895479,-1.370937,-0.297968
31,1.322700,0,-1.404315,-1.421717,-1.279005,-1.427449,1.338422,-1.414480,-1.102500,0.792958,0.849512,1.377563,-1.349881,-1.409063,1.825866,0.846704,-1.355833,3.356063
32,1.365300,0,-1.382318,-1.399128,-1.279005,-1.247466,1.275069,-1.296145,-1.156761,0.743551,0.789303,1.240402,-1.311605,-1.373953,1.920384,0.799647,-1.341409,-0.297968
