frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,488.63,212.585,457.03,-5.7926754393,2.709897,0.102441,9.0097,4.5063,21.2231,0.164921,0.106225,18.111316,255,0.0,68.7678,0.009278,0
1,0.0427,495.24,227.1079,457.03,-5.0067944764,2.735153,0.108328,8.9465,4.2447,18.772,0.160876,0.106745,18.116212,261,0.024339,69.8031,0.009156,0
2,0.0853,502.08,241.3094,457.03,-4.2910617854,2.756353,0.113908,8.8818,4.0166,16.7369,0.157241,0.107322,18.120568,259,0.023324,70.7405,0.009156,0
3,0.128,509.12,255.163,457.03,-3.6340245858,2.763978,0.119173,8.816,3.8157,15.0246,0.15397,0.107953,18.124804,260,0.022324,71.5927,0.009156,0
4,0.1707,516.31,268.649,457.03,-3.0308864414,2.753532,0.124137,8.7494,3.6375,13.5671,0.151017,0.108633,18.128838,257,0.021348,72.3696,0.009156,0
5,0.2133,524.8,286.9804,457.03,-3.8455637659,2.73254,0.12106,9.0559,3.6037,14.0701,0.152833,0.109359,18.132832,257,0.020639,88.6484,0.009156,0
6,0.256,533.47,304.6703,457.03,-4.3965488267,2.711941,0.118262,9.3558,3.5428,13.963,0.154526,0.110125,18.136854,280,0.019759,89.8454,0.009156,0
7,0.2987,542.15,320.4085,457.03,-4.5917894902,2.69794,0.116666,9.6488,3.4189,12.9473,0.155509,0.110928,18.14082,304,0.018963,90.9484,0.009156,0
8,0.3413,550.69,334.728,457.03,-4.4848360215,2.692777,0.115369,9.9354,3.3021,12.0421,0.156318,0.111762,18.144969,308,0.018176,91.967,0.009156,0
9,0.384,560.05,352.1316,457.03,-4.7073169229,2.695682,0.114459,10.216,3.2458,11.7555,0.156892,0.112622,18.149023,312,0.017436,92.9095,0.009278,0
10,0.4267,568.62,366.0635,457.03,-4.2390674018,2.706013,0.119447,10.1328,3.1544,11.054,0.153804,0.113505,18.153334,318,0.016497,93.7833,0.009156,0
11,0.4693,577.25,379.7164,457.03,-3.8026829582,2.721517,0.124251,10.0506,3.0697,10.4142,0.15095,0.114405,18.15754,322,0.015793,94.5946,0.009156,0
12,0.512,586.16,393.2233,468.75,-3.6907291029,2.740514,0.122141,10.3219,2.9865,9.8006,0.15219,0.115321,18.161997,366,0.015352,95.3494,0.009156,0
13,0.5547,596.16,411.6508,480.47,-4.0498607272,2.759227,0.120576,10.5881,3.0051,10.3549,0.153123,0.116249,18.166383,379,0.014762,111.7757,0.009156,0
