frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,1886.54,2120.6887,3960.94,-0.5615099104,1.954742,0.209794,14.0316,1.681,2.1063,0.113035,0.22355,18.582272,12,0.0,276.1726,0.009278,0
1,0.0427,1884.61,2118.7684,3960.94,-0.5684378489,1.955167,0.209623,14.0383,1.6828,2.1149,0.113093,0.223471,18.581937,12,0.00067,276.1323,0.009156,0
2,0.0853,1882.65,2116.8295,3960.94,-0.5757108306,1.95531,0.209447,14.0451,1.6846,2.1236,0.113154,0.223392,18.581451,12,0.000675,276.0915,0.009156,0
3,0.128,1880.69,2114.8709,3960.94,-0.5828633612,1.955675,0.209272,14.052,1.6865,2.1324,0.113215,0.223312,18.581074,14,0.000679,276.0503,0.009156,0
4,0.1707,1878.7,2112.8929,3960.94,-0.5902214798,1.955906,0.209092,14.0589,1.6883,2.1413,0.113277,0.223231,18.580621,13,0.000684,276.0086,0.009156,0
5,0.2133,1876.69,2110.895,3960.94,-0.5976244132,1.956183,0.208912,14.0659,1.6902,2.1503,0.11334,0.223149,18.580187,13,0.000688,275.9664,0.009156,0
6,0.256,1874.67,2108.8769,3960.94,-0.6050643524,1.956515,0.20873,14.073,1.6921,2.1594,0.113403,0.223067,18.579774,12,0.000696,275.9238,0.009156,0
7,0.2987,1872.63,2106.8387,3960.94,-0.6127261198,1.956703,0.208543,14.0801,1.694,2.1686,0.113467,0.222984,18.579281,12,0.000705,275.8806,0.009156,0
8,0.3413,1870.57,2104.7795,3960.94,-0.6202592246,1.957123,0.208358,14.0873,1.6959,2.1779,0.113532,0.2229,18.578901,13,0.000713,275.837,0.009156,0
9,0.384,1868.49,2102.6999,3960.94,-0.6281518717,1.957256,0.208167,14.0947,1.6978,2.1873,0.113598,0.222815,18.578367,13,0.000721,275.7929,0.009278,0
10,0.4267,1866.39,2100.5985,3960.94,-0.6358235923,1.957721,0.207978,14.102,1.6998,2.1969,0.113664,0.22273,18.578,12,0.000728,275.7482,0.009156,0
11,0.4693,1864.27,2098.4764,3960.94,-0.6438999052,1.957854,0.207782,14.1095,1.7018,2.2065,0.113732,0.222644,18.577455,12,0.000735,275.703,0.009156,0
12,0.512,1862.13,2096.3321,3960.94,-0.6517676251,1.958309,0.207588,14.117,1.7038,2.2163,0.1138,0.222557,18.57707,14,0.000741,275.6574,0.009156,0
13,0.5547,1859.98,2094.1663,3960.94,-0.6599786217,1.958498,0.207388,14.1246,1.7058,2.2261,0.113869,0.222469,18.576541,13,0.000746,275.6111,0.009156,0
14,0.5973,1857.8,2091.9778,3960.94,-0.6681029149,1.958888,0.207188,14.1323,1.7078,2.2361,0.113939,0.222381,18.57611,14,0.000751,275.5644,0.009156,0
15,0.64,1855.6,2089.767,3960.94,-0.676422506,1.95917,0.206985,14.1401,1.7099,2.2463,0.11401,0.222291,18.575616,13,0.000756,275.517,0.009156,0
16,0.6827,1853.39,2087.5334,3960.94,-0.6848286638,1.959471,0.206779,14.1479,1.712,2.2565,0.114082,0.222201,18.575125,13,0.000763,275.4691,0.009156,0
17,0.7253,1851.15,2085.2765,3960.94,-0.6932623224,1.959854,0.206572,14.1558,1.7141,2.2669,0.114155,0.22211,18.574669,12,0.000772,275.4207,0.009156,0
18,0.768,1848.89,2082.9966,3960.94,-0.7019516886,1.960072,0.20636,14.1639,1.7162,2.2774,0.114229,0.222018,18.57412,12,0.000782,275.3717,0.009156,0
19,0.8107,1846.61,2080.6925,3960.94,-0.7105136141,1.96054,0.206149,14.172,1.7184,2.288,0.114303,0.221926,18.573694,13,0.00079,275.322,0.009156,0
20,0.8533,1844.31,2078.365,3960.94,-0.719462504,1.960709,0.205931,14.1802,1.7205,2.2987,0.11438,0.221832,18.573106,12,0.000799,275.2718,0.009278,0
21,0.896,1841.99,2076.0124,3960.94,-0.7281996107,1.961217,0.205716,14.1884,1.7227,2.3096,0.114455,0.221738,18.572688,13,0.000807,275.221,0.009156,0
22,0.9387,1839.64,2073.6359,3960.94,-0.7373536719,1.961397,0.205493,14.1968,1.725,2.3206,0.114534,0.221643,18.572091,12,0.000814,275.1696,0.009156,0
23,0.9813,1837.28,2071.2338,3960.94,-0.7463298545,1.961886,0.205271,14.2052,1.7272,2.3318,0.114612,0.221547,18.571649,14,0.000821,275.1175,0.009156,0
24,1.024,1834.89,2068.8069,3960.94,-0.755648178,1.962129,0.205043,14.2138,1.7295,2.3431,0.114692,0.22145,18.571072,14,0.000827,275.0648,0.009156,0
25,1.0667,1832.48,2066.3541,3960.94,-0.76491633,1.962551,0.204815,14.2224,1.7318,2.3545,0.114773,0.221352,18.57058,14,0.000833,275.0115,0.009156,0
26,1.1093,1830.05,2063.8756,3960.94,-0.774378952,1.962892,0.204583,14.2311,1.7341,2.3661,0.114855,0.221253,18.570037,14,0.000839,274.9575,0.009156,0
27,1.152,1827.59,2061.3707,3960.94,-0.7839694615,1.963224,0.204348,14.24,1.7364,2.3778,0.114938,0.221153,18.569482,13,0.000848,274.9028,0.009156,0
