frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,1.241593,1.136608,1.158351,1.134717,-0.780048,1.091793,0.342407,-1.112060,-1.064094,-1.001327,1.033138,1.067651,-1.006382,-0.869370,0.701594,3.356063
1,0.042700,0,1.236997,1.133188,1.158351,1.128459,-0.778273,1.085689,0.347321,-1.108213,-1.061250,-0.996644,1.030008,1.065132,-1.006382,-0.723028,0.700884,-0.297968
2,0.085300,0,1.232331,1.129734,1.158351,1.121890,-0.777676,1.079406,0.352308,-1.104366,-1.058373,-0.991718,1.026879,1.061477,-1.006382,-0.721936,0.700166,-0.297968
3,0.128000,0,1.227664,1.126245,1.158351,1.115429,-0.776151,1.073158,0.357368,-1.100305,-1.055463,-0.986792,1.023710,1.058641,-0.912078,-0.721062,0.699441,-0.297968
4,0.170700,0,1.222926,1.122722,1.158351,1.108783,-0.775187,1.066732,0.362429,-1.096457,-1.052520,-0.981786,1.020501,1.055234,-0.959230,-0.719970,0.698707,-0.297968
5,0.213300,0,1.218140,1.119163,1.158351,1.102096,-0.774030,1.060306,0.367562,-1.092396,-1.049544,-0.976699,1.017252,1.051971,-0.959230,-0.719097,0.697965,-0.297968
6,0.256000,0,1.213331,1.115568,1.158351,1.095376,-0.772643,1.053809,0.372769,-1.088335,-1.046535,-0.971611,1.014004,1.048865,-1.006382,-0.717349,0.697215,-0.297968
7,0.298700,0,1.208474,1.111938,1.158351,1.088456,-0.771858,1.047133,0.377976,-1.084274,-1.043493,-0.966443,1.010716,1.045157,-1.006382,-0.715383,0.696455,-0.297968
8,0.341300,0,1.203569,1.108270,1.158351,1.081651,-0.770104,1.040529,0.383257,-1.080213,-1.040418,-0.961194,1.007389,1.042299,-0.959230,-0.713636,0.695688,-0.297968
9,0.384000,0,1.198617,1.104566,1.158351,1.074522,-0.769549,1.033710,0.388684,-1.076152,-1.037310,-0.955865,1.004021,1.038283,-0.959230,-0.711889,0.694912,3.356063
10,0.426700,0,1.193617,1.100822,1.158351,1.067593,-0.767607,1.026963,0.394038,-1.071877,-1.034135,-0.950535,1.000654,1.035523,-1.006382,-0.710360,0.694125,-0.297968
11,0.469300,0,1.188569,1.097043,1.158351,1.060298,-0.767052,1.019966,0.399538,-1.067602,-1.030961,-0.945044,0.997247,1.031424,-1.006382,-0.708831,0.693330,-0.297968
12,0.512000,0,1.183474,1.093223,1.158351,1.053192,-0.765151,1.013040,0.405039,-1.063328,-1.027720,-0.939553,0.993801,1.028529,-0.912078,-0.707520,0.692527,-0.297968
13,0.554700,0,1.178355,1.089365,1.158351,1.045775,-0.764362,1.005900,0.410612,-1.059053,-1.024480,-0.933982,0.990315,1.024550,-0.959230,-0.706428,0.691712,-0.297968
14,0.597300,0,1.173164,1.085467,1.158351,1.038437,-0.762733,0.998760,0.416260,-1.054778,-1.021173,-0.928329,0.986829,1.021309,-0.912078,-0.705336,0.690891,-0.297968
