frame,time,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr,gated
0,0.0,558.16,346.0472,1089.84,-1.8230133491,2.571813,0.158075,10.174,1.7332,3.0352,0.133523,0.203678,18.702366,70,0.0,160.3581,0.009278,0
1,0.0427,568.02,359.0002,1101.56,-2.123867816,2.522617,0.14135,10.7944,1.6684,2.7432,0.141618,0.211534,18.79333,67,0.024917,162.0194,0.009156,0
2,0.0853,578.49,373.0262,1101.56,-3.4730852055,2.468028,0.142099,10.6557,1.6339,2.6482,0.141235,0.219379,18.89286,64,0.025193,163.5573,0.009156,0
3,0.128,588.06,384.6656,1101.56,-2.5570654049,2.414485,0.144595,10.5094,1.5811,2.4261,0.139974,0.227199,18.996076,71,0.025345,164.9893,0.009156,0
4,0.1707,598.3,396.2178,1101.56,-2.8222046422,2.365914,0.135996,10.7967,1.528,2.2078,0.144412,0.23493,19.109817,70,0.025973,166.3242,0.009156,0
5,0.2133,608.74,408.7349,1101.56,-3.0335038308,2.323939,0.137307,10.6264,1.5068,2.2206,0.143718,0.242558,19.228514,70,0.02599,182.2233,0.009156,0
6,0.256,619.25,420.3253,1101.56,-3.0951458555,2.2888,0.139269,10.4509,1.4673,2.0688,0.142691,0.25005,19.353782,68,0.026345,198.8291,0.009156,0
7,0.2987,630.69,433.2551,1101.56,-3.1195367577,2.260345,0.125052,11.054,1.4459,2.0462,0.150485,0.257367,19.489531,77,0.027242,200.723,0.009278,0
8,0.3413,641.28,443.9906,1101.56,-2.8116050996,2.238369,0.130883,10.6517,1.4088,1.9096,0.147186,0.264507,19.62804,76,0.026841,202.5177,0.009156,0
9,0.384,652.08,454.5232,1101.56,-2.4791072404,2.222227,0.135689,10.2614,1.3729,1.7807,0.144576,0.27142,19.777577,70,0.027001,204.214,0.009156,0
10,0.4267,663.49,466.0157,1101.56,-2.5723821422,2.211107,0.136614,10.0551,1.3522,1.7477,0.144084,0.278105,19.933927,77,0.02735,205.8247,0.009156,0
11,0.4693,674.84,476.6756,1101.56,-2.1773698242,2.204907,0.134553,10.0113,1.3208,1.636,0.145185,0.284551,20.094344,83,0.027728,207.3574,0.009034,0
12,0.512,686.52,486.9953,1101.56,-2.5098755758,2.20314,0.138465,9.6294,1.2878,1.5223,0.14311,0.290715,20.268003,73,0.027909,208.8113,0.009156,0
13,0.5547,697.99,496.9421,1101.56,-1.8074438482,2.20498,0.139784,9.4095,1.2573,1.4202,0.142424,0.29662,20.443781,82,0.027869,210.1991,0.009278,0
14,0.5973,710.4,507.6181,1101.56,-2.3752722355,2.210074,0.13267,9.4848,1.2289,1.3246,0.146205,0.302233,20.629593,83,0.028164,211.5204,0.009278,0
15,0.64,722.46,517.279,1113.28,-2.085798025,2.218554,0.132651,9.2459,1.199,1.2292,0.146215,0.307546,20.824952,80,0.028051,212.7802,0.009156,0
16,0.6827,734.77,526.8386,1113.28,-2.1230148741,2.229614,0.130918,9.1384,1.1692,1.1351,0.147167,0.312576,21.021814,82,0.028261,213.9854,0.009034,0
17,0.7253,748.03,538.0733,1113.28,-2.4464583547,2.242758,0.124665,9.1487,1.1602,1.17,0.150709,0.317287,21.233489,84,0.028398,244.0051,0.009156,0
18,0.768,760.79,547.6233,1113.28,-1.7424699535,2.258313,0.123027,9.0053,1.133,1.0886,0.151666,0.321706,21.447226,86,0.028232,245.7349,0.009156,0
19,0.8107,774.09,557.934,1113.28,-1.8369915748,2.275875,0.12392,8.7272,1.1183,1.0854,0.151143,0.325822,21.668259,79,0.028063,247.394,0.009156,0
20,0.8533,787.86,567.8778,1113.28,-2.076589103,2.29479,0.118574,8.8082,1.0948,1.0206,0.154335,0.329628,21.901536,81,0.028304,248.9854,0.009278,0
21,0.896,801.46,577.5378,1125.0,-1.7060527924,2.315182,0.120304,8.9588,1.0724,0.9599,0.153286,0.333154,22.133162,84,0.02823,250.5162,0.011842,0
22,0.9387,815.85,587.5976,1535.16,-2.2121997893,2.337166,0.118202,9.2217,1.0556,0.9407,0.154562,0.33638,22.378663,86,0.028193,251.9852,0.016237,0
23,0.9813,829.91,596.7577,1535.16,-1.8902900323,2.360098,0.123964,9.1249,1.0321,0.8792,0.151117,0.339328,22.627052,79,0.027698,253.3964,0.018191,0
24,1.024,844.16,605.764,1546.88,-1.3259591369,2.384063,0.125197,9.2547,1.009,0.8199,0.150401,0.342012,22.876422,84,0.027556,254.7524,0.018435,0
25,1.0667,859.08,614.6689,1734.38,-1.7771170502,2.409179,0.127589,9.2616,0.9848,0.7607,0.149031,0.344425,23.139129,89,0.027739,256.0534,0.018557,0
26,1.1093,874.58,624.2779,1746.09,-2.0643716896,2.43536,0.123598,9.612,0.9636,0.7078,0.151331,0.346606,23.395574,81,0.027605,257.3045,0.018191,0
