frame,time,gated,centroid,spread,rolloff,slope,obsir_std,flatness,crest,skewness,kurtosis,tonality,entropy,tpr,n_peaks,flux,irregularity,zcr
0,0.000000,0,-1.659808,-1.804490,-1.602828,-1.103153,0.858850,3.878133,2.302125,3.149858,4.079927,-3.596349,-3.014041,-2.261282,0.624215,-4.687062,-2.001642,-1.580504
1,0.042700,0,-1.650701,-1.780607,-1.595706,-1.562402,0.793699,1.076248,3.435561,3.001584,3.710752,-1.071894,-2.919545,-2.208274,0.460244,-1.690562,-1.991879,-1.585701
2,0.085300,0,-1.641031,-1.754746,-1.595706,-3.621961,0.721405,1.201725,3.182164,2.922641,3.590644,-1.191334,-2.825182,-2.150274,0.296273,-1.657370,-1.982841,-1.585701
3,0.128000,0,-1.632192,-1.733285,-1.595706,-2.223671,0.650497,1.619872,2.914882,2.801825,3.309843,-1.584582,-2.731120,-2.090126,0.678872,-1.639091,-1.974426,-1.585701
4,0.170700,0,-1.622734,-1.711985,-1.595706,-2.628402,0.586174,0.179310,3.439763,2.680322,3.033847,-0.200575,-2.638128,-2.023845,0.624215,-1.563568,-1.966581,-1.585701
5,0.213300,0,-1.613092,-1.688905,-1.595706,-2.950947,0.530585,0.398937,3.128635,2.631812,3.050030,-0.417002,-2.546376,-1.954675,0.624215,-1.561524,-1.873149,-1.585701
6,0.256000,0,-1.603385,-1.667535,-1.595706,-3.045043,0.484050,0.727625,2.808006,2.541429,2.858109,-0.737275,-2.456259,-1.881677,0.514901,-1.518832,-1.775564,-1.585701
7,0.298700,0,-1.592818,-1.643695,-1.595706,-3.082275,0.446366,-1.654103,3.909836,2.492462,2.829536,1.693311,-2.368247,-1.802571,1.006813,-1.410959,-1.764434,-1.580504
8,0.341300,0,-1.583038,-1.623900,-1.595706,-2.612222,0.417263,-0.677255,3.174856,2.407570,2.656833,0.664506,-2.282364,-1.721856,0.952156,-1.459183,-1.753887,-1.585701
9,0.384000,0,-1.573063,-1.604480,-1.595706,-2.104670,0.395886,0.127879,2.461800,2.325424,2.493865,-0.149431,-2.199211,-1.634716,0.624215,-1.439942,-1.743919,-1.585701
10,0.426700,0,-1.562524,-1.583290,-1.595706,-2.247052,0.381160,0.282841,2.084902,2.278058,2.452143,-0.302863,-2.118801,-1.543604,1.006813,-1.397971,-1.734453,-1.585701
11,0.469300,0,-1.552041,-1.563635,-1.595706,-1.644072,0.372949,-0.062431,2.004881,2.206209,2.310921,0.040487,-2.041266,-1.450123,1.334755,-1.352513,-1.725446,-1.590897
12,0.512000,0,-1.541254,-1.544608,-1.595706,-2.151637,0.370609,0.592933,1.307171,2.130699,2.167170,-0.606609,-1.967123,-1.348926,0.788186,-1.330746,-1.716902,-1.585701
13,0.554700,0,-1.530660,-1.526268,-1.595706,-1.079386,0.373045,0.813901,0.905426,2.060909,2.038085,-0.820540,-1.896095,-1.246493,1.280098,-1.335557,-1.708747,-1.580504
14,0.597300,0,-1.519198,-1.506583,-1.595706,-1.946167,0.379792,-0.377884,1.042995,1.995925,1.917218,0.358578,-1.828579,-1.138213,1.334755,-1.300080,-1.700982,-1.580504
15,0.640000,0,-1.508059,-1.488770,-1.588584,-1.504289,0.391022,-0.381067,0.606538,1.927508,1.796604,0.361697,-1.764672,-1.024370,1.170784,-1.313669,-1.693579,-1.585701
16,0.682700,0,-1.496690,-1.471144,-1.588584,-1.561100,0.405669,-0.671391,0.410142,1.859320,1.677634,0.658581,-1.704169,-0.909651,1.280098,-1.288415,-1.686496,-1.590897
17,0.725300,0,-1.484443,-1.450429,-1.588584,-2.054832,0.423076,-1.718936,0.428959,1.838726,1.721758,1.763167,-1.647503,-0.786300,1.389412,-1.271939,-1.510083,-1.585701
18,0.768000,0,-1.472657,-1.432821,-1.588584,-0.980205,0.443675,-1.993345,0.166976,1.776487,1.618844,2.061611,-1.594350,-0.661748,1.498726,-1.291903,-1.499918,-1.585701
19,0.810700,0,-1.460373,-1.413810,-1.588584,-1.124490,0.466933,-1.843743,-0.341098,1.742851,1.614798,1.898511,-1.544841,-0.532943,1.116127,-1.312226,-1.490168,-1.585701
20,0.853300,0,-1.447655,-1.395475,-1.588584,-1.490232,0.491983,-2.739341,-0.193115,1.689078,1.532871,2.893948,-1.499061,-0.397004,1.225441,-1.283244,-1.480816,-1.580504
21,0.896000,0,-1.435094,-1.377664,-1.581462,-0.924614,0.518988,-2.449520,0.082023,1.637823,1.456128,2.566813,-1.456648,-0.262027,1.389412,-1.292143,-1.471820,-1.471300
22,0.938700,0,-1.421804,-1.359116,-1.332217,-1.697240,0.548102,-2.801661,0.562326,1.599381,1.431854,2.964739,-1.417845,-0.118964,1.498726,-1.296593,-1.463188,-1.284112
23,0.981300,0,-1.408818,-1.342226,-1.332217,-1.205850,0.578471,-1.836372,0.385478,1.545609,1.354100,1.890403,-1.382385,0.025782,1.116127,-1.356121,-1.454895,-1.200888
24,1.024000,0,-1.395656,-1.325620,-1.325095,-0.344407,0.610209,-1.629812,0.622616,1.492752,1.279127,1.667116,-1.350101,0.171099,1.389412,-1.373198,-1.446926,-1.190496
25,1.066700,0,-1.381876,-1.309201,-1.211155,-1.033093,0.643470,-1.229088,0.635221,1.437378,1.204280,1.239876,-1.321076,0.324188,1.662696,-1.351190,-1.439280,-1.185300
26,1.109300,0,-1.367560,-1.291484,-1.204039,-1.471582,0.678142,-1.897687,1.275383,1.388868,1.137399,1.957140,-1.294842,0.473628,1.225441,-1.367305,-1.431928,-1.200888
27,1.152000,0,-1.353420,-1.275445,-1.204039,-1.496043,0.713649,-0.987012,1.045005,1.336011,1.068242,0.985716,-1.271483,0.627742,1.444069,-1.455936,-1.424878,-1.200888
28,1.194700,0,-1.338974,-1.259651,-1.204039,-1.235526,0.750106,-0.935413,1.230805,1.282925,1.000602,0.931765,-1.250722,0.782988,1.498726,-1.484798,-1.418121,-1.190496
29,1.237300,0,-1.324418,-1.244073,-1.196917,-0.836041,0.787766,0.120005,0.973023,1.231212,0.936375,-0.141635,-1.232270,0.932677,1.116127,-1.520034,-1.411638,-1.195692
30,1.280000,0,-1.309447,-1.228846,-1.196917,-0.456007,0.826146,0.005082,1.133429,1.179270,0.874551,-0.027185,-1.216068,1.087425,1.334755,-1.555270,-1.405440,-1.190496
31,1.322700,0,-1.293866,-1.212560,-1.196917,-0.711052,0.865776,0.058355,1.277027,1.134650,0.828657,-0.080200,-1.201694,1.233813,1.444069,-1.575835,-1.316290,-1.195692
32,1.365300,0,-1.277508,-1.193861,-1.196917,-1.163638,0.906988,-0.734046,1.828399,1.131904,0.922594,0.723135,-1.189004,1.376720,1.389412,-1.618767,-1.225001,-1.195692
33,1.408000,0,-1.261170,-1.177829,-1.196917,-1.460269,0.949490,-0.316905,1.731936,1.090946,0.887826,0.296519,-1.177769,1.516754,1.498726,-1.615761,-1.216673,-1.190496
34,1.450700,0,-1.244637,-1.162403,-1.196917,-1.587066,0.993246,0.250006,1.620310,1.046555,0.844082,-0.270431,-1.167569,1.642068,1.608040,-1.510053,-1.208687,-1.195692
35,1.493300,0,-1.227948,-1.147861,-1.196917,-1.219212,1.038110,0.681220,1.498087,0.999647,0.799705,-0.692369,-1.158259,1.763950,1.662696,-1.456898,-1.201053,-1.195692
36,1.536000,0,-1.210907,-1.133618,-1.196917,-0.867043,1.084416,0.682895,1.567876,0.952968,0.757098,-0.693928,-1.149418,1.870339,1.444069,-1.372356,-1.193771,-1.200888
37,1.578700,0,-1.193599,-1.119712,-1.196917,-0.453333,1.133363,1.135720,1.417702,0.907204,0.717652,-1.128652,-1.140746,1.960745,1.553383,-1.341329,-1.186857,-1.195692
38,1.621300,0,-1.175866,-1.106175,-1.196917,0.018482,1.186076,0.939881,1.458991,0.861669,0.680608,-0.941851,-1.131941,2.040887,1.553383,-1.252457,-1.180335,-1.185300
39,1.664000,0,-1.157735,-1.092796,-1.189795,0.247546,1.243194,1.311958,1.282142,0.815677,0.643690,-1.295493,-1.122559,2.097325,1.225441,-1.179340,-1.174230,-1.195692
40,1.706700,0,-1.138866,-1.079640,-1.189795,-0.584139,1.306054,1.139070,1.291277,0.768311,0.607152,-1.131770,-1.112214,2.139344,1.170784,-1.080727,-1.168601,-1.200888
41,1.749300,0,-1.120098,-1.067319,-1.189795,0.041944,1.376485,0.503474,1.478904,0.724378,0.577567,-0.519290,-1.100475,2.161515,1.334755,-1.064733,-1.163524,-1.195692
42,1.792000,0,-1.100610,-1.054658,-1.189795,-0.007534,1.458161,-0.102638,1.642964,0.682275,0.552534,0.080717,-1.086810,2.160726,1.553383,-0.986805,-1.159140,-1.195692
43,1.834700,0,-1.081011,-1.043042,-1.189795,0.296848,1.560682,0.307803,1.213997,0.639257,0.527375,-0.327500,-1.070620,2.145594,1.444069,-0.952050,-1.155732,-1.190496
44,1.877300,0,-1.060997,-1.031861,-1.189795,0.421000,1.707309,0.796981,0.774983,0.595782,0.503606,-0.804324,-1.051134,2.108028,1.444069,-0.922105,-1.153889,-1.195692
45,1.920000,0,-1.040520,-1.019911,-1.189795,0.783355,1.967302,0.075108,0.695693,0.565349,0.507020,-0.097040,-1.027185,2.054573,1.170784,-0.934372,-1.155516,-1.195692
46,1.962700,0,-1.019850,-1.004502,-1.161307,-0.768528,2.552134,-1.873898,1.109131,0.572671,0.587555,1.931256,-0.996549,1.958090,0.842843,-1.049821,-1.001136,-1.190496
47,2.005300,0,-1.009783,-0.993148,-0.933428,-0.273360,1.998825,-0.996728,0.738626,0.578163,0.571372,0.995695,-0.955881,1.901752,1.061470,-1.074113,-0.975104,-1.195692
48,2.048000,0,-1.000353,-0.980697,-0.933428,-0.826812,1.772332,-1.072953,0.672856,0.592349,0.564419,1.075529,-0.909571,1.808058,1.280098,-0.802808,-0.958771,-1.185300
49,2.090700,0,-0.990516,-0.966891,-0.926312,-1.081965,1.655589,-1.012308,0.414709,0.617519,0.590590,1.012223,-0.860604,1.703145,1.061470,-0.743280,-0.945947,-1.013699
50,2.133300,0,-0.980929,-0.954989,-0.926312,-0.632601,1.579653,-0.614432,-0.016632,0.623926,0.572637,0.599953,-0.810541,1.589756,1.280098,-0.743039,-0.934723,-0.831707
51,2.176000,0,-0.970594,-0.942708,-0.926312,-1.026038,1.524414,-1.736861,0.159120,0.626672,0.550891,1.782502,-0.760503,1.471641,1.116127,-0.677017,-0.924468,-0.810922
52,2.218700,0,-0.959954,-0.930217,-0.919190,-1.208614,1.480509,-1.527285,0.050599,0.629876,0.532053,1.557031,-0.711439,1.347752,0.952156,-0.685315,-0.914933,-0.800530
53,2.261300,0,-0.949351,-0.917982,-0.805251,-0.310458,1.442882,-1.353895,0.153091,0.630333,0.510307,1.372102,-0.663951,1.221836,1.006813,-0.678340,-0.905940,-0.805726
54,2.304000,0,-0.937843,-0.904572,-0.805251,-0.569586,1.407938,-1.506009,0.400824,0.638800,0.515490,1.534266,-0.618652,1.094174,1.061470,-0.686758,-0.897416,-0.805726
55,2.346700,0,-0.926233,-0.892365,-0.798129,-0.404268,1.373918,-1.336975,0.495460,0.635138,0.493365,1.354327,-0.575987,0.965734,1.170784,-0.696018,-0.889305,-0.805726
